,cluster 1 qvalues,cluster 10 qvalues,cluster 2 qvalues,cluster 3 qvalues,cluster 4ER+ qvalues,cluster 4ER- qvalues,cluster 5 qvalues,cluster 6 qvalues,cluster 7 qvalues,cluster 8 qvalues,cluster 9 qvalues
Chromosome Maintenance,28.690693925108874,44.49202493809177,0.3682636929051362,18.566116527874083,33.314497452153596,7.2483148067338385,3.9405733664968863,3.268714747867734,6.108153990914411,2.504144118766231,6.838406193970937
RMTs methylate histone arginines,27.80519029190249,1.0723306986846144,2.295821880682373,3.361791687474349,13.169583293981699,5.643833654376968,0.9026365749466028,2.6728694510362145,1.7810443333005177,1.3345181475449315,2.8469330598957634
Cellular Senescence,27.248127115237665,6.65615054262646,0.9790732305868889,6.153419334759994,16.31702496996903,5.955864576521559,2.0023709243676002,2.8628991871698686,3.6335057912464466,0.39863990882750144,3.7770618819825366
Nucleosome assembly,27.248127115237665,4.126193773525798,1.265650507989597,3.6866054489955324,17.683549337859738,7.3709323621330505,1.2065979776949094,2.4035053174678214,2.614770431354126,0.9219592961358107,3.0871408074181725
Deposition of new CENPA-containing nucleosomes at the centromere,27.248127115237665,4.126193773525798,1.265650507989597,3.6866054489955324,17.683549337859738,7.3709323621330505,1.2065979776949094,2.4035053174678214,2.614770431354126,0.9219592961358107,3.0871408074181725
HDMs demethylate histones,26.953585280827863,2.582880783997631,2.4443555311932577,5.625387156659698,10.230826418080056,2.182957018995961,2.0508692218432643,2.8543181338264674,2.586354731001578,0.6848397127429308,3.2723884386029978
Senescence-Associated Secretory Phenotype (SASP),26.833820111388743,0.8710386036929102,1.7980423837905768,2.6488638379721716,13.337627867647019,5.9358541158981835,1.0435595462208789,2.228110311494591,1.7702560784995727,1.2499380602497188,2.754202384246291
Telomere Maintenance,25.978580225033358,1.2020165690248255,1.528103071574067,1.9475590430986112,12.152434733256062,7.355004598936354,0.6932808047410026,2.3338864771229146,2.4650293777051777,1.3952282153301936,2.269009164141929
Estrogen-dependent gene expression,25.9299247837674,0.8644530688017125,1.5401472038026283,1.0113382011937317,10.569615801082872,7.1192245143596695,0.7277379011504931,2.6402644711511565,1.5661842321355344,1.6528662773282234,1.9223156959939396
Oxidative Stress Induced Senescence,25.555362498613245,0.8203062837196591,1.6702603468523674,2.1391677083713714,12.65158104041312,6.1962823031088226,0.926987841637881,2.2690626019690723,2.25059146763299,1.736100093897144,2.0594229682197507
Meiosis,25.50673937147725,0.5495004155979507,1.7230358680235422,1.7775935884271352,9.817045662670855,5.912229183030706,0.7679734883544391,2.3338864771229146,2.0444023235672932,1.0787089643103727,1.9311825159048368
Reproduction,25.442341333672086,0.5628703245342848,1.6700922088173173,1.6620146976870573,9.840729232852345,6.0734796191912555,0.7842104506953508,2.3390164784320153,2.0488246526617364,1.0073709992092537,1.8911038144211068
Base Excision Repair,25.442341333672086,0.37439633292697283,1.8346035153705307,1.199578069510557,10.107460120238287,6.534059678748884,0.7947356932998981,2.173932799024547,2.000406535207181,1.7209653932341888,1.632325173751549
Transcriptional regulation by small RNAs,25.369519205082934,2.088833464166691,1.9571453012875017,2.3903999567130136,11.598212187821414,5.5073911694905355,0.979690572585983,2.170916721348986,2.3457316155712213,0.7605092879735509,1.9632646233386233
Activation of HOX genes during differentiation,25.369519205082934,1.215108998808659,1.9373596297617264,2.2378908756236395,12.46363354054679,5.878242980716243,0.7212284348313813,2.2487687986936034,1.9816684282154013,1.6382647847705092,1.9502155502463518
Activation of anterior HOX genes in hindbrain development during early embryogenesis,25.369519205082934,1.215108998808659,1.9373596297617264,2.2378908756236395,12.46363354054679,5.878242980716243,0.7212284348313813,2.2487687986936034,1.9816684282154013,1.6382647847705092,1.9502155502463518
RHO GTPases activate PKNs,25.324783790860256,0.35758122137741094,2.137067321019332,1.6887517542023298,11.858975881112393,5.8730674810301915,0.8306734896345724,2.109273165884398,1.4214637997895188,2.0134393077242536,2.1334278748352804
Meiotic recombination,25.214334981341633,0.3957553913633552,1.9554262011473296,1.5338050315822724,9.827735092953649,5.544682868131257,0.7229477685008804,2.0770220820163536,1.7659256716912628,1.3954959009217616,1.6646256395450885
ESR-mediated signaling,25.10361677907607,0.30473235944651283,1.0014488112661186,1.0514994046252593,10.632878659105083,7.689662561391266,0.6699843269420559,2.7788157473532764,2.0399795237327902,1.1177946578065423,1.8110875294906132
HCMV Late Events,24.95354105211044,1.3759757936878065,2.1805067903817523,1.8832410423998185,10.315270061108055,5.330895434907917,0.5564203127079914,2.009401237352955,2.0198914955563425,1.064534534599351,1.8404947686244812
Condensation of Prophase Chromosomes,24.830449611615556,1.180598478638692,2.16906461688083,2.110725630263739,11.731392706226842,5.366992920732935,0.9536990272910708,1.912054265774642,2.054081652738478,1.4114663676266215,1.905387478107061
Transcriptional regulation of granulopoiesis,24.713803247046073,0.48386224141539097,2.2279150747529397,1.6097934341856632,10.333366224437794,5.423789375408115,0.7513090572277775,1.9376163850973536,1.7702560784995727,1.7303741068802414,1.6448120204584349
Gene Silencing by RNA,24.713803247046073,1.2617025739769034,1.6886138958468835,1.9783251812513731,11.047334593985742,5.866817072954439,0.8945359153633431,2.295099739956995,2.2603282197991845,0.9133930541837472,1.9167253892969238
Formation of the beta-catenin:TCF transactivating complex,24.593876684324503,0.5351858116174423,1.9306343373301966,1.5835337555847464,11.702634664905098,6.580973468289807,0.722137519643425,2.1946852755512714,1.5132180758810698,2.9222588211443052,1.979396252463559
DNA Double Strand Break Response,24.58857321022037,2.9884824534982632,2.0324652209844074,1.838462694250704,11.02332806580244,5.0160425705867,1.1471153228155788,2.258219031359412,3.174625822174651,0.32266274386131605,2.2194558910025903
HCMV Early Events,24.5574161876312,3.2750404493111103,2.2279150747529397,2.3188737504228416,10.471435973638162,4.422278273057666,1.2676600468423422,1.6906882570716124,3.213922432149788,0.42749138609840753,1.8678404932521129
Pre-NOTCH Expression and Processing,24.2498824247501,0.657574644532596,1.4667588087779557,1.1103561592735889,12.314757927897647,6.628511353262997,0.8662239426899889,2.201148235911374,1.6949019244517287,2.4394146355964437,1.8747016548876017
