,cluster 4ER+ log adjusted q-value,cluster 9 log adjusted q-value,cluster 7 log adjusted q-value,cluster 3 log adjusted q-value,cluster 8 log adjusted q-value,cluster 10 log adjusted q-value,cluster 1 log adjusted q-value,cluster 2 log adjusted q-value,cluster 5 log adjusted q-value,cluster 4ER- log adjusted q-value,cluster 6 log adjusted q-value
RMTs methylate histone arginines,0.7585679841127788,0.054405607603038,0.03984908586427051,0.09977546060063908,0.0754509647730105,0.32745987322129333,18.721793589781115,0.36547311825979634,0.018052888747020376,0.13962582701390572,0.0205705867406578
HDMs demethylate histones,0.46629777783528276,0.09122423442535198,0.15027127786267383,0.22487004352145926,0.049011938657299574,0.16563330932578899,17.008346251698825,0.37854832618926965,0.030516063692681818,0.029625634235680702,0.0205705867406578
Senescence-Associated Secretory Phenotype (SASP),0.835548366803055,0.06494964877852523,0.037017478832577694,0.04935723733725322,0.0754509647730105,0.32680482171973846,16.956480116087953,0.27078220045541945,0.007901015182388624,0.17752894853175033,0.02016188346434391
Cellular Senescence,1.2335370610039453,0.17595398993669803,0.2775613414756186,0.24247053397400978,0.08137488744988705,0.03648266712144658,16.956480116087953,0.05868925762185237,0.027167072041088817,0.21140030281610478,0.0205705867406578
Nucleosome assembly,1.5031958513352006,0.12395594410105504,0.11243996212702502,0.08708846460859021,0.07810461580490922,0.08418602519082347,16.721409179208024,0.12761408759293238,0.0029921751429898328,0.39639501287513584,0.0205705867406578
Deposition of new CENPA-containing nucleosomes at the centromere,1.5031958513352006,0.12395594410105504,0.11243996212702502,0.08708846460859021,0.07810461580490922,0.08418602519082347,16.721409179208024,0.12761408759293238,0.0029921751429898328,0.39639501287513584,0.0205705867406578
Chromosome Maintenance,4.079843459658703,0.6835954940949582,0.600657674838267,1.801920756321352,0.007182657011358222,0.6571823358953808,16.565955319430373,0.42045726497195907,0.10101509205732656,0.41542967654246493,0.0205705867406578
Estrogen-dependent gene expression,0.5755491464588967,0.0019414039442303434,0.020250328673495334,0.0444333960277262,0.05474493930448405,0.13135651959627073,16.445093544397995,0.18047762661435243,0.030516063692681818,0.29654241855962105,0.0205705867406578
Meiosis,0.5085267640378806,0.007112449716908842,0.06382119428847337,0.015299220139496321,0.0781620811304274,0.23924343615753435,16.280634876141608,0.23176104832062996,0.029062426579511084,0.17140754571344005,0.0205705867406578
Oxidative Stress Induced Senescence,0.7804458606149853,0.016034947482243586,0.08136862027290456,0.025502586882235882,0.05470771675538882,0.3336281098698471,16.2690490051819,0.22166555981921987,0.022424231078724925,0.20905985349324643,0.0205705867406578
Reproduction,0.5085267640378806,0.0041415130067379066,0.06438932233095312,0.00841118196203692,0.08137488744988705,0.24353789139879026,16.172071226230393,0.22166555981921987,0.02752021821728584,0.17678560565536913,0.0205705867406578
HCMV Late Events,0.5062584420027957,0.0031485454138542837,0.06216091575251691,0.021955783549341815,0.0781620811304274,0.23516920071923472,16.09467977614391,0.328171357676893,0.05395465256696948,0.14377723621514044,0.02016188346434391
Telomere Maintenance,0.8267553354846434,0.06128980885775927,0.10333108523372034,0.015299220139496321,0.05727086279637806,0.22037393163955044,16.09467977614391,0.180535308724066,0.0378477447363579,0.3628600966086374,0.0205705867406578
Meiotic recombination,0.5099187732163792,0.0031485454138542837,0.03558029841029011,0.0026655060542344184,0.07117272327953002,0.20752308378067666,16.09467977614391,0.2865012376941914,0.030516063692681818,0.15303117621881868,0.02016188346434391
RHO GTPases activate PKNs,0.711133897274376,0.019075067687463046,0.0017977887213412012,0.006084551152431524,0.042883502253188314,0.18047345309418625,16.09467977614391,0.328171357676893,0.022941778501564775,0.17980145202009884,0.02016188346434391
Transcriptional regulation by small RNAs,0.6793831816517738,0.007413917130708064,0.10556064746103051,0.03946658470290005,0.11126241359975488,0.17279986361365585,16.09467977614391,0.2748106975993457,0.017055125385196546,0.15303117621881868,0.02016188346434391
HCMV Early Events,0.5313476025267023,0.0029460620487179756,0.2101003259883654,0.04011909214555826,0.15180874253402726,0.13135651959627073,15.967441695340634,0.327551443929876,0.0041498186390930905,0.10577311976047181,0.014140972406075477
Activation of HOX genes during differentiation,0.7827502529093802,0.007997828417744013,0.05467421081487442,0.028756422522189837,0.05504204576044744,0.22803890657498677,15.967441695340634,0.27565536273727537,0.030516063692681818,0.17366881723936337,0.0205705867406578
Activation of anterior HOX genes in hindbrain development during early embryogenesis,0.7827502529093802,0.007997828417744013,0.05467421081487442,0.028756422522189837,0.05504204576044744,0.22803890657498677,15.967441695340634,0.27565536273727537,0.030516063692681818,0.17366881723936337,0.0205705867406578
Condensation of Prophase Chromosomes,0.6962016579326457,0.007112449716908842,0.06575513123912136,0.025502586882235882,0.07102775383582882,0.24252523420407704,15.85211217205003,0.3360360915705845,0.01463596456215758,0.15303117621881868,0.017856601285202563
Transcriptional regulation of granulopoiesis,0.5588807709097292,0.0041415130067379066,0.03743666046925095,0.004676516651840152,0.05549570520873739,0.22803890657498677,15.826304100256811,0.34264892388684104,0.02752021821728584,0.151345242861097,0.017856601285202563
Metalloprotease DUBs,0.9354078395646541,0.0019414039442303434,0.027842206769059213,0.006015012116220682,0.00315705677336736,0.20719553404476201,15.735797413893982,0.43064660904015023,0.24992149918446094,0.28979486062134346,0.01618948511114512
Base Excision Repair,0.6006301346586497,0.0041415130067379066,0.05185457186828169,0.033734506217537936,0.04378218670214343,0.18207271841053937,15.696328058595276,0.26036450347730333,0.030516063692681818,0.2715722117897107,0.0205705867406578
Gene Silencing by RNA,0.6388510590017898,0.0041415130067379066,0.09147987968384101,0.019770981372586583,0.08565144630940902,0.2214420665346129,15.51132705624513,0.20705644038314644,0.027167072041088817,0.17472536149388174,0.0205705867406578
DNA methylation,0.5062584420027957,0.004873301850297187,0.02119462778943108,0.015299220139496321,0.04362378059494461,0.17782849760542868,15.430146919259979,0.3816472912155308,0.030516063692681818,0.13962582701390572,0.01618948511114512
Formation of the beta-catenin:TCF transactivating complex,0.6951924802508246,0.01324626350214555,0.01223409319727653,0.004676516651840152,0.029181838652423353,0.1612845975116269,15.425245124130365,0.27848504634517635,0.030516063692681818,0.22105596534894323,0.02016188346434391
PRC2 methylates histones and DNA,0.5085267640378806,0.009553694194714593,0.018583466480977227,0.02028154630791111,0.045328603365512275,0.17782849760542868,15.425245124130365,0.3687858965646953,0.027599219924747592,0.1441311465069044,0.01618948511114512
HDACs deacetylate histones,0.3623139487518697,0.03299484042910904,0.04129932126052911,0.015559253015865816,0.07160120469450396,0.19662951208118779,15.400875280441792,0.42045726497195907,0.030516063692681818,0.08988889246757084,0.014140972406075477
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,0.48347339485932184,0.004723484962312019,0.016980279232227127,0.021863685742455053,0.042883502253188314,0.16322139208540346,15.360508670904778,0.37976813398153136,0.030516063692681818,0.13962582701390572,0.01618948511114512
RNA Polymerase I Promoter Opening,0.4811814163687446,0.00930367651652955,0.0230044587845707,0.02090695076842552,0.04362977407013901,0.17603302612897803,15.360508670904778,0.38238818774612987,0.030516063692681818,0.13900228570453826,0.01618948511114512
ESR-mediated signaling,0.5656764578756776,0.0019414039442303434,0.06603903936090032,0.06184669650093062,0.07469916000235856,0.20326712204337685,15.360508670904778,0.04979680326916336,0.04878371068654629,0.39639501287513584,0.0205705867406578
SIRT1 negatively regulates rRNA expression,0.4976875128242022,0.010121888883713778,0.017717073886388216,0.021863685742455053,0.042883502253188314,0.17375171935668265,15.35879481050807,0.38238818774612987,0.030516063692681818,0.1394291995060592,0.014140972406075477
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression,0.4148607487261119,0.015164523488524472,0.0003183280143525356,0.02975325337584443,0.05470771675538882,0.14482103336770635,15.337195675380851,0.36547311825979634,0.030516063692681818,0.1377081842568019,0.017856601285202563
Amyloid fiber formation,0.6423726357794555,0.0019414039442303434,0.020266156610014473,0.02459283367827318,0.035242765060870374,0.18689553271278658,15.304166461409837,0.36417973836805567,0.030516063692681818,0.17366881723936337,0.014140972406075477
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,0.48684085353114115,0.0053867859109118675,0.06729534411979438,0.018809584884707582,0.05470771675538882,0.17782849760542868,15.304166461409837,0.32931438375004946,0.018498049048570855,0.1441311465069044,0.02016188346434391
DNA Double Strand Break Response,0.6040607442244766,0.028387532293690197,0.21202036655345072,0.004806581481265545,0.1043050592916737,0.13375560645634613,15.152168662728549,0.2846001069567154,0.010945985304358169,0.15853823696871286,0.0205705867406578
Pre-NOTCH Expression and Processing,0.7529480013458076,0.003231098559813911,0.027631709976920712,0.04011909214555826,0.03303583689315974,0.1522743127961307,14.980421314731714,0.16182276061534803,0.02752021821728584,0.25503818315543625,0.02016188346434391
Pre-NOTCH Transcription and Translation,0.6951924802508246,0.0029460620487179756,0.016980279232227127,0.03781889766734621,0.03499180707092228,0.1641241093950599,14.97904883306598,0.20556364706206937,0.031653744992473205,0.22679032450499353,0.02016188346434391
RNA Polymerase I Promoter Escape,0.496288255190537,0.008608548239871974,0.019823519207412314,0.02731400075720522,0.07160120469450396,0.30715954812360985,14.868720273341706,0.1850318644684236,0.24770402063713737,0.2092727644459864,0.02016188346434391
Interleukin-7 signaling,1.0601683867056118,0.026813641595479998,0.09167316141010358,0.8961911526706374,0.05470771675538882,0.004305817677926513,14.85082322529386,0.05868925762185237,0.21304666571880806,0.042634987672652544,0.007124279107210465
DNA Damage/Telomere Stress Induced Senescence,0.45263077485752107,0.004692297322994099,0.013917708993697488,0.06823781250722176,0.035242765060870374,0.11486062075899058,14.795840716420901,0.3103556450996407,0.05796977917214603,0.21841723409387748,0.02016188346434391
