,ER Status log adjusted q-value,PR Status log adjusted q-value,HER2 Status log adjusted q-value,Triple Neg log adjusted q-value
SLC-mediated transmembrane transport,37.405786210756226,13.252255032357704,0.6630790242140723,26.968504663417722
"Transport of bile salts and organic acids, metal ions and amine compounds",32.45207032401529,9.880555636699981,0.11306892260795988,23.280224522306916
Sphingolipid metabolism,29.140881093448563,8.853328368143787,0.01049489630706494,22.599006018767778
Cyclin D associated events in G1,35.52514182614664,14.523864918972698,0.8153151135944458,22.485266988974303
G1 Phase,35.52514182614664,14.523864918972698,0.8153151135944458,22.485266988974303
Amino acid transport across the plasma membrane,33.73102724065758,11.678002080067522,0.9199019591399247,21.57307257024035
Transcriptional Regulation by MECP2,37.405786210756226,13.658670372765435,2.287302660562086,21.213163557354118
Synthesis of substrates in N-glycan biosythesis,25.228880842000137,8.20748307363255,0.038076686170882175,20.39798203113442
G-protein mediated events,33.12078499722685,14.523864918972698,0.9145733648688001,20.126117363535794
PLC beta mediated events,33.24099090222065,14.523864918972698,1.0071105277539423,19.999163748607273
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",25.9551199474668,9.149350683298364,0.032324962083354745,19.773649469216384
Glycosphingolipid metabolism,25.41532190887041,7.685391692477409,0.022375902476645972,19.766685830566228
PKA-mediated phosphorylation of CREB,29.140881093448563,13.658670372765435,0.379955058404419,19.566395856821718
TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,33.03929417820493,8.809163598728597,0.48563173165772366,19.484311823803218
Sialic acid metabolism,22.991843941557395,6.713174780681073,0.07125017046701478,19.44552718267005
Ca-dependent events,28.712932144491806,12.354656619054396,0.23853907640227032,19.42659986527454
RHO GTPases Activate Rhotekin and Rhophilins,19.375356004721436,4.712632999670177,0.006051460495226655,19.13579506555797
RUNX1 regulates estrogen receptor mediated transcription,37.405786210756226,13.367423106435655,4.235988027892151,19.066095435679348
DAG and IP3 signaling,32.68820659401307,14.312582364554315,1.976787654832359,19.019886412171648
Synthesis of PC,22.991843941557395,8.307418884417405,0.048923064075715256,18.980599912377713
CaM pathway,28.403210312195238,12.22268015381508,0.25550820887897036,18.980599912377713
Calmodulin induced events,28.403210312195238,12.22268015381508,0.25550820887897036,18.980599912377713
Transport of inorganic cations/anions and amino acids/oligopeptides,29.782329633249336,10.919730357489055,0.7405318327234526,18.750052952383392
Vitamin C (ascorbate) metabolism,21.96479611431379,10.473548242863208,0.054898073435270076,18.419286671617815
RET signaling,19.13379398602564,7.8477775495378514,0.02412645089079302,18.284203345652035
Reversible hydration of carbon dioxide,30.752817818934375,10.586982563839443,0.5220210717815522,18.20761069258882
Diseases of Cellular Senescence,19.254583691611863,7.388850849552494,0.1734618151053512,17.751845710245966
Evasion of Oncogene Induced Senescence Due to p16INK4A Defects,19.254583691611863,7.388850849552494,0.1734618151053512,17.751845710245966
Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,19.254583691611863,7.388850849552494,0.1734618151053512,17.751845710245966
Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6,19.254583691611863,7.388850849552494,0.1734618151053512,17.751845710245966
Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6,19.254583691611863,7.388850849552494,0.1734618151053512,17.751845710245966
Estrogen-dependent nuclear events downstream of ESR-membrane signaling,28.549588433908763,10.179106762176502,0.6232110081812879,17.618894395876964
Diseases associated with glycosylation precursor biosynthesis,20.191691441446853,5.739425157572503,0.11251922828354155,17.30367705492324
Fatty acid metabolism,28.712932144491806,13.221097617265958,0.83756771215423,16.903802518094658
Activation of AMPK downstream of NMDARs,33.9808221461075,22.911138495980936,4.075774574489255,16.849483491159376
Ion channel transport,27.177501435083176,9.1895818295371,0.618113265445284,16.670910699107424
Defective NEU1 causes sialidosis,19.064621810496806,5.308002131036431,0.08740004693882777,16.13879300346109
Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA,15.55497484036452,5.064314422315119,0.052642385234791284,15.891048993620151
FBXW7 Mutants and NOTCH1 in Cancer,25.936562190497302,9.003580153278246,0.37565942566805255,15.879891668710352
Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling,25.936562190497302,9.003580153278246,0.37565942566805255,15.879891668710352
Serine biosynthesis,31.144976336061667,11.678002080067522,1.681979933523005,15.748417375934306
Stimuli-sensing channels,20.654252330973073,7.322059190599728,0.054898073435270076,15.59749511203363
Repression of WNT target genes,22.497679073431485,5.895757300971232,0.052642385234791284,15.540932604124635
Negative regulation of MET activity,22.345934014439404,13.232933475593104,0.28747968403079804,15.521562886842359
Intraflagellar transport,24.72220563894783,14.209837197062871,1.0016014594284663,14.87309568127009
Acyl chain remodelling of PE,21.55239131040511,9.818588153168701,0.007489682817494776,14.626155570272282
Caspase-mediated cleavage of cytoskeletal proteins,31.50976530372747,19.55399498432161,5.212956883845074,14.565408383209878
GAB1 signalosome,25.304166584472433,13.578611097371466,1.0234405153152644,13.985668576290518
Cardiac conduction,22.28956347582454,8.871388348081684,1.0147916880513939,13.80494125740143
RUNX3 regulates WNT signaling,17.041408438905222,5.159112182773734,0.20051934622644702,13.653207646387674
Glycerophospholipid biosynthesis,15.691170291914576,4.523130667544827,0.12307336935278865,13.53097965501134
Keratinization,18.347301726201742,5.391102823477302,0.01714992733498504,13.413727662329567
Oncogene Induced Senescence,20.516223613436825,9.880555636699981,0.3180609763944395,13.413727662329567
Formation of the cornified envelope,18.57617269065307,5.26898434688599,0.022375902476645972,13.374240160748434
Purine catabolism,24.25648064326801,9.913088000869797,2.170081197163395,13.306849117914476
Growth hormone receptor signaling,21.662146453018497,9.56023930069601,0.590440352831326,13.266791570437961
Post NMDA receptor activation events,23.92617205412493,13.613684788799807,2.0907656656309155,13.199396921083117
RAB geranylgeranylation,16.983572605529545,6.91033061520093,0.03888365505305225,13.194604854496786
Activation of NMDA receptors and postsynaptic events,23.929699948863203,13.300304068917008,2.23125193234415,13.077725137205004
Hydroxycarboxylic acid-binding receptors,20.312417623946548,6.443772290140349,0.5835314734541552,12.901551086278628
Regulation of KIT signaling,20.37282371520582,8.111333717016658,0.1267659073290159,12.767254020029977
Prolactin receptor signaling,19.133913734321936,7.128923717095993,0.16692560837055892,12.666761280409712
Phospholipid metabolism,14.600069461876807,4.204277003733161,0.11359059411112682,12.516171373609101
Ubiquinol biosynthesis,23.683776961624314,10.69941203673097,2.3241408497733462,12.417754932419326
Acyl chain remodelling of PC,19.246810212535763,8.896376155429724,0.03888365505305225,12.32358790749742
Phase 4 - resting membrane potential,20.767612383671302,9.894219714126232,1.048462197228011,12.286964622698765
Metabolism of nucleotides,19.753472094361896,9.976221171917867,1.2552740042524702,12.205290347134005
Inositol phosphate metabolism,19.25216867963216,7.824341251546072,0.06727848850040712,12.027295493344962
Miscellaneous transport and binding events,14.690843430127643,6.76661926458819,0.02022507253855203,11.98484887971676
Inhibition of Signaling by Overexpressed EGFR,18.34760037294619,8.111333717016658,0.11493935732819471,11.904790324437778
Signaling by Overexpressed Wild-Type EGFR in Cancer,18.34760037294619,8.111333717016658,0.11493935732819471,11.904790324437778
EGFR interacts with phospholipase C-gamma,19.133913734321936,8.307418884417405,0.2959845493975537,11.785192366787129
Signaling by ERBB2,14.644944247392472,4.397684799267508,0.10312047769175728,11.748171399118611
Binding of TCF/LEF:CTNNB1 to target gene promoters,12.53104506249564,3.7844565064528384,0.06266425926814073,11.658744836376135
Basigin interactions,21.46515609124003,9.739820493100275,2.173338609565372,11.533593113397787
MECP2 regulates neuronal receptors and channels,22.991843941557395,8.737756308560403,1.8908609686571451,11.513050094420466
Signaling by ERBB4,20.813778057907555,8.929792564420632,0.6232110081812879,11.406135642874702
