,PIK3CA,TP53,GATA3,CDH1,MAP3K1,KMT2C,AKT1,CBFB,RB1,BRCA1,BRCA2
Transcriptional Regulation by MECP2,10.724909377515916,140.57400760110372,12.025167687612862,0.9825789113122498,2.294800331944821,0.6528861408854317,0.6078784484997463,1.0408665611872507,2.892755089182691,1.0897950332503532,1.3995379245776602
G1 Phase,25.506105490342172,126.54105486935562,12.441939922917756,3.2583445133153344,5.905112085063324,1.1536506620916915,1.3597174380945796,4.106143224167107,1.3070776340311472,0.5278639595039517,0.37557891682708683
Cyclin D associated events in G1,25.506105490342172,126.54105486935562,12.441939922917756,3.2583445133153344,5.905112085063324,1.1536506620916915,1.3597174380945796,4.106143224167107,1.3070776340311472,0.5278639595039517,0.37557891682708683
DAG and IP3 signaling,7.704808903622814,120.95541360195594,6.6742704781294595,0.9674294353617553,1.4029140117129457,0.4043881183155637,0.31844570675228534,0.313399662851068,3.8125232832746554,2.958742213360376,2.2407003350260464
Serine biosynthesis,6.650527589195269,117.56301480629688,14.392987649195767,0.36639617469432645,4.724366945730748,1.1739586705479401,0.5319351485951475,2.12516599762154,1.5867724111092725,0.8973788809154629,0.4071352828456488
SLC-mediated transmembrane transport,12.243300903363934,117.48677477424661,9.104308469141097,3.268155089094529,1.48994042681826,0.7994940145995078,0.4970872778349585,1.1516658825592665,3.4348011958616156,1.8969348119561513,1.9014402652843223
Activation of AMPK downstream of NMDARs,15.380909269704329,114.73751228455475,13.396178989439752,2.2378694102205428,5.8953278108380625,0.4127089359535942,1.0355068813252135,3.229872141203111,2.3644525997646273,1.9632855601039576,1.8435560131686106
Metabolism of nucleotides,26.031554204257834,107.56981456371847,8.44328984545783,6.718627399431525,5.436614768764644,1.1304890431243049,1.607537595595667,3.028766143605875,1.5194645688901338,0.6246850852695636,0.42472751855263785
Activation of NMDA receptors and postsynaptic events,7.7109889784791354,106.63134692735737,8.938654674612293,1.0018026677514664,3.0130454540816745,0.5385627654613933,0.4724999507584699,1.1493721008829674,3.2050823459330964,2.77788057293727,2.095817881080538
Post NMDA receptor activation events,8.42510604546033,104.58620394987089,9.3046957466941,0.9108274101708236,3.1365413468765815,0.5205375366343036,0.45149715220210745,1.2275249863536473,3.2981938391115206,2.9339190790952,2.1943763020554985
Ubiquinol biosynthesis,11.755487409041566,104.55815054566828,7.9121210605871966,5.491031824053481,4.527430204449957,0.9115736666685567,0.3035292346902163,3.875839377928024,2.6853917682524306,1.416177317409344,0.8393937723443554
Nucleotide salvage,28.414570524313515,103.54103955769148,11.02366583580316,7.612512505588964,8.180805608825892,0.9432959992623274,1.8311368263663965,4.204327295574904,0.49355686276208155,0.40463753578114475,0.4397056727713515
Purine catabolism,17.753140392800745,102.4559513124573,7.807365260765063,6.1121651081380435,3.869542469865535,1.1417315685195215,1.1354102701521545,2.299864702008328,1.6560163669976724,0.6404885472196965,0.658952737519804
alpha-linolenic acid (ALA) metabolism,35.45536448415156,102.32718453043161,8.252614598312823,9.3913702282674,9.518862456931569,0.9329862111012688,1.031537974602831,4.977555523371355,1.1868947800169978,0.3418801161987068,0.4298995079420232
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,35.45536448415156,102.32718453043161,8.252614598312823,9.3913702282674,9.518862456931569,0.9329862111012688,1.031537974602831,4.977555523371355,1.1868947800169978,0.3418801161987068,0.4298995079420232
Cardiac conduction,1.7986617238004559,102.32718453043161,6.660576091972645,0.45089178319726836,0.3788110761223811,0.4127089359535942,0.43902446405633916,0.8191750096595275,3.3823172798059162,2.6721514742573773,1.8467196126335366
Caspase-mediated cleavage of cytoskeletal proteins,13.47592254825418,102.32718453043161,9.3046957466941,1.8546007523944132,5.400154763041941,0.3518272210152054,0.5964375816717881,2.11312967094606,2.732655805427615,2.1698614689382434,1.9264679994274123
Oncogene Induced Senescence,34.15093024387057,101.76454080371735,12.883555570653057,8.809476163000184,9.552721436900162,2.8577062737880494,3.5628522644356786,10.904344093287614,0.7210551581220426,2.521669686729649,2.0534685466213873
RUNX1 regulates estrogen receptor mediated transcription,6.984466704386066,100.27814975777257,3.923693595182072,1.7217739287498395,1.2985196460509365,0.4127089359535942,1.0549264145811283,0.36921518783243135,3.5899605220296036,2.7397348933135612,1.653240974860395
Fatty acid metabolism,11.92843556795787,100.0132111822657,9.442614222574818,0.7229871463233023,3.1473101318519547,0.7940570988632214,0.5956807781731628,1.0862310294992434,1.6421619863916062,1.0779763101017796,1.4571205723069454
Amino acid transport across the plasma membrane,13.459355054596886,99.91292331836462,12.61770862671394,7.35302137025949,5.381773899163635,0.45060689026851247,0.97697060942025,4.5503635439060055,1.271777651665067,0.7499533591493174,0.6837643558004785
Carboxyterminal post-translational modifications of tubulin,12.191278469108253,99.29490046745777,10.82494343220139,2.6836667452449583,2.919331961859524,1.0799170545478929,0.6968626258412136,2.4763227732341075,2.5488081357332675,1.4508166339258104,1.1718363581472049
BBSome-mediated cargo-targeting to cilium,15.105203838054264,99.00549203251991,9.983258981694219,2.8143771951483627,4.233188223595328,0.76576124936536,1.2078199517403345,2.0128950950121145,1.8600767325581076,0.8315791566885338,0.6539894975670701
Intraflagellar transport,11.496928763630285,98.8549787315755,12.883555570653057,1.1386175057769519,3.760078629130652,0.8923727766321005,0.3756828374354835,1.9613774269116395,3.067309339095419,2.0297073371341128,1.8742816120594137
PKA-mediated phosphorylation of CREB,7.832757868069469,98.44862378111607,7.337801180357142,0.3182491417212603,1.679340216066036,0.30497165869031145,0.4727060044866722,0.34028429379270814,3.4604803324539004,3.265388570436767,2.334778355176433
Tryptophan catabolism,14.998946008819898,97.79548692699814,3.1367182554933004,6.408598475793999,3.927004177917836,0.30933634905971225,0.5557339784116982,1.5649473757147683,1.8571449663509578,0.9303016018014644,1.4306258696668754
Manipulation of host energy metabolism,10.107808985326661,97.51295397195301,6.522728470751958,9.764928564779897,4.7373745424967,2.404531442651459,0.8117001156832461,3.137487901376467,0.41151476085909716,0.6444631743135648,0.4869001075214447
JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1,8.98586885487055,97.26627671087518,9.753866138176992,1.5910558121950094,3.7220846686451026,0.6210143966537103,1.0549264145811283,1.0734596077442238,0.9194903467952912,0.4977896330845794,0.30175826704241016
Metabolism of folate and pterines,19.35667280949388,97.16105911526766,13.504953978689041,6.4445279719002775,6.288404865344133,1.0294489957657562,1.5552943454364214,6.2766323616718624,0.6198523536770844,0.5669191484408586,0.4784176514366765
PLC beta mediated events,5.495805512239508,95.9847655485706,8.504840098441507,0.47167620529224036,1.0486207708814146,0.3858520040593753,0.3367677183122784,0.4731383505008627,3.3640676410112302,2.7397348933135612,2.2942762903491465
Estrogen-dependent nuclear events downstream of ESR-membrane signaling,3.8189728569229584,95.89977954935844,8.78773547220422,0.8402391867344331,1.5595388060320903,0.8428542754620268,0.3234345175629199,0.7168224594217939,3.739635261075239,2.6928059237237267,1.8993866378537094
ABC transporters in lipid homeostasis,2.7007607620688705,95.24148653494802,7.11323906009022,0.7152450610533052,0.6198661318302066,0.3248467370658168,0.3192568544708844,0.8813919854690887,2.3920301010926566,1.9078649999930348,1.9632056706995047
Transport of inorganic cations/anions and amino acids/oligopeptides,6.05501889331542,95.1589265839535,12.185089015698116,2.9216050473747304,2.189812946966945,0.41032531057875715,0.5950061016155779,1.7611444889198704,2.1525179107818384,1.6550304472620345,1.3856315089343552
Basigin interactions,17.907481733844158,94.81767980397821,9.3046957466941,11.519388713427537,6.301873029751324,0.9839839661379146,0.7270974490744343,4.688190209117965,0.9507342570552,0.3943502022175559,0.5879975568832175
