,cluster 1 qvalues,cluster 10 qvalues,cluster 11 qvalues,cluster 2 qvalues,cluster 3 qvalues,cluster 4ER+ qvalues,cluster 4ER- qvalues,cluster 5 qvalues,cluster 6 qvalues,cluster 7 qvalues,cluster 8 qvalues,cluster 9 qvalues
Golgi-to-ER retrograde transport,43.64978077834563,58.4451607851984,0.3012475178972396,27.538757263190867,49.10991282299334,43.826969399271626,27.31842413498581,51.903068241941455,31.352520596887423,46.196298963178435,55.90155622887166,45.13355468926681
tRNA processing,43.641320877472815,58.4451607851984,0.3012475178972396,26.300606049758215,47.17785408334602,40.6339679730673,25.075932910580903,49.15973705836588,31.195263988946287,42.19780442071162,52.6551744844177,44.77688070637028
Recycling pathway of L1,43.641320877472815,50.48167961429896,0.3012475178972396,27.538757263190867,51.74553186004216,40.04181471817009,22.304435088742437,50.440642870701815,31.195263988946287,49.06283447751466,59.14424137730968,44.77688070637028
COPI-dependent Golgi-to-ER retrograde traffic,43.641320877472815,58.4451607851984,0.3012475178972396,27.538757263190867,48.12227048392487,43.00226913205254,27.046630114725016,51.56441011409142,31.195263988946287,44.92749767458973,54.41927262666863,44.81696591204401
Intra-Golgi and retrograde Golgi-to-ER traffic,43.55937595264529,58.00164936755326,0.3012475178972396,27.501347188559862,40.26512631520261,29.957042076841482,23.14271018983331,51.4336674759819,31.352520596887423,47.15197123010915,54.602552439806395,45.13355468926681
Factors involved in megakaryocyte development and platelet production,43.55937595264529,58.27595848649183,0.3012475178972396,27.501347188559862,46.97169286675006,41.37281805266995,27.071281067093985,51.00949017916947,31.195263988946287,45.236212641030384,54.086273551477674,44.73937739705695
Regulation of TP53 Activity through Phosphorylation,43.55937595264529,58.4451607851984,0.3012475178972396,27.538757263190867,42.79191837204379,35.84932138809647,25.67576052746898,50.84855893462843,31.195263988946287,44.497133901891615,52.185832596923454,44.95056672610443
Mitotic Prometaphase,43.55937595264529,58.4451607851984,0.3012475178972396,27.501347188559862,47.17785408334602,41.27449293404236,27.31842413498581,51.4066358977357,31.195263988946287,45.18559814105872,52.51418035985093,44.73937739705695
Regulation of PLK1 Activity at G2/M Transition,43.55937595264529,58.4451607851984,0.3012475178972396,27.484102493691008,45.47857185308757,38.057338662382065,27.31842413498581,51.903068241941455,31.195263988946287,46.65566542296242,51.659964779094736,44.39374256817362
Cyclin A/B1/B2 associated events during G2/M transition,43.55937595264529,58.4451607851984,0.3012475178972396,27.501347188559862,39.1183285368245,32.4001138698007,25.095811458947665,51.00949017916947,31.192939650029526,44.94543130366752,49.203894559280954,44.78512539490024
Signaling by Nuclear Receptors,43.55937595264529,44.88717155895607,0.3012475178972396,27.314191156812576,52.14678922392161,38.495447281282104,19.69667620903062,47.38142588938117,31.2767945362768,48.4828676726359,59.62688751512823,44.147209756661
Polo-like kinase mediated events,43.54185073684872,58.21920392462648,0.3012475178972396,27.501347188559862,41.449379184457655,30.91725163003885,24.72791737461186,51.00949017916947,31.135334455143617,44.70716637193424,52.80599889021722,44.73937739705695
RHO GTPases Activate Formins,43.54185073684872,58.27633196798173,0.3012475178972396,27.314191156812576,44.86082065321072,38.39548945951044,27.071281067093985,51.00949017916947,31.195263988946287,43.7869794980191,51.7060699984798,44.40903463019143
tRNA processing in the nucleus,43.54185073684872,57.91047439345853,0.3012475178972396,26.055140077759752,45.209164970988105,38.54203045789617,22.44348457730035,46.96771408597971,31.195263988946287,41.46112826845741,51.111044818198174,44.10318294715061
AURKA Activation by TPX2,43.54185073684872,58.4451607851984,0.3012475178972396,27.501347188559862,43.339399434532034,36.02024024406627,26.749201742970143,51.711468662387944,31.176525644849743,45.939171178158894,50.22756112147237,44.31168321751836
Mitotic Spindle Checkpoint,43.54185073684872,58.18397976398919,0.3012475178972396,27.314191156812576,44.838092353109424,37.01858980224547,26.79460571005446,50.79115370668333,31.176525644849743,43.49136755446423,51.63757588612928,44.35219227546219
Signal Transduction,43.54185073684872,53.04140374010684,0.3012475178972396,27.501347188559862,51.260042077503016,43.599697670618,24.851199524933136,49.08912127669065,31.195263988946287,47.87164263692895,58.13308679053478,44.56243162040837
Resolution of Sister Chromatid Cohesion,43.54185073684872,58.21920392462648,0.3012475178972396,27.336360081294234,45.62499136964471,39.22834366607232,27.01619665879858,50.9274253049722,31.195263988946287,43.818518850764455,51.79685308551926,44.43073924663528
EML4 and NUDC in mitotic spindle formation,43.54185073684872,58.27595848649183,0.3012475178972396,27.319721145963758,44.76754108571134,37.76726473030469,27.046630114725016,50.9885366207759,31.195263988946287,43.74385632598602,51.57007748146913,44.39374256817362
Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase,43.54185073684872,55.88081891552129,0.3012475178972396,26.836227417357843,39.479071683756196,33.663584948771785,24.998376577402887,49.639459774613364,30.13206084466091,42.46129215856349,50.11077525003227,44.31168321751836
"Cell Cycle, Mitotic",43.54185073684872,58.27595848649183,0.3012475178972396,27.314191156812576,46.59744536477268,40.98227496846776,26.931773871744625,50.717188192847395,31.02492034013245,43.526336048487,51.678678305787294,44.13754201837411
