,Cluster 1 p-values,Cluster 1 q-values,Cluster 10 p-values,Cluster 10 q-values,Cluster 2 p-values,Cluster 2 q-values,Cluster 3 p-values,Cluster 3 q-values,Cluster 4ER+ p-values,Cluster 4ER+ q-values,Cluster 4ER- p-values,Cluster 4ER- q-values,Cluster 5 p-values,Cluster 5 q-values,Cluster 6 p-values,Cluster 6 q-values,Cluster 7 p-values,Cluster 7 q-values,Cluster 8 p-values,Cluster 8 q-values,Cluster 9 p-values,Cluster 9 q-values
Mismatch Repair,6.241271689601083,5.648738807148851,17.34899177268518,17.037792465992442,0.7045405010357593,0.5418512744985838,29.350417278024786,28.11278977201939,2.8804310741434165,2.6949201186880174,3.0522962534949887,2.7624291294009957,4.998149835620617,4.490900798202863,0.8252613573910431,0.669221167199149,17.143862451552803,15.835653871261698,17.576867178928726,16.973548969969645,52.59492142637036,49.27811267431734
Bicarbonate transporters,0.7684961675341566,0.6563499272293533,45.128498176730226,44.49202493809177,0.7174958087409965,0.5514434965482834,10.239428568187389,9.611039638137077,12.350612281805889,11.775742607482064,21.47420494016103,19.64875788194228,5.793052680504501,5.2313561948465495,2.133135753905647,1.6931219780533255,1.9811696381467885,1.7998115854392802,21.852696600097037,21.111075692971678,49.2258529358473,46.38471654603001
Transport of connexons to the plasma membrane,1.8243473003165138,1.565204652173321,1.7253815441412754,1.6494906223809127,2.2332511623579747,1.5503807954033308,3.1341743622657368,2.8483698915762514,7.233807549561828,6.868821832824717,7.639042757433754,7.06495913668543,1.2751703999204254,1.1094249012211534,2.49817200520394,1.9772432704949927,13.020137301329807,12.059354406469907,21.866635860961903,21.1238583766366,49.22440404336337,46.38471654603001
Interleukin-6 family signaling,4.175020019103677,3.7197456779096925,2.1635715157798296,2.0738778463159324,2.855056778241126,1.9729273766636628,20.031476090047818,19.04912108914573,28.520360406922997,27.393883353040266,16.579375636354538,15.244838117341086,0.7965366517294985,0.699574285700837,1.9624133835654871,1.5578266880448803,0.6034013757387912,0.5532945905698569,5.929756719656799,5.648777792856605,41.39940543442497,38.684656673699905
NOSIP mediated eNOS trafficking,6.938333587676839,6.2804896782882516,6.012615860291792,5.84717695848623,2.0219532971231584,1.4343093347629063,3.681269625041076,3.354799727775655,12.971072072702507,12.369430678497942,22.38253576697683,20.387946309657725,0.4855553559514723,0.4477287207638933,7.346666748408053,5.683070510130374,2.5153396130532215,2.2961351898746103,21.79188244035742,21.053712898272472,38.59353307731944,35.97569432960244
Antigen processing: Ubiquitination & Proteasome degradation,3.0583299693879376,2.684025323502996,35.01845480362728,34.507146909732654,1.3047783035962797,0.946533434765225,16.191642246358885,15.364791973730698,20.781316202132423,19.88446319856916,7.419264309092332,6.8575678234343815,0.42084755037696253,0.39585148579105944,1.6874382922069848,1.3370387163363793,10.108286476182922,9.391360796203587,5.934182337814607,5.652002042386905,37.53973041293157,35.00107291126219
Metalloprotease DUBs,26.06108726594833,24.191436545237526,19.300255397288492,18.971112910161743,0.8949772661122486,0.6652397199657618,1.4786371515656507,1.3297362095141085,9.369233990499483,8.932667014341941,1.1052974814110488,0.9782596857049004,1.6728221208770444,1.4546570946410793,1.0270435932236124,0.82584535284489,12.52082139055954,11.605413179288062,0.831427422905703,0.7770697605831104,37.40275791022043,34.93104719818166
VEGFR2 mediated vascular permeability,4.042689235875798,3.596284389101803,4.547915551824665,4.406038393300085,2.3397944912820834,1.6179526682965102,1.6007071069380368,1.4422608469802642,22.145540825345005,21.197947930702128,2.640149685008985,2.3756500326032866,0.9443496667962464,0.8201083680797701,0.5161277801263662,0.4366921559564739,12.907431629159667,11.954823323933464,34.046783360171666,32.977947874480456,35.525130787305805,33.11141202224473
"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",2.9323513668771533,2.564932621469044,55.00416160777297,54.27952961311581,0.6718835973765953,0.5191301372170247,34.106295919820745,32.6587188874987,18.447364040562498,17.64775118645945,16.547022202997926,15.225848645542454,5.907173040036946,5.335439079565982,3.020361380221551,2.3607153409008754,1.783218137090164,1.6205289105529888,5.944671236655775,5.661688178556062,34.31025759356287,31.947691350949174
Regulation of insulin secretion,0.5606169708753949,0.48734232065443467,55.062973017417306,54.33722887239079,2.1542194571360636,1.5213578358345536,2.044478946805784,1.8396044710854431,1.4126228027365206,1.3082680117237742,6.672307679904165,6.154395704330106,0.6180310194156062,0.5564203127079914,2.3051773691743387,1.831601395219326,2.4656531457396462,2.25059146763299,3.1429189339175685,2.9590099518090294,22.613582671860467,20.296773919807443
Signaling by ERBB2 in Cancer,1.6742483284019316,1.4293215836550348,12.657322581679818,12.403471663711304,1.9431304261486013,1.3882495125161083,27.069150582880166,25.872915762032996,1.392784063602868,1.2897586108851502,9.710769975175507,9.004621386212365,13.041273062626109,12.066886991395291,1.5579279399097563,1.2396219098256394,0.5262300609283413,0.48708656042091175,1.3948573702025762,1.3007650892971372,21.75953059778885,19.48411453089405
tRNA processing in the mitochondrion,8.825378417154559,7.982785929177791,19.58438110731692,19.25254948167939,0.9566682613069926,0.7069303652993405,2.5144041089960147,2.2713137072891154,2.782916754197176,2.6006038579788275,11.514798159446272,10.66485702774736,1.7673338911085696,1.5404302504949454,0.7235167179869577,0.5882657397967218,10.866999674339272,10.09301634924543,2.260683752572916,2.119386813883342,20.847864867521025,18.610237361515626
Intrinsic Pathway for Apoptosis,1.0113511934404849,0.8591926573217594,94.37483650358647,93.07506109083222,1.1760750216111846,0.8603914124800003,1.0255636234775938,0.9212088324648474,2.9320763271066688,2.742372373418454,3.296841876619848,2.992448499329259,2.2560996926857793,1.9757551772494397,1.1406276921842968,0.9137240511130248,7.990861463548609,7.428401047206606,1.759739354757949,1.6451463785060583,20.318292653735423,18.11542725398924
Attachment of GPI anchor to uPAR,3.085295374123084,2.709770895372469,0.4854705571098166,0.46795113914447434,0.8753737150655944,0.6509346626416929,2.4773317223925053,2.2378908756236395,0.3609273720166491,0.3539616246796975,3.987272172730179,3.6435912742768553,0.4651898031211223,0.4330373338566158,0.3483356828221472,0.331252084744762,23.91335138782495,22.074885841511776,2.7194082104588353,2.5585424763776503,20.257642880865607,18.08696216449082
Defective HLCS causes multiple carboxylase deficiency,1.1172855237936616,0.9515970368360637,12.00350920814075,11.761516896732903,1.1531834526972498,0.8466746572840395,2.2349852225878246,2.0161275415289523,3.116177969430569,2.917964582601309,3.051144901992528,2.7616857577142624,2.7089981424158194,2.3807483472414126,3.4504162378395855,2.683835838841657,1.8696506322135125,1.6991324770533582,8.453220548469156,8.106758672646228,19.647279706788233,17.50656221379089
Inositol phosphate metabolism,9.078915432820361,8.21389311629163,0.5855328808098151,0.5612017224245771,3.5713870492465625,2.4277645656058144,2.6595314318876184,2.402664567896551,10.098229126835598,9.628375699802401,12.239316138236244,11.350642180212011,0.6345539909113392,0.5675255125701821,2.5471806426091286,2.0128445147223926,5.211816058837684,4.842930926616388,22.35270927924585,21.587350525165704,19.44058573901504,17.327896969617946
Signal attenuation,3.728026960110702,3.304979970115623,0.6401800210356634,0.6125141049149744,1.3241551541331777,0.96062273874746,21.34793605088243,20.314825411575427,10.298798313003761,9.817045662670855,1.3637672519763266,1.2116087158576012,14.111389665077736,13.073334513977542,0.9510527528874541,0.7661832960448565,1.643823569030259,1.4990336264017934,1.6859226324126066,1.576748247748546,18.426472665275153,16.340112834600404
NOTCH2 intracellular domain regulates transcription,1.2266094655861814,1.0430201702656536,20.592004379413197,20.24878525078743,2.3933419057287755,1.6517209986034145,5.038333750520924,4.619701481965579,23.347300202185597,22.36894794373718,6.3911242635538885,5.8912193508765265,0.5627601528233052,0.5091138657324997,4.750585746876919,3.7037964615413466,1.2223369114936111,1.1099194913598887,1.841321603583822,1.7209653932341888,17.371008606726345,15.309472359776631
Removal of the Flap Intermediate from the C-strand,11.064470813752282,10.084121795547789,22.899877373767,22.535376631376103,1.4081013126514645,1.0155718466603239,3.871004640396189,3.5351078261200106,2.5178660228963716,2.3502763834987292,13.024549309254528,12.076956414611649,7.281634378277187,6.614160484936307,0.4378184573004372,0.38255498358792084,4.587495123925694,4.250689743456419,9.154799845223476,8.790783536214546,17.047646952702756,15.009591801602562
Reuptake of GABA,0.43837220098965857,0.3983476962784539,34.009496305807154,33.512231489296,1.3544074546140514,0.9787270329012331,0.34762179587901293,0.33830908173920365,16.381235919848294,15.64649053070698,1.073185919214555,0.9522768195707666,1.4157421678214406,1.2279784756563765,4.07146157886531,3.1844051068146957,6.511178688601242,6.05828731350608,6.2192513869366675,5.926106553081439,16.975536422175733,14.959757665786693
Purine catabolism,3.3385460131766074,2.9444627191168453,3.1233449242545936,3.014170539590533,1.752065323464037,1.2481699280538705,1.1879083519138645,1.0678283224841292,1.0207942900766154,0.9455320186201417,2.5574258638284952,2.301314952129085,15.696240097615759,14.561274933507509,3.023757469995766,2.363046919955576,0.6491286900089873,0.5933447719483625,9.168635627203589,8.804134884812692,16.947629464682944,14.953040007363843
Degradation of GLI2 by the proteasome,6.443770068019761,5.828529301022666,8.120280158240888,7.9233868164458565,2.83344426137448,1.963793540663677,0.3778925491606581,0.36276474640121226,5.880416361471571,5.561430686374612,0.792996396591136,0.7127249060268077,1.8165441139973595,1.5843116398786683,1.1627454033085207,0.9295809228830614,6.424795364589954,5.980142885285225,2.13164809149465,1.9946782674648145,16.913615400994843,14.939229329764027
"Glutamate binding, activation of AMPA receptors and synaptic plasticity",1.9491710694157869,1.6772938635119248,1.1089343521864459,1.053626373331704,0.9928305334687005,0.732926632752151,2.9124646434913997,2.640978870225035,1.5074469316571062,1.3990795360426513,5.776766214656752,5.3232803227241865,1.5237695165248366,1.3257558510261345,4.291853827916237,3.3588604418436456,8.926150782890126,8.293289161588616,2.089700672952058,1.9550211349520346,16.35944464641453,14.404363730379101
