Term,IntClust 1,IntClust 2,IntClust 3,IntClust 4ER+,IntClust 4ER-,IntClust 5,IntClust 6,IntClust 7,IntClust 8,IntClust 9,IntClust 10
Assembly of collagen fibrils and other multimeric structures,1.0490361692706,5.0,0.9742745354008728,1.0917894919883873,1.4544130308705445,1.290680553748369,2.3891889389320675,2.155205854647908,1.3110143430834569,1.2476097412945666,0.28118048983401744
Collagen formation,1.0658452124126054,5.0,0.9212471055573979,1.1068573588848147,1.371029654110291,1.318861674672418,1.8647479816006776,2.489428088032722,2.139396123841687,1.042726275614172,0.5330423495632984
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression,5.0,5.0,0.7020466657855331,3.9216592348809636,1.8242604661765207,0.6810532866881133,0.9471187603814324,0.8822067917593658,0.15831275812430692,1.4262780756188902,0.22806716635780114
Extracellular matrix organization,1.0399565114186817,5.0,0.5699576131464205,1.1742277916337638,1.392991127135233,1.7931186978096951,1.4337230083611838,2.5604837640943825,1.983980333464473,1.1246769873838651,0.2974358442906069
Formation of the beta-catenin:TCF transactivating complex,5.0,5.0,0.3333103408864326,1.551011510895312,1.0567897414720715,0.3273952873023016,1.3688812703022597,1.4551986543199555,0.15902312847155695,0.4985895286450784,0.21152791031815033
Positive epigenetic regulation of rRNA expression,5.0,5.0,1.02928185287958,3.956533056763146,1.721156351172425,0.5915576698999625,0.8205787498651275,1.0433990180937298,0.1404047584655077,1.536986420387649,0.7349306517189478
RNA Polymerase I Promoter Opening,5.0,5.0,0.8911457402893646,4.670521109162619,2.2640507456374657,0.37886405259752215,1.6555971199795991,0.9396209511764351,0.13028433810040552,1.2147240769737357,0.028064859259698916
SIRT1 negatively regulates rRNA expression,5.0,5.0,1.0028456239247012,4.67554191053767,1.5719178250695696,0.7696617008449609,1.6421064134950132,1.7267964061378192,0.08272777433209863,1.0961800602442773,0.18528029562900244
HDACs deacetylate histones,5.0,4.04431619358966,0.48320309459007765,2.8581321045084875,1.986603636165495,0.13810353930195693,1.4306752912499698,0.3109776231991918,0.43653633921102336,0.3825974007604435,0.08094531319695365
DNA methylation,5.0,4.002923508431436,0.9324090062741998,3.4798348848649643,1.801491748855515,0.727508015022683,1.6706743999682538,1.497322052196435,0.09146482134572151,1.425356397169076,0.1705704208189074
Collagen biosynthesis and modifying enzymes,1.1390744319880008,3.9571660178707604,0.9441695591470887,1.0744926020874737,1.47176553991479,0.9720923838447312,1.1752801380065678,1.4687236834186346,1.570446593695511,1.0827086377758435,0.2505002431623914
Cell junction organization,1.138731827113195,3.8480215484456926,0.7699158900572343,0.8319603480616999,1.1918471478302803,0.7369353460257355,1.3245231559147517,0.8765625417248433,0.3237917102232219,1.1976092841544885,0.34258128451036
Diseases associated with glycosaminoglycan metabolism,1.185101101690542,3.815836865074291,0.5406596686887839,1.0673224831572132,1.4539352867767357,0.4335866783461352,0.22209230593279025,0.16404806696257904,0.2978301935657129,0.8839997049724987,0.08756378580160248
