,BRCA1,TP53,BRCA2,RB1,PIK3CA,GATA3
Cap-dependent Translation Initiation,5.0,0.025284091957227584,0.13773615487321256,0.2672680268941563,0.09382438596303785,0.26929485789829444
Eukaryotic Translation Elongation,5.0,0.015568723490496532,0.26015701115425754,0.2685477369489961,-0.0,0.6197973619309183
Eukaryotic Translation Initiation,5.0,0.028291103155196746,0.19343432770502697,0.29019143300974387,0.07663300704748384,0.23924323751966795
Eukaryotic Translation Termination,5.0,0.03695861445595039,0.30146859951828636,0.2451502055371769,0.0807157413810379,0.6315790344563972
Formation of a pool of free 40S subunits,5.0,0.0804356632940549,0.24282365867533107,0.21445310851899244,0.02245240665728376,0.3657119246066895
GTP hydrolysis and joining of the 60S ribosomal subunit,5.0,0.027894029652769693,0.22795334517335405,0.2633503326028574,0.03565465539241833,0.24632963954105366
L13a-mediated translational silencing of Ceruloplasmin expression,5.0,0.03799640525248839,0.1390085333621436,0.21120270672114616,0.002206388762761003,0.2995949537019968
Major pathway of rRNA processing in the nucleolus and cytosol,5.0,0.08197213025532989,0.1491959735294994,0.1864076448778456,0.0989947697946803,0.6703017484463235
Mitochondrial translation elongation,5.0,-0.0,-0.0,0.1783121836122754,-0.0,0.9272441147180925
Mitochondrial translation termination,5.0,-0.0,0.006322610602490555,0.1986862162962693,-0.0,0.959485641857671
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),5.0,0.015361985210714269,0.25623549006306084,0.29492082846080064,0.07533754255679431,0.4358634896744143
Peptide chain elongation,5.0,0.01507516564232566,0.5484651666329399,0.3438787508984647,-0.0,0.6805876763900314
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",5.0,0.07907604625265142,-0.0,0.1803411506216229,-0.0,2.574812099068741
Response of EIF2AK4 (GCN2) to amino acid deficiency,5.0,0.016813225846905543,0.12503115424791486,0.3028328016067034,-0.0,0.6174011947809813
SRP-dependent cotranslational protein targeting to membrane,5.0,0.025916350971112195,0.1916720416539457,0.1507639881937153,-0.0,0.7335461467190605
Selenoamino acid metabolism,5.0,0.014977338589785732,0.19211635761833148,0.14089590937769134,-0.0,0.4885364009529322
Selenocysteine synthesis,5.0,0.016295634755127342,0.49213603040558507,0.2965229607485241,0.015316556731776215,0.5151871282863159
Translation,5.0,0.07410154803778811,0.005158877436525729,0.009800918376344142,0.022274669732566487,0.7238113772187971
Viral mRNA Translation,5.0,0.016177637008039505,0.3996944796776181,0.29466491034003717,0.04081039362258952,0.638841034494695
rRNA processing,5.0,0.08229396193731038,0.22707767782985816,0.0972558452776571,0.09278991869175503,0.6106591413369409
rRNA processing in the nucleus and cytosol,5.0,0.08016129306425274,0.17813622987671793,0.11060257849961261,0.0807239228201782,0.72325400951238
Mitochondrial translation,4.398861765995124,-0.0,-0.0,0.18893696495224296,-0.0,1.0958850434858158
Respiratory electron transport,4.380378360301111,0.08025135136890721,-0.0,0.17757983275724326,-0.0,2.051933353788403
The citric acid (TCA) cycle and respiratory electron transport,4.361073205105725,0.4494381015929555,-0.0,0.16869882001149014,0.04372079913427169,2.875842094732722
Influenza Viral RNA Transcription and Replication,4.115560537291574,0.07386208910401329,0.22449782870306095,0.24656871389754081,-0.0,0.6050446451042556
Cristae formation,3.847954297114543,0.00913714881001613,0.12118418767088827,0.32199228007740266,-0.0,1.6286874798515953
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",3.8315638809263737,0.015847939097558147,0.03481861437384543,0.18473016304676473,-0.0,0.04187527536004817
