,LumA log adjusted q-value,LumB log adjusted q-value,Her2 log adjusted q-value,Normal log adjusted q-value,Basal log adjusted q-value,claudin-low log adjusted q-value,NC log adjusted q-value
RHO GTPases Activate Formins,3.9635904927286383,0.9954651226027226,1.1635913003496112,3.021927236213215,5.4227213253137165,0.3502584281957964,0.3700204790529201
Factors involved in megakaryocyte development and platelet production,3.9635904927286383,1.0230929066990755,1.9551680888336165,2.881714542504609,4.784309342688745,2.3802326014631405,0.4779338922469034
RHO GTPase Effectors,3.9635904927286383,1.13393748730551,0.8032944936150581,3.0959101093384787,4.750884417768984,0.37836480665096445,0.3771440872197063
EML4 and NUDC in mitotic spindle formation,3.9635904927286383,1.2876022020626,1.1613603385039102,3.165939053129186,4.9319457983443495,1.46186484875949,0.3638217144164597
Kinesins,3.9635904927286383,1.4247054828328074,1.4619545225580275,2.85532299459863,4.38602937710709,2.6278704077981954,0.8759567355019171
Resolution of Sister Chromatid Cohesion,3.9635904927286383,1.5715994700321365,1.0602767903115284,3.2606856741132546,4.7247084498687215,2.024056860248019,0.35223120673498
Mitotic Spindle Checkpoint,3.9635904927286383,1.5642138230806935,1.1444589571021906,3.3105599014154845,4.714898444018186,2.512217622224205,0.38152561777358374
Amplification of signal from the kinetochores,3.9635904927286383,1.4426566730786436,1.1444589571021906,3.2606856741132546,4.79250846731345,2.1529553205560017,0.3700204790529201
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,3.9635904927286383,1.4426566730786436,1.1444589571021906,3.2606856741132546,4.79250846731345,2.149950544179689,0.3700204790529201
Cyclin A/B1/B2 associated events during G2/M transition,3.9635904927286383,1.625041882317914,1.3665419448269902,2.8664547160007343,4.3253966152696135,2.050152144859009,0.32247622096221323
COPI-dependent Golgi-to-ER retrograde traffic,3.9635904927286383,1.0230929066990755,1.8760454176997348,2.765141295468709,4.767033408037871,2.535242572088475,0.835661366585595
"Cell Cycle, Mitotic",3.9635904927286383,1.118637372708184,1.1444589571021906,3.1480572909567752,5.055646992010103,1.5608081370328186,0.34996332729791757
Mitotic Metaphase and Anaphase,3.9635904927286383,1.5134688715929976,0.6720298163267563,3.3634575293498945,3.865442532850658,0.4427958723613898,0.3132075258668126
M Phase,3.9635904927286383,1.3039497372625592,0.9145679022788454,3.24130920298171,4.464531910745844,0.3268535795034144,0.3076442190334023
Signaling by Rho GTPases,3.9635904927286383,1.2070420459358313,0.4749916668147012,2.9651705035653295,3.9511099178801516,1.1715487629955794,0.5049426174166313
Separation of Sister Chromatids,3.9635904927286383,1.4635686398074523,0.6574839261149258,3.3642104736089986,3.949160930127101,0.4266485171220775,0.3105981584262309
Phosphorylation of Emi1,3.9635904927286383,1.608219252205769,1.5012512679588963,3.007177965274533,3.566571293020461,2.92290547094163,1.2653255275389685
Cell Cycle,3.9635904927286383,1.2202877047915799,1.0320022815300234,3.209665877946548,5.055646992010103,1.9537465785851684,0.32550486812191065
Mitotic Anaphase,3.9635904927286383,1.5193921410162001,0.6561271801304976,3.3642104736089986,3.834936011846405,0.42455350024369354,0.32438060952609443
Cell Cycle Checkpoints,3.9514617978291047,1.5161237034738917,0.8067419589577466,3.5031885088927575,4.636801068416388,0.8511877086604862,0.31411671352684895
Metabolism of nucleotides,3.9314427667426597,0.6110274058194686,0.45486392060093767,1.1712589283018742,5.05918998068464,1.2730361679180267,0.47433732966934006
Mitotic Prometaphase,3.9314427667426597,0.9056299952939398,1.430147128891326,2.8365171526013344,5.077727634255047,2.3442537506904815,0.5536163054474208
alpha-linolenic acid (ALA) metabolism,3.9159499765472736,0.3586028553859912,3.9057777715988835,0.6230698932132173,4.021378948763628,0.32713087914635997,0.6335700888084683
