,cluster 4ER+ log adjusted q-value,cluster 9 log adjusted q-value,cluster 7 log adjusted q-value,cluster 3 log adjusted q-value,cluster 8 log adjusted q-value,cluster 10 log adjusted q-value,cluster 1 log adjusted q-value,cluster 2 log adjusted q-value,cluster 5 log adjusted q-value,cluster 4ER- log adjusted q-value,cluster 6 log adjusted q-value;
RMTs methylate histone arginines,1.0131954096926223,0.3351332739777284,0.3384666561332321,0.42061976167530685,0.41296485373344116,0.5214101064826875,11.007225929798535,0.4558627681021531,0.32815084485870327,0.4637408625584409,0.3058816822504121;
HDMs demethylate histones,0.6875281949141528,0.5324309296314834,0.3617239240045207,0.3468013020091587,0.4146172972667351,0.3748291066993173,10.077248761017568,0.4628527562793292,0.3406966434873319,0.31100904921848943,0.3058816822504121;
Senescence-Associated Secretory Phenotype (SASP),1.122874798132619,0.4081569957992947,0.40290303984431897,0.3503872330012344,0.3722027189435112,0.5192809610235131,10.077248761017568,0.32753430183444365,0.3779014763245248,0.30218917574215476,0.3058816822504121;
Cellular Senescence,1.5345670566679266,0.36231980452174045,0.4817082643823941,0.3628766921649118,0.37913461146889044,0.31776991236841967,10.077248761017568,0.36434155364310694,0.30320189929542807,0.32478513403513554,0.3058816822504121;
Nucleosome assembly,1.8042258469991819,0.5103124098378026,0.6765362912914509,1.1320327613955314,0.5175224287576984,0.4306777496994055,9.987477695750279,0.5745029716188665,0.539731828546328,0.5414036179247865,0.3058816822504121;
Deposition of new CENPA-containing nucleosomes at the centromere,1.8042258469991819,0.5088725168895247,0.6760373314996082,1.0238204670937987,0.5366385219176562,0.4306777496994055,9.987477695750279,0.5745029716188665,0.539731828546328,0.5414036179247865,0.3058816822504121;
Chromosome Maintenance,4.380873455322685,0.9398134822000689,0.3112446042751675,2.102950751985333,0.33096675554030125,0.8697868830266144,9.91064646021675,0.5795150420091576,0.32397177416554596,0.5908248562853247,0.3058816822504121;
Estrogen-dependent gene expression,0.8121277182997256,0.6689711571362104,0.379389836966941,0.3213115419718923,0.3535867649444133,0.49243425586061645,9.853027648095987,0.35971925328583354,0.33154605935666304,0.4404591951700404,0.3058816822504121;
Meiosis,0.781284151231661,0.4583996963357266,1.3087269907221424,0.49786442742870163,0.4148892332525716,0.3861455410117313,9.773526368166493,0.30481780719897456,0.31197598096833934,0.3206530510344374,0.3058816822504121;
Oxidative Stress Induced Senescence,1.0613856725718245,0.36189234081749233,0.36706903502488153,0.3503872330012344,0.35830085846035925,0.5487753153582212,9.773526368166493,0.31056998837000566,0.3227320418931485,0.3146249156431087,0.3058816822504121;
Reproduction,0.781935049956095,0.5190362919886475,0.9964277710234618,0.6432246813744723,0.37913461146889044,0.39579425561555787,9.733080854399784,0.31234950701946074,0.30380343648068064,0.3048872385952527,0.3058816822504121;
HCMV Late Events,0.7576573359533003,0.5524457627902223,1.070454754960547,0.380333723709027,0.4146172972667351,0.37643217605883994,9.733080854399784,0.3637629906536139,1.0949631728026215,0.4502976898301002,0.3058816822504121;
Telomere Maintenance,1.11620765558179,0.3544283016474602,0.7655756230481994,0.5375314615485541,0.3394918967507969,0.3542943274052089,9.733080854399784,0.35971925328583354,0.37714526130064224,0.49557946442898926,0.3058816822504121;
Meiotic recombination,0.7921344959206581,0.5611493586797773,0.44856352610286954,1.132441599487645,0.32268003167388554,0.3276651348471423,9.733080854399784,0.34311923132904953,0.3170116103066843,0.38240110994955606,0.3058816822504121;
RHO GTPases activate PKNs,0.9962224759148058,0.3508263610994628,0.6066943934222234,0.708674131521239,0.40888718273980784,0.33395231861614705,9.733080854399784,0.36371079402101386,0.31837078236812505,0.3013223548358037,0.3058816822504121;
Transcriptional regulation by small RNAs,0.9739411088375305,0.4408812240548287,0.9420434623734547,0.3163170636750133,0.3226140943665297,0.36521777569155567,9.733080854399784,0.3317123913477366,0.33154605935666304,0.39091888813155207,0.3058816822504121;
HCMV Early Events,0.8014644050563535,0.6441853723194954,0.5167649349726674,0.3036485086668611,0.4393593943366305,0.5161708497611757,9.6772983143029,0.3613559184988038,0.5140766613827893,0.5231412627684151,0.3058816822504121;
Activation of HOX genes during differentiation,1.0618356127985409,0.421441415526736,0.48721442257665054,0.34114908780953945,0.35285346570080445,0.3655112529379501,9.6772983143029,0.3317123913477366,0.33154605935666304,0.30738279210111424,0.3058816822504121;
Activation of anterior HOX genes in hindbrain development during early embryogenesis,1.0630414842988893,0.421441415526736,0.4936950005019528,0.34114908780953945,0.34981833229815285,0.36504209043534924,9.6772983143029,0.3317123913477366,0.33154605935666304,0.3084605076514881,0.3058816822504121;
Condensation of Prophase Chromosomes,0.9895583915825663,0.45199084089717,0.7663667792126356,0.3503872330012344,0.31755520336620824,0.38644297502167896,9.610686920379056,0.37731415007330193,0.3484005984762255,0.4121812366547547,0.3058816822504121;
Transcriptional regulation of granulopoiesis,0.8072884376667768,0.519430721527618,0.38028241523990847,1.0927459224895548,0.3439134979171695,0.3636895842323911,9.601519797321165,0.4147150908432823,0.30320189929542807,0.4121812366547547,0.3058816822504121;
Metalloprotease DUBs,1.2309582212743344,0.6580511292336844,0.8657888542379367,0.7788886971023855,0.3073643548426107,0.32582525152199426,9.550217576868627,0.5918767786718077,0.4051903053373253,0.43873817992078307,0.3024439670208732;
Base Excision Repair,0.862000890960607,0.522282795009411,0.35583470878974294,0.330334113068339,0.7232182629085795,0.321223791693833,9.531563624666463,0.3239555711055185,0.33154605935666304,0.4121812366547547,0.3058816822504121;
Gene Silencing by RNA,0.9022054815080813,0.5141793256264056,0.386334459306641,0.41152679958989247,0.3726312003584851,0.357285094513129,9.418640321993667,0.3276485336328003,0.30506998063627244,0.3062654297221931,0.3058816822504121;
DNA methylation,0.761799590907872,0.47698398560067923,0.4018400955900535,0.4697453280545078,0.5486587637805331,0.35399026492638497,9.381180067353954,0.46644770628979537,0.3156659602261388,0.4678954462589095,0.3024439670208732;
