,Cluster 1 p-values,Cluster 1 q-values,Cluster 10 p-values,Cluster 10 q-values,Cluster 2 p-values,Cluster 2 q-values,Cluster 3 p-values,Cluster 3 q-values,Cluster 4ER+ p-values,Cluster 4ER+ q-values,Cluster 4ER- p-values,Cluster 4ER- q-values,Cluster 5 p-values,Cluster 5 q-values,Cluster 6 p-values,Cluster 6 q-values,Cluster 7 p-values,Cluster 7 q-values,Cluster 8 p-values,Cluster 8 q-values,Cluster 9 p-values,Cluster 9 q-values
Interleukin-6 signaling,3.2851087327230717,2.896183391000757,7.090792262615914,6.909434209908406,1.6857850371071608,1.2078253757913942,4.171839955227151,3.8131170516952135,10.622985396130595,10.125720579619442,4.914985723171244,4.5172550634942965,2.845951797772527,2.505034182121298,2.971081162737016,2.3207903912388748,1.132267406330734,1.0271130548308944,7.408501383867251,7.088204303968407,4.72052225381884,4.1448651006176025
Apoptosis,4.498540754109198,4.022465236667983,59.01131488725515,58.23733156216131,0.3706359531117247,0.3364493139084436,6.3747481503556465,5.880107477670642,0.551906349406447,0.5226754064321303,2.2582627493728644,2.0263875710581307,3.8453427386419285,3.4178356890952166,0.38653137432355,0.353927689972322,11.96157583330614,11.101133106095565,24.478288325793578,23.66253883595831,0.48816170895109445,0.4338040466285018
Hemostasis,2.7812451186920244,2.4258574607054504,30.312820391589426,29.8622989786206,2.357831666236738,1.6264836436922163,0.8369168817686761,0.7591572228558454,21.128807318303192,20.215119087425986,19.23414039797368,17.641607515521446,4.696435757168609,4.2050531228834105,5.017376354554278,3.9100826170438863,12.755542077583714,11.815310282587204,46.74207733234478,45.106509817667344,3.3880504176107036,2.9433979383059743
Intrinsic Pathway for Apoptosis,1.011233845117809,0.8590753089990836,88.1706300230952,86.99994930672041,0.9100466098911661,0.6767404776684114,5.347792508667341,4.90604502000602,6.451754144741569,6.112668997977395,0.6161517569878865,0.559414392919939,6.941376528083281,6.293884656596371,0.39210716930669187,0.35678630519375093,20.312605269810383,18.751671373429854,9.487835081816637,9.116494914895435,0.38317586175783047,0.3568469230354813
PKB-mediated events,2.579178389676055,2.2500359025493073,4.394059806703464,4.258808828513229,0.47916379457820935,0.4019047633656603,1.3354320846324155,1.1996089133661236,8.37292143770825,7.969926538038944,5.430520950826586,5.005806801464044,1.5915531491936654,1.381614941619297,1.307870834108526,1.0485549892499222,5.709229050966632,5.306763456033051,9.151857499310369,8.788808438990577,1.2091774433838787,1.026545798907623
PI3K Cascade,0.9579201604063305,0.8122525593816904,0.4449766461307974,0.4293594439869165,2.2856409562083106,1.579511250764673,4.363149415157836,3.9863588181124774,7.14227812064539,6.780675906134309,5.570351797573185,5.1297608861118045,27.899696730564646,25.90510727324554,4.568494844533778,3.5759685477784493,1.09168853829993,0.9902529390303298,3.866813362047905,3.653466232089588,5.023131360138591,4.414743508220282
MAPK3 (ERK1) activation,1.4320495061667597,1.2224507237616058,26.773305162174108,26.367120815010285,0.6367473123522478,0.5023532127337796,0.44684558310522426,0.42273583409613175,4.480442409992953,4.223953686628216,5.3905310343477835,4.9680383449792,1.4574900682329104,1.2655114655937474,0.9577591772218051,0.7719271167744001,10.219118488250025,9.49559580321746,15.275902621451886,14.755668202609293,1.8745676599682222,1.596379069864903
Translesion synthesis by REV1,4.964875280939704,4.450840254178657,61.31313836328552,60.51220345494418,2.2407291656879704,1.5523093436852595,9.543941292064938,8.937249905123732,17.427209340117905,16.658175293452707,5.479041330730984,5.047027942626943,0.6126107519127005,0.5515567865027226,2.0402958102790993,1.6190104140825563,1.932975584724888,1.7585562987907017,3.3501927013460433,3.1591904074325483,1.0366751245601797,0.8812343747421325
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,15.281921563671077,14.068916532574011,79.52244972514288,78.50667096875384,2.603562092685219,1.8026271843438761,24.192525352883113,23.087904205234047,36.94939655621638,35.58683031360268,4.954889243212122,4.55348032637137,9.012860514020016,8.23512786075977,2.965758446057997,2.3182665745710866,7.926125995690907,7.369739727061098,7.127437751176136,6.813658469676732,6.548455313673557,5.803355393429222
Recognition of DNA damage by PCNA-containing replication complex,11.334899743625362,10.331958211941494,78.17320571832062,77.17861626100151,2.9672540291123126,2.0535657982351085,17.40987778485419,16.52603832367557,38.34386909079341,36.930150325732335,5.843040738196245,5.383564482574491,4.4925999363472595,4.008938296207022,2.169216173921713,1.7183496989024751,5.396717933376873,5.012890003247049,4.061181741168962,3.8421349776109377,4.92514705211487,4.327669587045574
Translesion Synthesis by POLH,7.174748378236061,6.491408081762626,55.977791463537066,55.23847451132127,2.2304184735604693,1.5500976178608123,10.187311215803238,9.562467566517576,27.8938284207319,26.77841679299933,8.681549518835691,8.035913609497753,2.5546153263330855,2.241697740516974,2.246491326687114,1.7865376612962796,5.542488224742966,5.148923491320221,0.7940596136964754,0.742776196862527,2.0768280112119184,1.76943502057774
Recognition and association of DNA glycosylase with site containing an affected pyrimidine,25.673112876237838,23.989772579764402,1.8122649438657383,1.732748529380175,3.261742391378748,2.2545638067516247,0.6945099088189588,0.6346593093268684,8.14702480931914,7.7521292106991835,6.435864409531804,5.932636646046974,0.5572439354855675,0.5049473151780883,2.4872711417459272,1.9711794679752899,1.6820932850168073,1.5343708904508078,3.005636789355919,2.8296502174122073,1.5379616465376256,1.3137254464617714
