,ER Status qvalues,PR Status qvalues,HER2 Status qvalues,Triple Neg qvalues,ER-/PR-/HER2+ qvalues
RUNX1 regulates estrogen receptor mediated transcription,221.15581057792966,84.30819019604006,28.40201286248307,143.58454168098052,47.96500709642315
Activation of AMPK downstream of NMDARs,195.16055507527273,147.0069329395993,34.695045550090555,140.7555840924667,33.30264005757443
Transcriptional Regulation by MECP2,187.86315431192833,87.38457415005973,30.44311274894596,134.87487826784633,33.619615536354104
SLC-mediated transmembrane transport,185.87995960036417,80.25201443907544,19.738373786942468,145.6570935789032,23.547715339472408
DAG and IP3 signaling,185.87995960036417,99.79329111789436,25.32554459227405,141.7573210946757,25.860778161568028
PLC beta mediated events,184.35570199115168,99.08658624010535,19.032214059909347,143.41076730149496,23.696661336096223
G-protein mediated events,183.94699946337388,98.5085998928529,18.186083637857877,143.58454168098052,23.062480998545233
Caspase-mediated cleavage of cytoskeletal proteins,180.3770891317196,126.05278121883224,35.52182224661499,127.27998498315583,33.14733614931761
TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,179.48926973961704,62.27944298091899,17.073204863392327,129.71276945465453,29.77200115991523
Cyclin D associated events in G1,173.0628190588355,101.18896388646925,24.016693925596574,129.86213832061327,26.944196032628025
G1 Phase,173.0628190588355,101.18896388646925,24.016693925596574,129.86213832061327,26.944196032628025
Estrogen-dependent nuclear events downstream of ESR-membrane signaling,170.0643721663573,74.47578833544351,15.823742180277927,129.5883745651088,22.566870724913127
Ion channel transport,169.81980346697853,69.0833095479931,13.097169450522031,135.81051518987704,20.614267735665475
Reversible hydration of carbon dioxide,169.80439998024258,74.59057400400145,14.147331114149292,126.60359359701668,26.381487484735302
Amino acid transport across the plasma membrane,169.80439998024258,75.65954902890273,19.54262278857237,137.3167242603276,20.385488660826795
Transport of inorganic cations/anions and amino acids/oligopeptides,168.20130197515135,74.75752026144288,15.952068274993282,135.8002021805609,20.18748187146567
PKA-mediated phosphorylation of CREB,167.2533720103421,93.15077721387833,13.451157843094464,137.36225398836055,18.156010657238465
Serine biosynthesis,167.1452105319361,82.48628572980951,21.865110266779013,114.38995141979571,33.388221627743164
Ca-dependent events,166.60107533730036,84.23281488570417,11.275733527310901,137.20627418726443,17.208603295595196
CaM pathway,166.45262542876387,83.59325652784439,11.034863568154783,137.05526165807896,17.21217325755882
