Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
APC/C:Cdc20 mediated degradation of mitotic proteins Homo sapiens R-HSA-176409,-0.7052313239715886,-3.793840768663417,0.0,0.0,74,74,BUB3;PSMD5;PSME1;PSMD9;PSMC5;ANAPC16;PSMA2;ANAPC4;PSMD3;CDC23;ANAPC10;PSMD6;UBB;ANAPC1;ANAPC2;PSMD12;UBE2D1;ANAPC15;PSMC6;PSMF1;PSMD8;PSMA8;PSME3;PSMB11;CDC27;PSMB3;CDC16;UBC;ANAPC7;PSMD13;PSMD4;CDC26;ANAPC5;UBE2E1;PSMA1;UBA52;PSMD10;PSMC4;PSMA6;RPS27A;PSME2;PSMA7;PSMB8;PSMC1;PSMA3;PSMD11;PSMB10;PSMC3;PSMD1;PSMB6;PSMA4;PSMB1;PSMB5;PSMB7;PSMD7;PSMA5;CCNB1;PSMB9;ANAPC11;PSMD14;CCNA1;BUB1B;PSMD2;NEK2;MAD2L1;PSMC2;PSMB4;CDK1;PSME4;PSMB2;PTTG1;UBE2C;CDC20;CCNA2,UBE2E1;PSMA1;UBA52;PSMD10;PSMC4;PSMA6;RPS27A;PSME2;PSMA7;PSMB8;PSMC1;PSMA3;PSMD11;PSMB10;PSMC3;PSMD1;PSMB6;PSMA4;PSMB1;PSMB5;PSMB7;PSMD7;PSMA5;CCNB1;PSMB9;ANAPC11;PSMD14;CCNA1;BUB1B;PSMD2;NEK2;MAD2L1;PSMC2;PSMB4;CDK1;PSME4;PSMB2;PTTG1;UBE2C;CDC20;CCNA2
Activation of ATR in response to replication stress Homo sapiens R-HSA-176187,-0.8580263242147644,-4.009056925864361,0.0,0.0,37,37,ORC4;RAD9B;RFC5;RAD1;ATRIP;ATR;RPA3;RAD17;CLSPN;HUS1;RAD9A;ORC6;DBF4;ORC2;RPA2;CDC6;CDK2;ORC5;ORC3;RPA1;MCM8;CDC25C;RFC2;RFC3;MCM7;CDC7;MCM4;MCM3;MCM5;MCM2;ORC1;CDC25A;MCM6;MCM10;RFC4;CDC45;CHEK1,CDK2;ORC5;ORC3;RPA1;MCM8;CDC25C;RFC2;RFC3;MCM7;CDC7;MCM4;MCM3;MCM5;MCM2;ORC1;CDC25A;MCM6;MCM10;RFC4;CDC45;CHEK1
Activation of the pre-replicative complex Homo sapiens R-HSA-68962,-0.8548208798185075,-3.9609114299060546,0.0,0.0,30,30,ORC4;RPA3;POLA1;ORC6;DBF4;ORC2;RPA2;CDC6;POLE;PRIM1;CDK2;ORC5;RPA4;ORC3;RPA1;POLE2;MCM8;POLA2;PRIM2;MCM7;CDC7;MCM4;MCM3;MCM5;MCM2;ORC1;CDT1;MCM6;MCM10;CDC45,POLE;PRIM1;CDK2;ORC5;RPA4;ORC3;RPA1;POLE2;MCM8;POLA2;PRIM2;MCM7;CDC7;MCM4;MCM3;MCM5;MCM2;ORC1;CDT1;MCM6;MCM10;CDC45
Antigen processing-Cross presentation Homo sapiens R-HSA-1236975,-0.7149172961094084,-3.831216551784231,0.0,0.0,82,81,ITGB5;PSMD5;PSME1;PSMD9;PSMC5;PSMA2;PSMD3;CD36;MRC2;PDIA3;PSMD6;UBB;PSMD12;ITGAV;PSMC6;MRC1;PSMF1;PSMD8;LNPEP;PSMA8;PSME3;PSMB11;PSMB3;NCF1;UBC;PSMD13;PSMD4;HLA-C;CD207;PSMA1;UBA52;PSMD10;PSMC4;PSMA6;CTSL;RPS27A;PSME2;PSMA7;PSMB8;NCF2;PSMC1;PSMA3;SEC61B;TAPBP;B2M;NCF4;SEC61G;PSMD11;PSMB10;PSMC3;HLA-H;PSMD1;PSMB6;CYBB;SEC61A1;FCGR1A;HLA-E;PSMA4;SEC61A2;CTSS;TAP1;PSMB1;PSMB5;PSMB7;HLA-G;PSMD7;PSMA5;HLA-B;HLA-A;PSMB9;CYBA;CALR;TAP2;PSMD14;HLA-F;PSMD2;PSMC2;PSMB4;PSME4;CTSV;PSMB2,CD207;PSMA1;UBA52;PSMD10;PSMC4;PSMA6;CTSL;RPS27A;PSME2;PSMA7;PSMB8;NCF2;PSMC1;PSMA3;SEC61B;TAPBP;B2M;NCF4;SEC61G;PSMD11;PSMB10;PSMC3;HLA-H;PSMD1;PSMB6;CYBB;SEC61A1;FCGR1A;HLA-E;PSMA4;SEC61A2;CTSS;TAP1;PSMB1;PSMB5;PSMB7;HLA-G;PSMD7;PSMA5;HLA-B;HLA-A;PSMB9;CYBA;CALR;TAP2;PSMD14;HLA-F;PSMD2;PSMC2;PSMB4;PSME4;CTSV;PSMB2
Assembly of the pre-replicative complex Homo sapiens R-HSA-68867,-0.7512476444300922,-4.097281006666761,0.0,0.0,67,67,PSMD5;PSME1;PSMD9;PSMC5;PSMA2;ORC4;PSMD3;PSMD6;UBB;PSMD12;PSMC6;PSMF1;PSMD8;PSMA8;PSME3;PSMB11;PSMB3;ORC6;UBC;E2F1;PSMD13;PSMD4;ORC2;PSMA1;UBA52;PSMD10;CDC6;PSMC4;PSMA6;RPS27A;PSME2;PSMA7;PSMB8;PSMC1;PSMA3;PSMD11;PSMB10;PSMC3;ORC5;PSMD1;PSMB6;PSMA4;ORC3;PSMB1;PSMB5;PSMB7;PSMD7;PSMA5;PSMB9;MCM8;GMNN;PSMD14;PSMD2;MCM7;PSMC2;MCM4;E2F2;MCM3;PSMB4;MCM5;MCM2;PSME4;ORC1;CDT1;PSMB2;MCM6;E2F3,ORC2;PSMA1;UBA52;PSMD10;CDC6;PSMC4;PSMA6;RPS27A;PSME2;PSMA7;PSMB8;PSMC1;PSMA3;PSMD11;PSMB10;PSMC3;ORC5;PSMD1;PSMB6;PSMA4;ORC3;PSMB1;PSMB5;PSMB7;PSMD7;PSMA5;PSMB9;MCM8;GMNN;PSMD14;PSMD2;MCM7;PSMC2;MCM4;E2F2;MCM3;PSMB4;MCM5;MCM2;PSME4;ORC1;CDT1;PSMB2;MCM6;E2F3
Cdc20:Phospho-APC/C mediated degradation of Cyclin A Homo sapiens R-HSA-174184,-0.6907070313321275,-3.7812827379550398,0.0,0.0,71,71,BUB3;PSMD5;PSME1;PSMD9;PSMC5;ANAPC16;PSMA2;ANAPC4;PSMD3;CDC23;ANAPC10;PSMD6;UBB;ANAPC1;ANAPC2;PSMD12;UBE2D1;ANAPC15;PSMC6;PSMF1;PSMD8;PSMA8;PSME3;PSMB11;CDC27;PSMB3;CDC16;UBC;ANAPC7;PSMD13;PSMD4;CDC26;ANAPC5;UBE2E1;PSMA1;UBA52;PSMD10;PSMC4;PSMA6;RPS27A;PSME2;PSMA7;PSMB8;PSMC1;PSMA3;PSMD11;PSMB10;PSMC3;PSMD1;PSMB6;PSMA4;PSMB1;PSMB5;PSMB7;PSMD7;PSMA5;PSMB9;ANAPC11;PSMD14;CCNA1;BUB1B;PSMD2;MAD2L1;PSMC2;PSMB4;CDK1;PSME4;PSMB2;UBE2C;CDC20;CCNA2,UBE2E1;PSMA1;UBA52;PSMD10;PSMC4;PSMA6;RPS27A;PSME2;PSMA7;PSMB8;PSMC1;PSMA3;PSMD11;PSMB10;PSMC3;PSMD1;PSMB6;PSMA4;PSMB1;PSMB5;PSMB7;PSMD7;PSMA5;PSMB9;ANAPC11;PSMD14;CCNA1;BUB1B;PSMD2;MAD2L1;PSMC2;PSMB4;CDK1;PSME4;PSMB2;UBE2C;CDC20;CCNA2
Cell Cycle Checkpoints Homo sapiens R-HSA-69620,-0.6959746049633851,-3.8858172684708276,0.0,0.0,182,161,ZNF385A;RAD50;TP53BP1;BUB3;PSMD5;PSME1;CDKN1A;PSMD9;PSMC5;YWHAB;UIMC1;ANAPC16;PSMA2;MDM4;PIAS4;KAT5;ANAPC4;UBE2N;ORC4;PSMD3;CDKN1B;MDM2;RNF8;RAD9B;CDC23;RFC5;HERC2;ANAPC10;PSMD6;UBB;ANAPC1;ANAPC2;PSMD12;RAD1;ATRIP;UBE2D1;ANAPC15;WRN;PSMC6;RBBP8;PSMF1;ATR;RPA3;RAD17;HIST1H2BO;PSMD8;CLSPN;CCNE2;HUS1;PSMA8;PSME3;NBN;BRCA1;PSMB11;CDC27;RAD9A;PSMB3;CDC16;ORC6;UBC;TOP3A;ANAPC7;RNF168;BRIP1;UBE2V2;PSMD13;PSMD4;SUMO1;ATM;CDC26;TP53;MAD1L1;ANAPC5;DBF4;ORC2;UBE2E1;PSMA1;HIST1H2BK;UBA52;PSMD10;RPA2;WEE1;CDC6;PSMC4;PSMA6;BABAM1;RPS27A;PSME2;PSMA7;PSMB8;PSMC1;PSMA3;BRCC3;RMI1;PSMD11;YWHAE;PSMB10;CDK2;PSMC3;PCBP4;ORC5;PSMD1;PSMB6;BARD1;YWHAG;PSMA4;ORC3;RPA1;SFN;YWHAH;PSMB1;PSMB5;PSMB7;PSMD7;YWHAZ;PSMA5;CCNB1;PSMB9;MCM8;ANAPC11;MDC1;DNA2;CDC25C;RMI2;PKMYT1;PSMD14;CCNA1;RHNO1;TOPBP1;BUB1B;RFC2;PSMD2;RFC3;YWHAQ;MCM7;MAD2L1;PSMC2;CDC7;MCM4;MCM3;PSMB4;CHEK2;MCM5;MCM2;CDK1;PSME4;ORC1;CDC25A;BLM;PSMB2;MCM6;UBE2C;MCM10;RFC4;CDC45;CCNE1;CCNB2;CDC20;CCNA2;EXO1;CHEK1,BRCC3;RMI1;PSMD11;YWHAE;PSMB10;CDK2;PSMC3;PCBP4;ORC5;PSMD1;PSMB6;BARD1;YWHAG;PSMA4;ORC3;RPA1;SFN;YWHAH;PSMB1;PSMB5;PSMB7;PSMD7;YWHAZ;PSMA5;CCNB1;PSMB9;MCM8;ANAPC11;MDC1;DNA2;CDC25C;RMI2;PKMYT1;PSMD14;CCNA1;RHNO1;TOPBP1;BUB1B;RFC2;PSMD2;RFC3;YWHAQ;MCM7;MAD2L1;PSMC2;CDC7;MCM4;MCM3;PSMB4;CHEK2;MCM5;MCM2;CDK1;PSME4;ORC1;CDC25A;BLM;PSMB2;MCM6;UBE2C;MCM10;RFC4;CDC45;CCNE1;CCNB2;CDC20;CCNA2;EXO1;CHEK1
"Cell Cycle, Mitotic Homo sapiens R-HSA-69278",-0.6910581472656986,-3.924573794687623,0.0,0.0,462,422,SKP1;POLD4;BTRC;PPP2CA;NUMA1;MAPK3;CCND1;PTK6;TUBG2;CEP290;NDE1;TK2;PCM1;PDS5B;ARPP19;RAB1B;CCNH;GORASP1;CCP110;CDK7;BUB3;DCTN1;AAAS;PSMD5;CETN2;PSME1;CLASP2;CDKN1A;DYNC1I2;CENPP;PSMD9;PSMC5;ACTR1A;ANAPC16;SMC1A;PSMA2;ITGB3BP;RAB2A;FZR1;NSL1;TAOK1;DCTN2;PPP2R1A;NEK9;MNAT1;FBXW11;TUBGCP6;RB1;HAUS3;PAFAH1B1;PPP2R2A;MCPH1;ANAPC4;RBL2;HAUS4;MAX;TUBGCP2;MAU2;ORC4;PSMD3;CDKN1B;PRKAR2B;SFI1;LIN52;PDS5A;RAB1A;DYRK1A;SSNA1;BLZF1;CEP63;CDK11B;ALMS1;FGFR1OP;CDC23;EP300;NUP98;LEMD2;PPP2R5E;TUBG1;RFC5;PPP2R2D;ANAPC10;LPIN3;CENPI;PSMD6;PPP2R5A;UBB;CDKN2C;ANAPC1;AKAP9;ANAPC2;KIF2B;PSMD12;TUBGCP5;MIS12;HDAC8;AJUBA;NIPBL;CLIP1;UBE2D1;ANAPC15;CDC14A;PSMC6;RANBP2;CENPH;PSMF1;HAUS2;NUDC;PPP1R12B;RPA3;PPP2CB;HIST1H2BO;PSMD8;CENPC;RFC1;CCNE2;CDKN2D;PSMA8;PSME3;HAUS6;CDK11A;DCTN3;ENSA;USO1;CEP76;CEP192;PSMB11;RBBP4;TUBB4B;DHFR;CDC27;OFD1;AHCTF1;PSMB3;NEDD1;CCND2;PRKACA;CEP41;PHF8;CDC16;RAB8A;POLA1;CTDNEP1;PPP1R12A;TUBGCP4;PPP1CB;ORC6;CSNK1E;LPIN2;NEK7;GOLGA2;UBC;ANKLE2;CEP164;CDK5RAP2;LEMD3;GINS1;ANAPC7;PCNA;PPP2R1B;E2F1;NEK6;CEP250;ESCO1;PSMD13;PSMD4;RAE1;NUP43;MAPK1;CDC26;NUP214;ODF2;CNEP1R1;CDKN2B;TP53;MAD1L1;PPP2R5B;ANAPC5;DYNC1H1;CLASP1;CDKN2A;HAUS1;NCAPH;SET;DBF4;CEP135;NUP133;ORC2;UBE2E1;PSMA1;NINL;HIST1H2BK;UBA52;MYBL2;PSMD10;RPA2;WEE1;CEP70;RBL1;CDC6;SMC2;PSMC4;ESCO2;HDAC1;EMD;PRKCB;PSMA6;HSP90AA1;LIN54;RPS27A;GINS2;CNTRL;POM121;PSME2;CCND3;RPS27;CEP57;NUP35;PMF1;PSMA7;BANF1;NUP188;INCENP;PSMB8;PPP2R5D;ZWILCH;ZWINT;PSMC1;PSMA3;DYNLL1;NUP210;PPP1CC;CENPQ;TMPO;CEP131;LIG1;TUBB4A;CSNK2A1;CENPU;PPP2R3B;POLE;PRIM1;PCNT;PSMD11;YWHAE;CENPT;CSNK1D;GORASP2;SMC3;PSMB10;SDCCAG8;CDK2;SKA2;PSMC3;STAG2;PPP2R5C;TUBGCP3;LMNA;ORC5;PSMD1;VRK2;PSMB6;FKBPL;RPA4;YWHAG;HSP90AB1;NUP54;PSMA4;NUP155;POLD2;TUBA1A;TFDP2;ORC3;DSN1;KIF2A;RAD21;RPA1;SMC4;NDEL1;PSMB1;NUP37;PHLDA1;PSMB5;RANGAP1;NUP62;CSNK2B;PSMB7;PSMD7;MAPRE1;TPR;POLD3;NCAPH2;PSMA5;NUP107;CEP72;POLE2;CCNB1;PSMB9;MCM8;CENPK;NUP85;ERCC6L;ANAPC11;RRM2;PRKCA;STAG1;DNA2;CDC25C;CDK4;OPTN;GMNN;CSNK2A2;TUBA4A;PKMYT1;POLA2;PSMD14;CUL1;KNTC1;SPC24;CENPM;CCNA1;RCC2;MYC;CENPJ;PRIM2;XPO1;E2F5;LMNB1;BUB1B;RFC2;ESPL1;PSMD2;SEH1L;RFC3;CKAP5;KIF23;VRK1;NDC1;NCAPD3;HAUS8;GINS4;CDC25B;NUP160;NCAPG2;NUP88;NEK2;POLD1;HMMR;ZW10;NUP50;E2F4;NUF2;FEN1;MCM7;TOP2A;MAD2L1;PSMC2;CDC7;NUP153;MCM4;GINS3;CEP152;CENPE;TUBB;SPDL1;CENPF;SPC25;CENPO;E2F2;MCM3;FBXO5;LIN9;PSMB4;TFDP1;PLK4;MCM5;KIF18A;MCM2;CDK6;CDK1;PSME4;LPIN1;ORC1;CDC25A;CDT1;NCAPD2;CENPL;TYMS;PSMB2;NCAPG;AURKA;BIRC5;MCM6;SKA1;PTTG1;MASTL;BORA;NUP205;UBE2C;KIF20A;MCM10;NDC80;PLK1;RFC4;CDC45;NUP93;CKS1B;CCNE1;CENPN;TPX2;CCNB2;FOXM1;E2F3;CDC20;KIF2C;CDCA5;BUB1;CDCA8;AURKB;CCNA2;SKP2;CENPA,POM121;PSME2;CCND3;RPS27;CEP57;NUP35;PMF1;PSMA7;BANF1;NUP188;INCENP;PSMB8;PPP2R5D;ZWILCH;ZWINT;PSMC1;PSMA3;DYNLL1;NUP210;PPP1CC;CENPQ;TMPO;CEP131;LIG1;TUBB4A;CSNK2A1;CENPU;PPP2R3B;POLE;PRIM1;PCNT;PSMD11;YWHAE;CENPT;CSNK1D;GORASP2;SMC3;PSMB10;SDCCAG8;CDK2;SKA2;PSMC3;STAG2;PPP2R5C;TUBGCP3;LMNA;ORC5;PSMD1;VRK2;PSMB6;FKBPL;RPA4;YWHAG;HSP90AB1;NUP54;PSMA4;NUP155;POLD2;TUBA1A;TFDP2;ORC3;DSN1;KIF2A;RAD21;RPA1;SMC4;NDEL1;PSMB1;NUP37;PHLDA1;PSMB5;RANGAP1;NUP62;CSNK2B;PSMB7;PSMD7;MAPRE1;TPR;POLD3;NCAPH2;PSMA5;NUP107;CEP72;POLE2;CCNB1;PSMB9;MCM8;CENPK;NUP85;ERCC6L;ANAPC11;RRM2;PRKCA;STAG1;DNA2;CDC25C;CDK4;OPTN;GMNN;CSNK2A2;TUBA4A;PKMYT1;POLA2;PSMD14;CUL1;KNTC1;SPC24;CENPM;CCNA1;RCC2;MYC;CENPJ;PRIM2;XPO1;E2F5;LMNB1;BUB1B;RFC2;ESPL1;PSMD2;SEH1L;RFC3;CKAP5;KIF23;VRK1;NDC1;NCAPD3;HAUS8;GINS4;CDC25B;NUP160;NCAPG2;NUP88;NEK2;POLD1;HMMR;ZW10;NUP50;E2F4;NUF2;FEN1;MCM7;TOP2A;MAD2L1;PSMC2;CDC7;NUP153;MCM4;GINS3;CEP152;CENPE;TUBB;SPDL1;CENPF;SPC25;CENPO;E2F2;MCM3;FBXO5;LIN9;PSMB4;TFDP1;PLK4;MCM5;KIF18A;MCM2;CDK6;CDK1;PSME4;LPIN1;ORC1;CDC25A;CDT1;NCAPD2;CENPL;TYMS;PSMB2;NCAPG;AURKA;BIRC5;MCM6;SKA1;PTTG1;MASTL;BORA;NUP205;UBE2C;KIF20A;MCM10;NDC80;PLK1;RFC4;CDC45;NUP93;CKS1B;CCNE1;CENPN;TPX2;CCNB2;FOXM1;E2F3;CDC20;KIF2C;CDCA5;BUB1;CDCA8;AURKB;CCNA2;SKP2;CENPA
DNA Replication Homo sapiens R-HSA-69306,-0.7423815945123239,-3.8253667222891115,0.0,0.0,105,105,POLD4;PSMD5;PSME1;CDKN1A;PSMD9;PSMC5;PSMA2;FZR1;RB1;ORC4;PSMD3;CDKN1B;RFC5;PSMD6;UBB;PSMD12;PSMC6;PSMF1;RPA3;PSMD8;RFC1;PSMA8;PSME3;PSMB11;PSMB3;POLA1;ORC6;UBC;GINS1;PCNA;E2F1;PSMD13;PSMD4;DBF4;ORC2;PSMA1;UBA52;PSMD10;RPA2;CDC6;PSMC4;PSMA6;RPS27A;GINS2;PSME2;PSMA7;PSMB8;PSMC1;PSMA3;LIG1;POLE;PRIM1;PSMD11;PSMB10;CDK2;PSMC3;ORC5;PSMD1;PSMB6;RPA4;PSMA4;POLD2;ORC3;RPA1;PSMB1;PSMB5;PSMB7;PSMD7;POLD3;PSMA5;POLE2;PSMB9;MCM8;DNA2;GMNN;POLA2;PSMD14;CCNA1;PRIM2;RFC2;PSMD2;RFC3;GINS4;POLD1;FEN1;MCM7;PSMC2;CDC7;MCM4;GINS3;E2F2;MCM3;PSMB4;MCM5;MCM2;PSME4;ORC1;CDT1;PSMB2;MCM6;MCM10;RFC4;CDC45;E2F3;CCNA2,PSMA6;RPS27A;GINS2;PSME2;PSMA7;PSMB8;PSMC1;PSMA3;LIG1;POLE;PRIM1;PSMD11;PSMB10;CDK2;PSMC3;ORC5;PSMD1;PSMB6;RPA4;PSMA4;POLD2;ORC3;RPA1;PSMB1;PSMB5;PSMB7;PSMD7;POLD3;PSMA5;POLE2;PSMB9;MCM8;DNA2;GMNN;POLA2;PSMD14;CCNA1;PRIM2;RFC2;PSMD2;RFC3;GINS4;POLD1;FEN1;MCM7;PSMC2;CDC7;MCM4;GINS3;E2F2;MCM3;PSMB4;MCM5;MCM2;PSME4;ORC1;CDT1;PSMB2;MCM6;MCM10;RFC4;CDC45;E2F3;CCNA2
DNA Replication Pre-Initiation Homo sapiens R-HSA-69002,-0.7651398315856747,-3.8849454241961907,0.0,0.0,82,82,PSMD5;PSME1;PSMD9;PSMC5;PSMA2;ORC4;PSMD3;PSMD6;UBB;PSMD12;PSMC6;PSMF1;RPA3;PSMD8;PSMA8;PSME3;PSMB11;PSMB3;POLA1;ORC6;UBC;E2F1;PSMD13;PSMD4;DBF4;ORC2;PSMA1;UBA52;PSMD10;RPA2;CDC6;PSMC4;PSMA6;RPS27A;PSME2;PSMA7;PSMB8;PSMC1;PSMA3;POLE;PRIM1;PSMD11;PSMB10;CDK2;PSMC3;ORC5;PSMD1;PSMB6;RPA4;PSMA4;ORC3;RPA1;PSMB1;PSMB5;PSMB7;PSMD7;PSMA5;POLE2;PSMB9;MCM8;GMNN;POLA2;PSMD14;PRIM2;PSMD2;MCM7;PSMC2;CDC7;MCM4;E2F2;MCM3;PSMB4;MCM5;MCM2;PSME4;ORC1;CDT1;PSMB2;MCM6;MCM10;CDC45;E2F3,PSMA1;UBA52;PSMD10;RPA2;CDC6;PSMC4;PSMA6;RPS27A;PSME2;PSMA7;PSMB8;PSMC1;PSMA3;POLE;PRIM1;PSMD11;PSMB10;CDK2;PSMC3;ORC5;PSMD1;PSMB6;RPA4;PSMA4;ORC3;RPA1;PSMB1;PSMB5;PSMB7;PSMD7;PSMA5;POLE2;PSMB9;MCM8;GMNN;POLA2;PSMD14;PRIM2;PSMD2;MCM7;PSMC2;CDC7;MCM4;E2F2;MCM3;PSMB4;MCM5;MCM2;PSME4;ORC1;CDT1;PSMB2;MCM6;MCM10;CDC45;E2F3
