Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Xenobiotics ,0.6554784745335033,4.176183036057529,0.0,0.01851677148357412,24,20,ILMN_2091632;ILMN_1685043;ILMN_1744458;ILMN_2408764;ILMN_1670652;ILMN_1762582;ILMN_1772206;ILMN_2162799;ILMN_1740648;ILMN_1758731;ILMN_1769155;ILMN_1683121;ILMN_1787193;ILMN_1651636;ILMN_1657529;ILMN_1729191;ILMN_1665437;ILMN_1761669;ILMN_1718046;ILMN_1810942,ILMN_2091632;ILMN_1685043;ILMN_1744458;ILMN_2408764;ILMN_1670652;ILMN_1762582;ILMN_1772206;ILMN_2162799;ILMN_1740648;ILMN_1758731;ILMN_1769155;ILMN_1683121
Interleukin-10 signaling ,0.5251271193864737,4.12252489298122,0.002066115702479339,0.021217133991595343,58,44,ILMN_1775501;ILMN_1787897;ILMN_1699651;ILMN_1720048;ILMN_2092118;ILMN_1671509;ILMN_1658483;ILMN_1782560;ILMN_1666733;ILMN_1773245;ILMN_1716276;ILMN_1661861;ILMN_1682636;ILMN_1772131;ILMN_1711566;ILMN_1812226;ILMN_1791759;ILMN_1685005;ILMN_1769129;ILMN_1738725;ILMN_1671353;ILMN_1774874;ILMN_1657234;ILMN_1793384;ILMN_2302947;ILMN_1728106;ILMN_1677511;ILMN_1716736;ILMN_2145033;ILMN_1662451;ILMN_1777461;ILMN_1676955;ILMN_2098126;ILMN_1746836;ILMN_1652825;ILMN_1678833;ILMN_2160476;ILMN_1697069;ILMN_1778457;ILMN_1810584;ILMN_1663618;ILMN_1681132;ILMN_2230892;ILMN_2073307,ILMN_1775501;ILMN_1787897;ILMN_1699651;ILMN_1720048;ILMN_2092118;ILMN_1671509;ILMN_1658483;ILMN_1782560;ILMN_1666733;ILMN_1773245;ILMN_1716276;ILMN_1661861;ILMN_1682636;ILMN_1772131;ILMN_1711566;ILMN_1812226;ILMN_1791759;ILMN_1685005;ILMN_1769129;ILMN_1738725;ILMN_1671353;ILMN_1774874;ILMN_1657234
Chemokine receptors bind chemokines ,0.5508405985358897,4.189515388040382,0.0,0.02893245544308456,65,54,ILMN_1787897;ILMN_1779234;ILMN_1720048;ILMN_1671509;ILMN_1783593;ILMN_2246410;ILMN_2113606;ILMN_2088437;ILMN_1666733;ILMN_1773245;ILMN_1716276;ILMN_1781769;ILMN_2045324;ILMN_1682636;ILMN_2224955;ILMN_1737817;ILMN_2067895;ILMN_2086143;ILMN_1680397;ILMN_1846001;ILMN_1791759;ILMN_1763322;ILMN_1769129;ILMN_1657234;ILMN_1745356;ILMN_1763127;ILMN_1677505;ILMN_1709350;ILMN_2145033;ILMN_1664316;ILMN_1777461;ILMN_1674640;ILMN_2098126;ILMN_2371458;ILMN_1797975;ILMN_1715131;ILMN_1675346;ILMN_1767281;ILMN_2387696;ILMN_2086965;ILMN_2228845;ILMN_1718552;ILMN_1725519;ILMN_1683456;ILMN_1678833;ILMN_1752562;ILMN_1662524;ILMN_2160476;ILMN_1699669;ILMN_1710186;ILMN_1666257;ILMN_1728478;ILMN_1803825;ILMN_1666493,ILMN_1787897;ILMN_1779234;ILMN_1720048;ILMN_1671509;ILMN_1783593;ILMN_2246410;ILMN_2113606;ILMN_2088437;ILMN_1666733;ILMN_1773245;ILMN_1716276;ILMN_1781769;ILMN_2045324;ILMN_1682636;ILMN_2224955;ILMN_1737817;ILMN_2067895;ILMN_2086143;ILMN_1680397;ILMN_1846001;ILMN_1791759;ILMN_1763322;ILMN_1769129;ILMN_1657234;ILMN_1745356;ILMN_1763127
Activation of the TFAP2 (AP-2) family of transcription factors ,-0.7479159802134122,-4.36848928675341,0.004366812227074236,0.04079259759519317,11,11,ILMN_1853592;ILMN_1663092;ILMN_1691641;ILMN_1765574;ILMN_1801387;ILMN_1787691;ILMN_1659378;ILMN_2415776;ILMN_1744665;ILMN_1790595;ILMN_1683891,ILMN_1787691;ILMN_1659378;ILMN_2415776;ILMN_1744665;ILMN_1790595;ILMN_1683891
Phosphorylation of CD3 and TCR zeta chains ,0.6339561167093233,3.994965989274309,0.0,0.04484530593678107,70,22,ILMN_1808405;ILMN_2157441;ILMN_2279844;ILMN_1772218;ILMN_1697499;ILMN_1689655;ILMN_2261416;ILMN_1717261;ILMN_1676924;ILMN_1717197;ILMN_1715169;ILMN_1741648;ILMN_1653652;ILMN_1754121;ILMN_1695640;ILMN_1731589;ILMN_1680144;ILMN_1749070;ILMN_1739794;ILMN_1661266;ILMN_2159694;ILMN_2055156,ILMN_1808405;ILMN_2157441;ILMN_2279844;ILMN_1772218;ILMN_1697499;ILMN_1689655;ILMN_2261416;ILMN_1717261;ILMN_1676924;ILMN_1717197;ILMN_1715169;ILMN_1741648;ILMN_1653652;ILMN_1754121;ILMN_1695640;ILMN_1731589;ILMN_1680144
PD-1 signaling ,0.6170101911791744,3.900376641258353,0.0,0.0650401598360541,71,22,ILMN_2159272;ILMN_1701914;ILMN_1808405;ILMN_2157441;ILMN_2279844;ILMN_1772218;ILMN_1697499;ILMN_1689655;ILMN_2261416;ILMN_1717261;ILMN_1676924;ILMN_1717197;ILMN_1715169;ILMN_1741648;ILMN_1754121;ILMN_1664122;ILMN_1680144;ILMN_1749070;ILMN_1739794;ILMN_1661266;ILMN_2159694;ILMN_1778236,ILMN_2159272;ILMN_1701914;ILMN_1808405;ILMN_2157441;ILMN_2279844;ILMN_1772218;ILMN_1697499;ILMN_1689655;ILMN_2261416;ILMN_1717261;ILMN_1676924;ILMN_1717197;ILMN_1715169;ILMN_1741648;ILMN_1754121;ILMN_1664122;ILMN_1680144
"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation ",-0.7496328034016667,-4.192321521394675,0.0,0.06701641033496021,15,10,ILMN_1762712;ILMN_1671058;ILMN_1695041;ILMN_1760509;ILMN_1705546;ILMN_1770635;ILMN_2174189;ILMN_1817615;ILMN_1655849;ILMN_1679060,ILMN_1655849;ILMN_1679060
Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon ,0.6076647932652328,3.7066165869057675,0.01037344398340249,0.08822173336645169,17,16,ILMN_1782977;ILMN_2048326;ILMN_1815079;ILMN_2331501;ILMN_1765649;ILMN_1706217;ILMN_2191428;ILMN_2372773;ILMN_1651346;ILMN_1724533;ILMN_1739967;ILMN_1755024;ILMN_1740015;ILMN_2349061;ILMN_2383774;ILMN_1778236,ILMN_1782977;ILMN_2048326;ILMN_1815079;ILMN_2331501;ILMN_1765649;ILMN_1706217;ILMN_2191428
Modulation by Mtb of host immune system ,0.8328473242173393,3.713561323136982,0.0039447731755424065,0.09133011768200358,7,7,ILMN_1782977;ILMN_2048326;ILMN_2331501;ILMN_2191428;ILMN_1725427;ILMN_2148459;ILMN_1810264,ILMN_1782977;ILMN_2048326;ILMN_2331501;ILMN_2191428
IL-6-type cytokine receptor ligand interactions ,0.6476370823165697,3.792568512358643,0.002008032128514056,0.09423714058604686,16,16,ILMN_1661804;ILMN_1661197;ILMN_1709094;ILMN_1664912;ILMN_1788107;ILMN_1746604;ILMN_1683178;ILMN_1780546;ILMN_2205999;ILMN_1738725;ILMN_1667575;ILMN_1793384;ILMN_1676955;ILMN_2411791;ILMN_2201866;ILMN_1773113,ILMN_1661804;ILMN_1661197;ILMN_1709094;ILMN_1664912;ILMN_1788107;ILMN_1746604;ILMN_1683178;ILMN_1780546;ILMN_2205999
