Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Activation of the pre-replicative complex Homo sapiens R-HSA-68962,-0.776448678838795,-3.9834580866977602,0.0,0.0,30,30,ORC4;RPA3;POLA1;PRIM1;ORC2;ORC6;ORC3;DBF4;CDK2;RPA2;POLE2;RPA1;POLE;CDC6;ORC5;RPA4;PRIM2;POLA2;MCM8;MCM3;CDC7;MCM2;MCM7;MCM4;CDT1;MCM10;ORC1;MCM6;MCM5;CDC45,POLE2;RPA1;POLE;CDC6;ORC5;RPA4;PRIM2;POLA2;MCM8;MCM3;CDC7;MCM2;MCM7;MCM4;CDT1;MCM10;ORC1;MCM6;MCM5;CDC45
Antigen processing-Cross presentation Homo sapiens R-HSA-1236975,-0.6880987389213035,-4.013048698621154,0.0,0.0,82,81,PSME1;ITGB5;PSMA2;UBB;PSME3;PSMC5;PSMD6;PSMD9;PSMC6;PSMD12;PSMD10;PDIA3;PSMC4;PSMD13;PSMD5;ITGAV;MRC1;LNPEP;CD207;CD36;PSMA8;NCF1;PSMF1;PSMD8;PSMA6;UBA52;PSMB11;PSMD4;PSMA3;MRC2;PSME2;UBC;PSMB8;HLA-C;RPS27A;TAPBP;PSMB6;B2M;SEC61G;PSMA1;TAP1;PSMC1;PSMB1;PSMA7;SEC61B;PSMB3;HLA-H;PSMA4;PSMD11;PSMC3;PSMA5;SEC61A2;PSMD3;CTSL;NCF2;PSMD1;PSMB5;PSMB7;PSMB10;FCGR1A;SEC61A1;HLA-B;HLA-G;PSMB9;CYBB;PSMD14;HLA-A;PSMD7;PSMB4;TAP2;PSMD2;NCF4;PSMC2;HLA-E;CTSS;CYBA;HLA-F;CALR;CTSV;PSMB2;PSME4,RPS27A;TAPBP;PSMB6;B2M;SEC61G;PSMA1;TAP1;PSMC1;PSMB1;PSMA7;SEC61B;PSMB3;HLA-H;PSMA4;PSMD11;PSMC3;PSMA5;SEC61A2;PSMD3;CTSL;NCF2;PSMD1;PSMB5;PSMB7;PSMB10;FCGR1A;SEC61A1;HLA-B;HLA-G;PSMB9;CYBB;PSMD14;HLA-A;PSMD7;PSMB4;TAP2;PSMD2;NCF4;PSMC2;HLA-E;CTSS;CYBA;HLA-F;CALR;CTSV;PSMB2;PSME4
Assembly of the pre-replicative complex Homo sapiens R-HSA-68867,-0.7062142209542498,-3.9354776430608367,0.0,0.0,67,67,PSME1;PSMA2;ORC4;UBB;PSME3;PSMC5;PSMD6;PSMD9;PSMC6;PSMD12;PSMD10;PSMC4;PSMD13;PSMD5;E2F1;ORC2;ORC6;PSMA8;PSMF1;PSMD8;PSMA6;UBA52;PSMB11;PSMD4;ORC3;PSMA3;PSME2;UBC;PSMB8;RPS27A;PSMB6;PSMA1;PSMC1;CDC6;PSMB1;ORC5;PSMA7;PSMB3;PSMA4;PSMD11;PSMC3;PSMA5;GMNN;PSMD3;PSMD1;PSMB5;PSMB7;PSMB10;MCM8;PSMB9;PSMD14;PSMD7;PSMB4;MCM3;MCM2;MCM7;PSMD2;PSMC2;MCM4;CDT1;E2F2;PSMB2;ORC1;MCM6;MCM5;E2F3;PSME4,PSMA1;PSMC1;CDC6;PSMB1;ORC5;PSMA7;PSMB3;PSMA4;PSMD11;PSMC3;PSMA5;GMNN;PSMD3;PSMD1;PSMB5;PSMB7;PSMB10;MCM8;PSMB9;PSMD14;PSMD7;PSMB4;MCM3;MCM2;MCM7;PSMD2;PSMC2;MCM4;CDT1;E2F2;PSMB2;ORC1;MCM6;MCM5;E2F3;PSME4
Cell Cycle Checkpoints Homo sapiens R-HSA-69620,-0.6092492530594628,-3.847871391091345,0.0,0.0,182,161,RAD50;ZNF385A;BUB3;TP53BP1;PSME1;CDKN1B;MDM4;PSMA2;ANAPC16;YWHAB;CDC23;KAT5;ORC4;UBB;MDM2;RPA3;RBBP8;PSME3;PSMC5;UBE2N;PSMD6;PSMD9;RAD1;ANAPC4;ANAPC7;PSMC6;CDKN1A;UIMC1;BRCA1;RFC5;UBE2D1;CDC16;ANAPC15;PSMD12;ANAPC2;ANAPC1;RNF8;RAD9A;ATRIP;RAD9B;PSMD10;SUMO1;CCNE2;RMI1;HUS1;PSMC4;ANAPC5;ATR;HERC2;PSMD13;PSMD5;WEE1;ANAPC10;BRIP1;ORC2;ORC6;HIST1H2BO;PIAS4;NBN;RNF168;CDC27;PSMA8;TP53;PSMF1;PSMD8;CLSPN;PSMA6;UBE2E1;UBA52;PSMB11;WRN;YWHAE;PSMD4;UBE2V2;RAD17;ATM;BABAM1;BRCC3;ORC3;DBF4;HIST1H2BK;CDK2;PSMA3;RPA2;PSME2;CDC26;UBC;PSMB8;TOP3A;RPS27A;PSMB6;BARD1;MDC1;RPA1;PSMA1;PSMC1;CDC6;PSMB1;ORC5;CDC25C;CCNB1;PSMA7;PSMB3;PSMA4;PSMD11;PSMC3;PSMA5;PCBP4;TOPBP1;PSMD3;RHNO1;PSMD1;ANAPC11;MAD1L1;SFN;PSMB5;YWHAZ;PSMB7;DNA2;YWHAH;YWHAG;RMI2;RFC3;PSMB10;MCM8;BUB1B;PSMB9;PKMYT1;PSMD14;MAD2L1;PSMD7;PSMB4;MCM3;CCNA1;CDC7;CDK1;MCM2;MCM7;PSMD2;RFC2;PSMC2;MCM4;YWHAQ;RFC4;CHEK2;UBE2C;MCM10;CDC25A;PSMB2;ORC1;CCNB2;MCM6;CCNA2;EXO1;BLM;MCM5;CDC45;CDC20;CHEK1;CCNE1;PSME4,MDC1;RPA1;PSMA1;PSMC1;CDC6;PSMB1;ORC5;CDC25C;CCNB1;PSMA7;PSMB3;PSMA4;PSMD11;PSMC3;PSMA5;PCBP4;TOPBP1;PSMD3;RHNO1;PSMD1;ANAPC11;MAD1L1;SFN;PSMB5;YWHAZ;PSMB7;DNA2;YWHAH;YWHAG;RMI2;RFC3;PSMB10;MCM8;BUB1B;PSMB9;PKMYT1;PSMD14;MAD2L1;PSMD7;PSMB4;MCM3;CCNA1;CDC7;CDK1;MCM2;MCM7;PSMD2;RFC2;PSMC2;MCM4;YWHAQ;RFC4;CHEK2;UBE2C;MCM10;CDC25A;PSMB2;ORC1;CCNB2;MCM6;CCNA2;EXO1;BLM;MCM5;CDC45;CDC20;CHEK1;CCNE1;PSME4
Cell Cycle Homo sapiens R-HSA-1640170,-0.5594745557891012,-3.8964966257767983,0.0,0.0,566,520,SKP1;BTRC;CCND1;PPP2CA;RAD50;PCM1;POLD4;CCP110;NUMA1;MAPK3;TUBG2;CDK7;HSPA2;ZNF385A;BUB3;TP53BP1;CLASP2;CENPP;CETN2;CEP290;PSME1;ITGB3BP;FGFR1OP;CCNH;ARPP19;TERF1;PDS5B;CDKN1B;DYNC1I2;NDE1;MLH1;AAAS;MNAT1;PPP2R2A;MDM4;SYCP2;CEP63;GORASP1;NUP133;PSMA2;ANAPC16;YWHAB;NSL1;CDC23;KAT5;RBBP7;PTK6;CEP41;PDS5A;RAB1B;HAUS1;ORC4;DCTN1;ALMS1;UBB;NHP2;HAUS3;MDM2;AHCTF1;SMC1A;RAB2A;RUVBL2;RFC1;RB1;TINF2;MAX;RPA3;HAUS4;PRKAR2B;PAFAH1B1;RBBP8;PPP2R1A;PCNA;PSME3;FBXW11;PSMC5;TK2;LIN52;UBE2N;SFI1;PSMD6;PSMD9;RAD1;RBL2;NEK9;NEK7;ANAPC4;ANAPC7;DCTN2;TUBGCP4;FZR1;PSMC6;AKAP9;CDKN1A;MCPH1;MAU2;OFD1;GINS2;UIMC1;BRCA1;CLIP1;PMF1;WRAP53;RFC5;CENPC;RSF1;POT1;AJUBA;TUBGCP2;HDAC1;PPP2R2D;TUBG1;NUP98;CEP76;NUDC;UBE2D1;TERT;DYRK1A;CDC16;ANAPC15;RANBP2;PSMC3IP;PRDM9;NEDD1;PSMD12;NUP35;LEMD2;FKBP6;HDAC8;DCTN3;ANAPC2;PPP2CB;KIF2B;TUBGCP6;BLZF1;ANAPC1;RNF8;CDKN2D;ENSA;RAD9A;POLA1;ATRIP;NIPBL;SPO11;RAD9B;DHFR;SYCE1;NUP43;PSMD10;DMC1;PRIM1;MIS12;TUBGCP5;NUP210;CEP70;TAOK1;DYNLL1;CDK11B;SYCP3;SMC3;NPM1;SUMO1;RAE1;CCNE2;RMI1;PPP2R5A;RAB8A;HUS1;TERF2IP;SET;PPP2R5E;EP300;PSMC4;ANAPC5;ATR;EMD;HERC2;PSMD13;PSMD5;ESCO1;WEE1;ANAPC10;RAD51C;CENPH;BRIP1;RUVBL1;E2F1;ORC2;PPP1R12A;CDKN2C;SSNA1;ORC6;SYCE2;CENPQ;CDC14A;HIST1H2BO;CEP192;STAG3;HAUS6;TUBB4B;HSP90AA1;PIAS4;NBN;RNF168;LPIN3;USO1;HAUS2;CDC27;PHF8;NINL;PSMA8;TP53;PSMF1;GINS1;SYNE1;CDKN2A;PRKACA;PSMD8;CENPI;CLSPN;ANKLE2;PSMA6;LEMD3;UBE2E1;UBA52;PSMB11;PPP1CC;WRN;PPP1R12B;YWHAE;PSMD4;UBE2V2;RAD17;GOLGA2;PPP1CB;CEP135;ATM;BABAM1;NUP37;BRCC3;SMC2;UBE2I;MIS18BP1;RBBP4;CDK11A;ORC3;MSH5;DBF4;CEP250;CEP131;TFDP2;CEP57;SDCCAG8;HIST1H2BK;SYCP1;LIG1;RAB1A;CEP164;SMARCA5;CDK2;PSMA3;ZWILCH;RPA2;CDK5RAP2;CTDNEP1;LIN54;RPS27;MYBL2;VRK2;PSME2;NCAPH;CDC26;UBC;BRCA2;PSMB8;ACTR1A;CSNK1E;MSH4;PPP2R1B;HSP90AB1;MLH3;REC8;BANF1;ESCO2;PPP2R5D;CENPK;TOP3A;ZWINT;CDKN2B;RPS27A;RAD21;TEX12;NUP54;CNTRL;CSNK2A1;FKBPL;NUP107;INCENP;PSMB6;TUBGCP3;TMPO;POLD2;POLE2;MAPK1;RBL1;NUP155;PPP2R3B;BARD1;DIDO1;POM121;PPP2R5B;RAD51;TEX15;MDC1;ODF2;RPA1;NUP214;PSMA1;PSMC1;TPR;POLE;SYNE2;CDC6;TUBA1A;PSMB1;CLASP1;SMC4;ORC5;MYC;ACD;CDC25C;STAG1;CCNB1;PSMA7;CNEP1R1;CENPU;DYNC1H1;TERF2;PSMB3;POLD3;PCNT;SEH1L;PSMA4;CSNK2B;PSMD11;PSMC3;LPIN2;PSMA5;PPP2R5C;PCBP4;GMNN;KIF2A;CEP72;LMNA;MAPRE1;STAG2;TOPBP1;CKAP5;PSMD3;CSNK1D;RHNO1;CCND2;PSMD1;PRKCB;SKA2;ANAPC11;NUP62;NEK2;TOP2A;RPA4;E2F5;TUBB4A;MAD1L1;SFN;PSMB5;DSN1;OPTN;YWHAZ;NUP188;PSMB7;PHLDA1;LIN9;XPO1;DNA2;YWHAH;YWHAG;PRIM2;KNTC1;NUF2;RMI2;CENPT;RFC3;NCAPG2;NUP160;ERCC6L;NCAPH2;CDK4;PSMB10;NUP85;CCND3;NUP88;CENPM;KIF23;POLA2;ESPL1;MCM8;BUB1B;NDC1;SUN1;MIS18A;PSMB9;OIP5;GINS4;PKMYT1;PSMD14;LMNB1;MAD2L1;VRK1;SMC1B;CENPF;PSMD7;FEN1;KIF18A;PSMB4;HMMR;NUP153;MCM3;NDEL1;RRM2;NCAPD3;CCNA1;POLD1;CDC7;SPC24;CDK1;MCM2;MCM7;CSNK2A2;TFDP1;GORASP2;SPC25;PSMD2;RFC2;CENPJ;TYMS;PLK4;RANGAP1;CEP152;PSMC2;MCM4;NEK6;SPDL1;CUL1;CKS1B;FBXO5;MND1;HAUS8;CENPE;RCC2;YWHAQ;RFC4;CHEK2;ZW10;TUBA4A;UBE2C;PTTG1;KIF20A;CENPL;CDT1;SKA1;PRKCA;NCAPD2;TUBB;NDC80;AURKA;NCAPG;MCM10;TPX2;CDC25A;GINS3;MASTL;DKC1;BIRC5;E2F2;SUN2;CENPO;PSMB2;ORC1;FOXM1;CENPN;NUP205;CCNB2;NUP50;CDCA8;MCM6;CDCA5;CDC25B;AURKB;PLK1;HJURP;CCNA2;BORA;BUB1;EXO1;BLM;MCM5;CDC45;CENPW;KIF2C;E2F4;CDC20;CHEK1;CENPA;CCNE1;E2F3;CDK6;SKP2;PSME4;NUP93;LPIN1,NUP54;CNTRL;CSNK2A1;FKBPL;NUP107;INCENP;PSMB6;TUBGCP3;TMPO;POLD2;POLE2;MAPK1;RBL1;NUP155;PPP2R3B;BARD1;DIDO1;POM121;PPP2R5B;RAD51;TEX15;MDC1;ODF2;RPA1;NUP214;PSMA1;PSMC1;TPR;POLE;SYNE2;CDC6;TUBA1A;PSMB1;CLASP1;SMC4;ORC5;MYC;ACD;CDC25C;STAG1;CCNB1;PSMA7;CNEP1R1;CENPU;DYNC1H1;TERF2;PSMB3;POLD3;PCNT;SEH1L;PSMA4;CSNK2B;PSMD11;PSMC3;LPIN2;PSMA5;PPP2R5C;PCBP4;GMNN;KIF2A;CEP72;LMNA;MAPRE1;STAG2;TOPBP1;CKAP5;PSMD3;CSNK1D;RHNO1;CCND2;PSMD1;PRKCB;SKA2;ANAPC11;NUP62;NEK2;TOP2A;RPA4;E2F5;TUBB4A;MAD1L1;SFN;PSMB5;DSN1;OPTN;YWHAZ;NUP188;PSMB7;PHLDA1;LIN9;XPO1;DNA2;YWHAH;YWHAG;PRIM2;KNTC1;NUF2;RMI2;CENPT;RFC3;NCAPG2;NUP160;ERCC6L;NCAPH2;CDK4;PSMB10;NUP85;CCND3;NUP88;CENPM;KIF23;POLA2;ESPL1;MCM8;BUB1B;NDC1;SUN1;MIS18A;PSMB9;OIP5;GINS4;PKMYT1;PSMD14;LMNB1;MAD2L1;VRK1;SMC1B;CENPF;PSMD7;FEN1;KIF18A;PSMB4;HMMR;NUP153;MCM3;NDEL1;RRM2;NCAPD3;CCNA1;POLD1;CDC7;SPC24;CDK1;MCM2;MCM7;CSNK2A2;TFDP1;GORASP2;SPC25;PSMD2;RFC2;CENPJ;TYMS;PLK4;RANGAP1;CEP152;PSMC2;MCM4;NEK6;SPDL1;CUL1;CKS1B;FBXO5;MND1;HAUS8;CENPE;RCC2;YWHAQ;RFC4;CHEK2;ZW10;TUBA4A;UBE2C;PTTG1;KIF20A;CENPL;CDT1;SKA1;PRKCA;NCAPD2;TUBB;NDC80;AURKA;NCAPG;MCM10;TPX2;CDC25A;GINS3;MASTL;DKC1;BIRC5;E2F2;SUN2;CENPO;PSMB2;ORC1;FOXM1;CENPN;NUP205;CCNB2;NUP50;CDCA8;MCM6;CDCA5;CDC25B;AURKB;PLK1;HJURP;CCNA2;BORA;BUB1;EXO1;BLM;MCM5;CDC45;CENPW;KIF2C;E2F4;CDC20;CHEK1;CENPA;CCNE1;E2F3;CDK6;SKP2;PSME4;NUP93;LPIN1
Chemokine receptors bind chemokines Homo sapiens R-HSA-380108,-0.7315997334214829,-3.8595600789617808,0.0,0.0,56,53,CX3CR1;ACKR3;CCL4;XCR1;CCR3;CCR6;PF4;CCL16;CCR10;PPBP;CXCR1;CCR9;CXCR2;ACKR4;CXCL12;CXCL11;CCRL2;CXCL3;CCL1;CCL27;CCL28;CCR5;CCL11;CCL3;XCL1;CCR4;CCL25;CXCL5;CCL17;CXCL6;CXCL2;CCL21;CCL19;CXCR5;CCL22;CXCR4;CXCL16;CXCL1;CCR2;CXCR3;CCL7;CCR7;ACKR2;CCL2;CCR1;CXCL13;CCL5;CXCR6;CXCL9;CXCL10;CCL20;CXCL8;CX3CL1,CCR4;CCL25;CXCL5;CCL17;CXCL6;CXCL2;CCL21;CCL19;CXCR5;CCL22;CXCR4;CXCL16;CXCL1;CCR2;CXCR3;CCL7;CCR7;ACKR2;CCL2;CCR1;CXCL13;CCL5;CXCR6;CXCL9;CXCL10;CCL20;CXCL8;CX3CL1
DNA Replication Homo sapiens R-HSA-69306,-0.6694100796504916,-4.118957671978311,0.0,0.0,105,105,POLD4;PSME1;CDKN1B;PSMA2;ORC4;UBB;RFC1;RB1;RPA3;PCNA;PSME3;PSMC5;PSMD6;PSMD9;FZR1;PSMC6;CDKN1A;GINS2;RFC5;PSMD12;POLA1;PSMD10;PRIM1;PSMC4;PSMD13;PSMD5;E2F1;ORC2;ORC6;PSMA8;PSMF1;GINS1;PSMD8;PSMA6;UBA52;PSMB11;PSMD4;ORC3;DBF4;LIG1;CDK2;PSMA3;RPA2;PSME2;UBC;PSMB8;RPS27A;PSMB6;POLD2;POLE2;RPA1;PSMA1;PSMC1;POLE;CDC6;PSMB1;ORC5;PSMA7;PSMB3;POLD3;PSMA4;PSMD11;PSMC3;PSMA5;GMNN;PSMD3;PSMD1;RPA4;PSMB5;PSMB7;DNA2;PRIM2;RFC3;PSMB10;POLA2;MCM8;PSMB9;GINS4;PSMD14;PSMD7;FEN1;PSMB4;MCM3;CCNA1;POLD1;CDC7;MCM2;MCM7;PSMD2;RFC2;PSMC2;MCM4;RFC4;CDT1;MCM10;GINS3;E2F2;PSMB2;ORC1;MCM6;CCNA2;MCM5;CDC45;E2F3;PSME4,PSMB6;POLD2;POLE2;RPA1;PSMA1;PSMC1;POLE;CDC6;PSMB1;ORC5;PSMA7;PSMB3;POLD3;PSMA4;PSMD11;PSMC3;PSMA5;GMNN;PSMD3;PSMD1;RPA4;PSMB5;PSMB7;DNA2;PRIM2;RFC3;PSMB10;POLA2;MCM8;PSMB9;GINS4;PSMD14;PSMD7;FEN1;PSMB4;MCM3;CCNA1;POLD1;CDC7;MCM2;MCM7;PSMD2;RFC2;PSMC2;MCM4;RFC4;CDT1;MCM10;GINS3;E2F2;PSMB2;ORC1;MCM6;CCNA2;MCM5;CDC45;E2F3;PSME4
G2/M Checkpoints Homo sapiens R-HSA-69481,-0.6445583487100947,-4.131511365943159,0.0,0.0,150,130,RAD50;TP53BP1;PSME1;PSMA2;YWHAB;KAT5;ORC4;UBB;RPA3;RBBP8;PSME3;PSMC5;UBE2N;PSMD6;PSMD9;RAD1;PSMC6;UIMC1;BRCA1;RFC5;PSMD12;RNF8;RAD9A;ATRIP;RAD9B;PSMD10;SUMO1;RMI1;HUS1;PSMC4;ATR;HERC2;PSMD13;PSMD5;WEE1;BRIP1;ORC2;ORC6;HIST1H2BO;PIAS4;NBN;RNF168;PSMA8;TP53;PSMF1;PSMD8;CLSPN;PSMA6;UBA52;PSMB11;WRN;YWHAE;PSMD4;UBE2V2;RAD17;ATM;BABAM1;BRCC3;ORC3;DBF4;HIST1H2BK;CDK2;PSMA3;RPA2;PSME2;UBC;PSMB8;TOP3A;RPS27A;PSMB6;BARD1;MDC1;RPA1;PSMA1;PSMC1;CDC6;PSMB1;ORC5;CDC25C;CCNB1;PSMA7;PSMB3;PSMA4;PSMD11;PSMC3;PSMA5;TOPBP1;PSMD3;RHNO1;PSMD1;SFN;PSMB5;YWHAZ;PSMB7;DNA2;YWHAH;YWHAG;RMI2;RFC3;PSMB10;MCM8;PSMB9;PKMYT1;PSMD14;PSMD7;PSMB4;MCM3;CDC7;CDK1;MCM2;MCM7;PSMD2;RFC2;PSMC2;MCM4;YWHAQ;RFC4;CHEK2;MCM10;CDC25A;PSMB2;ORC1;CCNB2;MCM6;EXO1;BLM;MCM5;CDC45;CHEK1;PSME4,MDC1;RPA1;PSMA1;PSMC1;CDC6;PSMB1;ORC5;CDC25C;CCNB1;PSMA7;PSMB3;PSMA4;PSMD11;PSMC3;PSMA5;TOPBP1;PSMD3;RHNO1;PSMD1;SFN;PSMB5;YWHAZ;PSMB7;DNA2;YWHAH;YWHAG;RMI2;RFC3;PSMB10;MCM8;PSMB9;PKMYT1;PSMD14;PSMD7;PSMB4;MCM3;CDC7;CDK1;MCM2;MCM7;PSMD2;RFC2;PSMC2;MCM4;YWHAQ;RFC4;CHEK2;MCM10;CDC25A;PSMB2;ORC1;CCNB2;MCM6;EXO1;BLM;MCM5;CDC45;CHEK1;PSME4
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell Homo sapiens R-HSA-198933,-0.7687513146582078,-4.646819983869788,0.0,0.0,157,115,LILRA2;MICA;CD34;TREM2;SIGLEC6;MADCAM1;CD300LG;CDH1;NCR3LG1;SIGLEC8;KLRG1;SIGLEC5;TREML4;CRTAM;NCR2;RAET1E;ICAM1;IFITM1;LILRA1;CD300E;MICB;GLYCAM1;NCR1;FCGR3A;LILRA4;KIR2DL1;CD200;LILRA6;KLRK1;KIR3DL1;CD22;TREML1;SIGLEC12;ICAM3;CLEC2D;ULBP3;HLA-C;ITGB1;CD81;CD1C;CLEC2B;CD200R1;B2M;SIGLEC11;CD300LB;TREML2;LILRA5;CD33;ICAM5;CD1A;SH2D1B;C3;CD300C;HLA-H;ICAM4;LILRA3;CD160;KLRC1;FCGR2B;TYROBP;ITGA4;TREM1;SIGLEC1;IGLV8-61;SIGLEC7;CD8B;KLRF1;CD40LG;ITGAL;LILRB1;CD1B;SIGLEC9;CD1D;CD40;LILRB5;CD226;OSCAR;LAIR1;FCGR1A;KLRB1;HLA-B;ICAM2;CD8A;HLA-G;HLA-A;CD3E;SH2D1A;NCR3;SELL;KIR2DL4;CD3G;CD19;HCST;CD300A;SLAMF6;SLAMF7;CXADR;CD300LF;SIGLEC10;CD3D;LAIR2;CD96;ULBP1;ITGB2;CD247;LILRB4;HLA-E;KIR2DL3;HLA-F;KLRD1;VCAM1;PVR;ITGB7;LILRB2;LILRB3,CD1C;CLEC2B;CD200R1;B2M;SIGLEC11;CD300LB;TREML2;LILRA5;CD33;ICAM5;CD1A;SH2D1B;C3;CD300C;HLA-H;ICAM4;LILRA3;CD160;KLRC1;FCGR2B;TYROBP;ITGA4;TREM1;SIGLEC1;IGLV8-61;SIGLEC7;CD8B;KLRF1;CD40LG;ITGAL;LILRB1;CD1B;SIGLEC9;CD1D;CD40;LILRB5;CD226;OSCAR;LAIR1;FCGR1A;KLRB1;HLA-B;ICAM2;CD8A;HLA-G;HLA-A;CD3E;SH2D1A;NCR3;SELL;KIR2DL4;CD3G;CD19;HCST;CD300A;SLAMF6;SLAMF7;CXADR;CD300LF;SIGLEC10;CD3D;LAIR2;CD96;ULBP1;ITGB2;CD247;LILRB4;HLA-E;KIR2DL3;HLA-F;KLRD1;VCAM1;PVR;ITGB7;LILRB2;LILRB3
Interferon Signaling Homo sapiens R-HSA-913531,-0.5861737210395475,-3.867641307838141,0.0,0.0,196,192,FLNB;TRIM8;TRIM45;MAPK3;TRIM3;EIF4E3;IP6K2;AAAS;RNASEL;PIN1;PTPN1;PRKCD;CAMK2B;NUP133;EIF4A2;UBA7;IFI35;UBB;IFITM2;UBE2N;BST2;EIF4G3;IRF9;EGR1;KPNB1;CD44;TRIM35;NUP98;OAS1;RANBP2;NUP35;IFIT1;TRIM62;IFNA7;IFNA1;IRF6;NUP43;NUP210;NEDD4;GBP3;JAK1;IFNA17;IRF7;IFNAR1;SUMO1;RAE1;PPM1B;CAMK2A;IFNA8;IFNA6;IFNA4;HLA-DRB1;HLA-DRB5;IFNA16;OAS3;EIF4E;UBE2L6;EIF4A3;IFNA14;ICAM1;TRIM25;PTPN2;PTPN6;IFITM1;TRIM6;ARIH1;IFNA2;IFNA5;HLA-DQB1;TRIM31;TRIM34;ADAR;PIAS1;GBP2;IFI6;KPNA2;GBP7;DDX58;UBE2E1;UBA52;HLA-DQB2;CAMK2G;IFIT3;NCAM1;NUP37;IFNA21;HLA-DQA2;TYK2;TRIM10;TRIM48;IFI27;EIF4G2;KPNA1;UBC;PSMB8;ISG15;IRF2;HLA-C;IRF5;IFITM3;IFNB1;TRIM68;RPS27A;USP41;KPNA7;NUP54;NUP107;USP18;B2M;HLA-DPA1;IRF3;TRIM5;NUP155;TRIM14;POM121;OAS2;EIF2AK2;NUP214;HLA-DPB1;TPR;SP100;OASL;XAF1;TRIM46;STAT2;SAMHD1;IFIT2;HLA-DRA;HLA-H;JAK2;TRIM21;PLCG1;EIF4A1;SEH1L;HLA-DRB4;SOCS3;PTPN11;PML;MX1;IFNA10;TRIM22;NUP62;HLA-DQA1;MT2A;HLA-DRB3;RSAD2;TRIM38;IFNGR2;NUP188;GBP6;KPNA5;IRF1;NUP160;NUP85;FCGR1A;PTAFR;NUP88;HLA-B;IRF4;EIF4G1;HLA-G;NDC1;TRIM26;GBP4;KPNA3;HLA-A;CIITA;NUP153;IRF8;IFNG;HERC5;STAT1;MX2;CAMK2D;ISG20;HLA-E;HLA-F;IFNGR1;KPNA4;VCAM1;IFI30;SOCS1;TRIM29;TRIM2;GBP5;IFNAR2;GBP1;EIF4E2;NUP205;NUP50;MID1;NUP93,IRF5;IFITM3;IFNB1;TRIM68;RPS27A;USP41;KPNA7;NUP54;NUP107;USP18;B2M;HLA-DPA1;IRF3;TRIM5;NUP155;TRIM14;POM121;OAS2;EIF2AK2;NUP214;HLA-DPB1;TPR;SP100;OASL;XAF1;TRIM46;STAT2;SAMHD1;IFIT2;HLA-DRA;HLA-H;JAK2;TRIM21;PLCG1;EIF4A1;SEH1L;HLA-DRB4;SOCS3;PTPN11;PML;MX1;IFNA10;TRIM22;NUP62;HLA-DQA1;MT2A;HLA-DRB3;RSAD2;TRIM38;IFNGR2;NUP188;GBP6;KPNA5;IRF1;NUP160;NUP85;FCGR1A;PTAFR;NUP88;HLA-B;IRF4;EIF4G1;HLA-G;NDC1;TRIM26;GBP4;KPNA3;HLA-A;CIITA;NUP153;IRF8;IFNG;HERC5;STAT1;MX2;CAMK2D;ISG20;HLA-E;HLA-F;IFNGR1;KPNA4;VCAM1;IFI30;SOCS1;TRIM29;TRIM2;GBP5;IFNAR2;GBP1;EIF4E2;NUP205;NUP50;MID1;NUP93
