Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
The citric acid (TCA) cycle and respiratory electron transport ,0.4505160240635879,4.752418790599729,0.0,0.001330938246270715,184,154,ILMN_2079285;ILMN_1728975;ILMN_2128489;ILMN_1701269;ILMN_1660787;ILMN_1804656;ILMN_1672191;ILMN_1698487;ILMN_2226324;ILMN_1664577;ILMN_1751258;ILMN_1718853;ILMN_2218780;ILMN_1791332;ILMN_1652357;ILMN_2117330;ILMN_1770466;ILMN_2179018;ILMN_1813604;ILMN_1706583;ILMN_1772929;ILMN_1807397;ILMN_1659524;ILMN_2369924;ILMN_1779616;ILMN_2175712;ILMN_1744210;ILMN_1812312;ILMN_1709775;ILMN_2154671;ILMN_2232936;ILMN_1809495;ILMN_2119937;ILMN_1783636;ILMN_2366714;ILMN_1728132;ILMN_1701749;ILMN_1811973;ILMN_1759973;ILMN_2225698;ILMN_1793615;ILMN_1737738;ILMN_1757052;ILMN_1784286;ILMN_1728810;ILMN_2193175;ILMN_1772506;ILMN_1745043;ILMN_1760741;ILMN_1772132;ILMN_2145518;ILMN_1675186;ILMN_1727813;ILMN_1663512;ILMN_1718924;ILMN_1756674;ILMN_1808584;ILMN_1684982;ILMN_2387731;ILMN_1666280;ILMN_1698726;ILMN_1741462;ILMN_1712430;ILMN_2184049;ILMN_1721719;ILMN_1806634;ILMN_2307883;ILMN_1772369;ILMN_1807106;ILMN_1675239;ILMN_1733554;ILMN_1747159;ILMN_1660577;ILMN_1776582;ILMN_1719392;ILMN_1694274;ILMN_1702858;ILMN_1731165;ILMN_2071898;ILMN_1797965;ILMN_1736042;ILMN_2379520;ILMN_1749709;ILMN_2079004;ILMN_1654861;ILMN_1682857;ILMN_1758034;ILMN_1667257;ILMN_1733603;ILMN_1727618;ILMN_1776104;ILMN_1754421;ILMN_1724367;ILMN_1751615;ILMN_1798189;ILMN_1813344;ILMN_1702177;ILMN_1666471;ILMN_1784641;ILMN_1767139;ILMN_1815115;ILMN_1743770;ILMN_1662417;ILMN_1874613;ILMN_1758812;ILMN_1652379;ILMN_1685112;ILMN_1666372;ILMN_1739274;ILMN_1705397;ILMN_1789342;ILMN_1670256;ILMN_2175601;ILMN_2323366;ILMN_1778013;ILMN_1811754;ILMN_1704477;ILMN_1756355;ILMN_1699737;ILMN_2364022;ILMN_1666364;ILMN_2233604;ILMN_1677617;ILMN_1802706;ILMN_1759729;ILMN_2299843;ILMN_1719788;ILMN_1702120;ILMN_2381296;ILMN_1706305;ILMN_1698533;ILMN_1669966;ILMN_1794132;ILMN_1752006;ILMN_1671191;ILMN_2048811;ILMN_1684758;ILMN_1778374;ILMN_2068951;ILMN_1661170;ILMN_1654151;ILMN_1663407;ILMN_1751753;ILMN_1745049;ILMN_1653599;ILMN_2206272;ILMN_1775579;ILMN_1685625;ILMN_1810400;ILMN_2086417;ILMN_1773228;ILMN_1870931;ILMN_1690939;ILMN_1687315,ILMN_2079285;ILMN_1728975;ILMN_2128489;ILMN_1701269;ILMN_1660787;ILMN_1804656;ILMN_1672191;ILMN_1698487;ILMN_2226324;ILMN_1664577;ILMN_1751258;ILMN_1718853;ILMN_2218780;ILMN_1791332;ILMN_1652357;ILMN_2117330;ILMN_1770466;ILMN_2179018;ILMN_1813604;ILMN_1706583;ILMN_1772929;ILMN_1807397;ILMN_1659524;ILMN_2369924;ILMN_1779616;ILMN_2175712;ILMN_1744210;ILMN_1812312;ILMN_1709775;ILMN_2154671;ILMN_2232936;ILMN_1809495;ILMN_2119937;ILMN_1783636;ILMN_2366714;ILMN_1728132;ILMN_1701749;ILMN_1811973;ILMN_1759973;ILMN_2225698;ILMN_1793615;ILMN_1737738;ILMN_1757052;ILMN_1784286;ILMN_1728810;ILMN_2193175;ILMN_1772506;ILMN_1745043
Interferon alpha/beta signaling ,-0.5438780170266956,-4.418202142617652,0.0,0.0013883752765397018,109,71,ILMN_1762899;ILMN_1683328;ILMN_1793384;ILMN_2072357;ILMN_1698186;ILMN_2165753;ILMN_1769988;ILMN_1664122;ILMN_1721026;ILMN_2210601;ILMN_1752923;ILMN_1742328;ILMN_1778401;ILMN_1782448;ILMN_1652376;ILMN_1778236;ILMN_2347999;ILMN_1675192;ILMN_1671054;ILMN_1672606;ILMN_1767006;ILMN_1656670;ILMN_2150787;ILMN_1754507;ILMN_1682245;ILMN_1681721;ILMN_2186745;ILMN_1657871;ILMN_1659913;ILMN_1676846;ILMN_1688663;ILMN_1666594;ILMN_1664595;ILMN_2156250;ILMN_2184262;ILMN_1733136;ILMN_2110561;ILMN_1762861;ILMN_1765258;ILMN_1670576;ILMN_1765649;ILMN_1660195;ILMN_1684538;ILMN_2203950;ILMN_1676955;ILMN_1774733;ILMN_2058782;ILMN_1708375;ILMN_1681591;ILMN_2349061;ILMN_1776777;ILMN_1747195;ILMN_2231928;ILMN_1740200;ILMN_1739428;ILMN_1707695;ILMN_1774077;ILMN_2054019;ILMN_1765547;ILMN_1687384;ILMN_1662358;ILMN_1745471;ILMN_1701789;ILMN_1723480;ILMN_1674063;ILMN_1673352;ILMN_1690921;ILMN_1805750;ILMN_1691364;ILMN_1801246;ILMN_1742618,ILMN_1670576;ILMN_1765649;ILMN_1660195;ILMN_1684538;ILMN_2203950;ILMN_1676955;ILMN_1774733;ILMN_2058782;ILMN_1708375;ILMN_1681591;ILMN_2349061;ILMN_1776777;ILMN_1747195;ILMN_2231928;ILMN_1740200;ILMN_1739428;ILMN_1707695;ILMN_1774077;ILMN_2054019;ILMN_1765547;ILMN_1687384;ILMN_1662358;ILMN_1745471;ILMN_1701789;ILMN_1723480;ILMN_1674063;ILMN_1673352;ILMN_1690921;ILMN_1805750;ILMN_1691364;ILMN_1801246;ILMN_1742618
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. ",0.4891362670044855,4.8564118489886,0.0,0.00266187649254143,132,104,ILMN_2079285;ILMN_1728975;ILMN_2128489;ILMN_1701269;ILMN_1804656;ILMN_1672191;ILMN_1698487;ILMN_1751258;ILMN_1718853;ILMN_1791332;ILMN_2117330;ILMN_1770466;ILMN_2179018;ILMN_1813604;ILMN_1772929;ILMN_1807397;ILMN_1659524;ILMN_2369924;ILMN_2175712;ILMN_1744210;ILMN_1812312;ILMN_2154671;ILMN_2232936;ILMN_1809495;ILMN_2119937;ILMN_1783636;ILMN_2366714;ILMN_1701749;ILMN_1759973;ILMN_2225698;ILMN_1737738;ILMN_1784286;ILMN_1728810;ILMN_2193175;ILMN_1772506;ILMN_1760741;ILMN_1772132;ILMN_2145518;ILMN_1663512;ILMN_1718924;ILMN_1756674;ILMN_1808584;ILMN_2387731;ILMN_1666280;ILMN_1698726;ILMN_1712430;ILMN_2184049;ILMN_1721719;ILMN_2307883;ILMN_1675239;ILMN_1733554;ILMN_1660577;ILMN_1694274;ILMN_2071898;ILMN_1749709;ILMN_1682857;ILMN_1758034;ILMN_1667257;ILMN_1733603;ILMN_1727618;ILMN_1776104;ILMN_1754421;ILMN_1724367;ILMN_1751615;ILMN_1798189;ILMN_1813344;ILMN_1666471;ILMN_1784641;ILMN_1767139;ILMN_1815115;ILMN_1743770;ILMN_1662417;ILMN_1874613;ILMN_1685112;ILMN_1666372;ILMN_1789342;ILMN_2323366;ILMN_1811754;ILMN_1704477;ILMN_1756355;ILMN_1699737;ILMN_1666364;ILMN_2233604;ILMN_1677617;ILMN_1759729;ILMN_2299843;ILMN_1702120;ILMN_1706305;ILMN_1669966;ILMN_1794132;ILMN_1752006;ILMN_1671191;ILMN_2048811;ILMN_1684758;ILMN_1661170;ILMN_1654151;ILMN_1663407;ILMN_1745049;ILMN_1653599;ILMN_1775579;ILMN_1685625;ILMN_2086417;ILMN_1870931;ILMN_1690939,ILMN_2079285;ILMN_1728975;ILMN_2128489;ILMN_1701269;ILMN_1804656;ILMN_1672191;ILMN_1698487;ILMN_1751258;ILMN_1718853;ILMN_1791332;ILMN_2117330;ILMN_1770466;ILMN_2179018;ILMN_1813604;ILMN_1772929;ILMN_1807397;ILMN_1659524;ILMN_2369924;ILMN_2175712;ILMN_1744210;ILMN_1812312;ILMN_2154671;ILMN_2232936;ILMN_1809495;ILMN_2119937;ILMN_1783636;ILMN_2366714;ILMN_1701749;ILMN_1759973;ILMN_2225698;ILMN_1737738;ILMN_1784286;ILMN_1728810;ILMN_2193175;ILMN_1772506;ILMN_1760741;ILMN_1772132;ILMN_2145518;ILMN_1663512;ILMN_1718924;ILMN_1756674;ILMN_1808584;ILMN_2387731;ILMN_1666280;ILMN_1698726
Formation of ATP by chemiosmotic coupling ,0.7119324525177916,4.465478312884639,0.0,0.007320160354488933,17,15,ILMN_2079285;ILMN_1701269;ILMN_1672191;ILMN_1791332;ILMN_1770466;ILMN_1772929;ILMN_1772506;ILMN_1772132;ILMN_1756674;ILMN_1712430;ILMN_2307883;ILMN_1660577;ILMN_1874613;ILMN_1666372;ILMN_2299843,ILMN_2079285;ILMN_1701269;ILMN_1672191;ILMN_1791332;ILMN_1770466;ILMN_1772929;ILMN_1772506;ILMN_1772132;ILMN_1756674;ILMN_1712430;ILMN_2307883
Respiratory electron transport ,0.47800728486332045,4.476029555729115,0.0,0.008872921641804766,109,83,ILMN_1728975;ILMN_2128489;ILMN_1804656;ILMN_1698487;ILMN_1751258;ILMN_1718853;ILMN_2117330;ILMN_2179018;ILMN_1813604;ILMN_1807397;ILMN_1659524;ILMN_2369924;ILMN_2175712;ILMN_1744210;ILMN_1812312;ILMN_2154671;ILMN_2232936;ILMN_1809495;ILMN_2119937;ILMN_1783636;ILMN_2366714;ILMN_1701749;ILMN_1759973;ILMN_2225698;ILMN_1737738;ILMN_1784286;ILMN_1728810;ILMN_2193175;ILMN_1760741;ILMN_2145518;ILMN_1663512;ILMN_1718924;ILMN_1808584;ILMN_2387731;ILMN_1666280;ILMN_2184049;ILMN_1721719;ILMN_1675239;ILMN_1694274;ILMN_2071898;ILMN_1749709;ILMN_1682857;ILMN_1758034;ILMN_1667257;ILMN_1733603;ILMN_1727618;ILMN_1776104;ILMN_1754421;ILMN_1724367;ILMN_1751615;ILMN_1798189;ILMN_1813344;ILMN_1666471;ILMN_1784641;ILMN_1767139;ILMN_1815115;ILMN_1662417;ILMN_1685112;ILMN_1789342;ILMN_2323366;ILMN_1811754;ILMN_1704477;ILMN_1756355;ILMN_1699737;ILMN_1666364;ILMN_2233604;ILMN_1759729;ILMN_1702120;ILMN_1706305;ILMN_1669966;ILMN_1794132;ILMN_1752006;ILMN_1671191;ILMN_2048811;ILMN_1684758;ILMN_1661170;ILMN_1654151;ILMN_1663407;ILMN_1745049;ILMN_1775579;ILMN_2086417;ILMN_1870931;ILMN_1690939,ILMN_1728975;ILMN_2128489;ILMN_1804656;ILMN_1698487;ILMN_1751258;ILMN_1718853;ILMN_2117330;ILMN_2179018;ILMN_1813604;ILMN_1807397;ILMN_1659524;ILMN_2369924;ILMN_2175712;ILMN_1744210;ILMN_1812312;ILMN_2154671;ILMN_2232936;ILMN_1809495;ILMN_2119937;ILMN_1783636;ILMN_2366714;ILMN_1701749;ILMN_1759973;ILMN_2225698;ILMN_1737738;ILMN_1784286;ILMN_1728810;ILMN_2193175
Formation of TC-NER Pre-Incision Complex ,0.5131260025778984,4.366952268489813,0.0,0.016237446604502725,60,52,ILMN_1748105;ILMN_2357770;ILMN_2373779;ILMN_1652123;ILMN_2088172;ILMN_1736002;ILMN_1695792;ILMN_2326737;ILMN_1659026;ILMN_1786882;ILMN_1666670;ILMN_2083243;ILMN_1795922;ILMN_1655827;ILMN_1725666;ILMN_1770732;ILMN_1691535;ILMN_1691485;ILMN_1726693;ILMN_1792107;ILMN_1792672;ILMN_1726755;ILMN_1742250;ILMN_1748438;ILMN_1732300;ILMN_1787591;ILMN_1739497;ILMN_2048326;ILMN_1740216;ILMN_1758412;ILMN_2191428;ILMN_2331501;ILMN_1784785;ILMN_1728490;ILMN_1782977;ILMN_1662772;ILMN_1670037;ILMN_2177460;ILMN_1769960;ILMN_1764431;ILMN_1778917;ILMN_1689445;ILMN_1744665;ILMN_1745885;ILMN_1664102;ILMN_1800308;ILMN_1769545;ILMN_1720542;ILMN_1782385;ILMN_1771057;ILMN_1815859;ILMN_1729319,ILMN_1748105;ILMN_2357770;ILMN_2373779;ILMN_1652123;ILMN_2088172;ILMN_1736002;ILMN_1695792;ILMN_2326737;ILMN_1659026;ILMN_1786882;ILMN_1666670;ILMN_2083243;ILMN_1795922;ILMN_1655827;ILMN_1725666;ILMN_1770732;ILMN_1691535;ILMN_1691485;ILMN_1726693;ILMN_1792107;ILMN_1792672;ILMN_1726755
Cristae formation ,0.5778384754670617,4.290790599525588,0.0021321961620469083,0.023513242350782632,30,28,ILMN_2079285;ILMN_1721623;ILMN_1701269;ILMN_1672191;ILMN_1791332;ILMN_1770466;ILMN_1765684;ILMN_1772929;ILMN_1799466;ILMN_1772506;ILMN_2175265;ILMN_1772132;ILMN_1673026;ILMN_1782579;ILMN_1756674;ILMN_1910390;ILMN_1719403;ILMN_1712430;ILMN_2307883;ILMN_1660577;ILMN_1874613;ILMN_1666372;ILMN_1671932;ILMN_2299843;ILMN_1785161;ILMN_1679209;ILMN_1653599;ILMN_1777483,ILMN_2079285;ILMN_1721623;ILMN_1701269;ILMN_1672191;ILMN_1791332;ILMN_1770466;ILMN_1765684;ILMN_1772929;ILMN_1799466;ILMN_1772506;ILMN_2175265;ILMN_1772132;ILMN_1673026;ILMN_1782579;ILMN_1756674;ILMN_1910390;ILMN_1719403;ILMN_1712430;ILMN_2307883
Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex ,0.6884031163926324,4.2526375984113525,0.006550218340611353,0.026808898960595837,13,13,ILMN_1674385;ILMN_1778561;ILMN_1750145;ILMN_1694385;ILMN_1747911;ILMN_1807535;ILMN_2395236;ILMN_1664630;ILMN_1712803;ILMN_1728512;ILMN_2407619;ILMN_1801928;ILMN_1806607,ILMN_1674385;ILMN_1778561;ILMN_1750145;ILMN_1694385;ILMN_1747911;ILMN_1807535;ILMN_2395236;ILMN_1664630
Molecules associated with elastic fibres ,0.5570826687761978,4.183364276322069,0.0,0.0384308418610669,37,34,ILMN_1732921;ILMN_1789846;ILMN_2169439;ILMN_1709734;ILMN_1795266;ILMN_2245087;ILMN_1670899;ILMN_1812526;ILMN_1722718;ILMN_1741566;ILMN_1664176;ILMN_1777121;ILMN_1723467;ILMN_1721769;ILMN_2350634;ILMN_1778237;ILMN_1676799;ILMN_2352917;ILMN_1719755;ILMN_1791688;ILMN_1722713;ILMN_1796471;ILMN_1697268;ILMN_1691127;ILMN_1796755;ILMN_1653203;ILMN_1656321;ILMN_1766914;ILMN_1733415;ILMN_1757506;ILMN_1660306;ILMN_1783182;ILMN_1711439;ILMN_2129668,ILMN_1732921;ILMN_1789846;ILMN_2169439;ILMN_1709734;ILMN_1795266;ILMN_2245087;ILMN_1670899;ILMN_1812526;ILMN_1722718;ILMN_1741566;ILMN_1664176;ILMN_1777121;ILMN_1723467;ILMN_1721769;ILMN_2350634;ILMN_1778237;ILMN_1676799;ILMN_2352917
Glycogen synthesis ,0.66621135959398,4.098501424821296,0.0,0.0578218726990944,15,15,ILMN_2389155;ILMN_1716265;ILMN_1800659;ILMN_1796746;ILMN_1673543;ILMN_1789702;ILMN_1807745;ILMN_2230862;ILMN_1719468;ILMN_2048326;ILMN_2191428;ILMN_2331501;ILMN_1782977;ILMN_1736670;ILMN_1711289,ILMN_2389155;ILMN_1716265;ILMN_1800659;ILMN_1796746;ILMN_1673543;ILMN_1789702
