Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Signaling by Hippo ,0.6503065967883911,4.05158876597323,0.0,0.06419932797639721,21,17,ILMN_1691499;ILMN_1792409;ILMN_1709479;ILMN_1778788;ILMN_2050654;ILMN_1652151;ILMN_2108029;ILMN_1666453;ILMN_1793349;ILMN_1807535;ILMN_1703412;ILMN_1787115;ILMN_1658619;ILMN_1694385;ILMN_2219512;ILMN_2388155;ILMN_1711383,ILMN_1691499;ILMN_1792409;ILMN_1709479;ILMN_1778788;ILMN_2050654
HDMs demethylate histones ,0.544992862708288,4.230193520126014,0.0,0.07003563051970606,49,43,ILMN_1881081;ILMN_1781537;ILMN_1739587;ILMN_1670033;ILMN_1751120;ILMN_1676580;ILMN_1721127;ILMN_1681542;ILMN_1755727;ILMN_1713436;ILMN_1661770;ILMN_1782329;ILMN_2119320;ILMN_2115340;ILMN_2053992;ILMN_1722532;ILMN_1776845;ILMN_1664706;ILMN_1726815;ILMN_1736650;ILMN_2224990;ILMN_1654488;ILMN_1669468;ILMN_1720476;ILMN_2244257;ILMN_1721626;ILMN_1685690;ILMN_2207865;ILMN_1666179;ILMN_1798224;ILMN_1651464;ILMN_2397521;ILMN_2075334;ILMN_1749368;ILMN_1707257;ILMN_1706539;ILMN_1788489;ILMN_1723111;ILMN_2230530;ILMN_1689624;ILMN_1720531;ILMN_2165369;ILMN_2412024,ILMN_1881081;ILMN_1781537;ILMN_1739587;ILMN_1670033;ILMN_1751120;ILMN_1676580;ILMN_1721127;ILMN_1681542;ILMN_1755727;ILMN_1713436;ILMN_1661770;ILMN_1782329;ILMN_2119320;ILMN_2115340;ILMN_2053992;ILMN_1722532;ILMN_1776845;ILMN_1664706;ILMN_1726815
SIRT1 negatively regulates rRNA expression ,0.4713339002915402,4.138215422881117,0.0,0.07538557451773917,68,60,ILMN_1667977;ILMN_1881081;ILMN_1808907;ILMN_2085525;ILMN_1775925;ILMN_2402930;ILMN_1670033;ILMN_2066667;ILMN_1751120;ILMN_1688666;ILMN_1676580;ILMN_1756849;ILMN_1721127;ILMN_1681542;ILMN_1713436;ILMN_1782329;ILMN_2119320;ILMN_1716195;ILMN_2115340;ILMN_2053992;ILMN_1776845;ILMN_1664706;ILMN_1726815;ILMN_1687947;ILMN_1753524;ILMN_1785756;ILMN_2224990;ILMN_1792689;ILMN_2144426;ILMN_1750180;ILMN_1813314;ILMN_2360448;ILMN_1768973;ILMN_1732071;ILMN_1680937;ILMN_1758623;ILMN_1706784;ILMN_1742143;ILMN_1781479;ILMN_1652998;ILMN_2207865;ILMN_1666179;ILMN_1764986;ILMN_1708728;ILMN_2075334;ILMN_1749368;ILMN_2335072;ILMN_1707257;ILMN_1788489;ILMN_1723111;ILMN_1658702;ILMN_1742123;ILMN_1707858;ILMN_1695706;ILMN_2108779;ILMN_1755318;ILMN_2165369;ILMN_1697117;ILMN_1779373;ILMN_1736820,ILMN_1667977;ILMN_1881081;ILMN_1808907;ILMN_2085525;ILMN_1775925;ILMN_2402930;ILMN_1670033;ILMN_2066667;ILMN_1751120;ILMN_1688666;ILMN_1676580;ILMN_1756849;ILMN_1721127;ILMN_1681542;ILMN_1713436;ILMN_1782329;ILMN_2119320;ILMN_1716195;ILMN_2115340;ILMN_2053992;ILMN_1776845;ILMN_1664706;ILMN_1726815;ILMN_1687947;ILMN_1753524;ILMN_1785756
RHO GTPases activate PKNs ,0.4410686062475047,4.056185678531242,0.002127659574468085,0.08365366978742668,96,85,ILMN_1881081;ILMN_1808907;ILMN_1775925;ILMN_1728512;ILMN_1662687;ILMN_2402930;ILMN_1806607;ILMN_1670033;ILMN_1751120;ILMN_1688666;ILMN_2087702;ILMN_1676580;ILMN_1756849;ILMN_1750145;ILMN_1721127;ILMN_1681542;ILMN_1706825;ILMN_1713436;ILMN_1661770;ILMN_1756289;ILMN_1782329;ILMN_2119320;ILMN_1716195;ILMN_2115340;ILMN_2053992;ILMN_1776845;ILMN_1664706;ILMN_1726815;ILMN_1663787;ILMN_1687947;ILMN_1674385;ILMN_1753524;ILMN_1785756;ILMN_1767365;ILMN_1675062;ILMN_2224990;ILMN_1781290;ILMN_1792689;ILMN_2144426;ILMN_1750180;ILMN_1810554;ILMN_1813314;ILMN_2326071;ILMN_1768973;ILMN_1732071;ILMN_1680937;ILMN_1758623;ILMN_1706784;ILMN_2368834;ILMN_1761968;ILMN_1742143;ILMN_1807535;ILMN_1797184;ILMN_1652998;ILMN_2371917;ILMN_2207865;ILMN_1666179;ILMN_1764986;ILMN_1708728;ILMN_2075334;ILMN_2359789;ILMN_1673305;ILMN_1749368;ILMN_1694385;ILMN_1815154;ILMN_1707257;ILMN_1788489;ILMN_1802205;ILMN_1723111;ILMN_1658702;ILMN_2407619;ILMN_1804461;ILMN_1654016;ILMN_1742123;ILMN_1801928;ILMN_1767351;ILMN_1707858;ILMN_2405023;ILMN_1695706;ILMN_2108779;ILMN_1755318;ILMN_2165369;ILMN_1779373;ILMN_1769040;ILMN_1736820,ILMN_1881081;ILMN_1808907;ILMN_1775925;ILMN_1728512;ILMN_1662687;ILMN_2402930;ILMN_1806607;ILMN_1670033;ILMN_1751120;ILMN_1688666;ILMN_2087702;ILMN_1676580;ILMN_1756849;ILMN_1750145;ILMN_1721127;ILMN_1681542;ILMN_1706825;ILMN_1713436;ILMN_1661770;ILMN_1756289;ILMN_1782329;ILMN_2119320;ILMN_1716195;ILMN_2115340;ILMN_2053992;ILMN_1776845;ILMN_1664706;ILMN_1726815;ILMN_1663787;ILMN_1687947;ILMN_1674385;ILMN_1753524;ILMN_1785756;ILMN_1767365;ILMN_1675062;ILMN_2224990;ILMN_1781290;ILMN_1792689
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3 ,0.45582026741895987,3.958722312345482,0.0,0.09085177625750758,67,59,ILMN_1881081;ILMN_1808907;ILMN_1775925;ILMN_1662687;ILMN_2402930;ILMN_1670033;ILMN_1751120;ILMN_1688666;ILMN_1676580;ILMN_1756849;ILMN_1721127;ILMN_1681542;ILMN_1713436;ILMN_1661770;ILMN_1782329;ILMN_2119320;ILMN_1716195;ILMN_2115340;ILMN_2053992;ILMN_1776845;ILMN_1664706;ILMN_1726815;ILMN_1663787;ILMN_1687947;ILMN_1753524;ILMN_1785756;ILMN_2224990;ILMN_1792689;ILMN_2144426;ILMN_1750180;ILMN_1813314;ILMN_1768973;ILMN_1732071;ILMN_1680937;ILMN_1758623;ILMN_1706784;ILMN_1742143;ILMN_1652998;ILMN_2371917;ILMN_2207865;ILMN_1666179;ILMN_1764986;ILMN_1708728;ILMN_2075334;ILMN_1749368;ILMN_1707257;ILMN_1788489;ILMN_1723111;ILMN_1658702;ILMN_1742123;ILMN_1767351;ILMN_1707858;ILMN_1695706;ILMN_2108779;ILMN_1755318;ILMN_2165369;ILMN_1779373;ILMN_1769040;ILMN_1736820,ILMN_1881081;ILMN_1808907;ILMN_1775925;ILMN_1662687;ILMN_2402930;ILMN_1670033;ILMN_1751120;ILMN_1688666;ILMN_1676580;ILMN_1756849;ILMN_1721127;ILMN_1681542;ILMN_1713436;ILMN_1661770;ILMN_1782329;ILMN_2119320;ILMN_1716195;ILMN_2115340;ILMN_2053992;ILMN_1776845;ILMN_1664706;ILMN_1726815;ILMN_1663787;ILMN_1687947;ILMN_1753524;ILMN_1785756
B-WICH complex positively regulates rRNA expression ,0.4201448618191253,3.895325276662609,0.0,0.10894431414176499,98,81,ILMN_1667977;ILMN_1881081;ILMN_1808907;ILMN_2085525;ILMN_1786882;ILMN_1775925;ILMN_2402930;ILMN_1780758;ILMN_1670033;ILMN_1733802;ILMN_1781121;ILMN_1751120;ILMN_1688666;ILMN_1676580;ILMN_1756849;ILMN_1735461;ILMN_1670037;ILMN_1721127;ILMN_1681542;ILMN_1713436;ILMN_1747630;ILMN_1782329;ILMN_2119320;ILMN_1716195;ILMN_2115340;ILMN_2053992;ILMN_1779376;ILMN_1674780;ILMN_1776845;ILMN_1664706;ILMN_1726815;ILMN_1687947;ILMN_1753524;ILMN_1785756;ILMN_1713163;ILMN_2224990;ILMN_1792689;ILMN_2038777;ILMN_2144426;ILMN_1750180;ILMN_1744665;ILMN_1813314;ILMN_2360448;ILMN_1768973;ILMN_1732071;ILMN_1680937;ILMN_1758623;ILMN_1706784;ILMN_1742143;ILMN_2329165;ILMN_1652998;ILMN_2207865;ILMN_1666179;ILMN_1764986;ILMN_1767219;ILMN_1708728;ILMN_2075334;ILMN_1749368;ILMN_2335072;ILMN_1707257;ILMN_1788489;ILMN_1723111;ILMN_2110167;ILMN_1658702;ILMN_1742123;ILMN_2398587;ILMN_1745885;ILMN_1742427;ILMN_1707858;ILMN_1695706;ILMN_2108779;ILMN_1689445;ILMN_1755318;ILMN_2165369;ILMN_1782247;ILMN_1697117;ILMN_1779373;ILMN_1806757;ILMN_1659026;ILMN_1747870;ILMN_1736820,ILMN_1667977;ILMN_1881081;ILMN_1808907;ILMN_2085525;ILMN_1786882;ILMN_1775925;ILMN_2402930;ILMN_1780758;ILMN_1670033;ILMN_1733802;ILMN_1781121;ILMN_1751120;ILMN_1688666;ILMN_1676580;ILMN_1756849;ILMN_1735461;ILMN_1670037;ILMN_1721127;ILMN_1681542;ILMN_1713436;ILMN_1747630;ILMN_1782329;ILMN_2119320;ILMN_1716195;ILMN_2115340;ILMN_2053992;ILMN_1779376;ILMN_1674780;ILMN_1776845;ILMN_1664706;ILMN_1726815;ILMN_1687947;ILMN_1753524;ILMN_1785756
Citric acid cycle (TCA cycle) ,0.5631520175555148,3.744188243887421,0.004149377593360996,0.2219184562301003,21,21,ILMN_2323366;ILMN_1779616;ILMN_1719392;ILMN_2079004;ILMN_1652379;ILMN_1664577;ILMN_1802706;ILMN_1698487;ILMN_1747159;ILMN_1806634;ILMN_1654861;ILMN_1773228;ILMN_1660787;ILMN_1741462;ILMN_1751753;ILMN_1744210;ILMN_1675186;ILMN_1793615;ILMN_1698533;ILMN_1667257;ILMN_1810400,ILMN_2323366;ILMN_1779616;ILMN_1719392;ILMN_2079004;ILMN_1652379;ILMN_1664577;ILMN_1802706
"Transport of vitamins, nucleosides, and related molecules ",0.46138903309451507,3.5627169852391454,0.00625,0.3227799545479972,43,39,ILMN_1656097;ILMN_2338963;ILMN_1741014;ILMN_1682910;ILMN_1687319;ILMN_1792317;ILMN_1653429;ILMN_1663699;ILMN_1702683;ILMN_2172933;ILMN_1655039;ILMN_1739925;ILMN_2057768;ILMN_1680104;ILMN_1703886;ILMN_1780170;ILMN_1782939;ILMN_1706571;ILMN_1741054;ILMN_1681670;ILMN_1811443;ILMN_1741440;ILMN_2377199;ILMN_1727200;ILMN_1761199;ILMN_1697959;ILMN_1721011;ILMN_1755391;ILMN_1730809;ILMN_1771118;ILMN_1787879;ILMN_1787718;ILMN_1801886;ILMN_1686464;ILMN_1792135;ILMN_1717313;ILMN_1769993;ILMN_1803862;ILMN_1705231,ILMN_1656097;ILMN_2338963;ILMN_1741014;ILMN_1682910;ILMN_1687319;ILMN_1792317;ILMN_1653429;ILMN_1663699;ILMN_1702683;ILMN_2172933;ILMN_1655039;ILMN_1739925;ILMN_2057768;ILMN_1680104;ILMN_1703886;ILMN_1780170;ILMN_1782939
Activation of AMPK downstream of NMDARs ,0.4929397789585442,3.5755568371504816,0.008583690987124463,0.3311659549195697,30,26,ILMN_2038775;ILMN_1786021;ILMN_1783889;ILMN_1710280;ILMN_1652464;ILMN_1679482;ILMN_1797531;ILMN_1668778;ILMN_1793659;ILMN_1751984;ILMN_1743021;ILMN_2178994;ILMN_1670385;ILMN_1677635;ILMN_1784300;ILMN_1716754;ILMN_1682459;ILMN_1680874;ILMN_1778242;ILMN_1791726;ILMN_1702636;ILMN_2310814;ILMN_1780769;ILMN_1742167;ILMN_1793522;ILMN_2148819,ILMN_2038775;ILMN_1786021;ILMN_1783889;ILMN_1710280;ILMN_1652464;ILMN_1679482;ILMN_1797531;ILMN_1668778;ILMN_1793659;ILMN_1751984;ILMN_1743021;ILMN_2178994
Cholesterol biosynthesis ,0.5793357883844805,3.6334824816914773,0.00196078431372549,0.34750318059951374,25,23,ILMN_1692276;ILMN_1657550;ILMN_1802628;ILMN_1815626;ILMN_1720889;ILMN_1755075;ILMN_1715896;ILMN_1800935;ILMN_1797728;ILMN_2133799;ILMN_1786310;ILMN_1804248;ILMN_1687863;ILMN_1677607;ILMN_2144088;ILMN_2073604;ILMN_2041293;ILMN_1671661;ILMN_1692163;ILMN_1727756;ILMN_1690040;ILMN_1725510;ILMN_1768969,ILMN_1692276;ILMN_1657550;ILMN_1802628;ILMN_1815626;ILMN_1720889;ILMN_1755075;ILMN_1715896;ILMN_1800935;ILMN_1797728;ILMN_2133799;ILMN_1786310;ILMN_1804248;ILMN_1687863;ILMN_1677607
