Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Activation of ATR in response to replication stress Homo sapiens R-HSA-176187,-0.7960005214239354,-4.001591770815088,0.0,0.0,37,37,RPA3;RAD1;RFC5;RPA2;ORC4;RPA1;RAD9B;HUS1;ATR;ATRIP;ORC2;ORC6;RAD17;ORC3;CLSPN;CDK2;DBF4;RAD9A;ORC5;RFC3;CDC6;CDC25C;CDC7;MCM3;MCM8;MCM7;MCM4;RFC2;MCM2;RFC4;MCM10;ORC1;CHEK1;CDC25A;MCM5;MCM6;CDC45,RFC3;CDC6;CDC25C;CDC7;MCM3;MCM8;MCM7;MCM4;RFC2;MCM2;RFC4;MCM10;ORC1;CHEK1;CDC25A;MCM5;MCM6;CDC45
Chemokine receptors bind chemokines Homo sapiens R-HSA-380108,-0.7337833051787748,-3.642493480288254,0.0,0.0,56,53,CX3CR1;ACKR3;CXCL12;CCL16;CCL28;CCL4;CCR10;CCR9;PF4;PPBP;CCR6;XCR1;CXCR1;CXCL3;ACKR4;CCR5;CXCL11;CCR3;CCL27;CCL1;CCRL2;CCL11;CXCR2;CXCL16;CXCL2;CXCL6;XCL1;CCL3;CCR4;CXCL5;CCL17;CCL25;CCL21;ACKR2;CXCL1;CXCL13;CCL22;CCL19;CCL2;CXCR5;CCR2;CCL7;CCR1;CXCR3;CCR7;CXCL8;CXCR4;CCL5;CX3CL1;CXCL10;CXCR6;CCL20;CXCL9,CXCL16;CXCL2;CXCL6;XCL1;CCL3;CCR4;CXCL5;CCL17;CCL25;CCL21;ACKR2;CXCL1;CXCL13;CCL22;CCL19;CCL2;CXCR5;CCR2;CCL7;CCR1;CXCR3;CCR7;CXCL8;CXCR4;CCL5;CX3CL1;CXCL10;CXCR6;CCL20;CXCL9
DNA Replication Homo sapiens R-HSA-69306,-0.6891395790706463,-3.755261714093074,0.0,0.0,105,105,POLD4;CDKN1B;PSME1;PSMA2;RPA3;UBB;PSMD6;PCNA;RB1;PSME3;PSMD9;RFC1;RFC5;PSMC6;RPA2;ORC4;PSMC5;RPA1;PSMD12;FZR1;PSMD10;E2F1;PSMA3;POLA1;PSMB11;PSMD13;ORC2;PSMF1;GINS1;PSMC4;PRIM1;GINS2;ORC6;PSMD5;ORC3;PSMA8;PSMB6;UBA52;CDKN1A;CDK2;PSMA6;PSMB8;PSMD4;DBF4;UBC;PSME2;POLD2;PSMD8;PSMC1;PSMA5;RPS27A;GMNN;PSMA1;LIG1;RPA4;POLD3;ORC5;POLE2;POLE;PSMB1;PSMA4;PSMC3;RFC3;PSMA7;PSMD11;PSMD1;PRIM2;CDC6;DNA2;PSMD14;PSMB3;PSMB7;PSMB4;PSMB5;PSMD3;CDC7;PSMB9;POLA2;MCM3;GINS4;PSMC2;PSMB10;CCNA1;MCM8;POLD1;MCM7;FEN1;MCM4;RFC2;PSMD2;PSMD7;MCM2;RFC4;PSMB2;MCM10;E2F2;ORC1;CDT1;GINS3;CCNA2;MCM5;PSME4;E2F3;MCM6;CDC45,PSMA5;RPS27A;GMNN;PSMA1;LIG1;RPA4;POLD3;ORC5;POLE2;POLE;PSMB1;PSMA4;PSMC3;RFC3;PSMA7;PSMD11;PSMD1;PRIM2;CDC6;DNA2;PSMD14;PSMB3;PSMB7;PSMB4;PSMB5;PSMD3;CDC7;PSMB9;POLA2;MCM3;GINS4;PSMC2;PSMB10;CCNA1;MCM8;POLD1;MCM7;FEN1;MCM4;RFC2;PSMD2;PSMD7;MCM2;RFC4;PSMB2;MCM10;E2F2;ORC1;CDT1;GINS3;CCNA2;MCM5;PSME4;E2F3;MCM6;CDC45
DNA Replication Pre-Initiation Homo sapiens R-HSA-69002,-0.7125424608766687,-3.675524695855761,0.0,0.0,82,82,PSME1;PSMA2;RPA3;UBB;PSMD6;PSME3;PSMD9;PSMC6;RPA2;ORC4;PSMC5;RPA1;PSMD12;PSMD10;E2F1;PSMA3;POLA1;PSMB11;PSMD13;ORC2;PSMF1;PSMC4;PRIM1;ORC6;PSMD5;ORC3;PSMA8;PSMB6;UBA52;CDK2;PSMA6;PSMB8;PSMD4;DBF4;UBC;PSME2;PSMD8;PSMC1;PSMA5;RPS27A;GMNN;PSMA1;RPA4;ORC5;POLE2;POLE;PSMB1;PSMA4;PSMC3;PSMA7;PSMD11;PSMD1;PRIM2;CDC6;PSMD14;PSMB3;PSMB7;PSMB4;PSMB5;PSMD3;CDC7;PSMB9;POLA2;MCM3;PSMC2;PSMB10;MCM8;MCM7;MCM4;PSMD2;PSMD7;MCM2;PSMB2;MCM10;E2F2;ORC1;CDT1;MCM5;PSME4;E2F3;MCM6;CDC45,PSMA5;RPS27A;GMNN;PSMA1;RPA4;ORC5;POLE2;POLE;PSMB1;PSMA4;PSMC3;PSMA7;PSMD11;PSMD1;PRIM2;CDC6;PSMD14;PSMB3;PSMB7;PSMB4;PSMB5;PSMD3;CDC7;PSMB9;POLA2;MCM3;PSMC2;PSMB10;MCM8;MCM7;MCM4;PSMD2;PSMD7;MCM2;PSMB2;MCM10;E2F2;ORC1;CDT1;MCM5;PSME4;E2F3;MCM6;CDC45
DNA strand elongation Homo sapiens R-HSA-69190,-0.758170575183405,-3.7544681910612594,0.0,0.0,32,32,POLD4;RPA3;PCNA;RFC1;RFC5;RPA2;RPA1;POLA1;GINS1;PRIM1;GINS2;POLD2;LIG1;POLD3;RFC3;PRIM2;DNA2;POLA2;MCM3;GINS4;MCM8;POLD1;MCM7;FEN1;MCM4;RFC2;MCM2;RFC4;GINS3;MCM5;MCM6;CDC45,RFC3;PRIM2;DNA2;POLA2;MCM3;GINS4;MCM8;POLD1;MCM7;FEN1;MCM4;RFC2;MCM2;RFC4;GINS3;MCM5;MCM6;CDC45
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell Homo sapiens R-HSA-198933,-0.757790739749512,-4.050828710806484,0.0,0.0,157,115,LILRA2;MICA;TREM2;NCR3LG1;SIGLEC6;CD300LG;CD34;KLRG1;MADCAM1;LILRA1;MICB;CD300E;CDH1;SIGLEC5;LILRA4;SIGLEC8;RAET1E;CD22;ICAM1;LILRA6;ULBP3;IFITM1;NCR1;NCR2;TREML4;KIR2DL1;CD1A;CRTAM;SIGLEC12;FCGR3A;KLRK1;KIR3DL1;TREML1;CD200;CLEC2D;GLYCAM1;ITGB1;HLA-C;CXADR;B2M;CD300LB;CD1C;CD81;ICAM5;CLEC2B;CD33;SIGLEC11;LILRA3;LILRA5;C3;CD200R1;HLA-H;SH2D1B;ICAM4;ICAM3;CD300C;TYROBP;CD1D;KLRC1;FCGR2B;ITGAL;CD160;ITGA4;SIGLEC7;SIGLEC1;TREM1;TREML2;KLRF1;CD40;LILRB1;SIGLEC9;HLA-B;CD8B;IGLV8-61;OSCAR;CD40LG;CD1B;CD226;HLA-G;HLA-A;KLRB1;LILRB5;FCGR1A;ICAM2;KIR2DL4;CD300A;LAIR1;ITGB2;HCST;CD8A;NCR3;CD3E;SIGLEC10;SH2D1A;CD19;SELL;SLAMF7;ULBP1;LAIR2;CD300LF;CD3G;PVR;CD3D;HLA-F;CD247;CD96;LILRB4;SLAMF6;HLA-E;VCAM1;KIR2DL3;ITGB7;KLRD1;LILRB2;LILRB3,B2M;CD300LB;CD1C;CD81;ICAM5;CLEC2B;CD33;SIGLEC11;LILRA3;LILRA5;C3;CD200R1;HLA-H;SH2D1B;ICAM4;ICAM3;CD300C;TYROBP;CD1D;KLRC1;FCGR2B;ITGAL;CD160;ITGA4;SIGLEC7;SIGLEC1;TREM1;TREML2;KLRF1;CD40;LILRB1;SIGLEC9;HLA-B;CD8B;IGLV8-61;OSCAR;CD40LG;CD1B;CD226;HLA-G;HLA-A;KLRB1;LILRB5;FCGR1A;ICAM2;KIR2DL4;CD300A;LAIR1;ITGB2;HCST;CD8A;NCR3;CD3E;SIGLEC10;SH2D1A;CD19;SELL;SLAMF7;ULBP1;LAIR2;CD300LF;CD3G;PVR;CD3D;HLA-F;CD247;CD96;LILRB4;SLAMF6;HLA-E;VCAM1;KIR2DL3;ITGB7;KLRD1;LILRB2;LILRB3
M/G1 Transition Homo sapiens R-HSA-68874,-0.7125424608766687,-3.721719231219664,0.0,0.0,82,82,PSME1;PSMA2;RPA3;UBB;PSMD6;PSME3;PSMD9;PSMC6;RPA2;ORC4;PSMC5;RPA1;PSMD12;PSMD10;E2F1;PSMA3;POLA1;PSMB11;PSMD13;ORC2;PSMF1;PSMC4;PRIM1;ORC6;PSMD5;ORC3;PSMA8;PSMB6;UBA52;CDK2;PSMA6;PSMB8;PSMD4;DBF4;UBC;PSME2;PSMD8;PSMC1;PSMA5;RPS27A;GMNN;PSMA1;RPA4;ORC5;POLE2;POLE;PSMB1;PSMA4;PSMC3;PSMA7;PSMD11;PSMD1;PRIM2;CDC6;PSMD14;PSMB3;PSMB7;PSMB4;PSMB5;PSMD3;CDC7;PSMB9;POLA2;MCM3;PSMC2;PSMB10;MCM8;MCM7;MCM4;PSMD2;PSMD7;MCM2;PSMB2;MCM10;E2F2;ORC1;CDT1;MCM5;PSME4;E2F3;MCM6;CDC45,PSMA5;RPS27A;GMNN;PSMA1;RPA4;ORC5;POLE2;POLE;PSMB1;PSMA4;PSMC3;PSMA7;PSMD11;PSMD1;PRIM2;CDC6;PSMD14;PSMB3;PSMB7;PSMB4;PSMB5;PSMD3;CDC7;PSMB9;POLA2;MCM3;PSMC2;PSMB10;MCM8;MCM7;MCM4;PSMD2;PSMD7;MCM2;PSMB2;MCM10;E2F2;ORC1;CDT1;MCM5;PSME4;E2F3;MCM6;CDC45
PD-1 signaling Homo sapiens R-HSA-389948,-0.8213576401753554,-3.81024993279414,0.0,0.0,26,23,HLA-DRB1;HLA-DQB1;HLA-DRB5;HLA-DQB2;PTPN6;HLA-DQA2;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB4;HLA-DRB3;PTPN11;HLA-DQA1;CD274;PDCD1LG2;CD3E;CD4;PDCD1;CD3G;LCK;CD3D;CD247;CSK,HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB4;HLA-DRB3;PTPN11;HLA-DQA1;CD274;PDCD1LG2;CD3E;CD4;PDCD1;CD3G;LCK;CD3D;CD247;CSK
Unwinding of DNA Homo sapiens R-HSA-176974,-0.9512885293801786,-3.6635272298110153,0.0,0.0,12,12,GINS1;GINS2;MCM3;GINS4;MCM8;MCM7;MCM4;MCM2;GINS3;MCM5;MCM6;CDC45,MCM3;GINS4;MCM8;MCM7;MCM4;MCM2;GINS3;MCM5;MCM6;CDC45
Activation of the pre-replicative complex Homo sapiens R-HSA-68962,-0.8082908926929472,-3.596492935252269,0.0,0.00022545251761837235,30,30,RPA3;RPA2;ORC4;RPA1;POLA1;ORC2;PRIM1;ORC6;ORC3;CDK2;DBF4;RPA4;ORC5;POLE2;POLE;PRIM2;CDC6;CDC7;POLA2;MCM3;MCM8;MCM7;MCM4;MCM2;MCM10;ORC1;CDT1;MCM5;MCM6;CDC45,RPA4;ORC5;POLE2;POLE;PRIM2;CDC6;CDC7;POLA2;MCM3;MCM8;MCM7;MCM4;MCM2;MCM10;ORC1;CDT1;MCM5;MCM6;CDC45
