Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
APC/C-mediated degradation of cell cycle proteins ,-0.7164256775472396,-3.5336713818414,0.0,0.0,103,86,ILMN_1738955;ILMN_1683026;ILMN_2210837;ILMN_2376108;ILMN_1732767;ILMN_1767006;ILMN_1802973;ILMN_1659553;ILMN_1739164;ILMN_1776173;ILMN_1711766;ILMN_2339796;ILMN_1797406;ILMN_1697691;ILMN_1806017;ILMN_1747195;ILMN_1806778;ILMN_1849514;ILMN_1779633;ILMN_2245180;ILMN_1659103;ILMN_1721659;ILMN_2096759;ILMN_2048326;ILMN_1720926;ILMN_1691428;ILMN_1753207;ILMN_1723177;ILMN_2112460;ILMN_1782977;ILMN_2291010;ILMN_1689438;ILMN_1813243;ILMN_2157099;ILMN_1786612;ILMN_1787988;ILMN_1726104;ILMN_1709611;ILMN_2058512;ILMN_1701962;ILMN_2387553;ILMN_2383435;ILMN_1682098;ILMN_1704094;ILMN_2331501;ILMN_2395389;ILMN_1749629;ILMN_1666409;ILMN_1814156;ILMN_2191428;ILMN_1704404;ILMN_1759952;ILMN_1768784;ILMN_1733256;ILMN_1780189;ILMN_2346573;ILMN_1702837;ILMN_1809010;ILMN_1799688;ILMN_1789176;ILMN_2199284;ILMN_1764794;ILMN_1763540;ILMN_1737396;ILMN_1791002;ILMN_1710676;ILMN_1744649;ILMN_1800952;ILMN_1712432;ILMN_1796430;ILMN_1722102;ILMN_1748651;ILMN_1797307;ILMN_2042771;ILMN_1665559;ILMN_1736176;ILMN_1663390;ILMN_1747911;ILMN_1786125;ILMN_1684217;ILMN_1680955;ILMN_1712803;ILMN_2301083;ILMN_1653822;ILMN_1737862;ILMN_2344130,ILMN_1666409;ILMN_1814156;ILMN_2191428;ILMN_1704404;ILMN_1759952;ILMN_1768784;ILMN_1733256;ILMN_1780189;ILMN_2346573;ILMN_1702837;ILMN_1809010;ILMN_1799688;ILMN_1789176;ILMN_2199284;ILMN_1764794;ILMN_1763540;ILMN_1737396;ILMN_1791002;ILMN_1710676;ILMN_1744649;ILMN_1800952;ILMN_1712432;ILMN_1796430;ILMN_1722102;ILMN_1748651;ILMN_1797307;ILMN_2042771;ILMN_1665559;ILMN_1736176;ILMN_1663390;ILMN_1747911;ILMN_1786125;ILMN_1684217;ILMN_1680955;ILMN_1712803;ILMN_2301083;ILMN_1653822;ILMN_1737862;ILMN_2344130
AURKA Activation by TPX2 ,-0.7185762526443743,-3.4734534103861816,0.0,0.0,82,70,ILMN_1722276;ILMN_1762281;ILMN_1773847;ILMN_1690487;ILMN_1792314;ILMN_1684850;ILMN_1758778;ILMN_1662232;ILMN_1700507;ILMN_2412807;ILMN_2154223;ILMN_1791568;ILMN_1745946;ILMN_1808913;ILMN_1795897;ILMN_1738482;ILMN_1682459;ILMN_1771003;ILMN_1740385;ILMN_2160124;ILMN_2396011;ILMN_1664139;ILMN_1810467;ILMN_1725235;ILMN_1780302;ILMN_1784300;ILMN_2300186;ILMN_1786195;ILMN_2396691;ILMN_1785266;ILMN_1743208;ILMN_1810922;ILMN_1746832;ILMN_1750145;ILMN_1763887;ILMN_2371700;ILMN_1709474;ILMN_1789094;ILMN_1693766;ILMN_1777721;ILMN_1695645;ILMN_2223805;ILMN_2411116;ILMN_1807535;ILMN_1800611;ILMN_1698653;ILMN_1799011;ILMN_1686458;ILMN_1746206;ILMN_1661776;ILMN_1741350;ILMN_1739805;ILMN_1728802;ILMN_1773200;ILMN_1716336;ILMN_2148819;ILMN_1780769;ILMN_1715705;ILMN_1704750;ILMN_1720708;ILMN_2373515;ILMN_2365528;ILMN_1736176;ILMN_1781942;ILMN_2367743;ILMN_1747911;ILMN_1789123;ILMN_1680955;ILMN_1796949;ILMN_1653822,ILMN_1750145;ILMN_1763887;ILMN_2371700;ILMN_1709474;ILMN_1789094;ILMN_1693766;ILMN_1777721;ILMN_1695645;ILMN_2223805;ILMN_2411116;ILMN_1807535;ILMN_1800611;ILMN_1698653;ILMN_1799011;ILMN_1686458;ILMN_1746206;ILMN_1661776;ILMN_1741350;ILMN_1739805;ILMN_1728802;ILMN_1773200;ILMN_1716336;ILMN_2148819;ILMN_1780769;ILMN_1715705;ILMN_1704750;ILMN_1720708;ILMN_2373515;ILMN_2365528;ILMN_1736176;ILMN_1781942;ILMN_2367743;ILMN_1747911;ILMN_1789123;ILMN_1680955;ILMN_1796949;ILMN_1653822
Activation of ATR in response to replication stress ,-0.821379561125251,-3.8961254679509336,0.0,0.0,37,36,ILMN_1753582;ILMN_1654677;ILMN_2277201;ILMN_2136615;ILMN_1699709;ILMN_1740083;ILMN_1689241;ILMN_1795719;ILMN_1691165;ILMN_1733396;ILMN_1737635;ILMN_1784946;ILMN_1653896;ILMN_1684183;ILMN_1800654;ILMN_1815169;ILMN_1716895;ILMN_2061452;ILMN_1705093;ILMN_1732336;ILMN_1785914;ILMN_1798654;ILMN_1741801;ILMN_2407124;ILMN_1731070;ILMN_1727459;ILMN_1784860;ILMN_1664630;ILMN_1806818;ILMN_1665559;ILMN_2407619;ILMN_1670238;ILMN_1724489;ILMN_2413899;ILMN_1681503;ILMN_1737205,ILMN_1737635;ILMN_1784946;ILMN_1653896;ILMN_1684183;ILMN_1800654;ILMN_1815169;ILMN_1716895;ILMN_2061452;ILMN_1705093;ILMN_1732336;ILMN_1785914;ILMN_1798654;ILMN_1741801;ILMN_2407124;ILMN_1731070;ILMN_1727459;ILMN_1784860;ILMN_1664630;ILMN_1806818;ILMN_1665559;ILMN_2407619;ILMN_1670238;ILMN_1724489;ILMN_2413899;ILMN_1681503;ILMN_1737205
Activation of the pre-replicative complex ,-0.8399259519457867,-3.9593869491085605,0.0,0.0,32,32,ILMN_1753582;ILMN_1660063;ILMN_1798880;ILMN_1740083;ILMN_1775975;ILMN_1795719;ILMN_1785198;ILMN_1784946;ILMN_1800654;ILMN_1815169;ILMN_1716895;ILMN_1694502;ILMN_1720114;ILMN_2061452;ILMN_1705093;ILMN_1696713;ILMN_1785914;ILMN_1798654;ILMN_2191436;ILMN_1741801;ILMN_2407124;ILMN_1731070;ILMN_1774336;ILMN_1727459;ILMN_1651237;ILMN_1806818;ILMN_1665559;ILMN_1728199;ILMN_1670238;ILMN_2413899;ILMN_1681503;ILMN_1737205,ILMN_1785198;ILMN_1784946;ILMN_1800654;ILMN_1815169;ILMN_1716895;ILMN_1694502;ILMN_1720114;ILMN_2061452;ILMN_1705093;ILMN_1696713;ILMN_1785914;ILMN_1798654;ILMN_2191436;ILMN_1741801;ILMN_2407124;ILMN_1731070;ILMN_1774336;ILMN_1727459;ILMN_1651237;ILMN_1806818;ILMN_1665559;ILMN_1728199;ILMN_1670238;ILMN_2413899;ILMN_1681503;ILMN_1737205
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal ,-0.766768405208101,-3.6184810194117674,0.0,0.0,98,90,ILMN_1722276;ILMN_1779841;ILMN_1783448;ILMN_1777129;ILMN_1712659;ILMN_1773847;ILMN_1770548;ILMN_1690397;ILMN_1701855;ILMN_1700507;ILMN_1684038;ILMN_2135537;ILMN_1748241;ILMN_2061641;ILMN_2245180;ILMN_2397199;ILMN_2112460;ILMN_2229205;ILMN_2320574;ILMN_1810467;ILMN_2124082;ILMN_1780302;ILMN_1806999;ILMN_2300186;ILMN_1718069;ILMN_1772796;ILMN_1666761;ILMN_1696839;ILMN_2376160;ILMN_2097546;ILMN_1758087;ILMN_1692790;ILMN_1806483;ILMN_1789283;ILMN_2357471;ILMN_1712556;ILMN_1771903;ILMN_1777721;ILMN_1722858;ILMN_1693221;ILMN_1670769;ILMN_1652989;ILMN_1738784;ILMN_1732776;ILMN_1662198;ILMN_1739805;ILMN_1793360;ILMN_1807807;ILMN_2149400;ILMN_1725121;ILMN_1716336;ILMN_2359887;ILMN_1762674;ILMN_1720124;ILMN_2334205;ILMN_1737195;ILMN_2381138;ILMN_1695357;ILMN_1720526;ILMN_2181432;ILMN_1658010;ILMN_1815924;ILMN_1679438;ILMN_1669635;ILMN_1664511;ILMN_1797307;ILMN_1787477;ILMN_2355738;ILMN_1668814;ILMN_2362545;ILMN_1732516;ILMN_2132161;ILMN_1771224;ILMN_1736176;ILMN_1663390;ILMN_1730825;ILMN_1803124;ILMN_1751338;ILMN_1685916;ILMN_1802951;ILMN_1715905;ILMN_1801257;ILMN_1809139;ILMN_1684217;ILMN_1709294;ILMN_1716279;ILMN_2202948;ILMN_1742779;ILMN_1664516;ILMN_1756445,ILMN_1712556;ILMN_1771903;ILMN_1777721;ILMN_1722858;ILMN_1693221;ILMN_1670769;ILMN_1652989;ILMN_1738784;ILMN_1732776;ILMN_1662198;ILMN_1739805;ILMN_1793360;ILMN_1807807;ILMN_2149400;ILMN_1725121;ILMN_1716336;ILMN_2359887;ILMN_1762674;ILMN_1720124;ILMN_2334205;ILMN_1737195;ILMN_2381138;ILMN_1695357;ILMN_1720526;ILMN_2181432;ILMN_1658010;ILMN_1815924;ILMN_1679438;ILMN_1669635;ILMN_1664511;ILMN_1797307;ILMN_1787477;ILMN_2355738;ILMN_1668814;ILMN_2362545;ILMN_1732516;ILMN_2132161;ILMN_1771224;ILMN_1736176;ILMN_1663390;ILMN_1730825;ILMN_1803124;ILMN_1751338;ILMN_1685916;ILMN_1802951;ILMN_1715905;ILMN_1801257;ILMN_1809139;ILMN_1684217;ILMN_1709294;ILMN_1716279;ILMN_2202948;ILMN_1742779;ILMN_1664516;ILMN_1756445
Amplification of signal from the kinetochores ,-0.766768405208101,-3.8301680204500985,0.0,0.0,98,90,ILMN_1722276;ILMN_1779841;ILMN_1783448;ILMN_1777129;ILMN_1712659;ILMN_1773847;ILMN_1770548;ILMN_1690397;ILMN_1701855;ILMN_1700507;ILMN_1684038;ILMN_2135537;ILMN_1748241;ILMN_2061641;ILMN_2245180;ILMN_2397199;ILMN_2112460;ILMN_2229205;ILMN_2320574;ILMN_1810467;ILMN_2124082;ILMN_1780302;ILMN_1806999;ILMN_2300186;ILMN_1718069;ILMN_1772796;ILMN_1666761;ILMN_1696839;ILMN_2376160;ILMN_2097546;ILMN_1758087;ILMN_1692790;ILMN_1806483;ILMN_1789283;ILMN_2357471;ILMN_1712556;ILMN_1771903;ILMN_1777721;ILMN_1722858;ILMN_1693221;ILMN_1670769;ILMN_1652989;ILMN_1738784;ILMN_1732776;ILMN_1662198;ILMN_1739805;ILMN_1793360;ILMN_1807807;ILMN_2149400;ILMN_1725121;ILMN_1716336;ILMN_2359887;ILMN_1762674;ILMN_1720124;ILMN_2334205;ILMN_1737195;ILMN_2381138;ILMN_1695357;ILMN_1720526;ILMN_2181432;ILMN_1658010;ILMN_1815924;ILMN_1679438;ILMN_1669635;ILMN_1664511;ILMN_1797307;ILMN_1787477;ILMN_2355738;ILMN_1668814;ILMN_2362545;ILMN_1732516;ILMN_2132161;ILMN_1771224;ILMN_1736176;ILMN_1663390;ILMN_1730825;ILMN_1803124;ILMN_1751338;ILMN_1685916;ILMN_1802951;ILMN_1715905;ILMN_1801257;ILMN_1809139;ILMN_1684217;ILMN_1709294;ILMN_1716279;ILMN_2202948;ILMN_1742779;ILMN_1664516;ILMN_1756445,ILMN_1712556;ILMN_1771903;ILMN_1777721;ILMN_1722858;ILMN_1693221;ILMN_1670769;ILMN_1652989;ILMN_1738784;ILMN_1732776;ILMN_1662198;ILMN_1739805;ILMN_1793360;ILMN_1807807;ILMN_2149400;ILMN_1725121;ILMN_1716336;ILMN_2359887;ILMN_1762674;ILMN_1720124;ILMN_2334205;ILMN_1737195;ILMN_2381138;ILMN_1695357;ILMN_1720526;ILMN_2181432;ILMN_1658010;ILMN_1815924;ILMN_1679438;ILMN_1669635;ILMN_1664511;ILMN_1797307;ILMN_1787477;ILMN_2355738;ILMN_1668814;ILMN_2362545;ILMN_1732516;ILMN_2132161;ILMN_1771224;ILMN_1736176;ILMN_1663390;ILMN_1730825;ILMN_1803124;ILMN_1751338;ILMN_1685916;ILMN_1802951;ILMN_1715905;ILMN_1801257;ILMN_1809139;ILMN_1684217;ILMN_1709294;ILMN_1716279;ILMN_2202948;ILMN_1742779;ILMN_1664516;ILMN_1756445
Assembly of the pre-replicative complex ,-0.7636996146308602,-3.5977136453316247,0.0,0.0,86,69,ILMN_1683026;ILMN_2376108;ILMN_1732767;ILMN_1767006;ILMN_1776173;ILMN_1797406;ILMN_1697691;ILMN_1806017;ILMN_1747195;ILMN_1779633;ILMN_1659103;ILMN_1721659;ILMN_2096759;ILMN_2048326;ILMN_1720926;ILMN_1691428;ILMN_1782977;ILMN_2291010;ILMN_1786612;ILMN_1740083;ILMN_1709611;ILMN_2058512;ILMN_1701962;ILMN_2387553;ILMN_2383435;ILMN_1682098;ILMN_1704094;ILMN_2331501;ILMN_2395389;ILMN_1666409;ILMN_2051469;ILMN_1814156;ILMN_1784946;ILMN_2191428;ILMN_1704404;ILMN_1759952;ILMN_1800654;ILMN_1815169;ILMN_1768784;ILMN_1733256;ILMN_1780189;ILMN_2346573;ILMN_1702837;ILMN_1809010;ILMN_1720114;ILMN_1789176;ILMN_2061452;ILMN_1669502;ILMN_1705093;ILMN_1764794;ILMN_1763540;ILMN_1737396;ILMN_1744649;ILMN_1800952;ILMN_1785914;ILMN_1712432;ILMN_1798654;ILMN_2407124;ILMN_1796430;ILMN_1777233;ILMN_1731070;ILMN_1727459;ILMN_1748651;ILMN_1651237;ILMN_1806818;ILMN_1681503;ILMN_1737205;ILMN_1737862;ILMN_2344130,ILMN_1666409;ILMN_2051469;ILMN_1814156;ILMN_1784946;ILMN_2191428;ILMN_1704404;ILMN_1759952;ILMN_1800654;ILMN_1815169;ILMN_1768784;ILMN_1733256;ILMN_1780189;ILMN_2346573;ILMN_1702837;ILMN_1809010;ILMN_1720114;ILMN_1789176;ILMN_2061452;ILMN_1669502;ILMN_1705093;ILMN_1764794;ILMN_1763540;ILMN_1737396;ILMN_1744649;ILMN_1800952;ILMN_1785914;ILMN_1712432;ILMN_1798654;ILMN_2407124;ILMN_1796430;ILMN_1777233;ILMN_1731070;ILMN_1727459;ILMN_1748651;ILMN_1651237;ILMN_1806818;ILMN_1681503;ILMN_1737205;ILMN_1737862;ILMN_2344130
B-WICH complex positively regulates rRNA expression ,-0.6790657479883443,-3.4842590648501046,0.0,0.0,98,81,ILMN_1695706;ILMN_1658702;ILMN_1742427;ILMN_2335072;ILMN_1744665;ILMN_2110167;ILMN_1775925;ILMN_1782329;ILMN_1742123;ILMN_2108779;ILMN_1706784;ILMN_1674780;ILMN_1670033;ILMN_1733802;ILMN_2360448;ILMN_1742143;ILMN_2053992;ILMN_1652998;ILMN_1792689;ILMN_1781121;ILMN_1755318;ILMN_2329165;ILMN_1750180;ILMN_2398587;ILMN_1680937;ILMN_1723111;ILMN_1735461;ILMN_2119320;ILMN_1776845;ILMN_1756849;ILMN_1687947;ILMN_1670037;ILMN_1713436;ILMN_1806757;ILMN_1745885;ILMN_1676580;ILMN_1697117;ILMN_1881081;ILMN_1786882;ILMN_1726815;ILMN_1782247;ILMN_1747630;ILMN_2224990;ILMN_1751120;ILMN_1732071;ILMN_1721127;ILMN_1780758;ILMN_2165369;ILMN_1681542;ILMN_1716195;ILMN_2085525;ILMN_1667977;ILMN_1753524;ILMN_1758623;ILMN_1707257;ILMN_1688666;ILMN_1779373;ILMN_1788489;ILMN_1808907;ILMN_2207865;ILMN_1813314;ILMN_1749368;ILMN_1659026;ILMN_1736820;ILMN_1708728;ILMN_1666179;ILMN_2075334;ILMN_1779376;ILMN_1713163;ILMN_2038777;ILMN_2144426;ILMN_1768973;ILMN_1764986;ILMN_1747870;ILMN_1767219;ILMN_1707858;ILMN_2115340;ILMN_1785756;ILMN_1664706;ILMN_1689445;ILMN_2402930,ILMN_1745885;ILMN_1676580;ILMN_1697117;ILMN_1881081;ILMN_1786882;ILMN_1726815;ILMN_1782247;ILMN_1747630;ILMN_2224990;ILMN_1751120;ILMN_1732071;ILMN_1721127;ILMN_1780758;ILMN_2165369;ILMN_1681542;ILMN_1716195;ILMN_2085525;ILMN_1667977;ILMN_1753524;ILMN_1758623;ILMN_1707257;ILMN_1688666;ILMN_1779373;ILMN_1788489;ILMN_1808907;ILMN_2207865;ILMN_1813314;ILMN_1749368;ILMN_1659026;ILMN_1736820;ILMN_1708728;ILMN_1666179;ILMN_2075334;ILMN_1779376;ILMN_1713163;ILMN_2038777;ILMN_2144426;ILMN_1768973;ILMN_1764986;ILMN_1747870;ILMN_1767219;ILMN_1707858;ILMN_2115340;ILMN_1785756;ILMN_1664706;ILMN_1689445;ILMN_2402930
CDC6 association with the ORC:origin complex ,-0.8821433017422371,-3.477744447961319,0.0,0.0,11,11,ILMN_1740083;ILMN_2051469;ILMN_1784946;ILMN_2061452;ILMN_1669502;ILMN_1705093;ILMN_1785914;ILMN_2407124;ILMN_1777233;ILMN_1731070;ILMN_1727459,ILMN_2051469;ILMN_1784946;ILMN_2061452;ILMN_1669502;ILMN_1705093;ILMN_1785914;ILMN_2407124;ILMN_1777233;ILMN_1731070;ILMN_1727459
CDT1 association with the CDC6:ORC:origin complex ,-0.7227997518009031,-3.48459857562212,0.0,0.0,76,59,ILMN_1683026;ILMN_2376108;ILMN_1732767;ILMN_1767006;ILMN_1776173;ILMN_1797406;ILMN_1697691;ILMN_1806017;ILMN_1747195;ILMN_1779633;ILMN_1659103;ILMN_1721659;ILMN_2096759;ILMN_2048326;ILMN_1720926;ILMN_1691428;ILMN_1782977;ILMN_2291010;ILMN_1786612;ILMN_1740083;ILMN_1709611;ILMN_2058512;ILMN_1701962;ILMN_2387553;ILMN_2383435;ILMN_1682098;ILMN_1704094;ILMN_2331501;ILMN_2395389;ILMN_1666409;ILMN_1814156;ILMN_1784946;ILMN_2191428;ILMN_1704404;ILMN_1759952;ILMN_1768784;ILMN_1733256;ILMN_1780189;ILMN_2346573;ILMN_1702837;ILMN_1809010;ILMN_1720114;ILMN_2061452;ILMN_1705093;ILMN_1764794;ILMN_1763540;ILMN_1737396;ILMN_1744649;ILMN_1800952;ILMN_1785914;ILMN_1712432;ILMN_2407124;ILMN_1796430;ILMN_1731070;ILMN_1727459;ILMN_1748651;ILMN_1651237;ILMN_1737862;ILMN_2344130,ILMN_1666409;ILMN_1814156;ILMN_1784946;ILMN_2191428;ILMN_1704404;ILMN_1759952;ILMN_1768784;ILMN_1733256;ILMN_1780189;ILMN_2346573;ILMN_1702837;ILMN_1809010;ILMN_1720114;ILMN_2061452;ILMN_1705093;ILMN_1764794;ILMN_1763540;ILMN_1737396;ILMN_1744649;ILMN_1800952;ILMN_1785914;ILMN_1712432;ILMN_2407124;ILMN_1796430;ILMN_1731070;ILMN_1727459;ILMN_1748651;ILMN_1651237;ILMN_1737862;ILMN_2344130
