Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Antigen processing-Cross presentation ,-0.6433006347467007,-4.124770366863553,0.0,0.0,164,102,ILMN_1727142;ILMN_1796755;ILMN_1806017;ILMN_2058512;ILMN_1780189;ILMN_1687519;ILMN_2191428;ILMN_1796430;ILMN_1720926;ILMN_1732767;ILMN_1779633;ILMN_2400603;ILMN_1691428;ILMN_2096759;ILMN_2331501;ILMN_1714527;ILMN_2346573;ILMN_1748651;ILMN_1669753;ILMN_1704094;ILMN_1733256;ILMN_1697691;ILMN_2190084;ILMN_2383435;ILMN_1784238;ILMN_2291010;ILMN_1798433;ILMN_2169439;ILMN_1796094;ILMN_1782977;ILMN_1810264;ILMN_1680313;ILMN_1677041;ILMN_1659103;ILMN_1721659;ILMN_2344130;ILMN_2395389;ILMN_1797406;ILMN_2387553;ILMN_1718754;ILMN_1786612;ILMN_2150787;ILMN_2048326;ILMN_1783946;ILMN_2165753;ILMN_1709611;ILMN_1704404;ILMN_1725427;ILMN_1779381;ILMN_1800952;ILMN_2148459;ILMN_1801852;ILMN_1666409;ILMN_1767006;ILMN_1744649;ILMN_1682098;ILMN_1701962;ILMN_1702837;ILMN_1782851;ILMN_1742450;ILMN_1759952;ILMN_2367020;ILMN_1809010;ILMN_1707308;ILMN_1706217;ILMN_1814156;ILMN_1747195;ILMN_1796642;ILMN_1659564;ILMN_2391051;ILMN_1683026;ILMN_1724533;ILMN_1662026;ILMN_1674789;ILMN_1776173;ILMN_1737396;ILMN_1778401;ILMN_1772387;ILMN_1656670;ILMN_2203950;ILMN_2376108;ILMN_1697309;ILMN_1712432;ILMN_1671054;ILMN_1759250;ILMN_1765258;ILMN_1737862;ILMN_1738523;ILMN_1740015;ILMN_1768784;ILMN_2335704;ILMN_1743032;ILMN_1736256;ILMN_2374036;ILMN_1744604;ILMN_1654560;ILMN_1762861;ILMN_1751079;ILMN_1764794;ILMN_1748352;ILMN_1763540;ILMN_1777565,ILMN_2148459;ILMN_1801852;ILMN_1666409;ILMN_1767006;ILMN_1744649;ILMN_1682098;ILMN_1701962;ILMN_1702837;ILMN_1782851;ILMN_1742450;ILMN_1759952;ILMN_2367020;ILMN_1809010;ILMN_1707308;ILMN_1706217;ILMN_1814156;ILMN_1747195;ILMN_1796642;ILMN_1659564;ILMN_2391051;ILMN_1683026;ILMN_1724533;ILMN_1662026;ILMN_1674789;ILMN_1776173;ILMN_1737396;ILMN_1778401;ILMN_1772387;ILMN_1656670;ILMN_2203950;ILMN_2376108;ILMN_1697309;ILMN_1712432;ILMN_1671054;ILMN_1759250;ILMN_1765258;ILMN_1737862;ILMN_1738523;ILMN_1740015;ILMN_1768784;ILMN_2335704;ILMN_1743032;ILMN_1736256;ILMN_2374036;ILMN_1744604;ILMN_1654560;ILMN_1762861;ILMN_1751079;ILMN_1764794;ILMN_1748352;ILMN_1763540;ILMN_1777565
G1/S-Specific Transcription ,-0.8027686741484192,-4.065348577162243,0.0,0.0,28,28,ILMN_1756999;ILMN_1797055;ILMN_1727458;ILMN_1653514;ILMN_2051469;ILMN_1782813;ILMN_1785914;ILMN_2191436;ILMN_1724062;ILMN_1793671;ILMN_1656886;ILMN_1656196;ILMN_1694177;ILMN_1782551;ILMN_1733396;ILMN_1806037;ILMN_2137084;ILMN_1678669;ILMN_1747911;ILMN_2157099;ILMN_1710676;ILMN_1661717;ILMN_1651237;ILMN_1806040;ILMN_1670238;ILMN_1727459;ILMN_1761828;ILMN_1795852,ILMN_1724062;ILMN_1793671;ILMN_1656886;ILMN_1656196;ILMN_1694177;ILMN_1782551;ILMN_1733396;ILMN_1806037;ILMN_2137084;ILMN_1678669;ILMN_1747911;ILMN_2157099;ILMN_1710676;ILMN_1661717;ILMN_1651237;ILMN_1806040;ILMN_1670238;ILMN_1727459;ILMN_1761828;ILMN_1795852
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell ,-0.6708785276541829,-4.092711580308615,0.0,0.0,393,145,ILMN_2199313;ILMN_2337336;ILMN_1768754;ILMN_1770940;ILMN_1732799;ILMN_2104356;ILMN_1701308;ILMN_1651282;ILMN_1773079;ILMN_1716983;ILMN_1785900;ILMN_1767973;ILMN_1669972;ILMN_2299095;ILMN_1689088;ILMN_2389211;ILMN_1730295;ILMN_2174805;ILMN_1797929;ILMN_2406132;ILMN_1801246;ILMN_1701248;ILMN_1680712;ILMN_1686831;ILMN_2212763;ILMN_1768575;ILMN_1761364;ILMN_1792075;ILMN_2205322;ILMN_1724709;ILMN_1706186;ILMN_1751095;ILMN_2166812;ILMN_1695744;ILMN_1787662;ILMN_1750761;ILMN_1702385;ILMN_1734748;ILMN_1733245;ILMN_2222443;ILMN_1706722;ILMN_1722506;ILMN_1798530;ILMN_1778974;ILMN_1674785;ILMN_1694243;ILMN_1769910;ILMN_2112580;ILMN_1821486;ILMN_2408112;ILMN_1812226;ILMN_2150787;ILMN_1689953;ILMN_1690783;ILMN_1654210;ILMN_2165753;ILMN_1708006;ILMN_1799110;ILMN_1740864;ILMN_1725427;ILMN_1693781;ILMN_2393067;ILMN_1726545;ILMN_1701237;ILMN_2148459;ILMN_1782741;ILMN_1674593;ILMN_1678882;ILMN_1740298;ILMN_1815652;ILMN_1873838;ILMN_2055781;ILMN_1659077;ILMN_1752647;ILMN_1749591;ILMN_1719433;ILMN_1762260;ILMN_1742001;ILMN_1747622;ILMN_1802524;ILMN_2193817;ILMN_1674228;ILMN_2079655;ILMN_1655940;ILMN_1652199;ILMN_1658399;ILMN_1747052;ILMN_1688231;ILMN_1743797;ILMN_1723467;ILMN_1723520;ILMN_1726230;ILMN_1701906;ILMN_1687825;ILMN_1778977;ILMN_1680274;ILMN_1739794;ILMN_1782704;ILMN_1724422;ILMN_2391051;ILMN_2339294;ILMN_1681415;ILMN_1725320;ILMN_2353732;ILMN_1708248;ILMN_1705892;ILMN_1660027;ILMN_2354191;ILMN_1795236;ILMN_2044471;ILMN_1717197;ILMN_1778723;ILMN_1741917;ILMN_1693207;ILMN_1768598;ILMN_2261416;ILMN_1711573;ILMN_1786823;ILMN_2196078;ILMN_1710923;ILMN_1676924;ILMN_1778401;ILMN_1656670;ILMN_2203950;ILMN_2112357;ILMN_1729915;ILMN_1699931;ILMN_1671054;ILMN_2325763;ILMN_1655549;ILMN_1661631;ILMN_1765258;ILMN_1667232;ILMN_1738407;ILMN_1693552;ILMN_2355953;ILMN_2175912;ILMN_2323933;ILMN_1739756;ILMN_1799134;ILMN_1779257;ILMN_1777519;ILMN_1762861;ILMN_1677305;ILMN_2312340,ILMN_1726545;ILMN_1701237;ILMN_2148459;ILMN_1782741;ILMN_1674593;ILMN_1678882;ILMN_1740298;ILMN_1815652;ILMN_1873838;ILMN_2055781;ILMN_1659077;ILMN_1752647;ILMN_1749591;ILMN_1719433;ILMN_1762260;ILMN_1742001;ILMN_1747622;ILMN_1802524;ILMN_2193817;ILMN_1674228;ILMN_2079655;ILMN_1655940;ILMN_1652199;ILMN_1658399;ILMN_1747052;ILMN_1688231;ILMN_1743797;ILMN_1723467;ILMN_1723520;ILMN_1726230;ILMN_1701906;ILMN_1687825;ILMN_1778977;ILMN_1680274;ILMN_1739794;ILMN_1782704;ILMN_1724422;ILMN_2391051;ILMN_2339294;ILMN_1681415;ILMN_1725320;ILMN_2353732;ILMN_1708248;ILMN_1705892;ILMN_1660027;ILMN_2354191;ILMN_1795236;ILMN_2044471;ILMN_1717197;ILMN_1778723;ILMN_1741917;ILMN_1693207;ILMN_1768598;ILMN_2261416;ILMN_1711573;ILMN_1786823;ILMN_2196078;ILMN_1710923;ILMN_1676924;ILMN_1778401;ILMN_1656670;ILMN_2203950;ILMN_2112357;ILMN_1729915;ILMN_1699931;ILMN_1671054;ILMN_2325763;ILMN_1655549;ILMN_1661631;ILMN_1765258;ILMN_1667232;ILMN_1738407;ILMN_1693552;ILMN_2355953;ILMN_2175912;ILMN_2323933;ILMN_1739756;ILMN_1799134;ILMN_1779257;ILMN_1777519;ILMN_1762861;ILMN_1677305;ILMN_2312340
Interleukin-10 signaling ,-0.7853374173356187,-4.622862239927671,0.0,0.0,58,44,ILMN_1681132;ILMN_1773245;ILMN_2073307;ILMN_1711566;ILMN_1778457;ILMN_1793384;ILMN_2302947;ILMN_1663618;ILMN_1676955;ILMN_1697069;ILMN_2145033;ILMN_1812226;ILMN_1777461;ILMN_1810584;ILMN_1658483;ILMN_1662451;ILMN_2160476;ILMN_1774874;ILMN_1769129;ILMN_1775501;ILMN_1671509;ILMN_1677511;ILMN_1738725;ILMN_1782560;ILMN_1661861;ILMN_1682636;ILMN_1699651;ILMN_1685005;ILMN_2092118;ILMN_1671353;ILMN_1787897;ILMN_1746836;ILMN_1652825;ILMN_1716736;ILMN_1728106;ILMN_1666733;ILMN_1716276;ILMN_1720048;ILMN_2230892;ILMN_2098126;ILMN_1678833;ILMN_1657234;ILMN_1791759;ILMN_1772131,ILMN_2160476;ILMN_1774874;ILMN_1769129;ILMN_1775501;ILMN_1671509;ILMN_1677511;ILMN_1738725;ILMN_1782560;ILMN_1661861;ILMN_1682636;ILMN_1699651;ILMN_1685005;ILMN_2092118;ILMN_1671353;ILMN_1787897;ILMN_1746836;ILMN_1652825;ILMN_1716736;ILMN_1728106;ILMN_1666733;ILMN_1716276;ILMN_1720048;ILMN_2230892;ILMN_2098126;ILMN_1678833;ILMN_1657234;ILMN_1791759;ILMN_1772131
Nuclear Envelope Breakdown ,-0.74035956362089,-4.117760336563073,0.0,0.0,53,51,ILMN_1755321;ILMN_1751338;ILMN_1847889;ILMN_2133100;ILMN_1680860;ILMN_1762674;ILMN_1869897;ILMN_1690259;ILMN_2320574;ILMN_2135991;ILMN_1772834;ILMN_1727361;ILMN_1701374;ILMN_1784467;ILMN_1801421;ILMN_2378316;ILMN_2179837;ILMN_1732776;ILMN_1662130;ILMN_1771903;ILMN_1677747;ILMN_2133638;ILMN_1666049;ILMN_1712803;ILMN_2145050;ILMN_2061405;ILMN_1815924;ILMN_1715416;ILMN_1730999;ILMN_1696749;ILMN_2115154;ILMN_1716563;ILMN_1660871;ILMN_1669635;ILMN_1749930;ILMN_1805828;ILMN_2126706;ILMN_1738681;ILMN_1652989;ILMN_1734826;ILMN_1747911;ILMN_1705907;ILMN_1768293;ILMN_2381138;ILMN_1725612;ILMN_1673962;ILMN_1801939;ILMN_1771800;ILMN_1736176;ILMN_2196569;ILMN_1671554,ILMN_1662130;ILMN_1771903;ILMN_1677747;ILMN_2133638;ILMN_1666049;ILMN_1712803;ILMN_2145050;ILMN_2061405;ILMN_1815924;ILMN_1715416;ILMN_1730999;ILMN_1696749;ILMN_2115154;ILMN_1716563;ILMN_1660871;ILMN_1669635;ILMN_1749930;ILMN_1805828;ILMN_2126706;ILMN_1738681;ILMN_1652989;ILMN_1734826;ILMN_1747911;ILMN_1705907;ILMN_1768293;ILMN_2381138;ILMN_1725612;ILMN_1673962;ILMN_1801939;ILMN_1771800;ILMN_1736176;ILMN_2196569;ILMN_1671554
Interferon gamma signaling ,-0.6022655407122025,-3.9429324294944563,0.0,0.00013764843149251978,189,95,ILMN_1810441;ILMN_1746704;ILMN_1684352;ILMN_1801105;ILMN_2315208;ILMN_1681591;ILMN_1664122;ILMN_1745471;ILMN_1666852;ILMN_1672606;ILMN_2349061;ILMN_1697499;ILMN_1780598;ILMN_1793384;ILMN_2379835;ILMN_1694174;ILMN_1725314;ILMN_1654786;ILMN_1838942;ILMN_1737599;ILMN_2184262;ILMN_1715169;ILMN_2255142;ILMN_1670757;ILMN_1762021;ILMN_2072357;ILMN_2052172;ILMN_1671765;ILMN_2390586;ILMN_1741648;ILMN_1666445;ILMN_1813625;ILMN_2159694;ILMN_1680144;ILMN_1702305;ILMN_1770865;ILMN_1812226;ILMN_2150787;ILMN_1765649;ILMN_2165753;ILMN_2331729;ILMN_1774077;ILMN_1698237;ILMN_1725427;ILMN_1748685;ILMN_1765547;ILMN_1670576;ILMN_2383290;ILMN_1772218;ILMN_1778236;ILMN_1749070;ILMN_2148459;ILMN_1746788;ILMN_2156250;ILMN_1661266;ILMN_1674063;ILMN_1678054;ILMN_1689655;ILMN_2157441;ILMN_1681721;ILMN_2359601;ILMN_1738704;ILMN_1697971;ILMN_1808405;ILMN_1754507;ILMN_1764964;ILMN_1717261;ILMN_1683178;ILMN_1779252;ILMN_1756953;ILMN_1708375;ILMN_2391051;ILMN_1666594;ILMN_1773363;ILMN_1691364;ILMN_1746836;ILMN_1771385;ILMN_1741755;ILMN_1811588;ILMN_1778401;ILMN_1683415;ILMN_1656670;ILMN_2203950;ILMN_2207291;ILMN_1671054;ILMN_2325763;ILMN_1765258;ILMN_1774733;ILMN_1807277;ILMN_1762861;ILMN_2400030;ILMN_2114568;ILMN_2371433;ILMN_1701114;ILMN_1745079,ILMN_1765649;ILMN_2165753;ILMN_2331729;ILMN_1774077;ILMN_1698237;ILMN_1725427;ILMN_1748685;ILMN_1765547;ILMN_1670576;ILMN_2383290;ILMN_1772218;ILMN_1778236;ILMN_1749070;ILMN_2148459;ILMN_1746788;ILMN_2156250;ILMN_1661266;ILMN_1674063;ILMN_1678054;ILMN_1689655;ILMN_2157441;ILMN_1681721;ILMN_2359601;ILMN_1738704;ILMN_1697971;ILMN_1808405;ILMN_1754507;ILMN_1764964;ILMN_1717261;ILMN_1683178;ILMN_1779252;ILMN_1756953;ILMN_1708375;ILMN_2391051;ILMN_1666594;ILMN_1773363;ILMN_1691364;ILMN_1746836;ILMN_1771385;ILMN_1741755;ILMN_1811588;ILMN_1778401;ILMN_1683415;ILMN_1656670;ILMN_2203950;ILMN_2207291;ILMN_1671054;ILMN_2325763;ILMN_1765258;ILMN_1774733;ILMN_1807277;ILMN_1762861;ILMN_2400030;ILMN_2114568;ILMN_2371433;ILMN_1701114;ILMN_1745079
Transport of the SLBP independent Mature mRNA ,-0.7306174490062897,-3.9489136573009045,0.0,0.00015485448542908476,35,34,ILMN_1755321;ILMN_1751338;ILMN_2358652;ILMN_1762674;ILMN_1690259;ILMN_2320574;ILMN_1696120;ILMN_1701374;ILMN_1784467;ILMN_2378316;ILMN_1732776;ILMN_1662130;ILMN_1771903;ILMN_1666049;ILMN_2145050;ILMN_2061405;ILMN_1815924;ILMN_1715416;ILMN_1730999;ILMN_1777528;ILMN_2115154;ILMN_1669635;ILMN_1749930;ILMN_1738681;ILMN_1652989;ILMN_1734826;ILMN_2412564;ILMN_1705907;ILMN_1750518;ILMN_1768293;ILMN_2381138;ILMN_1725612;ILMN_1673962;ILMN_2196569,ILMN_1662130;ILMN_1771903;ILMN_1666049;ILMN_2145050;ILMN_2061405;ILMN_1815924;ILMN_1715416;ILMN_1730999;ILMN_1777528;ILMN_2115154;ILMN_1669635;ILMN_1749930;ILMN_1738681;ILMN_1652989;ILMN_1734826;ILMN_2412564;ILMN_1705907;ILMN_1750518;ILMN_1768293;ILMN_2381138;ILMN_1725612;ILMN_1673962;ILMN_2196569
Mitotic Anaphase ,-0.5650413138976252,-3.9535154759715923,0.0,0.00017697655477609685,223,196,ILMN_1722858;ILMN_1652464;ILMN_1739805;ILMN_1738784;ILMN_1679482;ILMN_1693668;ILMN_1806017;ILMN_1770548;ILMN_1806999;ILMN_1773847;ILMN_1748241;ILMN_1746696;ILMN_1692790;ILMN_2215640;ILMN_2058512;ILMN_1780189;ILMN_1810467;ILMN_1738955;ILMN_1793360;ILMN_1751338;ILMN_1813243;ILMN_1652006;ILMN_1788961;ILMN_1758087;ILMN_1670931;ILMN_2191428;ILMN_1799688;ILMN_1809139;ILMN_1796430;ILMN_1720926;ILMN_1732767;ILMN_1670385;ILMN_1779633;ILMN_1666761;ILMN_1718069;ILMN_2245180;ILMN_1691428;ILMN_2038775;ILMN_2096759;ILMN_1802973;ILMN_1780769;ILMN_2331501;ILMN_2376160;ILMN_1722276;ILMN_2346573;ILMN_1779841;ILMN_2229205;ILMN_2097546;ILMN_1748651;ILMN_2199284;ILMN_1787988;ILMN_1704094;ILMN_1726104;ILMN_1651544;ILMN_1756445;ILMN_1680860;ILMN_1733256;ILMN_1684038;ILMN_1667873;ILMN_1697691;ILMN_1712659;ILMN_2178994;ILMN_1849514;ILMN_1677635;ILMN_1762674;ILMN_2061641;ILMN_2383435;ILMN_1696839;ILMN_2320574;ILMN_2291010;ILMN_2339796;ILMN_2300186;ILMN_1746533;ILMN_2135537;ILMN_1782977;ILMN_1727361;ILMN_1722102;ILMN_1710280;ILMN_1659103;ILMN_1721659;ILMN_2344130;ILMN_1723177;ILMN_2395389;ILMN_2112460;ILMN_1670769;ILMN_1806778;ILMN_1797406;ILMN_2387553;ILMN_1718807;ILMN_1801421;ILMN_1806483;ILMN_1786612;ILMN_1701855;ILMN_2357471;ILMN_2048326;ILMN_1693221;ILMN_2179837;ILMN_1780302;ILMN_1732776;ILMN_1793659;ILMN_1679438;ILMN_2210837;ILMN_1709611;ILMN_1704404;ILMN_1716336;ILMN_2124082;ILMN_1700507;ILMN_1783448;ILMN_1750088;ILMN_1771903;ILMN_1772796;ILMN_1677747;ILMN_2362545;ILMN_1800952;ILMN_1659553;ILMN_1789176;ILMN_1748578;ILMN_1807807;ILMN_1666409;ILMN_1767006;ILMN_1744649;ILMN_1815924;ILMN_1737195;ILMN_1682098;ILMN_1789283;ILMN_1701962;ILMN_1702837;ILMN_1759952;ILMN_1809010;ILMN_1682459;ILMN_1814156;ILMN_1715905;ILMN_2334205;ILMN_1777721;ILMN_1696749;ILMN_2293677;ILMN_1747195;ILMN_1662198;ILMN_2149400;ILMN_1777129;ILMN_1725121;ILMN_1683026;ILMN_1732516;ILMN_1797307;ILMN_2148819;ILMN_1669635;ILMN_1792435;ILMN_1680874;ILMN_1776173;ILMN_2181432;ILMN_1668814;ILMN_1737396;ILMN_1742167;ILMN_1742145;ILMN_1664516;ILMN_1805828;ILMN_2126706;ILMN_1652989;ILMN_1720124;ILMN_1791726;ILMN_2376108;ILMN_1802951;ILMN_1690397;ILMN_2132161;ILMN_1712432;ILMN_2359887;ILMN_2397199;ILMN_1784300;ILMN_1737862;ILMN_1768784;ILMN_2301083;ILMN_1712556;ILMN_2355738;ILMN_1695357;ILMN_1658010;ILMN_2381138;ILMN_1702636;ILMN_1730825;ILMN_1716279;ILMN_2042771;ILMN_1787477;ILMN_1742779;ILMN_1803124;ILMN_1771224;ILMN_1664511;ILMN_1683450;ILMN_1764794;ILMN_2202948;ILMN_1720526;ILMN_1709294;ILMN_1736176;ILMN_1684217;ILMN_1663390;ILMN_1685916;ILMN_1763540;ILMN_1801257,ILMN_2048326;ILMN_1693221;ILMN_2179837;ILMN_1780302;ILMN_1732776;ILMN_1793659;ILMN_1679438;ILMN_2210837;ILMN_1709611;ILMN_1704404;ILMN_1716336;ILMN_2124082;ILMN_1700507;ILMN_1783448;ILMN_1750088;ILMN_1771903;ILMN_1772796;ILMN_1677747;ILMN_2362545;ILMN_1800952;ILMN_1659553;ILMN_1789176;ILMN_1748578;ILMN_1807807;ILMN_1666409;ILMN_1767006;ILMN_1744649;ILMN_1815924;ILMN_1737195;ILMN_1682098;ILMN_1789283;ILMN_1701962;ILMN_1702837;ILMN_1759952;ILMN_1809010;ILMN_1682459;ILMN_1814156;ILMN_1715905;ILMN_2334205;ILMN_1777721;ILMN_1696749;ILMN_2293677;ILMN_1747195;ILMN_1662198;ILMN_2149400;ILMN_1777129;ILMN_1725121;ILMN_1683026;ILMN_1732516;ILMN_1797307;ILMN_2148819;ILMN_1669635;ILMN_1792435;ILMN_1680874;ILMN_1776173;ILMN_2181432;ILMN_1668814;ILMN_1737396;ILMN_1742167;ILMN_1742145;ILMN_1664516;ILMN_1805828;ILMN_2126706;ILMN_1652989;ILMN_1720124;ILMN_1791726;ILMN_2376108;ILMN_1802951;ILMN_1690397;ILMN_2132161;ILMN_1712432;ILMN_2359887;ILMN_2397199;ILMN_1784300;ILMN_1737862;ILMN_1768784;ILMN_2301083;ILMN_1712556;ILMN_2355738;ILMN_1695357;ILMN_1658010;ILMN_2381138;ILMN_1702636;ILMN_1730825;ILMN_1716279;ILMN_2042771;ILMN_1787477;ILMN_1742779;ILMN_1803124;ILMN_1771224;ILMN_1664511;ILMN_1683450;ILMN_1764794;ILMN_2202948;ILMN_1720526;ILMN_1709294;ILMN_1736176;ILMN_1684217;ILMN_1663390;ILMN_1685916;ILMN_1763540;ILMN_1801257
Transport of Mature mRNAs Derived from Intronless Transcripts ,-0.7323507563886633,-3.9619122940988083,0.0,0.0002064726472387797,44,42,ILMN_1755321;ILMN_1751338;ILMN_1673185;ILMN_2358652;ILMN_1762674;ILMN_1690259;ILMN_2320574;ILMN_1696120;ILMN_1802089;ILMN_1701374;ILMN_1784467;ILMN_2378316;ILMN_1732776;ILMN_1662130;ILMN_1771903;ILMN_1666049;ILMN_1654545;ILMN_2145050;ILMN_2061405;ILMN_1815924;ILMN_1715416;ILMN_1730999;ILMN_2357260;ILMN_1753353;ILMN_1768743;ILMN_1777528;ILMN_2115154;ILMN_1669635;ILMN_1716086;ILMN_1749930;ILMN_1738681;ILMN_1652989;ILMN_1734826;ILMN_2412564;ILMN_2087528;ILMN_1705907;ILMN_1750518;ILMN_1768293;ILMN_2381138;ILMN_1725612;ILMN_1673962;ILMN_2196569,ILMN_1662130;ILMN_1771903;ILMN_1666049;ILMN_1654545;ILMN_2145050;ILMN_2061405;ILMN_1815924;ILMN_1715416;ILMN_1730999;ILMN_2357260;ILMN_1753353;ILMN_1768743;ILMN_1777528;ILMN_2115154;ILMN_1669635;ILMN_1716086;ILMN_1749930;ILMN_1738681;ILMN_1652989;ILMN_1734826;ILMN_2412564;ILMN_2087528;ILMN_1705907;ILMN_1750518;ILMN_1768293;ILMN_2381138;ILMN_1725612;ILMN_1673962;ILMN_2196569
Transport of Mature mRNA Derived from an Intronless Transcript ,-0.7301301302502164,-3.903378425825499,0.0,0.00022524288789685056,43,41,ILMN_1755321;ILMN_1751338;ILMN_1673185;ILMN_2358652;ILMN_1762674;ILMN_1690259;ILMN_2320574;ILMN_1696120;ILMN_1802089;ILMN_1701374;ILMN_1784467;ILMN_2378316;ILMN_1732776;ILMN_1662130;ILMN_1771903;ILMN_1666049;ILMN_1654545;ILMN_2145050;ILMN_2061405;ILMN_1815924;ILMN_1715416;ILMN_1730999;ILMN_2357260;ILMN_1768743;ILMN_1777528;ILMN_2115154;ILMN_1669635;ILMN_1716086;ILMN_1749930;ILMN_1738681;ILMN_1652989;ILMN_1734826;ILMN_2412564;ILMN_2087528;ILMN_1705907;ILMN_1750518;ILMN_1768293;ILMN_2381138;ILMN_1725612;ILMN_1673962;ILMN_2196569,ILMN_1662130;ILMN_1771903;ILMN_1666049;ILMN_1654545;ILMN_2145050;ILMN_2061405;ILMN_1815924;ILMN_1715416;ILMN_1730999;ILMN_2357260;ILMN_1768743;ILMN_1777528;ILMN_2115154;ILMN_1669635;ILMN_1716086;ILMN_1749930;ILMN_1738681;ILMN_1652989;ILMN_1734826;ILMN_2412564;ILMN_2087528;ILMN_1705907;ILMN_1750518;ILMN_1768293;ILMN_2381138;ILMN_1725612;ILMN_1673962;ILMN_2196569
