,log2FoldChange,lfcSE
MT-CYB,-0.867899307041101,0.0181986948495115
MT-ND6,-0.6527513600799421,0.0362918871553118
MT-ND5,-1.02971368529516,0.0210345391032731
MT-ND4,0.6998617213627729,0.0181630655033666
MT-ND4L,-1.4104878003825603,0.0295632008657446
MT-ND3,1.41711796640339,0.0183545500302452
MT-CO3,-0.6375044953067429,0.0193671988004486
MT-ATP6,-0.46880478533859105,0.018409663758882
MT-ATP8,0.707018209009632,0.0290704406551983
MT-CO2,-1.98784964496867,0.0204797304476476
MT-CO1,-0.7669221006073771,0.0195609363305777
MT-ND2,1.55617258826139,0.0185955060355106
MT-ND1,0.382847693179525,0.0171913356071163
PRMT2,-0.13221839253493,0.0266170867058329
PCNT,-0.217989362266848,0.0596872198061409
COL6A2,0.268911799752269,0.0507635781683795
COL6A1,-0.0830246060166715,0.0501874262879605
COL18A1,0.679029589047969,0.0340588942240902
SUMO3,-0.333148699656896,0.0256948202005498
UBE2G2,-0.48454141633343606,0.0372503394616871
C21orf2,0.347124357300575,0.0457663812216543
CSTB,-1.8177656712460601,0.0273143944438552
PKNOX1,0.8408225218138281,0.0475902651853105
NDUFV3,-1.08756306672948,0.0404745333700904
WDR4,-0.337755337142659,0.0939011786584607
MX1,-1.5226735592951999,0.049219781942676
MX2,0.175664776512959,0.0707739379809486
BRWD1,-0.0419596884267662,0.0399743781371491
DYRK1A,0.364219268651853,0.0509202819197761
CBR3,-0.210748392158661,0.0406151108081512
CBR1,-1.2917117106190101,0.0296997673641011
SLC5A3,0.602203581194784,0.0503784670685603
MRPS6,0.0849773292200727,0.0270594601128996
CRYZL1,0.29694819160545005,0.0447612960643475
SON,0.816958177504906,0.021644505630857
SOD1,0.29735638287548,0.0185181493660142
CCT8,-0.368491034193215,0.0233400365658582
LTN1,-0.0126077146579966,0.0481696067970238
ADAMTS1,2.04984118300943,0.042721906903168
APP,0.22578139722108498,0.0243503583784774
ATP5J,-0.838257606436466,0.0196650284927122
C21orf91,-0.0444712138351531,0.05361653675913201
BTG3,0.218030449803673,0.0246553111464425
ARSA,-0.64331474977391,0.0643108875906923
CHKB,0.041145584581113,0.10013582460637199
TYMP,-1.0115611555246,0.0256784841549687
SCO2,0.0915811674357114,0.0362399372107182
LMF2,-0.5894917262826911,0.0374944989382206
TRABD,-0.888756259162975,0.035022011478463
CRELD2,-0.473595009982827,0.0370608241516144
FBLN1,0.84366769763006,0.0653858726405885
FAM118A,0.305611714030795,0.0617239343166619
TSPO,-1.10043664902088,0.0215376579616756
ARFGAP3,0.904102044427689,0.0372140632197807
CYB5R3,-0.0889066478955924,0.0242075356699993
RRP7A,-1.19696992545464,0.040443992659658
NDUFA6,-0.632240871151875,0.0220874771529852
SMDT1,-0.0324542398852431,0.020914144098430003
NAGA,-0.0996399259676018,0.0627044393846565
SREBF2,-1.19981026148783,0.0428899417496927
SNU13,-0.16538352063132,0.0202855680782745
XRCC6,-0.273624101079252,0.0200847851435741
PMM1,-0.433240276866587,0.048122739399175
ACO2,-0.9965555597696001,0.0374243904007673
PHF5A,-1.15501758190987,0.0311578676186467
ZC3H7B,0.0675184609947315,0.0704659957625375
RBX1,-0.5891893290279151,0.0198996221500398
XPNPEP3,-0.14973274419114302,0.0575922335959309
SGSM3,0.34029341576968103,0.0537985876805737
RPS19BP1,-0.10445033348201099,0.0249255085230019
ATF4,1.13274216411447,0.0219585903236149
MIEF1,0.15900005107369,0.0649047386839821
RPL3,0.36513400727846707,0.0182546971632989
DNAL4,-0.192855944311475,0.0777451560236908
SUN2,0.769790789989787,0.0401087474514862
DDX17,0.305863583924897,0.0216572420569571
KDELR3,0.137388071924031,0.0956267105539717
POLR2F,-0.22402695454384805,0.0238484932237865
EIF3L,-0.13907666377863098,0.0192462969628611
LGALS1,-0.34655295739668296,0.0324187338751521
CDC42EP1,-1.50149650044869,0.034631487845714994
TXN2,-0.8244472062024158,0.0279040658407414
MYH9,-0.364499453606052,0.0243424627223574
APOL4,0.345600999596906,0.13630103717362502
RBFOX2,1.41453552768356,0.0410949235038143
APOL6,-0.8314449966469151,0.0510838849896867
HMOX1,0.47058488518446295,0.0857088456961917
DEPDC5,0.0299759675777899,0.176726040525776
RNF185,0.0499725820439038,0.0771433764257097
SELM,-0.120511046797089,0.0361494837871129
SMTN,1.13030442142802,0.0451528549918571
TUG1,0.353146852386261,0.0464365876603502
PES1,-1.18484045814387,0.0430622319780759
UQCR10,-1.1188410266083,0.0240574097894862
ZMAT5,-0.189424318130542,0.0522835354007059
EWSR1,-0.551402892756484,0.0218654128553601
TTC28,0.588248876500182,0.0715905709340544
PITPNB,-0.0109777445672096,0.0296830032432234
HPS4,-0.10290322302551999,0.0536798214685431
SNRPD3,-1.05485954048002,0.0223651171771496
GUCD1,-0.19916911086542302,0.0456077776714288
GGT5,0.129016737365158,0.0713393160952505
MIF,-1.47149301692856,0.0207263671350283
SMARCB1,-1.08205402019902,0.0293636409886547
THAP7,-0.356054672325935,0.0488790840857411
CRKL,0.105711823198666,0.0461800451684095
SCARF2,0.6553434338715339,0.09969908159477602
RANBP1,-1.08954552745076,0.0238360934493695
COMT,-0.686676962283374,0.0239129266080845
MRPL40,-0.799737108284097,0.0334227038487909
C22orf39,0.22776188127869,0.0416119547827222
SLC25A1,-1.5320532278321102,0.0385510843296427
CECR5,-0.8836159667707201,0.0476303103782512
RPS4Y1,-0.18864677816331601,0.0241616112012576
MZF1,-0.0196864301300315,0.0834304451770879
CHMP2A,-0.260574403246677,0.0216355532780837
TRIM28,0.0251470389997596,0.0300897265961838
RPS5,-0.19863791674257503,0.0190004871524804
CTC-444N24.11,0.7032021562382039,0.0652227620386624
ZNF667-AS1,1.1359072102518302,0.0622502181366184
EPN1,-0.735251736450274,0.0311852450350881
U2AF2,-0.6673190929222671,0.0315340998615481
ZNF865,0.28043258501511703,0.121675216367211
UBE2S,0.521965737519813,0.0338232306844186
RPL28,-0.648386159667651,0.0176590500710129
PPP1R12C,0.30564454176288597,0.0655793054407779
CDC42EP5,0.0757237990294317,0.0565843683008963
RPS9,0.0284357109318634,0.0172488711077317
NDUFA3,-0.15531108993609302,0.0346019500026753
MYADM,0.19900643901189002,0.0302166571099561
ZNF761,0.161735455874772,0.188320787290725
ZNF480,0.0991480485764379,0.111229244473454
PPP2R1A,-0.71843633326283,0.0237240536202331
KLK11,-0.421260392461003,0.061481892768804
KLK10,-3.5157304470001502,0.0669188075749551
EMC10,-0.210102183631493,0.0315762993364491
ATF5,-0.178330412699045,0.0453539331889522
IL4I1,0.241157856221734,0.15486110386851099
AP2A1,-0.8055916023568341,0.0390946866415281
PRMT1,-0.0973800153976636,0.022770121523985002
RCN3,0.198864832510599,0.0704160149482721
RPS11,0.7391570521516401,0.018222129621665
RPL13A,1.1262960844319398,0.019211757044133
TEAD2,0.949480428369884,0.0609977181112281
SNRNP70,-0.392310719032544,0.0215117042129865
RUVBL2,-1.3304658985493,0.0360059618211528
FTL,0.803757805323955,0.0244958721338273
BAX,-1.08332370344301,0.0306695833167329
PPP1R15A,0.471449210348382,0.0235329615601335
HSD17B14,0.353025736384086,0.16866720835720997
RPL18,-0.3376253568937361,0.0175003319670534
SULT2B1,-3.59472353885032,0.0797064193154552
KDELR1,-0.6023155947282061,0.0223113101821521
EMP3,-0.14511350095565098,0.0336356283638301
SEPW1,-0.684734272634687,0.0230711626025628
GLTSCR2,1.01626374376335,0.0188535481807114
EHD2,-0.0389828316617477,0.0410736665203801
NAPA,-0.8386745830347719,0.0255475877752611
TMEM160,-0.901874209893279,0.0286345176437885
ARHGAP35,0.347183926584557,0.0538062502408263
AP2S1,-1.15037826681132,0.0242086723919537
STRN4,-0.0969086898096174,0.0625137252274725
CALM3,-0.710089513333317,0.0262439476810176
SNRPD2,-0.79560276602488,0.0176566122453399
VASP,0.0864703090791507,0.0258528739648366
FOSB,0.530020364463092,0.0276487061851549
ERCC1,-0.35330810898424103,0.0301489984053497
PPP1R13L,-1.24125548138946,0.0402757753445533
KLC3,-0.5934572058511329,0.0528085473836135
TRAPPC6A,0.29052271769191496,0.0428147192972171
RELB,0.11965943137190899,0.0352765731583335
CLPTM1,-0.617392709655742,0.0320324566731964
APOE,0.290476408099218,0.0425675316614562
TOMM40,-1.10411390697603,0.0296689563131942
PVRL2,0.535227119542321,0.0301812485566836
BCL3,0.44922043603642403,0.0299375596434657
CEACAM19,-0.14162703617477598,0.16502829631236499
ZNF234,0.19708191757332702,0.19144823406595302
PLAUR,0.75829336909665,0.0436455615962205
PINLYP,0.0671252566646899,0.14870339173147
LYPD3,-0.482766086208232,0.0513144746764781
ZNF574,1.08209403785834,0.0443142541455241
RABAC1,-0.35407047736024105,0.0211596072953955
RPS19,-0.0718327214918875,0.0183646595790638
B3GNT8,0.0470413061796499,0.250317380454844
HNRNPUL1,-0.151360708460237,0.0245941688697486
AXL,2.70844321601521,0.0476790943447207
BLVRB,-0.525248240024687,0.0254655207242347
SERTAD1,0.371152267887495,0.0252913790844718
TIMM50,-1.24596999194623,0.0389590198253833
RPS16,-0.30176995529766104,0.0164243974243263
ZFP36,0.050314462832515,0.0269238867402751
MED29,0.410459115534068,0.0442719062708001
GMFG,-1.10891749617796,0.0570053717056805
FBXO27,-0.152737024877413,0.0937766530439882
RINL,0.28879800849313797,0.125235350184872
HNRNPL,-0.11298026037156801,0.0290590658966773
LGALS7B,-1.7938260066232299,0.0503362136812508
ACTN4,0.209640542010471,0.0222251818742515
EIF3K,-0.778200290429817,0.0183827370530725
PSMD8,-0.627454703904979,0.020999978467531003
KCNK6,-1.0780387130634699,0.0491796024493011
ZNF790,0.306699095184394,0.15596084005833802
COX7A1,2.3226396703901497,0.0456268871427638
TBCB,-0.38314511284769803,0.0239514351670043
ALKBH6,-0.17752034892961896,0.0934073734591939
COX6B1,-0.983484138788181,0.0189775046805579
TMEM147,-0.9932272530109979,0.0281573344250484
SBSN,-3.53066180862612,0.0689212756945312
DMKN,-0.7967068737763292,0.0521174704271317
KRTDAP,-2.09799485041895,0.0675944838737637
FXYD5,-0.07859265112261,0.0260229303305634
FXYD1,1.9779652575426998,0.0449747188449269
FXYD3,-0.797351103180313,0.0374700838876119
SCN1B,0.396250651794046,0.17229768955383498
ZNF599,0.141001589220693,0.176613983112484
CEBPG,-0.274530322220971,0.0334318661348278
PDCD5,-0.697030874202318,0.0226435838454037
HOMER3,-0.361714601391128,0.0690746730862843
DDX49,-0.924292404685937,0.0402398455619654
COPE,-0.0683932178990537,0.0212488911492109
COMP,1.3674895812451802,0.19784060035309803
UBA52,-0.187382638462434,0.0170808269472838
KXD1,-1.03191400369536,0.0309095344513582
FKBP8,-0.19231736614029699,0.0201928371584366
JUND,0.435103354195552,0.0235721689736252
CCDC124,-1.13945079679572,0.0281105218784846
RPL18A,-0.44717656603042105,0.0176451818993338
PGLS,-0.8206381849617,0.0249695885749798
SLC27A1,0.428700332873706,0.0892776722577399
BST2,0.5463003858840101,0.0407402642214786
NR2F6,0.122276712556498,0.0686718282099442
MYO9B,0.0576954589368333,0.0484341957113614
SLC35E1,0.31746213226518394,0.0591455545015824
TPM4,-0.6995533346715009,0.0209275536063094
AKAP8,-0.133182117837646,0.0440244950863266
BRD4,0.210263081036685,0.0277016104651142
ILVBL,-0.284908414408435,0.0483440921566031
ADGRE2,0.230223280717305,0.18303018967703197
ZNF333,0.31630708694635196,0.15050495500226999
NDUFB7,-0.5600480034376251,0.0219032581350007
TECR,-0.740499597540564,0.0230467586287834
DNAJB1,-0.882287690631783,0.0263278471886818
ADGRE5,0.882985581307272,0.0499588146627377
C19orf53,-0.769389381892089,0.019565436739883
CCDC130,-0.118842641704881,0.0458357229896315
IER2,-0.29382023563713,0.023330125953169994
NFIX,0.203595699194012,0.0369602666459777
RAD23A,-0.5281569995654419,0.0226854184348557
CALR,-0.138751384214954,0.0199950056425412
FARSA,-1.29341160928748,0.0407273641247856
DNASE2,-0.0363209892448373,0.0461016563203487
RNASEH2A,-1.7143632146210301,0.0528360540411516
PRDX2,-0.875368695588572,0.0220485614514538
JUNB,0.8660479968520659,0.0217720116230519
ASNA1,-0.7321095132146421,0.0302622611768897
C19orf43,-0.24495116605007197,0.0181219209118852
WDR83OS,-0.55891508393423,0.0201599091025925
ACP5,-1.15202053120069,0.0677599049287602
PRKCSH,-0.18242138480676004,0.0264694117312461
PLPPR2,0.0628532625048378,0.05455206144387201
TMEM205,-0.15563392734969198,0.0339825530374383
KANK2,2.06333861070671,0.0503100989075695
KEAP1,-0.790272621462535,0.0393796613095433
PDE4A,1.4695061417496598,0.0662538197425044
CDC37,0.0981930769307196,0.0225853746046883
EIF3G,-0.23484202213719302,0.0183461804313341
C19orf66,-0.35148581933918105,0.0380811074187751
COL5A3,-0.130594439575757,0.0683117777000548
OLFM2,0.258096700289326,0.0445773170573294
ZNF426,0.46860427877766,0.0729841452884863
ZNF317,0.181770885792431,0.12267440073742
HNRNPM,0.0260762421143655,0.0195665579814495
RPS28,0.5009571655774919,0.0182238908688588
MCOLN1,-0.0903975861217483,0.0481626058412856
GPR108,-0.0757549413022209,0.0413431046424196
C3,-1.04321503338774,0.110490676742331
ALKBH7,-0.41539048946384005,0.0226609219087487
RANBP3,-0.507575187854529,0.0455885673737718
C19orf70,-0.6709073076317579,0.0235739447049631
RPL36,0.381050578051354,0.019433807345203998
PLIN3,-0.0569326448727466,0.0282770322788185
FEM1A,-0.14067091118675598,0.0493495276515757
AC005523.3,0.11460683974116699,0.5011917687524791
SH3GL1,-0.40453418612358705,0.0381913246639759
STAP2,-1.75078333639891,0.0447881252805197
ZBTB7A,0.857829653954007,0.0337104412394847
EEF2,-0.183884101863888,0.0188626414169759
DAPK3,0.20071937500726503,0.0383476649061573
HMG20B,-0.21359844924088198,0.028609385905211004
NFIC,0.0671491598959712,0.0225786176426999
AES,-0.274811406440117,0.0263992649553346
LMNB2,-0.985165124875945,0.0518764838146121
TIMM13,-1.0616325760244,0.0254935801202761
LSM7,-0.905465748464695,0.0220260394183226
OAZ1,0.146225696359807,0.0182325758683838
SF3A2,-0.722885325922488,0.0279224200556303
DOT1L,0.32814046761242305,0.0557358049201013
AP3D1,-0.07250531431721001,0.0438815053429476
SCAMP4,-0.975090537627226,0.0395468847524622
ABHD17A,-0.0288568334461479,0.04568468467236099
TCF3,0.189037142526414,0.0539150066942423
UQCR11,-0.128710649479253,0.0221971928979221
MBD3,-0.0308746660256713,0.0731219946409468
RPS15,-0.127165265739902,0.016494060670248
DAZAP1,-0.7406234222051958,0.0325631407687312
NDUFS7,-1.12364242801739,0.0246190165455867
CIRBP,0.7354830398473721,0.0186148878126155
MIDN,0.934379642713338,0.0275336934736946
ATP5D,-1.27819871162384,0.0195046870694658
GPX4,-0.16696642212200302,0.0192142103231429
POLR2E,-0.7238042293086671,0.02325409128673
ABCA7,0.0672137410937019,0.159161946169836
CNN2,-1.0554604318596998,0.0246293459223103
CFD,1.4787421512653998,0.0615416161238441
PTBP1,-0.15919578989872302,0.021841318409270997
BSG,-0.38889177502265504,0.0200861839836014
TPD52L2,-0.38036037786778293,0.0329642530477406
ZGPAT,-0.5049980004337671,0.0804713708590594
ARFRP1,-0.0922628891125704,0.0455001942082991
PPDPF,-1.11146575887348,0.0195535407995925
GID8,-0.8986994395111519,0.0330720751452653
OGFR,-0.255817044506276,0.0367694420571639
RPS21,0.27991067413472803,0.0200130074156884
PSMA7,-0.672781884358107,0.0186686301133344
PHACTR3,0.29543725913491803,0.260685832159254
ATP5E,0.0975902888979404,0.018837008455583
CTSZ,1.18432767135933,0.0492027113151267
NELFCD,-0.536193144513117,0.0347353488677042
GNAS,0.272243192991204,0.0210881055983049
NPEPL1,0.275395844707118,0.0773783170001519
TFAP2C,-1.08638593831949,0.0427479535161325
RTFDC1,-0.279564604551801,0.0274417366991327
FAM210B,-0.945951950375787,0.0434713041895996
PFDN4,-0.375520581448089,0.0301039217168284
