full_name	-log10(pvalue)
Interleukin-6 signaling	1.940450271562881
Apoptosis	24.71431738416933
Hemostasis	13.5765889390681
Intrinsic Pathway for Apoptosis	7.559168616480267
PI3K Cascade	0.04612692104151109
MAPK3 (ERK1) activation	1.172842461196662
Translesion synthesis by REV1	3.4111034708962857
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	3.2251517555305256
Recognition of DNA damage by PCNA-containing replication complex	1.8835422163060342
Translesion Synthesis by POLH	1.8198091232170934
Recognition and association of DNA glycosylase with site containing an affected pyrimidine	0.16078944119250838
Cleavage of the damaged pyrimidine 	0.17623238906758018
Recognition and association of DNA glycosylase with site containing an affected purine	0.36466333009552304
Cleavage of the damaged purine	0.3545291995845302
Displacement of DNA glycosylase by APEX1	0.04497507616469347
POLB-Dependent Long Patch Base Excision Repair	2.0006452498486538
Resolution of AP sites via the multiple-nucleotide patch replacement pathway	4.348810653688647
Resolution of AP sites via the single-nucleotide replacement pathway	0.284850021971783
SLBP independent Processing of Histone Pre-mRNAs	0.8313772335438164
Activation of BIM and translocation to mitochondria	1.2730447415654833
Activation of BAD and translocation to mitochondria	2.582938176734424
Activation of NOXA and translocation to mitochondria	0.4426955313815274
Activation and oligomerization of BAK protein	0.5606449396075184
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members	0.5397414994212459
Release of apoptotic factors from the mitochondria	8.255899103576594e-06
Formation of apoptosome	0.7430162493437815
Activation of caspases through apoptosome-mediated cleavage	0.7943900698599988
Cytochrome c-mediated apoptotic response	1.1322950838687027
SMAC (DIABLO) binds to IAPs 	1.4415973202713712
SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes 	1.4324668298736145
Apoptotic cleavage of cellular proteins	4.888383149628214
SMAC, XIAP-regulated apoptotic response	1.417223438610273
Apoptotic factor-mediated response	2.5543710465319514
Opioid Signalling	2.814801035218506
PKA-mediated phosphorylation of CREB	0.29806515600857325
CaMK IV-mediated phosphorylation of CREB	0.043843373883402655
Calmodulin induced events	0.08875707038848428
Cam-PDE 1 activation	0.022318725714928357
phospho-PLA2 pathway	7.884143921296848e-06
Ca-dependent events	0.014268042204231453
CaM pathway	0.07171899885422621
G-protein mediated events	0.2889705851719155
PLC beta mediated events	0.28471633095269766
ALKBH3 mediated reversal of alkylation damage	1.2617084852696316
Electric Transmission Across Gap Junctions	0.5801560720050611
Transmission across Electrical Synapses	0.5261582186615245
Presynaptic depolarization and calcium channel opening	0.06321895365178874
Neurotransmitter release cycle	0.4480983584970263
Neurotransmitter clearance	0.07926283771066046
Neurotransmitter uptake and metabolism In glial cells	0.05398874689674025
Neurotransmitter receptors and postsynaptic signal transmission	0.11410148206827586
Transmission across Chemical Synapses	0.021473738333355454
Neuronal System	0.5243425198924089
Formation of RNA Pol II elongation complex 	3.0584746552086703
IRS-mediated signalling	0.13647952659051926
RAF-independent MAPK1/3 activation	0.27811627469344835
MAPK1 (ERK2) activation	0.3409225064635731
SOS-mediated signalling	1.0383433738090186
Formation of the Early Elongation Complex	1.8022736068528318
Inhibition of replication initiation of damaged DNA by RB1/E2F1	0.9119086414264355
E2F-enabled inhibition of pre-replication complex formation	0.7146350846491384
E2F mediated regulation of DNA replication	1.3774567563335953
Activation, translocation and oligomerization of BAX	0.6863122727792677
Activation of BH3-only proteins	4.918274140786085
Effects of PIP2 hydrolysis	0.4795367116981216
Disinhibition of SNARE formation	0.14426855567216262
GPVI-mediated activation cascade	5.381025292202857
Platelet degranulation 	4.669931140548104
Downstream signaling events of B Cell Receptor (BCR)	15.528334157869736
Activation of NF-kappaB in B cells	14.220581344851748
Activation of RAS in B cells	0.23228795114795334
ISG15 antiviral mechanism	2.0831765545627143
Antiviral mechanism by IFN-stimulated genes	3.2502219534400347
Prolactin receptor signaling	0.7088752062580331
Signaling by NODAL	0.3358241236552292
Meiotic synapsis	2.291129013929861
ROS and RNS production in phagocytes	0.011768775033976414
Signaling by FGFR in disease	0.6758575787856782
Signaling by ERBB2	2.0398885376291607
Signaling by ERBB2 in Cancer	1.7682125112761664
Regulation of gene expression by Hypoxia-inducible Factor	0.7452557059433768
Cellular response to hypoxia	15.551591701967599
Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	15.938981029707529
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	1.0037585369619986
Signaling by ERBB4	0.3532062005016776
ER-Phagosome pathway	12.64509962040764
Antigen processing-Cross presentation	9.343873415464273
Endosomal/Vacuolar pathway	0.10870717905032361
Cross-presentation of soluble exogenous antigens (endosomes)	13.20397451492556
Erythrocytes take up carbon dioxide and release oxygen	1.587332942006422
Methionine salvage pathway	0.13510286729765064
Erythrocytes take up oxygen and release carbon dioxide	0.7740042778489977
SHC1 events in ERBB2 signaling	1.2785516352621618
PI3K events in ERBB4 signaling	1.0614531890516565
SHC1 events in ERBB4 signaling	0.9208164520871102
PLCG1 events in ERBB2 signaling	0.30623226544058807
Nuclear signaling by ERBB4	0.2566869753897179
Downregulation of ERBB4 signaling	0.07783834481520546
PIP3 activates AKT signaling	17.438493163087756
Interleukin-7 signaling	2.8032929945360157
Developmental Biology	40.39957591610031
Mitochondrial protein import	13.081376582467627
Cytokine Signaling in Immune system	31.96420238782914
Adaptive Immune System	13.764635599272616
Spry regulation of FGF signaling	2.334309723614679
ATP sensitive Potassium channels	1.1294175532921
Activation of G protein gated Potassium channels	0.0333449962330581
Classical Kir channels	9.850233324254496e-06
G protein gated Potassium channels	0.02627798627069318
HCN channels	7.444275103895263e-06
Inwardly rectifying K+ channels	0.41606695305905705
Potassium transport channels	8.862513890254481e-06
Potassium Channels	0.5410261765254455
Tandem pore domain potassium channels	0.8374551799630238
Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK)	9.00709033378388e-06
TWIK-releated acid-sensitive K+ channel (TASK)	9.262320061353538e-06
Acrosome Reaction and Sperm:Oocyte Membrane Binding	8.867742045633642e-06
GRB7 events in ERBB2 signaling	1.6069911727556203
betaKlotho-mediated ligand binding	9.543773005457858e-06
Downregulation of ERBB2:ERBB3 signaling	0.5034759728862794
Transcription of E2F targets under negative control by DREAM complex	1.30578470003374
Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1	1.0543439729418316
Mitochondrial iron-sulfur cluster biogenesis	0.5701342258505759
NR1D1 (REV-ERBA) represses gene expression	0.2862328699780423
RORA activates gene expression	1.6463312376794235
BMAL1:CLOCK,NPAS2 activates circadian gene expression	0.417209903031346
ABC transporters in lipid homeostasis	0.07699259113371773
Elevation of cytosolic Ca2+ levels	0.44504608831326486
Activation of BMF and translocation to mitochondria	0.4768716748526409
Activation of PUMA and translocation to mitochondria	1.1272205991264914
Amine Oxidase reactions	7.101438712738183e-06
Apoptosis induced DNA fragmentation	1.3690471351360816
Caspase activation via Death Receptors in the presence of ligand	1.5503728107160608
Extrinsic Pathway of Fibrin Clot Formation	1.139781562595309
Intrinsic Pathway of Fibrin Clot Formation	0.8783904011523561
Common Pathway of Fibrin Clot Formation	0.7484564229627773
Formation of Fibrin Clot (Clotting Cascade)	1.8760646073655163
Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components	1.827903900506994
Amplification of signal from the kinetochores	7.594674586391125
Inactivation of APC/C via direct inhibition of the APC/C complex	1.867277570873687
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	7.482198253587966
The citric acid (TCA) cycle and respiratory electron transport	39.00770856130723
Metabolism	62.94631666679827
Signaling by SCF-KIT	2.806714194393309
Regulation of KIT signaling	1.4927642922657367
Regulation of signaling by NODAL	9.712883396587482e-06
Collagen degradation	0.9479654761643144
Translocation of SLC2A4 (GLUT4) to the plasma membrane	3.397040380461983
Defensins	0.06762500880283881
Alpha-defensins	0.5252318111551962
Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation	0.6126602345615149
Reproduction	1.2486792948234353
Degradation of the extracellular matrix	1.6619868395824802
Extracellular matrix organization	6.814239871186702
Collagen formation	1.9664627311884482
Reversible hydration of carbon dioxide	0.3548340950407061
O2/CO2 exchange in erythrocytes	1.601222005921854
Acyl chain remodelling of PC	0.3836823293311591
Acyl chain remodelling of PS	0.07891252329664206
Acyl chain remodelling of PE	0.44578236266177673
Acyl chain remodeling of DAG and TAG	0.16847951359781851
Acyl chain remodelling of PI	0.8001758536719815
Acyl chain remodelling of PG	0.10882376892636403
Synthesis of PS	0.6321575235741649
Hydrolysis of LPC	1.7711319048086354
Synthesis of PG	0.07822317908932434
Hydrolysis of LPE	0.7034846021769448
Synthesis of PA	0.4130528626260635
Synthesis of PC	0.3825209598224897
Glycerophospholipid biosynthesis	0.07584136650535409
Synthesis of PE	0.14779169043557744
Synthesis of PIPs at the ER membrane	9.499504575518742e-06
Inositol phosphate metabolism	0.5812938684542058
PI Metabolism	0.6963540901354277
Phospholipid metabolism	0.3584611891848318
DAG and IP3 signaling	0.6614713701989707
Meiosis	2.9254907794674976
Cell-Cell communication	5.1033614853704705
Signaling by Activin	0.21161209504836068
G0 and Early G1	1.4874638320019942
Phase II - Conjugation of compounds	2.255628103428858
Methylation	2.670875438920074
Cytosolic sulfonation of small molecules	0.26013399366149986
Amino Acid conjugation	9.896261292507477e-06
Glucuronidation	0.24884618776788323
Glutathione conjugation	4.791047151956961
Elastic fibre formation	1.3370038564231677
Fibronectin matrix formation	0.6156117671333661
Polo-like kinase mediated events	2.0022839692510606
L13a-mediated translational silencing of Ceruloplasmin expression	15.917777835973702
Eukaryotic Translation Elongation	16.032999843408646
Peptide chain elongation	14.975968209024598
Signaling by NOTCH	17.37276681519237
Telomere Maintenance	4.427205465231795
Gap junction trafficking and regulation	6.054077635753032
Metabolism of nucleotides	10.212908416676337
Mitochondrial biogenesis	2.49831511779583
Transport of the SLBP independent Mature mRNA	0.09423022506046393
Transport of the SLBP Dependant Mature mRNA	0.1271252362569491
Transport of Mature mRNA Derived from an Intronless Transcript	0.33571929732363975
Transport of Mature mRNAs Derived from Intronless Transcripts	0.3197071452578827
Transport of Mature mRNA derived from an Intron-Containing Transcript	0.7341872152896013
Activation of Matrix Metalloproteinases	0.09182907959700722
Recycling of bile acids and salts	0.5377518912070542
Conjugation of carboxylic acids	9.67850608021253e-06
Gamma-carboxylation of protein precursors	1.0066669708580438
Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus	1.1276761896908005
Removal of aminoterminal propeptides from gamma-carboxylated proteins	0.9217851951732401
Gamma-carboxylation, transport, and amino-terminal cleavage of proteins	0.7388850019423748
ZBP1(DAI) mediated induction of type I IFNs	0.5520900591666058
Sulfide oxidation to sulfate	1.3747859895846566
Degradation of cysteine and homocysteine	2.7564585408037687
Sulfur amino acid metabolism	1.8485540927655824
Signal Transduction	41.244448785383746
HIV Life Cycle	6.758505271251058
Budding and maturation of HIV virion	1.9300240873359937
Integration of provirus	1.6052377063927317
Early Phase of HIV Life Cycle	2.9863349630644622
Late Phase of HIV Life Cycle	4.957107434086458
Golgi Cisternae Pericentriolar Stack Reorganization	3.159130385502695
Synthesis of dolichyl-phosphate mannose	0.49123727732150013
Synthesis of glycosylphosphatidylinositol (GPI)	0.05251413067027801
Attachment of GPI anchor to uPAR	0.47970735193065994
HIV Infection	24.377147635097735
Host Interactions of HIV factors	18.86636989623918
Glycosaminoglycan metabolism	0.16980893238802838
Post-translational modification: synthesis of GPI-anchored proteins	0.16517883528886965
Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	29.988782802595754
Mitochondrial transcription initiation	7.015205818379831e-06
Macroautophagy	5.139380306006725
PKA-mediated phosphorylation of key metabolic factors	9.214647423234574e-06
Glucagon signaling in metabolic regulation	0.6942618734294214
Triglyceride catabolism	0.8194412868502631
PKA activation	0.032692808387060436
AMPK inhibits chREBP transcriptional activation activity	0.2069655744400522
Integration of energy metabolism	3.963129931438849
Insulin effects increased synthesis of Xylulose-5-Phosphate	7.774885355233163e-06
ChREBP activates metabolic gene expression	0.8341458647725879
PP2A-mediated dephosphorylation of key metabolic factors	1.2383902804076812
Keratan sulfate/keratin metabolism	0.5167313188353587
Heparan sulfate/heparin (HS-GAG) metabolism	0.5546761870455552
Gamma carboxylation, hypusine formation and arylsulfatase activation	0.7126379574739755
Cell Cycle	35.3285360516295
Disease	40.46098272444237
Signaling by EGFR in Cancer	0.9266277094202072
PKA activation in glucagon signalling	0.005006939256888125
2-LTR circle formation	1.206008147437701
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	3.8338919219162753
Nef mediated downregulation of MHC class I complex cell surface expression	2.3426805152680665
Nef and signal transduction	0.6949451321577852
The role of Nef in HIV-1 replication and disease pathogenesis	3.507276889551766
Rev-mediated nuclear export of HIV RNA	0.43956980750791097
Collagen biosynthesis and modifying enzymes	1.0339794600643066
Activation of AKT2	0.248102845013104
mTOR signalling	2.2824999087022078
PDE3B signalling	9.252567834254733e-06
Regulation of cholesterol biosynthesis by SREBP (SREBF)	4.6974864560153
Toll Like Receptor 4 (TLR4) Cascade	1.3846142659940732
Transfer of LPS from LBP carrier to CD14	9.651917582495504e-06
Synthesis of PIPs at the plasma membrane	0.17603214204590434
Synthesis of PIPs at the Golgi membrane	0.033849885640113785
MyD88:MAL(TIRAP) cascade initiated on plasma membrane	1.4315434279746153
Sphingolipid de novo biosynthesis	2.0701247892118024
