Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Class A/1 (Rhodopsin-like receptors) Homo sapiens R-HSA-373076,-0.1826247554276099,inf,,0.0,323,236,LTB4R2;P2RY1;LTB4R;CCL20;NMU;S1PR5;LPAR5;CXCL16;ADORA2B;HRH2;LPAR3;CCL7;PTAFR;EDN2;HCAR3;LPAR2;CCR10;S1PR4;CXCR2;F2RL1;CCR8;HCAR2;GPR37;CCR4;P2RY2;HEBP1;ANXA1;C3;CXCL1;GPR68;CCL28;FPR1;CXCL13;UTS2;CXCL9;F2RL2;CCL19;CXCR1;NPW;P2RY6;POMC;BDKRB2;ACKR4;HTR7;PROK2;P2RY13;CXCL10;PROK1;CCR1;CXCL12;CCL23;CCL17;CXCL6;GPR55;GALR3;SAA1;FFAR2;CCL11;P2RY12;HRH1;EDN3;APP;S1PR3;NPBWR1;CCR3;GPR39;GAL;C3AR1;ADRB3;GPR143;FPR2;PENK;RRH;PMCH;HRH3;HRH4;TSHR;XK;C5;LHCGR;AGT;EDN1;GALR2;ACKR2;SST;CORT;DRD4;CCL22;ADORA3;CXCL11;CCKBR;LPAR1;SUCNR1;GNRH2;P2RY10;FFAR4;QRFP;CHRM4;MLNR;TAC3;GPR37L1;GPR18;QRFPR;OPN5;NTS;DRD2;MC4R;C5AR1;MC5R;CCR2;LPAR6;CCL1;HTR6;NMBR;CXCR3;OPN1SW;XCR1;CXCL5;PYY;PPY;GPBAR1;RLN2;NMUR1;CX3CR1;F2R;MCHR1;CYSLTR1;GPR17;OXTR;HTR2B;CGA;UTS2B;KISS1R;CHRM5;GPR132;PNOC;C5AR2;NTSR1;HCRT;OPRL1;CNR2;OPN4;PRLHR;CXCR6;ADORA2A;GNRH1;CXCR5;CCL21;FFAR3;GRPR;P2RY11;TRH;KEL;HCAR1;INSL3;KISS1;F2RL3;TACR2;GPR65;APLN;CXCL2;TAC1;PTGER1;CHRM1;OXGR1;ADRA2B;ADRA1D;CCR5;AVPR2;CCL3;ADORA1;CCR7;DRD1;GALR1;XCL2;NPFFR2;CCR6;XCL1;ADRB2;CCK;GRP;MC1R;CCL4;HTR2A;NPFFR1;NPY5R;OXER1;CCL5;ADRB1;FPR3;CNR1;CXCL3;OPN3;OXT;ADRA2C;APLNR;ACKR3;GPER1;LPAR4;CX3CL1;SSTR1;ADRA1A;TBXA2R;NPB;CHRM3;PTGER4;AGTR1;PTGER3;CCL27;CCRL2;S1PR1;PTGFR;GHRL;PTGDR;NMB;PTGER2;S1PR2;PSAP;CXCR4;CYSLTR2;GPR4;EDNRA;TACR1;ACKR1;NPY1R;CXCL8;BDKRB1;HTR1F;P2RY14;PTGDR2;SSTR2;CCL2;EDNRB;AVPR1A;PTGIR;ADRA2A,ADRA2C;APLNR;ACKR3;GPER1;LPAR4;CX3CL1;SSTR1;ADRA1A;TBXA2R;NPB;CHRM3;PTGER4;AGTR1;PTGER3;CCL27;CCRL2;S1PR1;PTGFR;GHRL;PTGDR;NMB;PTGER2;S1PR2;PSAP;CXCR4;CYSLTR2;GPR4;EDNRA;TACR1;ACKR1;NPY1R;CXCL8;BDKRB1;HTR1F;P2RY14;PTGDR2;SSTR2;CCL2;EDNRB;AVPR1A;PTGIR;ADRA2A
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC) Homo sapiens R-HSA-975957,-0.4074326004389698,-111.0851077707431,0.0,0.02157345119073884,106,106,RPLP0;PPP2R1A;RPL26L1;RPL28;RPL29;RPL19;EIF4G1;RPL7A;RPL14;RPSA;RPS3;RPS4Y1;RPL18A;RPS8;RPS12;MAGOH;RPL8;RPL13;RPS16;RPS13;RPS7;RPL18;RNPS1;RPS24;UBA52;RPS23;RPS5;PABPC1;RPS15;NCBP1;RPL32;RPLP1;SMG5;RPS3A;RPL11;RPS14;RPS19;RPL4;RPS2;RBM8A;RPL24;RPL10;SMG9;RPL15;NCBP2;SMG1;RPL30;RPL12;UPF1;RPS9;SMG7;RPS25;RPS27A;UPF3A;SMG8;ETF1;RPL6;PPP2R2A;RPL3L;SMG6;RPS6;RPL5;RPL22;RPL10A;FAU;RPS4X;UPF3B;GSPT2;CASC3;RPL35;RPLP2;RPS21;RPS18;RPS26;RPL3;RPL36;RPL23A;RPS15A;RPL27;PPP2CA;RPL9;RPS28;RPL35A;UPF2;RPL37;EIF4A3;RPS11;RPL39;RPL7;RPL13A;RPL23;RPL34;RPL31;RPL37A;RPL17;RPL41;RPL27A;RPL36A;RPL38;RPS17;RPL21;RPL26;RPS10;RPS27;RPS20;RPS29,UPF2;RPL37;EIF4A3;RPS11;RPL39;RPL7;RPL13A;RPL23;RPL34;RPL31;RPL37A;RPL17;RPL41;RPL27A;RPL36A;RPL38;RPS17;RPL21;RPL26;RPS10;RPS27;RPS20;RPS29
3' -UTR-mediated translational regulation Homo sapiens R-HSA-157279,-0.4100334559147015,-111.10940901926386,0.0,0.02292179189016002,106,106,EIF3K;RPLP0;EIF3F;RPL26L1;RPL28;RPL29;EIF3M;RPL19;EIF4G1;RPL7A;RPL14;RPSA;RPS3;RPS4Y1;RPL18A;EIF3I;RPS8;RPS12;RPL8;EIF4H;RPL13;RPS16;EIF3G;EIF2S2;RPS13;RPS7;RPL18;RPS24;EIF3H;UBA52;RPS23;EIF3B;RPS5;PABPC1;RPS15;EIF2S1;RPL32;RPLP1;EIF3L;EIF2S3;RPS3A;RPL11;RPS14;RPS19;RPL4;RPS2;RPL24;RPL10;RPL15;EIF3A;RPL30;RPL12;EIF3D;RPS9;RPS25;RPS27A;RPL6;RPL3L;EIF4B;EIF4E;RPS6;RPL5;RPL22;RPL10A;FAU;RPS4X;EIF3E;RPL35;RPLP2;EIF3C;RPS21;RPS18;RPS26;RPL3;RPL36;RPL23A;EIF1AX;RPS15A;RPL27;RPL9;RPS28;RPL35A;RPL37;EIF3J;RPS11;RPL39;RPL7;RPL13A;EIF4A2;RPL23;RPL34;RPL31;RPL37A;RPL17;RPL41;RPL27A;RPL36A;RPL38;RPS17;EIF4A1;RPL21;RPL26;RPS10;RPS27;RPS20;RPS29,RPL37;EIF3J;RPS11;RPL39;RPL7;RPL13A;EIF4A2;RPL23;RPL34;RPL31;RPL37A;RPL17;RPL41;RPL27A;RPL36A;RPL38;RPS17;EIF4A1;RPL21;RPL26;RPS10;RPS27;RPS20;RPS29
PIP3 activates AKT signaling Homo sapiens R-HSA-1257604,-0.291428673482088,-101.50347034832532,0.0,0.02383630353571338,122,114,PPP2R1A;RPS6KB2;MLST8;NRG1;HBEGF;EGFR;AKT1S1;GSK3B;LCK;PTPN11;MOV10;PIP4K2C;ERBB2;MTOR;AKT2;MAPKAP1;PPP2R5B;BAD;FGFR2;MDM2;TRIB3;ERBB3;THEM4;IER3;PIK3CB;PPP2R5E;FGFR3;PPP2R5D;AKT1;GRB2;CHUK;FGF7;CD28;VAV1;MAPK1;PPP2R5C;PIK3CD;GSK3A;PIP5K1A;CD80;RICTOR;TSC2;EREG;FGF8;MAPK3;AGO2;KLB;SRC;CD19;FGF19;FGFR4;FGF23;TRAT1;FGF17;PHLPP1;CD86;NRG4;FRS2;FGF16;AGO4;PIP4K2B;IRS1;CREB1;EGF;FGF10;PIP5K1C;FGF5;PIK3CA;PTEN;FGF1;PDGFB;NRG2;PPP2R1B;KL;AGO1;CASP9;PHLPP2;KIT;PIK3R3;FGF22;BTC;FGF18;PDPK1;GAB1;CDKN1B;PPP2CB;TNRC6A;AGO3;FGF2;PIK3R1;PPP2CA;FGF9;PIK3R2;PDGFRA;ERBB4;PRR5;IRS2;PPP2R5A;CDKN1A;AKT3;FOXO4;INSR;KITLG;FYN;PIP4K2A;FOXO1;PIP5K1B;TNRC6C;TNRC6B;PDGFRB;PDGFA;FGFR1;FOXO3;NR4A1,KL;AGO1;CASP9;PHLPP2;KIT;PIK3R3;FGF22;BTC;FGF18;PDPK1;GAB1;CDKN1B;PPP2CB;TNRC6A;AGO3;FGF2;PIK3R1;PPP2CA;FGF9;PIK3R2;PDGFRA;ERBB4;PRR5;IRS2;PPP2R5A;CDKN1A;AKT3;FOXO4;INSR;KITLG;FYN;PIP4K2A;FOXO1;PIP5K1B;TNRC6C;TNRC6B;PDGFRB;PDGFA;FGFR1;FOXO3;NR4A1
Eukaryotic Translation Elongation Homo sapiens R-HSA-156842,-0.440483741160106,-112.93937227543253,0.0,0.02407230654101747,89,88,RPLP0;RPL26L1;RPL28;EEF1B2;RPL29;RPL19;RPL7A;RPL14;RPSA;RPS3;RPS4Y1;RPL18A;EEF1D;RPS8;RPS12;RPL8;RPL13;RPS16;RPS13;RPS7;RPL18;RPS24;UBA52;RPS23;RPS5;RPS15;EEF2;EEF1A1;RPL32;RPLP1;RPS3A;RPL11;RPS14;RPS19;RPL4;RPS2;RPL24;RPL10;RPL15;RPL30;RPL12;RPS9;RPS25;RPS27A;RPL6;RPL3L;RPS6;RPL5;RPL22;RPL10A;FAU;RPS4X;RPL35;RPLP2;RPS21;EEF1A2;RPS18;RPS26;RPL3;RPL36;RPL23A;RPS15A;RPL27;RPL9;RPS28;EEF1G;RPL35A;RPL37;RPS11;RPL39;RPL7;RPL13A;RPL23;RPL34;RPL31;RPL37A;RPL17;RPL41;RPL27A;RPL36A;RPL38;RPS17;RPL21;RPL26;RPS10;RPS27;RPS20;RPS29,RPL37;RPS11;RPL39;RPL7;RPL13A;RPL23;RPL34;RPL31;RPL37A;RPL17;RPL41;RPL27A;RPL36A;RPL38;RPS17;RPL21;RPL26;RPS10;RPS27;RPS20;RPS29
Muscle contraction Homo sapiens R-HSA-397014,-0.26768783957480374,-275.3870267595304,0.0,0.024072306541017472,196,174,MYL12B;TPM4;CACNB4;MYL12A;TPM3;FXYD3;CALM1;ANXA2;TMOD3;KCNK1;MYL6;ORAI1;SRI;KCNK6;ATP1B3;MYL6B;ITPR3;RANGRF;ITPR2;PXN;KCNK7;KCND3;ATP2B4;KCNK15;KCNK10;ANXA1;RYR1;VCL;ANXA6;CORIN;TNNT1;ATP2A2;TNNI3;STIM1;CACNB3;TTN;KCNK12;ATP1A3;TLN1;SLN;TNNT2;PRKACA;KCNJ2;KCNJ11;MYL5;ATP2B1;NKX2-5;CACNA2D3;SLC8A2;ACTN2;KCNE2;SCN8A;KCNIP2;ATP2A1;ATP2A3;ATP1B1;FXYD4;CACNA1F;CACNA2D4;SCN2A;CACNG7;DES;KCNH2;TRIM72;KCND1;ACTG2;TNNI1;MYL3;MYBPC3;SCN2B;CAMK2D;NEB;KCNIP4;KCNK17;SLC8A3;CAV3;ATP1A4;TMOD2;KCNQ1;KCNE3;NPPA;ASPH;MYL7;ITGB5;KCNK2;ACTA2;MYL2;MYH3;KCNK13;KCNK9;KCNIP3;ACTN3;HIPK2;KCNE1;FXYD7;TPM1;KCND2;FGF11;SCN3B;KCNJ14;CAMK2A;DYSF;MYL9;SCN7A;TRPC1;KCNK4;CACNB2;SCN11A;AHCYL1;SORBS3;KAT2B;CAMK2B;MYLPF;TCAP;SCN5A;ITGA1;KCNK3;MYL4;NPR2;KCNIP1;NPPC;CACNA2D1;MYBPC1;SCN4A;TBX5;FGF14;TNNC1;ATP1A1;HIPK1;FGF13;AKAP9;KCNK5;NPR1;CACNG8;FGF12;NOS1;KCNJ12;CALD1;CAMK2G;TNNC2;SCN9A;FKBP1B;SCN3A;CACNA2D2;CACNA1D;DMD;CACNA1C;TNNI2;SLC8A1;FXYD2;SCN1B;SCN4B;MYLK;RYR3;CACNB1;TPM2;TNNT3;WWTR1;SORBS1;MYH11;PLN;VIM;TMOD1;DMPK;ITPR1;RYR2;FXYD6;LMOD1;ABCC9;CLIC2;ATP1A2;KCNE4;ATP1B2;FXYD1,SORBS3;KAT2B;CAMK2B;MYLPF;TCAP;SCN5A;ITGA1;KCNK3;MYL4;NPR2;KCNIP1;NPPC;CACNA2D1;MYBPC1;SCN4A;TBX5;FGF14;TNNC1;ATP1A1;HIPK1;FGF13;AKAP9;KCNK5;NPR1;CACNG8;FGF12;NOS1;KCNJ12;CALD1;CAMK2G;TNNC2;SCN9A;FKBP1B;SCN3A;CACNA2D2;CACNA1D;DMD;CACNA1C;TNNI2;SLC8A1;FXYD2;SCN1B;SCN4B;MYLK;RYR3;CACNB1;TPM2;TNNT3;WWTR1;SORBS1;MYH11;PLN;VIM;TMOD1;DMPK;ITPR1;RYR2;FXYD6;LMOD1;ABCC9;CLIC2;ATP1A2;KCNE4;ATP1B2;FXYD1
GAB1 signalosome Homo sapiens R-HSA-180292,-0.2790086621736874,-92.06741170430227,0.25,0.024780315556929753,125,117,PPP2R1A;RPS6KB2;MLST8;NRG1;HBEGF;EGFR;AKT1S1;GSK3B;LCK;PTPN11;MOV10;PIP4K2C;ERBB2;MTOR;CSK;PXN;AKT2;MAPKAP1;PPP2R5B;BAD;FGFR2;MDM2;TRIB3;ERBB3;THEM4;IER3;PIK3CB;PPP2R5E;FGFR3;PPP2R5D;AKT1;GRB2;CHUK;FGF7;CD28;VAV1;PAG1;MAPK1;PPP2R5C;PIK3CD;GSK3A;PIP5K1A;CD80;RICTOR;TSC2;EREG;FGF8;MAPK3;AGO2;KLB;SRC;CD19;FGF19;FGFR4;FGF23;TRAT1;FGF17;PHLPP1;CD86;NRG4;FRS2;FGF16;AGO4;PIP4K2B;IRS1;CREB1;EGF;FGF10;PIP5K1C;FGF5;PIK3CA;PTEN;FGF1;PDGFB;NRG2;PPP2R1B;KL;AGO1;CASP9;PHLPP2;KIT;PIK3R3;FGF22;BTC;FGF18;PDPK1;GAB1;CDKN1B;PPP2CB;TNRC6A;AGO3;FGF2;PIK3R1;PPP2CA;FGF9;PIK3R2;PDGFRA;ERBB4;PRR5;IRS2;PPP2R5A;CDKN1A;AKT3;FOXO4;INSR;KITLG;FYN;PIP4K2A;FOXO1;PIP5K1B;TNRC6C;TNRC6B;PDGFRB;PDGFA;FGFR1;FOXO3;NR4A1,PDPK1;GAB1;CDKN1B;PPP2CB;TNRC6A;AGO3;FGF2;PIK3R1;PPP2CA;FGF9;PIK3R2;PDGFRA;ERBB4;PRR5;IRS2;PPP2R5A;CDKN1A;AKT3;FOXO4;INSR;KITLG;FYN;PIP4K2A;FOXO1;PIP5K1B;TNRC6C;TNRC6B;PDGFRB;PDGFA;FGFR1;FOXO3;NR4A1
Cap-dependent Translation Initiation Homo sapiens R-HSA-72737,-0.39373009300849054,-115.19942525770915,0.0,0.0249826038471904,114,114,EIF4EBP1;EIF3K;RPLP0;EIF3F;RPL26L1;RPL28;RPL29;EIF3M;RPL19;EIF4G1;RPL7A;RPL14;RPSA;RPS3;RPS4Y1;RPL18A;EIF3I;RPS8;RPS12;RPL8;EIF4H;RPL13;RPS16;EIF3G;EIF2S2;EIF2B2;RPS13;RPS7;RPL18;RPS24;EIF2B1;EIF3H;EIF2B5;UBA52;RPS23;EIF3B;RPS5;PABPC1;RPS15;EIF2S1;RPL32;RPLP1;EIF3L;EIF2B3;EIF2S3;RPS3A;RPL11;RPS14;RPS19;RPL4;RPS2;RPL24;RPL10;RPL15;EIF3A;RPL30;RPL12;EIF3D;RPS9;RPS25;RPS27A;RPL6;RPL3L;EIF4B;EIF4E;RPS6;RPL5;RPL22;RPL10A;FAU;RPS4X;EIF3E;EIF2B4;RPL35;RPLP2;EIF3C;RPS21;EIF5B;RPS18;RPS26;RPL3;RPL36;RPL23A;EIF1AX;RPS15A;RPL27;RPL9;RPS28;RPL35A;RPL37;EIF3J;RPS11;RPL39;RPL7;EIF5;RPL13A;EIF4A2;RPL23;RPL34;RPL31;RPL37A;RPL17;RPL41;RPL27A;RPL36A;RPL38;RPS17;EIF4A1;RPL21;RPL26;RPS10;RPS27;RPS20;RPS29,RPL37;EIF3J;RPS11;RPL39;RPL7;EIF5;RPL13A;EIF4A2;RPL23;RPL34;RPL31;RPL37A;RPL17;RPL41;RPL27A;RPL36A;RPL38;RPS17;EIF4A1;RPL21;RPL26;RPS10;RPS27;RPS20;RPS29
PI3K/AKT activation Homo sapiens R-HSA-198203,-0.28415454751566743,-94.76355031221792,0.16666666666666666,0.02534672276965957,125,117,PPP2R1A;RHOA;RPS6KB2;MLST8;NRG1;HBEGF;EGFR;AKT1S1;GSK3B;LCK;PTPN11;MOV10;PIP4K2C;ERBB2;MTOR;AKT2;MAPKAP1;PPP2R5B;BAD;FGFR2;MDM2;TRIB3;ERBB3;THEM4;IER3;PIK3CB;PPP2R5E;FGFR3;PPP2R5D;AKT1;GRB2;CHUK;FGF7;CD28;VAV1;MAPK1;PPP2R5C;PIK3CD;GSK3A;PIP5K1A;CD80;NTRK1;RICTOR;TSC2;EREG;FGF8;MAPK3;AGO2;KLB;SRC;CD19;FGF19;FGFR4;FGF23;TRAT1;FGF17;PHLPP1;CD86;NRG4;FRS2;FGF16;AGO4;PIP4K2B;IRS1;CREB1;EGF;FGF10;PIP5K1C;FGF5;PIK3CA;PTEN;FGF1;PDGFB;NRG2;PPP2R1B;KL;AGO1;CASP9;PHLPP2;KIT;PIK3R3;FGF22;BTC;FGF18;PDPK1;GAB1;CDKN1B;PPP2CB;TNRC6A;AGO3;FGF2;PIK3R1;PPP2CA;FGF9;PIK3R2;PDGFRA;ERBB4;PRR5;IRS2;PPP2R5A;NGF;CDKN1A;AKT3;FOXO4;INSR;KITLG;FYN;PIP4K2A;FOXO1;PIP5K1B;TNRC6C;TNRC6B;PDGFRB;PDGFA;FGFR1;FOXO3;NR4A1,PDPK1;GAB1;CDKN1B;PPP2CB;TNRC6A;AGO3;FGF2;PIK3R1;PPP2CA;FGF9;PIK3R2;PDGFRA;ERBB4;PRR5;IRS2;PPP2R5A;NGF;CDKN1A;AKT3;FOXO4;INSR;KITLG;FYN;PIP4K2A;FOXO1;PIP5K1B;TNRC6C;TNRC6B;PDGFRB;PDGFA;FGFR1;FOXO3;NR4A1
L13a-mediated translational silencing of Ceruloplasmin expression Homo sapiens R-HSA-156827,-0.4100334559147015,-93.27845515382599,0.0,0.025353465712668263,106,106,EIF3K;RPLP0;EIF3F;RPL26L1;RPL28;RPL29;EIF3M;RPL19;EIF4G1;RPL7A;RPL14;RPSA;RPS3;RPS4Y1;RPL18A;EIF3I;RPS8;RPS12;RPL8;EIF4H;RPL13;RPS16;EIF3G;EIF2S2;RPS13;RPS7;RPL18;RPS24;EIF3H;UBA52;RPS23;EIF3B;RPS5;PABPC1;RPS15;EIF2S1;RPL32;RPLP1;EIF3L;EIF2S3;RPS3A;RPL11;RPS14;RPS19;RPL4;RPS2;RPL24;RPL10;RPL15;EIF3A;RPL30;RPL12;EIF3D;RPS9;RPS25;RPS27A;RPL6;RPL3L;EIF4B;EIF4E;RPS6;RPL5;RPL22;RPL10A;FAU;RPS4X;EIF3E;RPL35;RPLP2;EIF3C;RPS21;RPS18;RPS26;RPL3;RPL36;RPL23A;EIF1AX;RPS15A;RPL27;RPL9;RPS28;RPL35A;RPL37;EIF3J;RPS11;RPL39;RPL7;RPL13A;EIF4A2;RPL23;RPL34;RPL31;RPL37A;RPL17;RPL41;RPL27A;RPL36A;RPL38;RPS17;EIF4A1;RPL21;RPL26;RPS10;RPS27;RPS20;RPS29,RPL37;EIF3J;RPS11;RPL39;RPL7;RPL13A;EIF4A2;RPL23;RPL34;RPL31;RPL37A;RPL17;RPL41;RPL27A;RPL36A;RPL38;RPS17;EIF4A1;RPL21;RPL26;RPS10;RPS27;RPS20;RPS29
