Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
APC/C-mediated degradation of cell cycle proteins Homo sapiens R-HSA-174143,-0.7431067835690883,-3.7691131509413434,0.0,0.0,85,85,ANAPC16;PSMB10;CDC26;PSMB9;PSMD9;PSMB8;ANAPC4;PSMD7;SKP1;PSMB11;CDC16;PSMA1;ANAPC2;PSME1;UBE2E1;ANAPC10;CDC14A;PSMD6;PSMA8;UBC;PSMC6;RPS27A;PSMD5;PSMD12;CDC27;FZR1;BTRC;ANAPC5;UBA52;PSMF1;ANAPC1;CCNA1;PSME2;UBE2D1;ANAPC15;PSMA2;PSMA7;PSMA3;PSMA4;PSMC4;PSMD10;PSMD13;CUL1;PSMB6;PSMC1;PSMB7;UBB;PSMA5;BUB3;PSMC2;PSMD8;CDK2;PSMC5;PSME3;PSMD1;PSMC3;CDC23;PSMB1;ANAPC7;PSMB2;PSMA6;PSME4;PSMD14;FBXO5;ANAPC11;PSMB5;PSMD11;PSMD4;SKP2;PSMD2;PSMD3;MAD2L1;PSMB3;BUB1B;PTTG1;PLK1;CDC20;CDK1;CCNA2;AURKB;AURKA;CCNB1;UBE2C;NEK2;PSMB4,PSMC4;PSMD10;PSMD13;CUL1;PSMB6;PSMC1;PSMB7;UBB;PSMA5;BUB3;PSMC2;PSMD8;CDK2;PSMC5;PSME3;PSMD1;PSMC3;CDC23;PSMB1;ANAPC7;PSMB2;PSMA6;PSME4;PSMD14;FBXO5;ANAPC11;PSMB5;PSMD11;PSMD4;SKP2;PSMD2;PSMD3;MAD2L1;PSMB3;BUB1B;PTTG1;PLK1;CDC20;CDK1;CCNA2;AURKB;AURKA;CCNB1;UBE2C;NEK2;PSMB4
APC/C:Cdc20 mediated degradation of mitotic proteins Homo sapiens R-HSA-176409,-0.7254325311343554,-3.5309124507610505,0.0,0.0,74,74,ANAPC16;PSMB10;CDC26;PSMB9;PSMD9;PSMB8;ANAPC4;PSMD7;PSMB11;CDC16;PSMA1;ANAPC2;PSME1;UBE2E1;ANAPC10;PSMD6;PSMA8;UBC;PSMC6;RPS27A;PSMD5;PSMD12;CDC27;ANAPC5;UBA52;PSMF1;ANAPC1;CCNA1;PSME2;UBE2D1;ANAPC15;PSMA2;PSMA7;PSMA3;PSMA4;PSMC4;PSMD10;PSMD13;PSMB6;PSMC1;PSMB7;UBB;PSMA5;BUB3;PSMC2;PSMD8;PSMC5;PSME3;PSMD1;PSMC3;CDC23;PSMB1;ANAPC7;PSMB2;PSMA6;PSME4;PSMD14;ANAPC11;PSMB5;PSMD11;PSMD4;PSMD2;PSMD3;MAD2L1;PSMB3;BUB1B;PTTG1;CDC20;CDK1;CCNA2;CCNB1;UBE2C;NEK2;PSMB4,PSMB6;PSMC1;PSMB7;UBB;PSMA5;BUB3;PSMC2;PSMD8;PSMC5;PSME3;PSMD1;PSMC3;CDC23;PSMB1;ANAPC7;PSMB2;PSMA6;PSME4;PSMD14;ANAPC11;PSMB5;PSMD11;PSMD4;PSMD2;PSMD3;MAD2L1;PSMB3;BUB1B;PTTG1;CDC20;CDK1;CCNA2;CCNB1;UBE2C;NEK2;PSMB4
Activation of ATR in response to replication stress Homo sapiens R-HSA-176187,-0.8487588727989815,-3.9262784102215402,0.0,0.0,37,37,RPA2;HUS1;RAD9B;ATRIP;CLSPN;ATR;RFC5;RAD17;RPA1;ORC4;DBF4;RAD1;ORC3;RAD9A;MCM5;ORC6;CDK2;RPA3;ORC2;ORC5;RFC3;RFC2;MCM7;CDC6;MCM6;CDC25C;CDC7;MCM8;ORC1;CDC25A;CHEK1;MCM3;CDC45;RFC4;MCM10;MCM2;MCM4,RAD1;ORC3;RAD9A;MCM5;ORC6;CDK2;RPA3;ORC2;ORC5;RFC3;RFC2;MCM7;CDC6;MCM6;CDC25C;CDC7;MCM8;ORC1;CDC25A;CHEK1;MCM3;CDC45;RFC4;MCM10;MCM2;MCM4
Activation of the pre-replicative complex Homo sapiens R-HSA-68962,-0.8500812661111865,-3.5944047459492072,0.0,0.0,30,30,RPA2;RPA4;RPA1;ORC4;DBF4;POLA1;ORC3;MCM5;ORC6;CDK2;RPA3;PRIM2;ORC2;PRIM1;ORC5;POLA2;MCM7;CDC6;MCM6;CDC7;MCM8;ORC1;POLE2;CDT1;MCM3;POLE;CDC45;MCM10;MCM2;MCM4,MCM5;ORC6;CDK2;RPA3;PRIM2;ORC2;PRIM1;ORC5;POLA2;MCM7;CDC6;MCM6;CDC7;MCM8;ORC1;POLE2;CDT1;MCM3;POLE;CDC45;MCM10;MCM2;MCM4
Assembly of the pre-replicative complex Homo sapiens R-HSA-68867,-0.7801223504169282,-3.7434658207566014,0.0,0.0,67,67,PSMB10;PSMB9;PSMD9;PSMB8;PSMD7;PSMB11;PSMA1;PSME1;PSMD6;PSMA8;UBC;PSMC6;RPS27A;PSMD5;PSMD12;UBA52;PSMF1;ORC4;PSME2;PSMA2;PSMA7;PSMA3;PSMA4;PSMC4;PSMD10;PSMD13;PSMB6;PSMC1;PSMB7;E2F1;ORC3;UBB;PSMA5;MCM5;PSMC2;ORC6;PSMD8;PSMC5;PSME3;PSMD1;PSMC3;PSMB1;GMNN;ORC2;E2F3;ORC5;PSMB2;PSMA6;PSME4;PSMD14;PSMB5;PSMD11;MCM7;PSMD4;CDC6;PSMD2;MCM6;MCM8;PSMD3;E2F2;ORC1;PSMB3;CDT1;MCM3;MCM2;MCM4;PSMB4,PSMB6;PSMC1;PSMB7;E2F1;ORC3;UBB;PSMA5;MCM5;PSMC2;ORC6;PSMD8;PSMC5;PSME3;PSMD1;PSMC3;PSMB1;GMNN;ORC2;E2F3;ORC5;PSMB2;PSMA6;PSME4;PSMD14;PSMB5;PSMD11;MCM7;PSMD4;CDC6;PSMD2;MCM6;MCM8;PSMD3;E2F2;ORC1;PSMB3;CDT1;MCM3;MCM2;MCM4;PSMB4
Association of licensing factors with the pre-replicative complex Homo sapiens R-HSA-69298,-0.8793233529841187,-3.5105659786640033,0.0,0.0,15,15,UBC;RPS27A;UBA52;ORC4;E2F1;ORC3;UBB;GMNN;ORC2;E2F3;ORC5;CDC6;E2F2;ORC1;CDT1,E2F1;ORC3;UBB;GMNN;ORC2;E2F3;ORC5;CDC6;E2F2;ORC1;CDT1
CDT1 association with the CDC6:ORC:origin complex Homo sapiens R-HSA-68827,-0.7479811778180946,-3.47549849492951,0.0,0.0,58,58,PSMB10;PSMB9;PSMD9;PSMB8;PSMD7;PSMB11;PSMA1;PSME1;PSMD6;PSMA8;UBC;PSMC6;RPS27A;PSMD5;PSMD12;UBA52;PSMF1;ORC4;PSME2;PSMA2;PSMA7;PSMA3;PSMA4;PSMC4;PSMD10;PSMD13;PSMB6;PSMC1;PSMB7;ORC3;UBB;PSMA5;PSMC2;ORC6;PSMD8;PSMC5;PSME3;PSMD1;PSMC3;PSMB1;GMNN;ORC2;ORC5;PSMB2;PSMA6;PSME4;PSMD14;PSMB5;PSMD11;PSMD4;CDC6;PSMD2;MCM8;PSMD3;ORC1;PSMB3;CDT1;PSMB4,PSMC4;PSMD10;PSMD13;PSMB6;PSMC1;PSMB7;ORC3;UBB;PSMA5;PSMC2;ORC6;PSMD8;PSMC5;PSME3;PSMD1;PSMC3;PSMB1;GMNN;ORC2;ORC5;PSMB2;PSMA6;PSME4;PSMD14;PSMB5;PSMD11;PSMD4;CDC6;PSMD2;MCM8;PSMD3;ORC1;PSMB3;CDT1;PSMB4
Cell Cycle Checkpoints Homo sapiens R-HSA-69620,-0.7498439921406969,-3.5046321818545882,0.0,0.0,182,161,ANAPC16;PSMB10;UIMC1;RPA2;CDKN1A;CDC26;PSMB9;PSMD9;PSMB8;RBBP8;ANAPC4;ATM;PSMD7;UBE2N;MAD1L1;CDKN1B;WRN;PSMB11;CDC16;PSMA1;HUS1;ANAPC2;PSME1;RAD9B;MDM2;UBE2V2;UBE2E1;NBN;RNF8;ANAPC10;PSMD6;BRIP1;PCBP4;HERC2;PSMA8;ATRIP;CLSPN;UBC;CCNE2;PSMC6;RPS27A;ATR;PSMD5;PSMD12;CDC27;ANAPC5;UBA52;PSMF1;RNF168;RFC5;ANAPC1;RAD17;CCNA1;RPA1;ORC4;PSME2;RAD50;ZNF385A;UBE2D1;TP53BP1;SUMO1;HIST1H2BO;PIAS4;YWHAH;ANAPC15;PSMA2;PSMA7;KAT5;PSMA3;DBF4;PSMA4;YWHAB;WEE1;TOP3A;BABAM1;PSMC4;PSMD10;PSMD13;YWHAQ;PSMB6;RAD1;PSMC1;TP53;PSMB7;ORC3;RAD9A;UBB;PSMA5;BUB3;YWHAG;MCM5;PSMC2;ORC6;PSMD8;CDK2;YWHAE;PSMC5;PSME3;PSMD1;RPA3;MDC1;PSMC3;SFN;CDC23;HIST1H2BK;PSMB1;ORC2;ANAPC7;ORC5;MDM4;PSMB2;PSMA6;PSME4;RFC3;CHEK2;PSMD14;RFC2;ANAPC11;PSMB5;PSMD11;MCM7;PSMD4;TOPBP1;CDC6;PSMD2;MCM6;BRCA1;BRCC3;CDC25C;CDC7;MCM8;PSMD3;BARD1;CCNE1;MAD2L1;ORC1;PSMB3;BLM;DNA2;BUB1B;CDC25A;CHEK1;MCM3;RMI1;YWHAZ;CDC20;CDC45;RHNO1;CCNB2;CDK1;CCNA2;RFC4;MCM10;MCM2;RMI2;CCNB1;UBE2C;PKMYT1;MCM4;PSMB4;EXO1,PSMB6;RAD1;PSMC1;TP53;PSMB7;ORC3;RAD9A;UBB;PSMA5;BUB3;YWHAG;MCM5;PSMC2;ORC6;PSMD8;CDK2;YWHAE;PSMC5;PSME3;PSMD1;RPA3;MDC1;PSMC3;SFN;CDC23;HIST1H2BK;PSMB1;ORC2;ANAPC7;ORC5;MDM4;PSMB2;PSMA6;PSME4;RFC3;CHEK2;PSMD14;RFC2;ANAPC11;PSMB5;PSMD11;MCM7;PSMD4;TOPBP1;CDC6;PSMD2;MCM6;BRCA1;BRCC3;CDC25C;CDC7;MCM8;PSMD3;BARD1;CCNE1;MAD2L1;ORC1;PSMB3;BLM;DNA2;BUB1B;CDC25A;CHEK1;MCM3;RMI1;YWHAZ;CDC20;CDC45;RHNO1;CCNB2;CDK1;CCNA2;RFC4;MCM10;MCM2;RMI2;CCNB1;UBE2C;PKMYT1;MCM4;PSMB4;EXO1
Chromosome Maintenance Homo sapiens R-HSA-73886,-0.7475145578975337,-3.501120678483308,0.0,0.0,86,60,TERF2IP;TINF2;RPA2;ACD;TERF2;CENPT;MIS18BP1;CENPP;CENPH;NPM1;RBBP4;POT1;CENPC;RFC5;POLD4;CENPI;TERT;RPA1;RUVBL1;HIST1H2BO;RFC1;POLA1;PCNA;ITGB3BP;RSF1;WRAP53;TERF1;SMARCA5;CENPQ;RPA3;POLD3;PRIM2;HIST1H2BK;PRIM1;RBBP7;NHP2;RFC3;RFC2;POLD2;CENPW;POLA2;CENPK;POLD1;CENPN;RUVBL2;CENPU;POLE2;DKC1;DNA2;CENPM;CENPO;MIS18A;LIG1;FEN1;OIP5;POLE;CENPA;HJURP;RFC4;CENPL,TERF1;SMARCA5;CENPQ;RPA3;POLD3;PRIM2;HIST1H2BK;PRIM1;RBBP7;NHP2;RFC3;RFC2;POLD2;CENPW;POLA2;CENPK;POLD1;CENPN;RUVBL2;CENPU;POLE2;DKC1;DNA2;CENPM;CENPO;MIS18A;LIG1;FEN1;OIP5;POLE;CENPA;HJURP;RFC4;CENPL
DNA Replication Homo sapiens R-HSA-69306,-0.7775740512069151,-3.601600155191729,0.0,0.0,105,105,PSMB10;RPA2;CDKN1A;PSMB9;RB1;PSMD9;PSMB8;PSMD7;CDKN1B;PSMB11;PSMA1;PSME1;GINS1;PSMD6;PSMA8;UBC;PSMC6;RPS27A;PSMD5;PSMD12;FZR1;UBA52;PSMF1;RFC5;POLD4;RPA4;CCNA1;RPA1;ORC4;PSME2;PSMA2;PSMA7;PSMA3;DBF4;PSMA4;RFC1;POLA1;PCNA;PSMC4;PSMD10;PSMD13;PSMB6;PSMC1;PSMB7;E2F1;ORC3;UBB;PSMA5;MCM5;PSMC2;ORC6;PSMD8;CDK2;PSMC5;PSME3;PSMD1;RPA3;POLD3;PSMC3;PRIM2;PSMB1;GMNN;ORC2;PRIM1;E2F3;ORC5;PSMB2;PSMA6;GINS3;PSME4;RFC3;PSMD14;RFC2;POLD2;PSMB5;PSMD11;POLA2;MCM7;PSMD4;CDC6;POLD1;PSMD2;MCM6;GINS2;CDC7;MCM8;PSMD3;E2F2;GINS4;ORC1;POLE2;PSMB3;DNA2;LIG1;CDT1;MCM3;FEN1;POLE;CDC45;CCNA2;RFC4;MCM10;MCM2;MCM4;PSMB4,PSMB6;PSMC1;PSMB7;E2F1;ORC3;UBB;PSMA5;MCM5;PSMC2;ORC6;PSMD8;CDK2;PSMC5;PSME3;PSMD1;RPA3;POLD3;PSMC3;PRIM2;PSMB1;GMNN;ORC2;PRIM1;E2F3;ORC5;PSMB2;PSMA6;GINS3;PSME4;RFC3;PSMD14;RFC2;POLD2;PSMB5;PSMD11;POLA2;MCM7;PSMD4;CDC6;POLD1;PSMD2;MCM6;GINS2;CDC7;MCM8;PSMD3;E2F2;GINS4;ORC1;POLE2;PSMB3;DNA2;LIG1;CDT1;MCM3;FEN1;POLE;CDC45;CCNA2;RFC4;MCM10;MCM2;MCM4;PSMB4
