Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers Homo sapiens R-HSA-983695,0.6959573935757865,4.212892806171124,0.0,0.0,47,34,PLCG2;LYN;CD79B;PIK3CD;VAV1;CD19;CD79A;FYN;PIK3R1;DAPP1;BLK;CD22;CBLB;PIK3AP1;SH3KBP1;BTK;NCK1;SYK;CBL;SHC1;ORAI1;STIM1;SOS1;ITPR1;AHCYL1;PLCG1;ITPR3;BLNK;PTPN6;ITPR2;TRPC1;SRMS;GRB2;CALM1,PLCG2;LYN;CD79B;PIK3CD;VAV1;CD19;CD79A;FYN;PIK3R1;DAPP1;BLK;CD22;CBLB;PIK3AP1;SH3KBP1;BTK;NCK1;SYK;CBL;SHC1;ORAI1;STIM1
Cell Cycle Homo sapiens R-HSA-1640170,-0.46341415953286663,-5.08739507487358,0.0,0.0,566,520,PCM1;PPP2R2A;ZNF385A;PSMD5;CDK6;CDK5RAP2;SUN2;CNTRL;MIS18BP1;PSME4;NEK6;GORASP1;PRKCA;LPIN1;TPR;MCPH1;RPA2;PMF1;STAG1;SDCCAG8;TUBA4A;ZW10;CHEK2;CDC26;VRK2;LMNA;SYCP1;YWHAH;PSMB4;PPP2R5C;CCND2;E2F3;RPA4;CTDNEP1;RPA1;PPP2R1B;SKP2;RCC2;PSMB10;NDEL1;NSL1;NUP214;HSPA2;NUP188;TP53;PPP2R5E;CEP164;ESCO2;ATR;MDM4;CENPH;CEP57;TUBGCP2;BRIP1;PSMB8;CCNA1;SMC1B;BTRC;MASTL;RNF168;SFN;DYNC1I2;PSMB9;HDAC8;TEX12;PRKCB;NCAPD2;NIPBL;ANAPC4;HAUS8;CSNK1D;GORASP2;ERCC6L;SSNA1;OFD1;SYNE2;PCNT;PSMA3;ENSA;PCBP4;DNA2;TUBB4B;ACTR1A;DMC1;PRKACA;PSMD12;CCND3;NDC1;CCNE1;KIF2B;TOP3A;ANAPC10;PSMB3;CEP250;SPO11;MCM5;UBA52;NPM1;AJUBA;NCAPD3;CSNK1E;CDKN2C;ORC6;NEK7;NUP88;RBBP4;RPS27A;PPP1CB;NEK9;SMC4;ANAPC5;PSME2;BORA;CENPW;MAX;PSMC1;WRN;MIS12;UBE2V2;POLA2;POT1;CKS1B;PSMB1;CENPP;RPS27;ANAPC16;RSF1;RFC2;NUP50;DYRK1A;BLZF1;OPTN;NBN;NUP160;LPIN2;CENPI;PPP1R12B;ANKLE2;TEX15;SYCE1;FKBPL;PPP2R5A;POLE;ORC1;PSMC6;PIAS4;HAUS4;PSMB2;CDC16;TFDP1;MSH5;HAUS2;DYNLL1;HERC2;DCTN3;CENPL;PSME1;AKAP9;NUP133;GINS1;CCNE2;TK2;PPP2R2D;RAD17;NUP54;TERT;NEDD1;GMNN;RAB8A;TFDP2;INCENP;CDK2;UBE2E1;EP300;DHFR;PSMB7;PSMA5;RAD51;ORC3;FGFR1OP;POM121;PSMA8;DBF4;PSMC5;CEP63;LIN9;CDK11B;CLASP2;PRIM2;SYCP3;NCAPH2;NUP210;CLSPN;CENPC;PHF8;NINL;CDC20;PSMA1;VRK1;CEP152;CEP135;TAOK1;CDK11A;PSMF1;PSMB11;NUP153;NDE1;MSH4;TUBGCP3;NUF2;RBL1;XPO1;REC8;RANGAP1;SMARCA5;MYBL2;PPP1R12A;SMC3;HDAC1;CHEK1;CDC27;CLASP1;SFI1;KAT5;E2F1;TUBB;RFC5;KIF23;PSMD13;ATRIP;NUMA1;CDK7;ITGB3BP;DYNC1H1;LMNB1;KIF2A;CENPT;MLH1;PSMA4;ANAPC1;ANAPC15;SUMO1;CEP192;YWHAE;POLD3;RBBP8;RMI2;SYNE1;PSMD3;PPP2CB;UBE2D1;PPP1CC;MCM4;RAB1B;NUP85;CLIP1;KIF2C;USO1;CCNH;HUS1;PRDM9;STAG3;CENPJ;BABAM1;CEP76;MYC;ANAPC11;BRCC3;CUL1;RAD9B;FEN1;MAPK1;NUP62;BLM;CDKN2B;CDKN2D;TINF2;SEH1L;GOLGA2;EXO1;CDC14A;MCM6;PTK6;BARD1;CSNK2A2;NEK2;BRCA2;SKA2;CEP70;HAUS6;NUP155;PSMD6;PSMB6;MCM3;NUP37;CSNK2B;MCM8;SYCE2;TMPO;CCP110;MAU2;KIF20A;NDC80;UBC;AAAS;TUBG1;LIN52;AHCTF1;ATM;ZWINT;MCM10;RNF8;HMMR;HIST1H2BK;HIST1H2BO;CDC6;RHNO1;RB1;TUBGCP6;E2F5;PSMC2;RFC3;EMD;MLH3;RAD1;CDK1;PLK1;RFC1;CDK4;KNTC1;RANBP2;POLA1;MCM7;ANAPC2;PRKAR2B;HSP90AA1;RBBP7;STAG2;E2F4;PSMB5;NUP43;E2F2;ESCO1;POLD1;NUP93;PDS5A;SET;UIMC1;ALMS1;MAD1L1;SPC24;ORC2;PSMC3;CDKN2A;RAB1A;TUBB4A;SMC2;UBB;HAUS3;PCNA;PPP2R5B;PDS5B;PSMA6;ODF2;CDC7;PSMD14;PSMC4;MIS18A;CDC25A;NUDC;PPP2R5D;BUB1;BANF1;RFC4;FOXM1;BUB3;POLD2;HJURP;SYCP2;RBL2;NCAPH;CENPF;PSMD11;LPIN3;NUP98;PSMD2;PSMA7;NUP35;RRM2;YWHAQ;FBXO5;CDC45;HAUS1;DSN1;WRAP53;CEP72;RAD9A;NCAPG;AURKB;CDCA8;RMI1;DKC1;TPX2;TUBG2;BUB1B;LEMD2;CENPQ;SUN1;DCTN1;CENPO;YWHAG;TP53BP1;RAD51C;SPDL1;TUBGCP5;ESPL1;ORC5;PSMD8;RAD50;CDKN1B;CDT1;PPP2R1A;RUVBL1;FZR1;MAPRE1;PAFAH1B1;PSMD9;MCM2;CENPA;CCNA2;TOPBP1;CDC23;NUP205;POLE2;PSMD4;LIG1;FBXW11;CCNB1;RPA3;MNAT1;UBE2I;SMC1A;RAB2A;CDC25C;TUBA1A;RAD21;POLD4;CEP290;GINS3;FKBP6;CSNK2A1;PRIM1;CENPE;ZWILCH;BIRC5;CETN2;WEE1;CDCA5;CENPK;SPC25;CENPN;LIN54;CENPM;YWHAB;PSMA2;PTTG1;PSMD1;TYMS;PSMD10;CDKN1A;SKA1;ANAPC7;PPP2CA;PLK4;CCNB2;CNEP1R1;PSME3;YWHAZ;NUP107;MDC1;NHP2;OIP5;MAPK3;UBE2C;PPP2R3B;RAE1;HSP90AB1;MND1;KIF18A;CDC25B;MDM2;BRCA1;NCAPG2;CKAP5;PKMYT1;ORC4;PHLDA1;TERF2;DIDO1;PSMD7;TERF1;RUVBL2;GINS4;AURKA;PSMC3IP;CENPU;CEP131;DCTN2;ARPP19;MAD2L1;CEP41;TOP2A;ACD;LEMD3;TUBGCP4;UBE2N;SKP1;GINS2;TERF2IP;CCND1,TUBGCP6;E2F5;PSMC2;RFC3;EMD;MLH3;RAD1;CDK1;PLK1;RFC1;CDK4;KNTC1;RANBP2;POLA1;MCM7;ANAPC2;PRKAR2B;HSP90AA1;RBBP7;STAG2;E2F4;PSMB5;NUP43;E2F2;ESCO1;POLD1;NUP93;PDS5A;SET;UIMC1;ALMS1;MAD1L1;SPC24;ORC2;PSMC3;CDKN2A;RAB1A;TUBB4A;SMC2;UBB;HAUS3;PCNA;PPP2R5B;PDS5B;PSMA6;ODF2;CDC7;PSMD14;PSMC4;MIS18A;CDC25A;NUDC;PPP2R5D;BUB1;BANF1;RFC4;FOXM1;BUB3;POLD2;HJURP;SYCP2;RBL2;NCAPH;CENPF;PSMD11;LPIN3;NUP98;PSMD2;PSMA7;NUP35;RRM2;YWHAQ;FBXO5;CDC45;HAUS1;DSN1;WRAP53;CEP72;RAD9A;NCAPG;AURKB;CDCA8;RMI1;DKC1;TPX2;TUBG2;BUB1B;LEMD2;CENPQ;SUN1;DCTN1;CENPO;YWHAG;TP53BP1;RAD51C;SPDL1;TUBGCP5;ESPL1;ORC5;PSMD8;RAD50;CDKN1B;CDT1;PPP2R1A;RUVBL1;FZR1;MAPRE1;PAFAH1B1;PSMD9;MCM2;CENPA;CCNA2;TOPBP1;CDC23;NUP205;POLE2;PSMD4;LIG1;FBXW11;CCNB1;RPA3;MNAT1;UBE2I;SMC1A;RAB2A;CDC25C;TUBA1A;RAD21;POLD4;CEP290;GINS3;FKBP6;CSNK2A1;PRIM1;CENPE;ZWILCH;BIRC5;CETN2;WEE1;CDCA5;CENPK;SPC25;CENPN;LIN54;CENPM;YWHAB;PSMA2;PTTG1;PSMD1;TYMS;PSMD10;CDKN1A;SKA1;ANAPC7;PPP2CA;PLK4;CCNB2;CNEP1R1;PSME3;YWHAZ;NUP107;MDC1;NHP2;OIP5;MAPK3;UBE2C;PPP2R3B;RAE1;HSP90AB1;MND1;KIF18A;CDC25B;MDM2;BRCA1;NCAPG2;CKAP5;PKMYT1;ORC4;PHLDA1;TERF2;DIDO1;PSMD7;TERF1;RUVBL2;GINS4;AURKA;PSMC3IP;CENPU;CEP131;DCTN2;ARPP19;MAD2L1;CEP41;TOP2A;ACD;LEMD3;TUBGCP4;UBE2N;SKP1;GINS2;TERF2IP;CCND1
"Cell Cycle, Mitotic Homo sapiens R-HSA-69278",-0.4615854289900887,-5.151505349392959,0.0,0.0,462,422,PCM1;PPP2R2A;PSMD5;CDK6;CDK5RAP2;CNTRL;PSME4;NEK6;GORASP1;PRKCA;LPIN1;TPR;MCPH1;RPA2;PMF1;STAG1;SDCCAG8;TUBA4A;ZW10;CDC26;VRK2;LMNA;PSMB4;PPP2R5C;CCND2;E2F3;RPA4;CTDNEP1;RPA1;PPP2R1B;SKP2;RCC2;PSMB10;NDEL1;NSL1;NUP214;NUP188;TP53;PPP2R5E;CEP164;ESCO2;CENPH;CEP57;TUBGCP2;PSMB8;CCNA1;BTRC;MASTL;DYNC1I2;PSMB9;HDAC8;PRKCB;NCAPD2;NIPBL;ANAPC4;HAUS8;CSNK1D;GORASP2;ERCC6L;SSNA1;OFD1;PCNT;PSMA3;ENSA;DNA2;TUBB4B;ACTR1A;PRKACA;PSMD12;CCND3;NDC1;CCNE1;KIF2B;ANAPC10;PSMB3;CEP250;MCM5;UBA52;AJUBA;NCAPD3;CSNK1E;CDKN2C;ORC6;NEK7;NUP88;RBBP4;RPS27A;PPP1CB;NEK9;SMC4;ANAPC5;PSME2;BORA;MAX;PSMC1;MIS12;POLA2;CKS1B;PSMB1;CENPP;RPS27;ANAPC16;RFC2;NUP50;DYRK1A;BLZF1;OPTN;NUP160;LPIN2;CENPI;PPP1R12B;ANKLE2;FKBPL;PPP2R5A;POLE;ORC1;PSMC6;HAUS4;PSMB2;CDC16;TFDP1;HAUS2;DYNLL1;DCTN3;CENPL;PSME1;AKAP9;NUP133;GINS1;CCNE2;TK2;PPP2R2D;NUP54;NEDD1;GMNN;RAB8A;TFDP2;INCENP;CDK2;UBE2E1;EP300;DHFR;PSMB7;PSMA5;ORC3;FGFR1OP;POM121;PSMA8;DBF4;PSMC5;CEP63;LIN9;CDK11B;CLASP2;PRIM2;NCAPH2;NUP210;CENPC;PHF8;NINL;CDC20;PSMA1;VRK1;CEP152;CEP135;TAOK1;CDK11A;PSMF1;PSMB11;NUP153;NDE1;TUBGCP3;NUF2;RBL1;XPO1;RANGAP1;MYBL2;PPP1R12A;SMC3;HDAC1;CDC27;CLASP1;SFI1;E2F1;TUBB;RFC5;KIF23;PSMD13;NUMA1;CDK7;ITGB3BP;DYNC1H1;LMNB1;KIF2A;CENPT;PSMA4;ANAPC1;ANAPC15;CEP192;YWHAE;POLD3;PSMD3;PPP2CB;UBE2D1;PPP1CC;MCM4;RAB1B;NUP85;CLIP1;KIF2C;USO1;CCNH;CENPJ;CEP76;MYC;ANAPC11;CUL1;FEN1;MAPK1;NUP62;CDKN2B;CDKN2D;SEH1L;GOLGA2;CDC14A;MCM6;PTK6;CSNK2A2;NEK2;SKA2;CEP70;HAUS6;NUP155;PSMD6;PSMB6;MCM3;NUP37;CSNK2B;MCM8;TMPO;CCP110;MAU2;KIF20A;NDC80;UBC;AAAS;TUBG1;LIN52;AHCTF1;ZWINT;MCM10;HMMR;HIST1H2BK;HIST1H2BO;CDC6;RB1;TUBGCP6;E2F5;PSMC2;RFC3;EMD;CDK1;PLK1;RFC1;CDK4;KNTC1;RANBP2;POLA1;MCM7;ANAPC2;PRKAR2B;HSP90AA1;STAG2;E2F4;PSMB5;NUP43;E2F2;ESCO1;POLD1;NUP93;PDS5A;SET;ALMS1;MAD1L1;SPC24;ORC2;PSMC3;CDKN2A;RAB1A;TUBB4A;SMC2;UBB;HAUS3;PCNA;PPP2R5B;PDS5B;PSMA6;ODF2;CDC7;PSMD14;PSMC4;CDC25A;NUDC;PPP2R5D;BUB1;BANF1;RFC4;FOXM1;BUB3;POLD2;RBL2;NCAPH;CENPF;PSMD11;LPIN3;NUP98;PSMD2;PSMA7;NUP35;RRM2;FBXO5;CDC45;HAUS1;DSN1;CEP72;NCAPG;AURKB;CDCA8;TPX2;TUBG2;BUB1B;LEMD2;CENPQ;DCTN1;CENPO;YWHAG;SPDL1;TUBGCP5;ESPL1;ORC5;PSMD8;CDKN1B;CDT1;PPP2R1A;FZR1;MAPRE1;PAFAH1B1;PSMD9;MCM2;CENPA;CCNA2;CDC23;NUP205;POLE2;PSMD4;LIG1;FBXW11;CCNB1;RPA3;MNAT1;SMC1A;RAB2A;CDC25C;TUBA1A;RAD21;POLD4;CEP290;GINS3;CSNK2A1;PRIM1;CENPE;ZWILCH;BIRC5;CETN2;WEE1;CDCA5;CENPK;SPC25;CENPN;LIN54;CENPM;PSMA2;PTTG1;PSMD1;TYMS;PSMD10;CDKN1A;SKA1;ANAPC7;PPP2CA;PLK4;CCNB2;CNEP1R1;PSME3;NUP107;MAPK3;UBE2C;PPP2R3B;RAE1;HSP90AB1;KIF18A;CDC25B;NCAPG2;CKAP5;PKMYT1;ORC4;PHLDA1;PSMD7;GINS4;AURKA;CENPU;CEP131;DCTN2;ARPP19;MAD2L1;CEP41;TOP2A;LEMD3;TUBGCP4;SKP1;GINS2;CCND1,TUBGCP6;E2F5;PSMC2;RFC3;EMD;CDK1;PLK1;RFC1;CDK4;KNTC1;RANBP2;POLA1;MCM7;ANAPC2;PRKAR2B;HSP90AA1;STAG2;E2F4;PSMB5;NUP43;E2F2;ESCO1;POLD1;NUP93;PDS5A;SET;ALMS1;MAD1L1;SPC24;ORC2;PSMC3;CDKN2A;RAB1A;TUBB4A;SMC2;UBB;HAUS3;PCNA;PPP2R5B;PDS5B;PSMA6;ODF2;CDC7;PSMD14;PSMC4;CDC25A;NUDC;PPP2R5D;BUB1;BANF1;RFC4;FOXM1;BUB3;POLD2;RBL2;NCAPH;CENPF;PSMD11;LPIN3;NUP98;PSMD2;PSMA7;NUP35;RRM2;FBXO5;CDC45;HAUS1;DSN1;CEP72;NCAPG;AURKB;CDCA8;TPX2;TUBG2;BUB1B;LEMD2;CENPQ;DCTN1;CENPO;YWHAG;SPDL1;TUBGCP5;ESPL1;ORC5;PSMD8;CDKN1B;CDT1;PPP2R1A;FZR1;MAPRE1;PAFAH1B1;PSMD9;MCM2;CENPA;CCNA2;CDC23;NUP205;POLE2;PSMD4;LIG1;FBXW11;CCNB1;RPA3;MNAT1;SMC1A;RAB2A;CDC25C;TUBA1A;RAD21;POLD4;CEP290;GINS3;CSNK2A1;PRIM1;CENPE;ZWILCH;BIRC5;CETN2;WEE1;CDCA5;CENPK;SPC25;CENPN;LIN54;CENPM;PSMA2;PTTG1;PSMD1;TYMS;PSMD10;CDKN1A;SKA1;ANAPC7;PPP2CA;PLK4;CCNB2;CNEP1R1;PSME3;NUP107;MAPK3;UBE2C;PPP2R3B;RAE1;HSP90AB1;KIF18A;CDC25B;NCAPG2;CKAP5;PKMYT1;ORC4;PHLDA1;PSMD7;GINS4;AURKA;CENPU;CEP131;DCTN2;ARPP19;MAD2L1;CEP41;TOP2A;LEMD3;TUBGCP4;SKP1;GINS2;CCND1
Chemokine receptors bind chemokines Homo sapiens R-HSA-380108,0.6649367333005097,4.566545400480063,0.0,0.0,56,53,ACKR2;CCL28;CXCL16;CCL19;CCR2;CXCL2;CCL21;CXCR3;CXCL12;CXCR5;CXCR6;CCL5;CCR7;CCL22;CXCL13;CCL7;CCL2;CCR1;CCL17;CXCL9;CXCL5;CCL1;XCL1;CXCR2;CX3CR1;CCR4;CXCR4;CCL20;CCL4;CXCL6;ACKR4;CXCL1;CCR5;CXCL10;CXCL8;CCL11;PF4;CCR6;CCRL2;CCL3;CX3CL1;CCL25;XCR1;CCL16;CXCR1;CXCL11;PPBP;CCR9;CXCL3;CCL27;CCR10;CCR3;ACKR3,ACKR2;CCL28;CXCL16;CCL19;CCR2;CXCL2;CCL21;CXCR3;CXCL12;CXCR5;CXCR6;CCL5;CCR7;CCL22;CXCL13;CCL7;CCL2;CCR1;CCL17;CXCL9;CXCL5;CCL1;XCL1;CXCR2;CX3CR1;CCR4;CXCR4;CCL20;CCL4;CXCL6;ACKR4;CXCL1
Costimulation by the CD28 family Homo sapiens R-HSA-388841,0.5983028605284965,4.196664239453884,0.0,0.0,72,69,LYN;VAV1;CD247;FYN;CD3D;CD4;PIK3R1;MAP3K14;BTLA;CD3E;HLA-DPB1;TNFRSF14;CD3G;CD28;MAP3K8;HLA-DQB2;ICOS;HLA-DPA1;HLA-DRA;YES1;CD86;PPP2R5C;MAPKAP1;PDCD1;LCK;PPP2R1B;HLA-DQA1;HLA-DRB3;CTLA4;GRAP2;PPP2R5E;AKT1;HLA-DRB4;PDCD1LG2;PIK3R3;CD274;PIK3R2;ICOSLG;CD80;HLA-DQB1;CDC42;PPP2R5A;SRC;CSK;HLA-DRB1;HLA-DQA2;PIK3CA;AKT3;THEM4;HLA-DRB5;PTPN6;PAK3;PAK1;PPP2CB;PAK2;MTOR;PDPK1;RICTOR;PRR5;RAC1;PPP2R5B;PPP2R5D;AKT2;PPP2R1A;TRIB3;GRB2;PTPN11;MLST8;PPP2CA,LYN;VAV1;CD247;FYN;CD3D;CD4;PIK3R1;MAP3K14;BTLA;CD3E;HLA-DPB1;TNFRSF14;CD3G;CD28;MAP3K8;HLA-DQB2;ICOS;HLA-DPA1;HLA-DRA;YES1;CD86;PPP2R5C;MAPKAP1;PDCD1;LCK;PPP2R1B;HLA-DQA1;HLA-DRB3;CTLA4;GRAP2;PPP2R5E;AKT1;HLA-DRB4;PDCD1LG2
FCGR activation Homo sapiens R-HSA-2029481,0.8312973230153026,4.401387201816013,0.0,0.0,49,15,LYN;FGR;CD247;FYN;IGHG2;IGLV8-61;CD3G;FCGR1A;YES1;HCK;SYK;FCGR2A;FCGR3A;SRC;IGHG1,LYN;FGR;CD247;FYN;IGHG2;IGLV8-61;CD3G;FCGR1A;YES1;HCK;SYK
Generation of second messenger molecules Homo sapiens R-HSA-202433,0.7960607811877114,4.889733527802441,0.0,0.0,35,31,WAS;CD247;CD3D;LAT;CD4;LCP2;ITK;CD3E;HLA-DPB1;CD3G;HLA-DQB2;HLA-DPA1;HLA-DRA;LCK;HLA-DQA1;HLA-DRB3;NCK1;GRAP2;HLA-DRB4;VASP;EVL;HLA-DQB1;PLCG1;ENAH;HLA-DRB1;HLA-DQA2;HLA-DRB5;PAK3;PAK1;PAK2;ZAP70,WAS;CD247;CD3D;LAT;CD4;LCP2;ITK;CD3E;HLA-DPB1;CD3G;HLA-DQB2;HLA-DPA1;HLA-DRA;LCK;HLA-DQA1;HLA-DRB3;NCK1;GRAP2;HLA-DRB4;VASP
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell Homo sapiens R-HSA-198933,0.6930573771004603,5.21134248119652,0.0,0.0,157,115,ICAM2;HCST;KLRB1;LILRB2;C3;CD19;CD1D;ITGAL;CD247;CD300LG;KLRD1;SLAMF6;SELL;ITGB7;CD96;CD3D;CD1C;LILRB4;ITGB2;SIGLEC10;KIR2DL4;CD40LG;CD3E;CD226;IGLV8-61;CD3G;NCR3;CD300C;LILRB3;CD300A;HLA-E;LILRB5;CD160;FCGR1A;SH2D1A;CD22;ULBP3;KLRC1;KIR2DL3;CD33;CD34;CD1B;CD1A;LAIR2;ICAM4;HLA-F;ICAM5;TYROBP;CD300LF;VCAM1;CD200R1;SLAMF7;FCGR2B;CD8A;OSCAR;LAIR1;HLA-A;LILRB1;SIGLEC1;CLEC2B;CD300LB;LILRA3;CD8B;LILRA1;ITGA4;SIGLEC11;SH2D1B;ICAM3;SIGLEC7;KIR2DL1;MICB;IFITM1;FCGR3A;TREM2;SIGLEC9;B2M;KIR3DL1;TREML1;HLA-G;KLRG1;CLEC2D;LILRA2;KLRF1;HLA-C;LILRA6;NCR3LG1;MICA;CD40;HLA-B;NCR2;GLYCAM1;MADCAM1;HLA-H;NCR1;CXADR;CRTAM;TREML4;LILRA4;ULBP1;SIGLEC6;SIGLEC8;CD300E;KLRK1;TREML2;TREM1;ITGB1;PVR;ICAM1;SIGLEC5;SIGLEC12;LILRA5;CD200;CD81;RAET1E;CDH1,ICAM2;HCST;KLRB1;LILRB2;C3;CD19;CD1D;ITGAL;CD247;CD300LG;KLRD1;SLAMF6;SELL;ITGB7;CD96;CD3D;CD1C;LILRB4;ITGB2;SIGLEC10;KIR2DL4;CD40LG;CD3E;CD226;IGLV8-61;CD3G;NCR3;CD300C;LILRB3;CD300A;HLA-E;LILRB5;CD160;FCGR1A;SH2D1A;CD22;ULBP3;KLRC1;KIR2DL3;CD33;CD34;CD1B;CD1A;LAIR2;ICAM4;HLA-F;ICAM5;TYROBP;CD300LF;VCAM1;CD200R1;SLAMF7;FCGR2B;CD8A;OSCAR;LAIR1;HLA-A;LILRB1;SIGLEC1;CLEC2B;CD300LB;LILRA3;CD8B;LILRA1;ITGA4;SIGLEC11;SH2D1B;ICAM3;SIGLEC7
Initial triggering of complement Homo sapiens R-HSA-166663,0.7194821880002622,4.297819490896484,0.0,0.0,58,24,C3;FCN1;CFB;IGHG2;IGLV8-61;C1QA;FCN3;FCN2;C1QB;C1QC;C1S;C2;MBL2;C1R;CRP;CFD;GZMM;C4A;C4B;COLEC11;MASP1;COLEC10;IGHG1;MASP2,C3;FCN1;CFB;IGHG2;IGLV8-61;C1QA;FCN3;FCN2;C1QB;C1QC;C1S;C2;MBL2
Mitochondrial protein import Homo sapiens R-HSA-1268020,-0.6900138693141147,-5.163394157529501,0.0,0.0,54,47,SLC25A12;COX19;PMPCA;TAZ;TIMM8B;FXN;TIMM44;TIMM8A;SAMM50;TIMM22;HSCB;CS;GFER;TIMM50;TIMM9;TIMM23;MTX1;PMPCB;TOMM22;ACO2;TIMM21;TOMM5;TOMM20;IDH3G;BCS1L;TIMM13;TOMM7;COQ2;SLC25A13;TIMM10;TIMM10B;CHCHD4;HSPD1;TOMM40;LDHD;VDAC1;MTX2;DNAJC19;GRPEL2;CHCHD2;TIMM17A;SLC25A4;CYC1;HSPA9;GRPEL1;TIMM17B;COX17,TOMM7;COQ2;SLC25A13;TIMM10;TIMM10B;CHCHD4;HSPD1;TOMM40;LDHD;VDAC1;MTX2;DNAJC19;GRPEL2;CHCHD2;TIMM17A;SLC25A4;CYC1;HSPA9;GRPEL1;TIMM17B;COX17
