Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
APC/C-mediated degradation of cell cycle proteins Homo sapiens R-HSA-174143,-0.7299015009439975,-4.130785851516083,0.0,0.0,85,85,PSMD5;ANAPC4;ANAPC16;CDC16;PSMA1;PSMD12;PSME4;CCNA1;CDC26;BTRC;PSMB11;SKP2;ANAPC2;CUL1;PSMA8;PSMB10;RPS27A;PSMF1;CDC27;CDC23;UBE2D1;PSMB4;PSMC2;UBC;UBA52;ANAPC1;PSMA2;PSMD4;CDC14A;PSMB8;ANAPC10;PSMB6;PSME3;PSMB9;PSMC1;PSMD6;UBE2E1;PSMD13;PSMD1;PSMC6;UBB;PSMD3;PSMB3;PSMC3;SKP1;FZR1;PSMB1;ANAPC7;BUB3;PSMB7;ANAPC15;PSMD11;PSMB2;ANAPC5;PSMD2;PSMA5;CDK2;PSMD9;PSMD8;PSMA4;PSMA7;PSMD14;PLK1;CDC20;PSME2;BUB1B;FBXO5;PSMA3;PSMD10;PSMC4;PSME1;ANAPC11;NEK2;CCNB1;AURKB;PSMD7;CCNA2;CDK1;PSMB5;PTTG1;MAD2L1;PSMA6;AURKA;UBE2C;PSMC5,UBB;PSMD3;PSMB3;PSMC3;SKP1;FZR1;PSMB1;ANAPC7;BUB3;PSMB7;ANAPC15;PSMD11;PSMB2;ANAPC5;PSMD2;PSMA5;CDK2;PSMD9;PSMD8;PSMA4;PSMA7;PSMD14;PLK1;CDC20;PSME2;BUB1B;FBXO5;PSMA3;PSMD10;PSMC4;PSME1;ANAPC11;NEK2;CCNB1;AURKB;PSMD7;CCNA2;CDK1;PSMB5;PTTG1;MAD2L1;PSMA6;AURKA;UBE2C;PSMC5
APC/C:Cdc20 mediated degradation of mitotic proteins Homo sapiens R-HSA-176409,-0.7159369293294064,-4.1073707918980045,0.0,0.0,74,74,PSMD5;ANAPC4;ANAPC16;CDC16;PSMA1;PSMD12;PSME4;CCNA1;CDC26;PSMB11;ANAPC2;PSMA8;PSMB10;RPS27A;PSMF1;CDC27;CDC23;UBE2D1;PSMB4;PSMC2;UBC;UBA52;ANAPC1;PSMA2;PSMD4;PSMB8;ANAPC10;PSMB6;PSME3;PSMB9;PSMC1;PSMD6;UBE2E1;PSMD13;PSMD1;PSMC6;UBB;PSMD3;PSMB3;PSMC3;PSMB1;ANAPC7;BUB3;PSMB7;ANAPC15;PSMD11;PSMB2;ANAPC5;PSMD2;PSMA5;PSMD9;PSMD8;PSMA4;PSMA7;PSMD14;CDC20;PSME2;BUB1B;PSMA3;PSMD10;PSMC4;PSME1;ANAPC11;NEK2;CCNB1;PSMD7;CCNA2;CDK1;PSMB5;PTTG1;MAD2L1;PSMA6;UBE2C;PSMC5,UBB;PSMD3;PSMB3;PSMC3;PSMB1;ANAPC7;BUB3;PSMB7;ANAPC15;PSMD11;PSMB2;ANAPC5;PSMD2;PSMA5;PSMD9;PSMD8;PSMA4;PSMA7;PSMD14;CDC20;PSME2;BUB1B;PSMA3;PSMD10;PSMC4;PSME1;ANAPC11;NEK2;CCNB1;PSMD7;CCNA2;CDK1;PSMB5;PTTG1;MAD2L1;PSMA6;UBE2C;PSMC5
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1 Homo sapiens R-HSA-174178,-0.7048361217052487,-3.895885221662241,0.0,0.0,71,71,PSMD5;ANAPC4;ANAPC16;CDC16;PSMA1;PSMD12;PSME4;CDC26;PSMB11;SKP2;ANAPC2;PSMA8;PSMB10;RPS27A;PSMF1;CDC27;CDC23;UBE2D1;PSMB4;PSMC2;UBC;UBA52;ANAPC1;PSMA2;PSMD4;PSMB8;ANAPC10;PSMB6;PSME3;PSMB9;PSMC1;PSMD6;UBE2E1;PSMD13;PSMD1;PSMC6;UBB;PSMD3;PSMB3;PSMC3;FZR1;PSMB1;ANAPC7;PSMB7;ANAPC15;PSMD11;PSMB2;ANAPC5;PSMD2;PSMA5;PSMD9;PSMD8;PSMA4;PSMA7;PSMD14;PLK1;CDC20;PSME2;PSMA3;PSMD10;PSMC4;PSME1;ANAPC11;AURKB;PSMD7;PSMB5;PTTG1;PSMA6;AURKA;UBE2C;PSMC5,UBB;PSMD3;PSMB3;PSMC3;FZR1;PSMB1;ANAPC7;PSMB7;ANAPC15;PSMD11;PSMB2;ANAPC5;PSMD2;PSMA5;PSMD9;PSMD8;PSMA4;PSMA7;PSMD14;PLK1;CDC20;PSME2;PSMA3;PSMD10;PSMC4;PSME1;ANAPC11;AURKB;PSMD7;PSMB5;PTTG1;PSMA6;AURKA;UBE2C;PSMC5
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint Homo sapiens R-HSA-179419,-0.7043378738985941,-3.937461131741358,0.0,0.0,72,72,PSMD5;ANAPC4;ANAPC16;CDC16;PSMA1;PSMD12;PSME4;CCNA1;CDC26;PSMB11;ANAPC2;PSMA8;PSMB10;RPS27A;PSMF1;CDC27;CDC23;UBE2D1;PSMB4;PSMC2;UBC;UBA52;ANAPC1;PSMA2;PSMD4;PSMB8;ANAPC10;PSMB6;PSME3;PSMB9;PSMC1;PSMD6;UBE2E1;PSMD13;PSMD1;PSMC6;UBB;PSMD3;PSMB3;PSMC3;PSMB1;ANAPC7;BUB3;PSMB7;ANAPC15;PSMD11;PSMB2;ANAPC5;PSMD2;PSMA5;PSMD9;PSMD8;PSMA4;PSMA7;PSMD14;CDC20;PSME2;BUB1B;PSMA3;PSMD10;PSMC4;PSME1;ANAPC11;NEK2;PSMD7;CCNA2;CDK1;PSMB5;MAD2L1;PSMA6;UBE2C;PSMC5,UBB;PSMD3;PSMB3;PSMC3;PSMB1;ANAPC7;BUB3;PSMB7;ANAPC15;PSMD11;PSMB2;ANAPC5;PSMD2;PSMA5;PSMD9;PSMD8;PSMA4;PSMA7;PSMD14;CDC20;PSME2;BUB1B;PSMA3;PSMD10;PSMC4;PSME1;ANAPC11;NEK2;PSMD7;CCNA2;CDK1;PSMB5;MAD2L1;PSMA6;UBE2C;PSMC5
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins Homo sapiens R-HSA-176814,-0.7195926975224621,-4.024377866221302,0.0,0.0,75,75,PSMD5;ANAPC4;ANAPC16;CDC16;PSMA1;PSMD12;PSME4;CCNA1;CDC26;PSMB11;ANAPC2;PSMA8;PSMB10;RPS27A;PSMF1;CDC27;CDC23;UBE2D1;PSMB4;PSMC2;UBC;UBA52;ANAPC1;PSMA2;PSMD4;PSMB8;ANAPC10;PSMB6;PSME3;PSMB9;PSMC1;PSMD6;UBE2E1;PSMD13;PSMD1;PSMC6;UBB;PSMD3;PSMB3;PSMC3;PSMB1;ANAPC7;BUB3;PSMB7;ANAPC15;PSMD11;PSMB2;ANAPC5;PSMD2;PSMA5;PSMD9;PSMD8;PSMA4;PSMA7;PSMD14;PLK1;CDC20;PSME2;BUB1B;PSMA3;PSMD10;PSMC4;PSME1;ANAPC11;NEK2;CCNB1;PSMD7;CCNA2;CDK1;PSMB5;PTTG1;MAD2L1;PSMA6;UBE2C;PSMC5,UBB;PSMD3;PSMB3;PSMC3;PSMB1;ANAPC7;BUB3;PSMB7;ANAPC15;PSMD11;PSMB2;ANAPC5;PSMD2;PSMA5;PSMD9;PSMD8;PSMA4;PSMA7;PSMD14;PLK1;CDC20;PSME2;BUB1B;PSMA3;PSMD10;PSMC4;PSME1;ANAPC11;NEK2;CCNB1;PSMD7;CCNA2;CDK1;PSMB5;PTTG1;MAD2L1;PSMA6;UBE2C;PSMC5
Assembly of the pre-replicative complex Homo sapiens R-HSA-68867,-0.7102812556377146,-3.9349380358781714,0.0,0.0,67,67,PSMD5;PSMA1;PSMD12;PSME4;E2F3;ORC5;ORC3;PSMB11;PSMA8;PSMB10;RPS27A;PSMF1;ORC6;PSMB4;PSMC2;UBC;UBA52;PSMA2;PSMD4;PSMB8;PSMB6;PSME3;ORC2;MCM5;E2F1;PSMB9;PSMC1;PSMD6;PSMD13;PSMD1;PSMC6;ORC4;MCM6;UBB;PSMD3;PSMB3;PSMC3;MCM7;MCM3;PSMB1;ORC1;PSMB7;PSMD11;MCM4;PSMB2;CDC6;PSMD2;PSMA5;PSMD9;PSMD8;MCM8;GMNN;PSMA4;PSMA7;PSMD14;PSME2;PSMA3;PSMD10;PSMC4;PSME1;E2F2;MCM2;PSMD7;CDT1;PSMB5;PSMA6;PSMC5,UBB;PSMD3;PSMB3;PSMC3;MCM7;MCM3;PSMB1;ORC1;PSMB7;PSMD11;MCM4;PSMB2;CDC6;PSMD2;PSMA5;PSMD9;PSMD8;MCM8;GMNN;PSMA4;PSMA7;PSMD14;PSME2;PSMA3;PSMD10;PSMC4;PSME1;E2F2;MCM2;PSMD7;CDT1;PSMB5;PSMA6;PSMC5
CDK-mediated phosphorylation and removal of Cdc6 Homo sapiens R-HSA-69017,-0.7285475968212167,-3.9143878635622724,0.0,0.0,50,50,PSMD5;PSMA1;PSMD12;PSME4;PSMB11;PSMA8;PSMB10;RPS27A;PSMF1;PSMB4;PSMC2;UBC;UBA52;PSMA2;PSMD4;PSMB8;PSMB6;PSME3;PSMB9;PSMC1;PSMD6;PSMD13;PSMD1;PSMC6;UBB;PSMD3;PSMB3;PSMC3;PSMB1;PSMB7;PSMD11;PSMB2;CDC6;PSMD2;PSMA5;CDK2;PSMD9;PSMD8;PSMA4;PSMA7;PSMD14;PSME2;PSMA3;PSMD10;PSMC4;PSME1;PSMD7;PSMB5;PSMA6;PSMC5,UBB;PSMD3;PSMB3;PSMC3;PSMB1;PSMB7;PSMD11;PSMB2;CDC6;PSMD2;PSMA5;CDK2;PSMD9;PSMD8;PSMA4;PSMA7;PSMD14;PSME2;PSMA3;PSMD10;PSMC4;PSME1;PSMD7;PSMB5;PSMA6;PSMC5
CDT1 association with the CDC6:ORC:origin complex Homo sapiens R-HSA-68827,-0.7136447893596514,-3.988732591112807,0.0,0.0,58,58,PSMD5;PSMA1;PSMD12;PSME4;ORC5;ORC3;PSMB11;PSMA8;PSMB10;RPS27A;PSMF1;ORC6;PSMB4;PSMC2;UBC;UBA52;PSMA2;PSMD4;PSMB8;PSMB6;PSME3;ORC2;PSMB9;PSMC1;PSMD6;PSMD13;PSMD1;PSMC6;ORC4;UBB;PSMD3;PSMB3;PSMC3;PSMB1;ORC1;PSMB7;PSMD11;PSMB2;CDC6;PSMD2;PSMA5;PSMD9;PSMD8;MCM8;GMNN;PSMA4;PSMA7;PSMD14;PSME2;PSMA3;PSMD10;PSMC4;PSME1;PSMD7;CDT1;PSMB5;PSMA6;PSMC5,UBB;PSMD3;PSMB3;PSMC3;PSMB1;ORC1;PSMB7;PSMD11;PSMB2;CDC6;PSMD2;PSMA5;PSMD9;PSMD8;MCM8;GMNN;PSMA4;PSMA7;PSMD14;PSME2;PSMA3;PSMD10;PSMC4;PSME1;PSMD7;CDT1;PSMB5;PSMA6;PSMC5
Cell Cycle Checkpoints Homo sapiens R-HSA-69620,-0.6928933103004732,-4.221014115433181,0.0,0.0,182,161,PSMD5;RPA2;ANAPC4;YWHAH;ANAPC16;CDC16;RPA1;TP53BP1;PIAS4;PSMA1;PSMD12;PSME4;CCNA1;ORC5;ORC3;CDC26;TOP3A;PSMB11;WRN;YWHAE;ANAPC2;MDM4;PSMA8;UBE2V2;PSMB10;RPS27A;PSMF1;CDC27;SFN;TP53;RBBP8;NBN;CDC23;UBE2D1;CDKN1B;RFC2;ORC6;PSMB4;ATM;PSMC2;UBC;UBA52;RNF8;ANAPC1;RAD17;PSMA2;UIMC1;ATR;PSMD4;PSMB8;RAD50;ATRIP;CLSPN;HUS1;ANAPC10;PSMB6;PSME3;ORC2;CHEK2;MCM5;SUMO1;DBF4;PSMB9;RFC5;CCNE2;PSMC1;PSMD6;RAD9B;YWHAQ;CCNE1;UBE2E1;WEE1;PSMD13;PSMD1;BARD1;PCBP4;PSMC6;CDKN1A;ORC4;MCM6;MAD1L1;UBB;DNA2;PSMD3;BRCC3;PSMB3;RNF168;PSMC3;MCM7;KAT5;MDC1;MCM3;PSMB1;RHNO1;BRIP1;ANAPC7;BUB3;ORC1;CHEK1;PSMB7;ANAPC15;PSMD11;RFC3;HERC2;MCM4;PSMB2;CDC6;BRCA1;RFC4;TOPBP1;YWHAG;RPA3;ANAPC5;ZNF385A;HIST1H2BO;PSMD2;PSMA5;CDK2;PSMD9;PSMD8;UBE2N;MCM8;RAD1;EXO1;PSMA4;CDC7;CDC25A;PSMA7;MDM2;RMI1;MCM10;PSMD14;RAD9A;CDC20;BABAM1;PSME2;BUB1B;BLM;YWHAB;PSMA3;PSMD10;PSMC4;PSME1;YWHAZ;ANAPC11;CCNB1;RMI2;MCM2;PSMD7;CDC45;CCNB2;CCNA2;CDK1;CDC25C;PKMYT1;PSMB5;HIST1H2BK;MAD2L1;PSMA6;UBE2C;PSMC5,UBB;DNA2;PSMD3;BRCC3;PSMB3;RNF168;PSMC3;MCM7;KAT5;MDC1;MCM3;PSMB1;RHNO1;BRIP1;ANAPC7;BUB3;ORC1;CHEK1;PSMB7;ANAPC15;PSMD11;RFC3;HERC2;MCM4;PSMB2;CDC6;BRCA1;RFC4;TOPBP1;YWHAG;RPA3;ANAPC5;ZNF385A;HIST1H2BO;PSMD2;PSMA5;CDK2;PSMD9;PSMD8;UBE2N;MCM8;RAD1;EXO1;PSMA4;CDC7;CDC25A;PSMA7;MDM2;RMI1;MCM10;PSMD14;RAD9A;CDC20;BABAM1;PSME2;BUB1B;BLM;YWHAB;PSMA3;PSMD10;PSMC4;PSME1;YWHAZ;ANAPC11;CCNB1;RMI2;MCM2;PSMD7;CDC45;CCNB2;CCNA2;CDK1;CDC25C;PKMYT1;PSMB5;HIST1H2BK;MAD2L1;PSMA6;UBE2C;PSMC5
Chromosome Maintenance Homo sapiens R-HSA-73886,-0.7586505921910419,-4.3612275568591405,0.0,0.0,86,60,RPA2;RPA1;TINF2;CENPP;MIS18BP1;TERF1;WRAP53;RFC2;RSF1;TERT;NPM1;POT1;POLD3;RBBP4;RUVBL1;CENPI;RFC5;CENPT;PCNA;CENPC;RFC1;CENPH;CENPL;POLA1;DNA2;CENPW;ITGB3BP;MIS18A;POLD2;SMARCA5;POLD1;PRIM2;RBBP7;RFC3;RFC4;TERF2;RPA3;HIST1H2BO;DKC1;POLA2;HJURP;CENPO;POLD4;NHP2;CENPQ;POLE2;OIP5;TERF2IP;ACD;CENPK;LIG1;POLE;CENPA;CENPM;PRIM1;RUVBL2;CENPN;CENPU;FEN1;HIST1H2BK,CENPH;CENPL;POLA1;DNA2;CENPW;ITGB3BP;MIS18A;POLD2;SMARCA5;POLD1;PRIM2;RBBP7;RFC3;RFC4;TERF2;RPA3;HIST1H2BO;DKC1;POLA2;HJURP;CENPO;POLD4;NHP2;CENPQ;POLE2;OIP5;TERF2IP;ACD;CENPK;LIG1;POLE;CENPA;CENPM;PRIM1;RUVBL2;CENPN;CENPU;FEN1;HIST1H2BK
