Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
APC/C-mediated degradation of cell cycle proteins ,0.7193613334586064,3.581870196236504,0.0,0.0,103,86,ILMN_1747911;ILMN_1786125;ILMN_1653822;ILMN_1712803;ILMN_1797307;ILMN_1684217;ILMN_1680955;ILMN_1736176;ILMN_2042771;ILMN_2301083;ILMN_1665559;ILMN_1737396;ILMN_1768784;ILMN_1663390;ILMN_1712432;ILMN_1710676;ILMN_2344130;ILMN_1737862;ILMN_1748651;ILMN_1791002;ILMN_1759952;ILMN_2387553;ILMN_2199284;ILMN_1764794;ILMN_1682098;ILMN_1722102;ILMN_1800952;ILMN_1749629;ILMN_1747195;ILMN_1789176;ILMN_1704094;ILMN_2096759;ILMN_1702837;ILMN_1806778;ILMN_1726104;ILMN_1704404;ILMN_1744649;ILMN_2058512;ILMN_1786612;ILMN_1799688;ILMN_1796430;ILMN_1701962;ILMN_1809010;ILMN_1709611;ILMN_1666409;ILMN_2245180;ILMN_1733256;ILMN_2376108;ILMN_1763540;ILMN_2112460;ILMN_2383435;ILMN_1806017;ILMN_2395389;ILMN_1767006;ILMN_1779633;ILMN_1659103;ILMN_1659553;ILMN_2346573;ILMN_2191428;ILMN_1787988;ILMN_1683026;ILMN_1814156;ILMN_2291010;ILMN_1721659;ILMN_1776173;ILMN_1732767;ILMN_1689438;ILMN_1780189;ILMN_2331501;ILMN_2157099;ILMN_1723177;ILMN_1813243;ILMN_1753207;ILMN_1697691;ILMN_1797406;ILMN_1849514;ILMN_1739164;ILMN_2210837;ILMN_1782977;ILMN_1711766;ILMN_2048326;ILMN_1802973;ILMN_1720926;ILMN_1738955;ILMN_2339796;ILMN_1691428,ILMN_1747911;ILMN_1786125;ILMN_1653822;ILMN_1712803;ILMN_1797307;ILMN_1684217;ILMN_1680955;ILMN_1736176;ILMN_2042771;ILMN_2301083;ILMN_1665559;ILMN_1737396;ILMN_1768784;ILMN_1663390;ILMN_1712432;ILMN_1710676;ILMN_2344130;ILMN_1737862;ILMN_1748651;ILMN_1791002;ILMN_1759952;ILMN_2387553;ILMN_2199284;ILMN_1764794;ILMN_1682098;ILMN_1722102;ILMN_1800952;ILMN_1749629;ILMN_1747195;ILMN_1789176;ILMN_1704094;ILMN_2096759;ILMN_1702837;ILMN_1806778;ILMN_1726104;ILMN_1704404;ILMN_1744649;ILMN_2058512;ILMN_1786612;ILMN_1799688;ILMN_1796430;ILMN_1701962;ILMN_1809010;ILMN_1709611;ILMN_1666409;ILMN_2245180;ILMN_1733256;ILMN_2376108;ILMN_1763540;ILMN_2112460;ILMN_2383435;ILMN_1806017
APC/C:Cdc20 mediated degradation of mitotic proteins ,0.7100846094169111,3.6247610085770403,0.0,0.0,92,75,ILMN_1747911;ILMN_1786125;ILMN_1653822;ILMN_1712803;ILMN_1797307;ILMN_2042771;ILMN_2301083;ILMN_1737396;ILMN_1768784;ILMN_1663390;ILMN_1712432;ILMN_2344130;ILMN_1737862;ILMN_1748651;ILMN_1759952;ILMN_2387553;ILMN_2199284;ILMN_1764794;ILMN_1682098;ILMN_1722102;ILMN_1800952;ILMN_1747195;ILMN_1789176;ILMN_1704094;ILMN_2096759;ILMN_1702837;ILMN_1806778;ILMN_1726104;ILMN_1704404;ILMN_1744649;ILMN_2058512;ILMN_1786612;ILMN_1799688;ILMN_1796430;ILMN_1701962;ILMN_1809010;ILMN_1709611;ILMN_1666409;ILMN_2245180;ILMN_1733256;ILMN_2376108;ILMN_1763540;ILMN_2112460;ILMN_2383435;ILMN_1806017;ILMN_2395389;ILMN_1767006;ILMN_1779633;ILMN_1659103;ILMN_1659553;ILMN_2346573;ILMN_2191428;ILMN_1787988;ILMN_1683026;ILMN_1814156;ILMN_2291010;ILMN_1721659;ILMN_1776173;ILMN_1732767;ILMN_1780189;ILMN_2331501;ILMN_2157099;ILMN_1723177;ILMN_1813243;ILMN_1697691;ILMN_1797406;ILMN_1849514;ILMN_2210837;ILMN_1782977;ILMN_2048326;ILMN_1802973;ILMN_1720926;ILMN_1738955;ILMN_2339796;ILMN_1691428,ILMN_1747911;ILMN_1786125;ILMN_1653822;ILMN_1712803;ILMN_1797307;ILMN_2042771;ILMN_2301083;ILMN_1737396;ILMN_1768784;ILMN_1663390;ILMN_1712432;ILMN_2344130;ILMN_1737862;ILMN_1748651;ILMN_1759952;ILMN_2387553;ILMN_2199284;ILMN_1764794;ILMN_1682098;ILMN_1722102;ILMN_1800952;ILMN_1747195;ILMN_1789176;ILMN_1704094;ILMN_2096759;ILMN_1702837;ILMN_1806778;ILMN_1726104;ILMN_1704404;ILMN_1744649;ILMN_2058512;ILMN_1786612;ILMN_1799688;ILMN_1796430;ILMN_1701962;ILMN_1809010;ILMN_1709611;ILMN_1666409;ILMN_2245180;ILMN_1733256;ILMN_2376108;ILMN_1763540;ILMN_2112460;ILMN_2383435;ILMN_1806017;ILMN_2395389;ILMN_1767006;ILMN_1779633;ILMN_1659103
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1 ,0.6988743215619554,3.6362785011829906,0.0,0.0,89,72,ILMN_1684217;ILMN_1680955;ILMN_1736176;ILMN_2042771;ILMN_2301083;ILMN_1737396;ILMN_1768784;ILMN_1663390;ILMN_1712432;ILMN_2344130;ILMN_1737862;ILMN_1748651;ILMN_1791002;ILMN_1759952;ILMN_2387553;ILMN_2199284;ILMN_1764794;ILMN_1682098;ILMN_1722102;ILMN_1800952;ILMN_1747195;ILMN_1789176;ILMN_1704094;ILMN_2096759;ILMN_1702837;ILMN_1806778;ILMN_1726104;ILMN_1704404;ILMN_1744649;ILMN_2058512;ILMN_1786612;ILMN_1799688;ILMN_1796430;ILMN_1701962;ILMN_1809010;ILMN_1709611;ILMN_1666409;ILMN_1733256;ILMN_2376108;ILMN_1763540;ILMN_2383435;ILMN_1806017;ILMN_2395389;ILMN_1767006;ILMN_1779633;ILMN_1659103;ILMN_1659553;ILMN_2346573;ILMN_2191428;ILMN_1787988;ILMN_1683026;ILMN_1814156;ILMN_2291010;ILMN_1721659;ILMN_1776173;ILMN_1732767;ILMN_1780189;ILMN_2331501;ILMN_1723177;ILMN_1813243;ILMN_1753207;ILMN_1697691;ILMN_1797406;ILMN_1849514;ILMN_2210837;ILMN_1782977;ILMN_2048326;ILMN_1802973;ILMN_1720926;ILMN_1738955;ILMN_2339796;ILMN_1691428,ILMN_1684217;ILMN_1680955;ILMN_1736176;ILMN_2042771;ILMN_2301083;ILMN_1737396;ILMN_1768784;ILMN_1663390;ILMN_1712432;ILMN_2344130;ILMN_1737862;ILMN_1748651;ILMN_1791002;ILMN_1759952;ILMN_2387553;ILMN_2199284;ILMN_1764794;ILMN_1682098;ILMN_1722102;ILMN_1800952;ILMN_1747195;ILMN_1789176;ILMN_1704094;ILMN_2096759;ILMN_1702837;ILMN_1806778;ILMN_1726104;ILMN_1704404;ILMN_1744649;ILMN_2058512;ILMN_1786612;ILMN_1799688;ILMN_1796430;ILMN_1701962;ILMN_1809010;ILMN_1709611;ILMN_1666409;ILMN_1733256;ILMN_2376108;ILMN_1763540;ILMN_2383435;ILMN_1806017;ILMN_2395389;ILMN_1767006;ILMN_1779633;ILMN_1659103
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins ,0.7140762902762415,3.6747530456396715,0.0,0.0,93,76,ILMN_1747911;ILMN_1786125;ILMN_1653822;ILMN_1712803;ILMN_1797307;ILMN_1736176;ILMN_2042771;ILMN_2301083;ILMN_1737396;ILMN_1768784;ILMN_1663390;ILMN_1712432;ILMN_2344130;ILMN_1737862;ILMN_1748651;ILMN_1759952;ILMN_2387553;ILMN_2199284;ILMN_1764794;ILMN_1682098;ILMN_1722102;ILMN_1800952;ILMN_1747195;ILMN_1789176;ILMN_1704094;ILMN_2096759;ILMN_1702837;ILMN_1806778;ILMN_1726104;ILMN_1704404;ILMN_1744649;ILMN_2058512;ILMN_1786612;ILMN_1799688;ILMN_1796430;ILMN_1701962;ILMN_1809010;ILMN_1709611;ILMN_1666409;ILMN_2245180;ILMN_1733256;ILMN_2376108;ILMN_1763540;ILMN_2112460;ILMN_2383435;ILMN_1806017;ILMN_2395389;ILMN_1767006;ILMN_1779633;ILMN_1659103;ILMN_1659553;ILMN_2346573;ILMN_2191428;ILMN_1787988;ILMN_1683026;ILMN_1814156;ILMN_2291010;ILMN_1721659;ILMN_1776173;ILMN_1732767;ILMN_1780189;ILMN_2331501;ILMN_2157099;ILMN_1723177;ILMN_1813243;ILMN_1697691;ILMN_1797406;ILMN_1849514;ILMN_2210837;ILMN_1782977;ILMN_2048326;ILMN_1802973;ILMN_1720926;ILMN_1738955;ILMN_2339796;ILMN_1691428,ILMN_1747911;ILMN_1786125;ILMN_1653822;ILMN_1712803;ILMN_1797307;ILMN_1736176;ILMN_2042771;ILMN_2301083;ILMN_1737396;ILMN_1768784;ILMN_1663390;ILMN_1712432;ILMN_2344130;ILMN_1737862;ILMN_1748651;ILMN_1759952;ILMN_2387553;ILMN_2199284;ILMN_1764794;ILMN_1682098;ILMN_1722102;ILMN_1800952;ILMN_1747195;ILMN_1789176;ILMN_1704094;ILMN_2096759;ILMN_1702837;ILMN_1806778;ILMN_1726104;ILMN_1704404;ILMN_1744649;ILMN_2058512;ILMN_1786612;ILMN_1799688;ILMN_1796430;ILMN_1701962;ILMN_1809010;ILMN_1709611;ILMN_1666409;ILMN_2245180;ILMN_1733256;ILMN_2376108;ILMN_1763540;ILMN_2112460;ILMN_2383435;ILMN_1806017;ILMN_2395389;ILMN_1767006;ILMN_1779633;ILMN_1659103
Activation of ATR in response to replication stress ,0.7941231428780453,3.8820595536321143,0.0,0.0,37,36,ILMN_1724489;ILMN_1681503;ILMN_1664630;ILMN_2413899;ILMN_2407619;ILMN_1670238;ILMN_1741801;ILMN_1665559;ILMN_1798654;ILMN_1784860;ILMN_1737205;ILMN_1806818;ILMN_1727459;ILMN_1731070;ILMN_1716895;ILMN_1784946;ILMN_2407124;ILMN_1732336;ILMN_1815169;ILMN_1785914;ILMN_1737635;ILMN_2061452;ILMN_1800654;ILMN_1795719;ILMN_1705093;ILMN_2277201;ILMN_1733396;ILMN_1653896;ILMN_1654677;ILMN_1740083;ILMN_2136615;ILMN_1684183;ILMN_1699709;ILMN_1689241;ILMN_1691165;ILMN_1753582,ILMN_1724489;ILMN_1681503;ILMN_1664630;ILMN_2413899;ILMN_2407619;ILMN_1670238;ILMN_1741801;ILMN_1665559;ILMN_1798654;ILMN_1784860;ILMN_1737205;ILMN_1806818;ILMN_1727459;ILMN_1731070;ILMN_1716895;ILMN_1784946;ILMN_2407124;ILMN_1732336;ILMN_1815169;ILMN_1785914
Activation of the pre-replicative complex ,0.8272595186726885,3.922298769104732,0.0,0.0,32,32,ILMN_1681503;ILMN_2413899;ILMN_1670238;ILMN_1741801;ILMN_1665559;ILMN_1798654;ILMN_1694502;ILMN_1774336;ILMN_1737205;ILMN_1651237;ILMN_1806818;ILMN_1727459;ILMN_1731070;ILMN_1696713;ILMN_2191436;ILMN_1716895;ILMN_1728199;ILMN_1784946;ILMN_2407124;ILMN_1815169;ILMN_1785914;ILMN_1720114;ILMN_2061452;ILMN_1800654;ILMN_1785198;ILMN_1795719;ILMN_1705093;ILMN_1740083;ILMN_1775975;ILMN_1798880;ILMN_1660063;ILMN_1753582,ILMN_1681503;ILMN_2413899;ILMN_1670238;ILMN_1741801;ILMN_1665559;ILMN_1798654;ILMN_1694502;ILMN_1774336;ILMN_1737205;ILMN_1651237;ILMN_1806818;ILMN_1727459;ILMN_1731070;ILMN_1696713;ILMN_2191436;ILMN_1716895;ILMN_1728199;ILMN_1784946;ILMN_2407124;ILMN_1815169;ILMN_1785914;ILMN_1720114;ILMN_2061452;ILMN_1800654;ILMN_1785198;ILMN_1795719;ILMN_1705093
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal ,0.7763572758098467,3.8090623779228188,0.0,0.0,98,90,ILMN_1664511;ILMN_2202948;ILMN_1730825;ILMN_1716279;ILMN_1664516;ILMN_1801257;ILMN_1771224;ILMN_1737195;ILMN_2362545;ILMN_1797307;ILMN_1684217;ILMN_1709294;ILMN_2132161;ILMN_1695357;ILMN_1736176;ILMN_1668814;ILMN_1685916;ILMN_1720526;ILMN_1742779;ILMN_2381138;ILMN_1807807;ILMN_1679438;ILMN_1658010;ILMN_1802951;ILMN_1803124;ILMN_1732516;ILMN_1670769;ILMN_1663390;ILMN_1793360;ILMN_1787477;ILMN_1725121;ILMN_2355738;ILMN_2334205;ILMN_1715905;ILMN_2181432;ILMN_1751338;ILMN_2149400;ILMN_1771903;ILMN_1716336;ILMN_1756445;ILMN_1762674;ILMN_1777721;ILMN_1815924;ILMN_1669635;ILMN_1732776;ILMN_2359887;ILMN_1806483;ILMN_1789283;ILMN_1748241;ILMN_1693221;ILMN_1809139;ILMN_1692790;ILMN_1652989;ILMN_2229205;ILMN_1772796;ILMN_2300186;ILMN_2245180;ILMN_1722858;ILMN_1712556;ILMN_2112460;ILMN_1738784;ILMN_2357471;ILMN_1718069;ILMN_1739805;ILMN_2124082;ILMN_1758087;ILMN_1701855;ILMN_2397199;ILMN_1770548;ILMN_2135537;ILMN_1720124;ILMN_1806999;ILMN_1780302;ILMN_1662198;ILMN_1666761;ILMN_1696839;ILMN_2320574;ILMN_1684038;ILMN_2061641;ILMN_2376160;ILMN_1773847;ILMN_1810467;ILMN_1712659;ILMN_1779841;ILMN_2097546;ILMN_1690397;ILMN_1777129;ILMN_1700507;ILMN_1722276;ILMN_1783448,ILMN_1664511;ILMN_2202948;ILMN_1730825;ILMN_1716279;ILMN_1664516;ILMN_1801257;ILMN_1771224;ILMN_1737195;ILMN_2362545;ILMN_1797307;ILMN_1684217;ILMN_1709294;ILMN_2132161;ILMN_1695357;ILMN_1736176;ILMN_1668814;ILMN_1685916;ILMN_1720526;ILMN_1742779;ILMN_2381138;ILMN_1807807;ILMN_1679438;ILMN_1658010;ILMN_1802951;ILMN_1803124;ILMN_1732516;ILMN_1670769;ILMN_1663390;ILMN_1793360;ILMN_1787477;ILMN_1725121;ILMN_2355738;ILMN_2334205;ILMN_1715905;ILMN_2181432;ILMN_1751338;ILMN_2149400;ILMN_1771903;ILMN_1716336;ILMN_1756445;ILMN_1762674;ILMN_1777721;ILMN_1815924;ILMN_1669635;ILMN_1732776;ILMN_2359887;ILMN_1806483;ILMN_1789283;ILMN_1748241;ILMN_1693221
Amplification of signal from the kinetochores ,0.7763572758098467,3.830870232619247,0.0,0.0,98,90,ILMN_1664511;ILMN_2202948;ILMN_1730825;ILMN_1716279;ILMN_1664516;ILMN_1801257;ILMN_1771224;ILMN_1737195;ILMN_2362545;ILMN_1797307;ILMN_1684217;ILMN_1709294;ILMN_2132161;ILMN_1695357;ILMN_1736176;ILMN_1668814;ILMN_1685916;ILMN_1720526;ILMN_1742779;ILMN_2381138;ILMN_1807807;ILMN_1679438;ILMN_1658010;ILMN_1802951;ILMN_1803124;ILMN_1732516;ILMN_1670769;ILMN_1663390;ILMN_1793360;ILMN_1787477;ILMN_1725121;ILMN_2355738;ILMN_2334205;ILMN_1715905;ILMN_2181432;ILMN_1751338;ILMN_2149400;ILMN_1771903;ILMN_1716336;ILMN_1756445;ILMN_1762674;ILMN_1777721;ILMN_1815924;ILMN_1669635;ILMN_1732776;ILMN_2359887;ILMN_1806483;ILMN_1789283;ILMN_1748241;ILMN_1693221;ILMN_1809139;ILMN_1692790;ILMN_1652989;ILMN_2229205;ILMN_1772796;ILMN_2300186;ILMN_2245180;ILMN_1722858;ILMN_1712556;ILMN_2112460;ILMN_1738784;ILMN_2357471;ILMN_1718069;ILMN_1739805;ILMN_2124082;ILMN_1758087;ILMN_1701855;ILMN_2397199;ILMN_1770548;ILMN_2135537;ILMN_1720124;ILMN_1806999;ILMN_1780302;ILMN_1662198;ILMN_1666761;ILMN_1696839;ILMN_2320574;ILMN_1684038;ILMN_2061641;ILMN_2376160;ILMN_1773847;ILMN_1810467;ILMN_1712659;ILMN_1779841;ILMN_2097546;ILMN_1690397;ILMN_1777129;ILMN_1700507;ILMN_1722276;ILMN_1783448,ILMN_1664511;ILMN_2202948;ILMN_1730825;ILMN_1716279;ILMN_1664516;ILMN_1801257;ILMN_1771224;ILMN_1737195;ILMN_2362545;ILMN_1797307;ILMN_1684217;ILMN_1709294;ILMN_2132161;ILMN_1695357;ILMN_1736176;ILMN_1668814;ILMN_1685916;ILMN_1720526;ILMN_1742779;ILMN_2381138;ILMN_1807807;ILMN_1679438;ILMN_1658010;ILMN_1802951;ILMN_1803124;ILMN_1732516;ILMN_1670769;ILMN_1663390;ILMN_1793360;ILMN_1787477;ILMN_1725121;ILMN_2355738;ILMN_2334205;ILMN_1715905;ILMN_2181432;ILMN_1751338;ILMN_2149400;ILMN_1771903;ILMN_1716336;ILMN_1756445;ILMN_1762674;ILMN_1777721;ILMN_1815924;ILMN_1669635;ILMN_1732776;ILMN_2359887;ILMN_1806483;ILMN_1789283;ILMN_1748241;ILMN_1693221
Antiviral mechanism by IFN-stimulated genes ,0.7279992757133193,3.6529440038916734,0.0,0.0,83,81,ILMN_1768293;ILMN_2381138;ILMN_1721868;ILMN_1676005;ILMN_1784467;ILMN_1664756;ILMN_1673962;ILMN_1660305;ILMN_1676846;ILMN_1725612;ILMN_1751338;ILMN_1749930;ILMN_1771903;ILMN_1705907;ILMN_1708427;ILMN_2054019;ILMN_1762674;ILMN_1672606;ILMN_1703949;ILMN_1815924;ILMN_1669635;ILMN_1732776;ILMN_2382906;ILMN_1691364;ILMN_1730999;ILMN_1674063;ILMN_1734826;ILMN_1806778;ILMN_1690365;ILMN_2378316;ILMN_2061405;ILMN_1701374;ILMN_1669700;ILMN_2196569;ILMN_1707695;ILMN_1755321;ILMN_1681721;ILMN_1652989;ILMN_2115154;ILMN_1662358;ILMN_1690259;ILMN_1667043;ILMN_1738326;ILMN_1768470;ILMN_1694219;ILMN_2184262;ILMN_1740200;ILMN_1797001;ILMN_1793651;ILMN_1813625;ILMN_1722900;ILMN_1738681;ILMN_1776375;ILMN_1696120;ILMN_2191428;ILMN_2210601;ILMN_1729749;ILMN_1706502;ILMN_2231928;ILMN_1687335;ILMN_1666049;ILMN_2331501;ILMN_1715416;ILMN_2145050;ILMN_2279635;ILMN_2320574;ILMN_2252495;ILMN_2225144;ILMN_1775692;ILMN_2377210;ILMN_1669819;ILMN_1765649;ILMN_1667260;ILMN_1664922;ILMN_1703140;ILMN_1662130;ILMN_1782977;ILMN_1794612;ILMN_2048326;ILMN_1793384;ILMN_1685722,ILMN_1768293;ILMN_2381138;ILMN_1721868;ILMN_1676005;ILMN_1784467;ILMN_1664756;ILMN_1673962;ILMN_1660305;ILMN_1676846;ILMN_1725612;ILMN_1751338;ILMN_1749930;ILMN_1771903;ILMN_1705907;ILMN_1708427;ILMN_2054019;ILMN_1762674;ILMN_1672606;ILMN_1703949;ILMN_1815924;ILMN_1669635;ILMN_1732776;ILMN_2382906;ILMN_1691364;ILMN_1730999;ILMN_1674063;ILMN_1734826;ILMN_1806778;ILMN_1690365;ILMN_2378316;ILMN_2061405;ILMN_1701374;ILMN_1669700;ILMN_2196569;ILMN_1707695;ILMN_1755321;ILMN_1681721;ILMN_1652989;ILMN_2115154;ILMN_1662358;ILMN_1690259;ILMN_1667043;ILMN_1738326;ILMN_1768470;ILMN_1694219;ILMN_2184262;ILMN_1740200;ILMN_1797001;ILMN_1793651;ILMN_1813625;ILMN_1722900
Assembly of the pre-replicative complex ,0.7458238065271651,3.7271469961677655,0.0,0.0,86,69,ILMN_1681503;ILMN_1798654;ILMN_1737396;ILMN_1768784;ILMN_1737205;ILMN_1777233;ILMN_1651237;ILMN_1712432;ILMN_1806818;ILMN_2344130;ILMN_1727459;ILMN_1731070;ILMN_1737862;ILMN_1748651;ILMN_1759952;ILMN_2387553;ILMN_1764794;ILMN_1682098;ILMN_1784946;ILMN_2407124;ILMN_1800952;ILMN_1669502;ILMN_1747195;ILMN_1789176;ILMN_1815169;ILMN_1704094;ILMN_2096759;ILMN_1702837;ILMN_1785914;ILMN_1704404;ILMN_1744649;ILMN_2058512;ILMN_1786612;ILMN_1720114;ILMN_1796430;ILMN_1701962;ILMN_2061452;ILMN_1809010;ILMN_2051469;ILMN_1709611;ILMN_1666409;ILMN_1733256;ILMN_1800654;ILMN_2376108;ILMN_1763540;ILMN_2383435;ILMN_1806017;ILMN_1705093;ILMN_2395389;ILMN_1767006;ILMN_1779633;ILMN_1659103;ILMN_2346573;ILMN_2191428;ILMN_1683026;ILMN_1740083;ILMN_1814156;ILMN_2291010;ILMN_1721659;ILMN_1776173;ILMN_1732767;ILMN_1780189;ILMN_2331501;ILMN_1697691;ILMN_1797406;ILMN_1782977;ILMN_2048326;ILMN_1720926;ILMN_1691428,ILMN_1681503;ILMN_1798654;ILMN_1737396;ILMN_1768784;ILMN_1737205;ILMN_1777233;ILMN_1651237;ILMN_1712432;ILMN_1806818;ILMN_2344130;ILMN_1727459;ILMN_1731070;ILMN_1737862;ILMN_1748651;ILMN_1759952;ILMN_2387553;ILMN_1764794;ILMN_1682098;ILMN_1784946;ILMN_2407124;ILMN_1800952;ILMN_1669502;ILMN_1747195;ILMN_1789176;ILMN_1815169;ILMN_1704094;ILMN_2096759;ILMN_1702837;ILMN_1785914;ILMN_1704404;ILMN_1744649;ILMN_2058512;ILMN_1786612;ILMN_1720114;ILMN_1796430;ILMN_1701962;ILMN_2061452;ILMN_1809010;ILMN_2051469;ILMN_1709611;ILMN_1666409;ILMN_1733256;ILMN_1800654;ILMN_2376108;ILMN_1763540;ILMN_2383435;ILMN_1806017;ILMN_1705093;ILMN_2395389;ILMN_1767006;ILMN_1779633;ILMN_1659103
