Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Activation of the pre-replicative complex ,0.7710134663740058,3.8062831071884213,0.0,0.0,32,32,ILMN_1731070;ILMN_1670238;ILMN_1798654;ILMN_1815169;ILMN_1651237;ILMN_1727459;ILMN_2413899;ILMN_1681503;ILMN_1737205;ILMN_2407124;ILMN_1806818;ILMN_1696713;ILMN_1741801;ILMN_1785914;ILMN_1785198;ILMN_1800654;ILMN_1728199;ILMN_1774336;ILMN_1705093;ILMN_1798880;ILMN_1720114;ILMN_2191436;ILMN_1665559;ILMN_1660063;ILMN_1775975;ILMN_1784946;ILMN_1795719;ILMN_2061452;ILMN_1694502;ILMN_1740083;ILMN_1753582;ILMN_1716895,ILMN_1731070;ILMN_1670238;ILMN_1798654;ILMN_1815169;ILMN_1651237;ILMN_1727459;ILMN_2413899;ILMN_1681503;ILMN_1737205;ILMN_2407124;ILMN_1806818;ILMN_1696713;ILMN_1741801;ILMN_1785914;ILMN_1785198;ILMN_1800654;ILMN_1728199;ILMN_1774336;ILMN_1705093;ILMN_1798880
Assembly of the pre-replicative complex ,0.7092909968992169,3.878165745876085,0.0,0.0,86,69,ILMN_1731070;ILMN_1798654;ILMN_1669502;ILMN_1763540;ILMN_1815169;ILMN_1651237;ILMN_1727459;ILMN_1777233;ILMN_1764794;ILMN_1681503;ILMN_1776173;ILMN_1712432;ILMN_1737205;ILMN_2407124;ILMN_1683026;ILMN_1768784;ILMN_1806818;ILMN_2376108;ILMN_1796430;ILMN_1744649;ILMN_1737862;ILMN_1814156;ILMN_1748651;ILMN_1737396;ILMN_1785914;ILMN_1702837;ILMN_1800952;ILMN_1682098;ILMN_1701962;ILMN_1809010;ILMN_1800654;ILMN_1747195;ILMN_1789176;ILMN_1705093;ILMN_1720114;ILMN_2048326;ILMN_1759952;ILMN_1704404;ILMN_1733256;ILMN_1786612;ILMN_2331501;ILMN_1767006;ILMN_1709611;ILMN_1782977;ILMN_1666409;ILMN_1659103;ILMN_1784946;ILMN_1720926;ILMN_1697691;ILMN_2395389;ILMN_2291010;ILMN_2061452;ILMN_1797406;ILMN_2387553;ILMN_1721659;ILMN_1704094;ILMN_2051469;ILMN_2383435;ILMN_1691428;ILMN_1780189;ILMN_1740083;ILMN_2096759;ILMN_2344130;ILMN_1732767;ILMN_2346573;ILMN_1779633;ILMN_2191428;ILMN_2058512;ILMN_1806017,ILMN_1731070;ILMN_1798654;ILMN_1669502;ILMN_1763540;ILMN_1815169;ILMN_1651237;ILMN_1727459;ILMN_1777233;ILMN_1764794;ILMN_1681503;ILMN_1776173;ILMN_1712432;ILMN_1737205;ILMN_2407124;ILMN_1683026;ILMN_1768784;ILMN_1806818;ILMN_2376108;ILMN_1796430;ILMN_1744649;ILMN_1737862;ILMN_1814156;ILMN_1748651;ILMN_1737396;ILMN_1785914;ILMN_1702837;ILMN_1800952;ILMN_1682098;ILMN_1701962;ILMN_1809010;ILMN_1800654;ILMN_1747195;ILMN_1789176;ILMN_1705093
DNA Replication Pre-Initiation ,0.6974828646372182,4.039589053965131,0.0,0.0,103,85,ILMN_1731070;ILMN_1670238;ILMN_1798654;ILMN_1669502;ILMN_1763540;ILMN_1815169;ILMN_1651237;ILMN_1727459;ILMN_1777233;ILMN_2413899;ILMN_1764794;ILMN_1681503;ILMN_1776173;ILMN_1712432;ILMN_1737205;ILMN_2407124;ILMN_1683026;ILMN_1768784;ILMN_1806818;ILMN_1696713;ILMN_2376108;ILMN_1741801;ILMN_1796430;ILMN_1744649;ILMN_1737862;ILMN_1814156;ILMN_1748651;ILMN_1737396;ILMN_1785914;ILMN_1702837;ILMN_1800952;ILMN_1785198;ILMN_1682098;ILMN_1701962;ILMN_1809010;ILMN_1800654;ILMN_1747195;ILMN_1789176;ILMN_1728199;ILMN_1774336;ILMN_1705093;ILMN_1798880;ILMN_1720114;ILMN_2048326;ILMN_1759952;ILMN_1704404;ILMN_2191436;ILMN_1733256;ILMN_1665559;ILMN_1786612;ILMN_2331501;ILMN_1660063;ILMN_1767006;ILMN_1775975;ILMN_1709611;ILMN_1782977;ILMN_1666409;ILMN_1659103;ILMN_1784946;ILMN_1720926;ILMN_1697691;ILMN_2395389;ILMN_2291010;ILMN_1795719;ILMN_2061452;ILMN_1797406;ILMN_1694502;ILMN_2387553;ILMN_1721659;ILMN_1704094;ILMN_2051469;ILMN_2383435;ILMN_1691428;ILMN_1780189;ILMN_1740083;ILMN_1753582;ILMN_2096759;ILMN_2344130;ILMN_1732767;ILMN_2346573;ILMN_1779633;ILMN_2191428;ILMN_1716895;ILMN_2058512;ILMN_1806017,ILMN_1731070;ILMN_1670238;ILMN_1798654;ILMN_1669502;ILMN_1763540;ILMN_1815169;ILMN_1651237;ILMN_1727459;ILMN_1777233;ILMN_2413899;ILMN_1764794;ILMN_1681503;ILMN_1776173;ILMN_1712432;ILMN_1737205;ILMN_2407124;ILMN_1683026;ILMN_1768784;ILMN_1806818;ILMN_1696713;ILMN_2376108;ILMN_1741801;ILMN_1796430;ILMN_1744649;ILMN_1737862;ILMN_1814156;ILMN_1748651;ILMN_1737396;ILMN_1785914;ILMN_1702837;ILMN_1800952;ILMN_1785198;ILMN_1682098;ILMN_1701962;ILMN_1809010;ILMN_1800654;ILMN_1747195;ILMN_1789176;ILMN_1728199;ILMN_1774336;ILMN_1705093;ILMN_1798880;ILMN_1720114;ILMN_2048326;ILMN_1759952
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell ,0.6796783110689014,3.9536753667774134,0.0,0.0,393,145,ILMN_2312340;ILMN_1799134;ILMN_1777519;ILMN_1739756;ILMN_2323933;ILMN_1667232;ILMN_2196078;ILMN_1779257;ILMN_1765258;ILMN_2355953;ILMN_1711573;ILMN_1676924;ILMN_1762861;ILMN_2261416;ILMN_1677305;ILMN_1717197;ILMN_2112357;ILMN_1661631;ILMN_2325763;ILMN_1729915;ILMN_1738407;ILMN_1710923;ILMN_1724422;ILMN_1782704;ILMN_1705892;ILMN_1680274;ILMN_1655549;ILMN_1739794;ILMN_2044471;ILMN_2353732;ILMN_1699931;ILMN_2175912;ILMN_1778723;ILMN_1768598;ILMN_1693552;ILMN_1652199;ILMN_1693207;ILMN_1674228;ILMN_1786823;ILMN_1743797;ILMN_1658399;ILMN_2203950;ILMN_2339294;ILMN_2079655;ILMN_1671054;ILMN_1656670;ILMN_2354191;ILMN_1687825;ILMN_1726230;ILMN_1659077;ILMN_1660027;ILMN_1741917;ILMN_1778401;ILMN_1795236;ILMN_1708248;ILMN_2055781;ILMN_1873838;ILMN_1740864;ILMN_1688231;ILMN_1725320;ILMN_1655940;ILMN_1681415;ILMN_1747052;ILMN_1742001;ILMN_1749591;ILMN_1693781;ILMN_1752647;ILMN_2391051;ILMN_1719433;ILMN_1778977;ILMN_1723467;ILMN_2193817;ILMN_1701906;ILMN_1815652;ILMN_2212763;ILMN_1701237;ILMN_1762260;ILMN_1740298;ILMN_1726545;ILMN_1678882;ILMN_1674593;ILMN_1747622;ILMN_1802524;ILMN_1689953;ILMN_1654210;ILMN_2408112;ILMN_1782741;ILMN_2148459;ILMN_1798530;ILMN_1821486;ILMN_2165753;ILMN_1725427;ILMN_1799110;ILMN_2150787;ILMN_2393067;ILMN_1695744;ILMN_2166812;ILMN_1787662;ILMN_1706722;ILMN_1690783;ILMN_1733245;ILMN_1674785;ILMN_2222443;ILMN_1812226;ILMN_1724709;ILMN_1723520;ILMN_1722506;ILMN_2205322;ILMN_1761364;ILMN_1778974;ILMN_1750761;ILMN_1769910;ILMN_2112580;ILMN_1694243;ILMN_1792075;ILMN_1680712;ILMN_1730295;ILMN_1702385;ILMN_1706186;ILMN_1770940;ILMN_2389211;ILMN_1751095;ILMN_2406132;ILMN_1686831;ILMN_1708006;ILMN_1734748;ILMN_1689088;ILMN_1732799;ILMN_2174805;ILMN_2299095;ILMN_1767973;ILMN_1701308;ILMN_1773079;ILMN_2104356;ILMN_1701248;ILMN_1797929;ILMN_1669972;ILMN_1768575;ILMN_1801246;ILMN_1651282;ILMN_1716983;ILMN_1768754;ILMN_1785900;ILMN_2199313;ILMN_2337336,ILMN_2312340;ILMN_1799134;ILMN_1777519;ILMN_1739756;ILMN_2323933;ILMN_1667232;ILMN_2196078;ILMN_1779257;ILMN_1765258;ILMN_2355953;ILMN_1711573;ILMN_1676924;ILMN_1762861;ILMN_2261416;ILMN_1677305;ILMN_1717197;ILMN_2112357;ILMN_1661631;ILMN_2325763;ILMN_1729915;ILMN_1738407;ILMN_1710923;ILMN_1724422;ILMN_1782704;ILMN_1705892;ILMN_1680274;ILMN_1655549;ILMN_1739794;ILMN_2044471;ILMN_2353732;ILMN_1699931;ILMN_2175912;ILMN_1778723;ILMN_1768598;ILMN_1693552;ILMN_1652199;ILMN_1693207;ILMN_1674228;ILMN_1786823;ILMN_1743797;ILMN_1658399;ILMN_2203950;ILMN_2339294;ILMN_2079655;ILMN_1671054;ILMN_1656670;ILMN_2354191;ILMN_1687825;ILMN_1726230;ILMN_1659077;ILMN_1660027;ILMN_1741917;ILMN_1778401;ILMN_1795236;ILMN_1708248;ILMN_2055781;ILMN_1873838;ILMN_1740864;ILMN_1688231;ILMN_1725320;ILMN_1655940;ILMN_1681415;ILMN_1747052;ILMN_1742001;ILMN_1749591;ILMN_1693781;ILMN_1752647;ILMN_2391051;ILMN_1719433;ILMN_1778977;ILMN_1723467;ILMN_2193817;ILMN_1701906;ILMN_1815652
Orc1 removal from chromatin ,0.6857390822440225,3.719736092227487,0.0,0.00015526815724097617,88,71,ILMN_1731070;ILMN_1798654;ILMN_1763540;ILMN_1815169;ILMN_1786125;ILMN_1651237;ILMN_1727459;ILMN_1791002;ILMN_1764794;ILMN_1681503;ILMN_1776173;ILMN_1712432;ILMN_1737205;ILMN_1749629;ILMN_2407124;ILMN_2157099;ILMN_1683026;ILMN_1768784;ILMN_1806818;ILMN_2376108;ILMN_1796430;ILMN_1744649;ILMN_1737862;ILMN_1814156;ILMN_1748651;ILMN_1737396;ILMN_1785914;ILMN_1702837;ILMN_1800952;ILMN_1682098;ILMN_1701962;ILMN_1809010;ILMN_1800654;ILMN_1747195;ILMN_1705093;ILMN_2048326;ILMN_1759952;ILMN_1704404;ILMN_1733256;ILMN_1665559;ILMN_1786612;ILMN_2331501;ILMN_1767006;ILMN_1709611;ILMN_1782977;ILMN_1666409;ILMN_1659103;ILMN_1784946;ILMN_1720926;ILMN_1666670;ILMN_1697691;ILMN_2395389;ILMN_2291010;ILMN_2061452;ILMN_1797406;ILMN_2387553;ILMN_1721659;ILMN_1704094;ILMN_2383435;ILMN_1691428;ILMN_1780189;ILMN_1740083;ILMN_2096759;ILMN_2344130;ILMN_1732767;ILMN_2346573;ILMN_1779633;ILMN_2191428;ILMN_2058512;ILMN_1806017;ILMN_1711766,ILMN_1731070;ILMN_1798654;ILMN_1763540;ILMN_1815169;ILMN_1786125;ILMN_1651237;ILMN_1727459;ILMN_1791002;ILMN_1764794;ILMN_1681503;ILMN_1776173;ILMN_1712432;ILMN_1737205;ILMN_1749629;ILMN_2407124;ILMN_2157099;ILMN_1683026;ILMN_1768784;ILMN_1806818;ILMN_2376108;ILMN_1796430;ILMN_1744649;ILMN_1737862;ILMN_1814156;ILMN_1748651;ILMN_1737396;ILMN_1785914;ILMN_1702837;ILMN_1800952;ILMN_1682098;ILMN_1701962;ILMN_1809010;ILMN_1800654
G1/S-Specific Transcription ,0.7908703863865713,3.7292944987849688,0.0,0.00017744932256111564,28,28,ILMN_1795852;ILMN_1761828;ILMN_1670238;ILMN_1651237;ILMN_1727459;ILMN_1710676;ILMN_1678669;ILMN_1806040;ILMN_2157099;ILMN_1747911;ILMN_1661717;ILMN_1656886;ILMN_1806037;ILMN_1785914;ILMN_2137084;ILMN_1782551;ILMN_1733396;ILMN_1656196;ILMN_1724062;ILMN_1694177;ILMN_1653514;ILMN_2191436;ILMN_1793671;ILMN_1782813;ILMN_2051469;ILMN_1727458;ILMN_1756999;ILMN_1797055,ILMN_1795852;ILMN_1761828;ILMN_1670238;ILMN_1651237;ILMN_1727459;ILMN_1710676;ILMN_1678669;ILMN_1806040;ILMN_2157099;ILMN_1747911;ILMN_1661717;ILMN_1656886;ILMN_1806037;ILMN_1785914;ILMN_2137084;ILMN_1782551;ILMN_1733396;ILMN_1656196;ILMN_1724062;ILMN_1694177;ILMN_1653514;ILMN_2191436
Antigen processing-Cross presentation ,0.6643065201730419,3.744252532552854,0.0,0.0002070242096546349,164,102,ILMN_1763540;ILMN_1777565;ILMN_1748352;ILMN_2374036;ILMN_1764794;ILMN_1751079;ILMN_1743032;ILMN_1765258;ILMN_2335704;ILMN_1762861;ILMN_1744604;ILMN_1736256;ILMN_1738523;ILMN_1776173;ILMN_1697309;ILMN_1712432;ILMN_1683026;ILMN_1768784;ILMN_1759250;ILMN_2376108;ILMN_1796430;ILMN_2203950;ILMN_1662026;ILMN_1724533;ILMN_1744649;ILMN_1671054;ILMN_1740015;ILMN_1656670;ILMN_1654560;ILMN_1737862;ILMN_1814156;ILMN_1748651;ILMN_1737396;ILMN_1778401;ILMN_1702837;ILMN_1800952;ILMN_1659564;ILMN_1706217;ILMN_1682098;ILMN_1701962;ILMN_2367020;ILMN_1707308;ILMN_1674789;ILMN_2391051;ILMN_1809010;ILMN_1779381;ILMN_1772387;ILMN_1796642;ILMN_1747195;ILMN_2048326;ILMN_1759952;ILMN_1704404;ILMN_2148459;ILMN_1733256;ILMN_1801852;ILMN_1786612;ILMN_2165753;ILMN_1725427;ILMN_2150787;ILMN_1783946;ILMN_1782851;ILMN_2331501;ILMN_1767006;ILMN_1742450;ILMN_1798433;ILMN_1709611;ILMN_1677041;ILMN_1784238;ILMN_1782977;ILMN_1666409;ILMN_2190084;ILMN_1659103;ILMN_1796094;ILMN_1669753;ILMN_1810264;ILMN_1720926;ILMN_1697691;ILMN_2395389;ILMN_2291010;ILMN_1797406;ILMN_2387553;ILMN_1721659;ILMN_1704094;ILMN_2383435;ILMN_2169439;ILMN_1691428;ILMN_1780189;ILMN_2096759;ILMN_2400603;ILMN_2344130;ILMN_1732767;ILMN_1680313;ILMN_2346573;ILMN_1718754;ILMN_1714527;ILMN_1779633;ILMN_2191428;ILMN_2058512;ILMN_1687519;ILMN_1796755;ILMN_1806017;ILMN_1727142,ILMN_1763540;ILMN_1777565;ILMN_1748352;ILMN_2374036;ILMN_1764794;ILMN_1751079;ILMN_1743032;ILMN_1765258;ILMN_2335704;ILMN_1762861;ILMN_1744604;ILMN_1736256;ILMN_1738523;ILMN_1776173;ILMN_1697309;ILMN_1712432;ILMN_1683026;ILMN_1768784;ILMN_1759250;ILMN_2376108;ILMN_1796430;ILMN_2203950;ILMN_1662026;ILMN_1724533;ILMN_1744649;ILMN_1671054;ILMN_1740015;ILMN_1656670;ILMN_1654560;ILMN_1737862;ILMN_1814156;ILMN_1748651;ILMN_1737396;ILMN_1778401;ILMN_1702837;ILMN_1800952;ILMN_1659564;ILMN_1706217;ILMN_1682098;ILMN_1701962;ILMN_2367020;ILMN_1707308;ILMN_1674789;ILMN_2391051;ILMN_1809010;ILMN_1779381;ILMN_1772387;ILMN_1796642;ILMN_1747195
Interleukin-10 signaling ,0.7187415053053573,3.7629473714434343,0.0,0.0002484290515855619,58,44,ILMN_1772131;ILMN_1657234;ILMN_1791759;ILMN_2098126;ILMN_2230892;ILMN_1652825;ILMN_1678833;ILMN_1666733;ILMN_1716276;ILMN_1716736;ILMN_1720048;ILMN_1769129;ILMN_2160476;ILMN_1746836;ILMN_1787897;ILMN_1671353;ILMN_1728106;ILMN_1662451;ILMN_2092118;ILMN_1661861;ILMN_1699651;ILMN_1782560;ILMN_1671509;ILMN_1682636;ILMN_1677511;ILMN_1777461;ILMN_1685005;ILMN_1738725;ILMN_1810584;ILMN_1658483;ILMN_1676955;ILMN_1774874;ILMN_1812226;ILMN_2145033;ILMN_1697069;ILMN_1775501;ILMN_2073307;ILMN_1773245;ILMN_1778457;ILMN_2302947;ILMN_1681132;ILMN_1711566;ILMN_1793384;ILMN_1663618,ILMN_1772131;ILMN_1657234;ILMN_1791759;ILMN_2098126;ILMN_2230892;ILMN_1652825;ILMN_1678833;ILMN_1666733;ILMN_1716276;ILMN_1716736;ILMN_1720048;ILMN_1769129;ILMN_2160476;ILMN_1746836;ILMN_1787897;ILMN_1671353;ILMN_1728106;ILMN_1662451;ILMN_2092118;ILMN_1661861;ILMN_1699651;ILMN_1782560;ILMN_1671509;ILMN_1682636;ILMN_1677511;ILMN_1777461
Nuclear Envelope Breakdown ,0.7092993667585346,3.645328254778334,0.0,0.0002484290515855619,53,51,ILMN_2196569;ILMN_1671554;ILMN_1673962;ILMN_1736176;ILMN_1725612;ILMN_1801939;ILMN_1768293;ILMN_1771800;ILMN_2126706;ILMN_1747911;ILMN_1660871;ILMN_1738681;ILMN_1705907;ILMN_1716563;ILMN_1669635;ILMN_2381138;ILMN_1805828;ILMN_1715416;ILMN_2179837;ILMN_1652989;ILMN_1749930;ILMN_1815924;ILMN_1666049;ILMN_1712803;ILMN_1677747;ILMN_1727361;ILMN_2133100;ILMN_1734826;ILMN_1662130;ILMN_1730999;ILMN_2378316;ILMN_2145050;ILMN_1690259;ILMN_2115154;ILMN_1696749;ILMN_1772834;ILMN_1771903;ILMN_2320574;ILMN_2061405;ILMN_1762674;ILMN_1784467;ILMN_2135991;ILMN_1801421;ILMN_1680860;ILMN_1732776;ILMN_2133638;ILMN_1701374;ILMN_1869897;ILMN_1847889;ILMN_1751338;ILMN_1755321,ILMN_2196569;ILMN_1671554;ILMN_1673962;ILMN_1736176;ILMN_1725612;ILMN_1801939;ILMN_1768293;ILMN_1771800;ILMN_2126706;ILMN_1747911;ILMN_1660871;ILMN_1738681;ILMN_1705907;ILMN_1716563;ILMN_1669635;ILMN_2381138;ILMN_1805828;ILMN_1715416;ILMN_2179837;ILMN_1652989;ILMN_1749930;ILMN_1815924;ILMN_1666049;ILMN_1712803;ILMN_1677747;ILMN_1727361;ILMN_2133100;ILMN_1734826;ILMN_1662130;ILMN_1730999;ILMN_2378316;ILMN_2145050
Chemokine receptors bind chemokines ,0.7189376732271087,3.6948505415984982,0.0,0.0002760322795395132,65,54,ILMN_1745356;ILMN_1657234;ILMN_1674640;ILMN_1791759;ILMN_1783593;ILMN_2098126;ILMN_1715131;ILMN_1797975;ILMN_1678833;ILMN_1683456;ILMN_1666733;ILMN_1716276;ILMN_1720048;ILMN_1769129;ILMN_2160476;ILMN_1718552;ILMN_1846001;ILMN_1787897;ILMN_1763127;ILMN_1677505;ILMN_1737817;ILMN_1710186;ILMN_1779234;ILMN_1752562;ILMN_2086143;ILMN_1671509;ILMN_2224955;ILMN_1682636;ILMN_1728478;ILMN_1777461;ILMN_1680397;ILMN_1725519;ILMN_2086965;ILMN_2113606;ILMN_1699669;ILMN_1763322;ILMN_2067895;ILMN_2145033;ILMN_1781769;ILMN_1709350;ILMN_1662524;ILMN_2228845;ILMN_2387696;ILMN_1767281;ILMN_2246410;ILMN_1675346;ILMN_1773245;ILMN_1664316;ILMN_1666257;ILMN_1666493;ILMN_2371458;ILMN_2045324;ILMN_1803825;ILMN_2088437,ILMN_1745356;ILMN_1657234;ILMN_1674640;ILMN_1791759;ILMN_1783593;ILMN_2098126;ILMN_1715131;ILMN_1797975;ILMN_1678833;ILMN_1683456;ILMN_1666733;ILMN_1716276;ILMN_1720048;ILMN_1769129;ILMN_2160476;ILMN_1718552;ILMN_1846001;ILMN_1787897;ILMN_1763127;ILMN_1677505;ILMN_1737817;ILMN_1710186;ILMN_1779234;ILMN_1752562;ILMN_2086143;ILMN_1671509;ILMN_2224955;ILMN_1682636;ILMN_1728478;ILMN_1777461
