Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
APC/C-mediated degradation of cell cycle proteins Homo sapiens R-HSA-174143,-0.7321376266559243,-3.606491587718605,0.0,0.0,85,85,ANAPC16;CDC26;CDC16;PSMB10;PSMB8;PSMB9;ANAPC4;PSMD5;ANAPC2;PSMD9;UBE2E1;PSMD7;ANAPC5;UBC;PSMF1;PSMC6;PSME1;PSMD6;CUL1;PSMD12;CDC14A;RPS27A;PSMA1;PSMA4;CCNA1;PSMB11;UBE2D1;CDC27;UBA52;ANAPC10;ANAPC1;FZR1;SKP1;PSME2;BTRC;PSMA3;PSMD13;PSMA8;PSMC2;PSMC4;PSMD10;ANAPC15;PSMB6;PSMC5;PSMA2;PSMA5;PSMC1;UBB;CDC23;PSME4;BUB3;PSMB1;CDK2;PSMD4;PSMA7;PSMD14;PSMD8;PSMB7;PSMB2;PSMD1;ANAPC7;PSMA6;SKP2;PSMC3;ANAPC11;FBXO5;BUB1B;PSMB5;PSME3;PSMD11;PSMD2;PSMB3;MAD2L1;PSMD3;PSMB4;PLK1;CDK1;PTTG1;CDC20;CCNB1;CCNA2;AURKB;NEK2;AURKA;UBE2C,UBB;CDC23;PSME4;BUB3;PSMB1;CDK2;PSMD4;PSMA7;PSMD14;PSMD8;PSMB7;PSMB2;PSMD1;ANAPC7;PSMA6;SKP2;PSMC3;ANAPC11;FBXO5;BUB1B;PSMB5;PSME3;PSMD11;PSMD2;PSMB3;MAD2L1;PSMD3;PSMB4;PLK1;CDK1;PTTG1;CDC20;CCNB1;CCNA2;AURKB;NEK2;AURKA;UBE2C
Activation of ATR in response to replication stress Homo sapiens R-HSA-176187,-0.7946652372368341,-3.7879543219455076,0.0,0.0,37,37,RPA2;RPA1;HUS1;CLSPN;ORC4;RAD9B;RAD1;RFC5;RAD17;DBF4;ORC3;ATRIP;ATR;RPA3;ORC5;ORC2;ORC6;RFC3;RAD9A;MCM5;CDK2;RFC2;MCM8;CDC7;CDC6;MCM7;MCM6;ORC1;CDC25C;CHEK1;MCM3;CDC25A;RFC4;MCM10;CDC45;MCM2;MCM4,RFC3;RAD9A;MCM5;CDK2;RFC2;MCM8;CDC7;CDC6;MCM7;MCM6;ORC1;CDC25C;CHEK1;MCM3;CDC25A;RFC4;MCM10;CDC45;MCM2;MCM4
Assembly of the pre-replicative complex Homo sapiens R-HSA-68867,-0.7597592129640859,-3.796279256388663,0.0,0.0,67,67,PSMB10;PSMB8;PSMB9;PSMD5;PSMD9;PSMD7;UBC;PSMF1;PSMC6;PSME1;PSMD6;PSMD12;ORC4;RPS27A;PSMA1;PSMA4;PSMB11;UBA52;ORC3;PSME2;PSMA3;PSMD13;PSMA8;PSMC2;PSMC4;PSMD10;E2F1;PSMB6;PSMC5;ORC5;ORC2;PSMA2;PSMA5;ORC6;PSMC1;UBB;PSME4;GMNN;PSMB1;MCM5;E2F3;PSMD4;PSMA7;PSMD14;PSMD8;PSMB7;PSMB2;PSMD1;PSMA6;MCM8;PSMC3;CDC6;MCM7;PSMB5;PSME3;MCM6;PSMD11;PSMD2;ORC1;PSMB3;MCM3;CDT1;PSMD3;E2F2;PSMB4;MCM2;MCM4,E2F1;PSMB6;PSMC5;ORC5;ORC2;PSMA2;PSMA5;ORC6;PSMC1;UBB;PSME4;GMNN;PSMB1;MCM5;E2F3;PSMD4;PSMA7;PSMD14;PSMD8;PSMB7;PSMB2;PSMD1;PSMA6;MCM8;PSMC3;CDC6;MCM7;PSMB5;PSME3;MCM6;PSMD11;PSMD2;ORC1;PSMB3;MCM3;CDT1;PSMD3;E2F2;PSMB4;MCM2;MCM4
Chromosome Maintenance Homo sapiens R-HSA-73886,-0.7268507807672743,-3.632762399401567,0.0,0.0,86,60,TERF2IP;RPA2;TINF2;MIS18BP1;TERF2;CENPT;ACD;RPA1;CENPP;CENPC;NPM1;POT1;CENPH;ITGB3BP;RFC5;CENPI;TERT;RFC1;SMARCA5;POLD4;POLA1;RBBP4;RUVBL1;HIST1H2BO;RSF1;WRAP53;PCNA;RPA3;CENPQ;HIST1H2BK;POLD3;RFC3;PRIM2;RBBP7;RFC2;PRIM1;CENPW;CENPK;POLD2;POLA2;DNA2;POLD1;NHP2;CENPU;POLE2;CENPN;CENPO;OIP5;RUVBL2;POLE;LIG1;MIS18A;FEN1;DKC1;RFC4;CENPM;HJURP;TERF1;CENPA;CENPL,CENPQ;HIST1H2BK;POLD3;RFC3;PRIM2;RBBP7;RFC2;PRIM1;CENPW;CENPK;POLD2;POLA2;DNA2;POLD1;NHP2;CENPU;POLE2;CENPN;CENPO;OIP5;RUVBL2;POLE;LIG1;MIS18A;FEN1;DKC1;RFC4;CENPM;HJURP;TERF1;CENPA;CENPL
Class A/1 (Rhodopsin-like receptors) Homo sapiens R-HSA-373076,0.48369848997499926,10.422116839666597,0.0,0.0,323,306,LPAR1;ACKR1;LPAR6;CX3CR1;P2RY13;S1PR1;PTGER4;EDNRB;CXCL12;C3;CXCL2;ANXA1;AGTR1;ADRB2;CX3CL1;F2R;OXT;CCL21;APLNR;HTR2B;P2RY12;CCL23;ADRA2A;PTGDR;CCL19;GPER1;CYSLTR1;CXCL16;CCL2;CCR2;PTGFR;EDN3;OXTR;POMC;NMB;CCL28;CNR1;PENK;TAC1;CXCL6;EDNRA;PTGDR2;GPR18;GNRH1;MC1R;APP;CCL3;GPR132;GHRL;NTS;EDN1;LPAR5;GPR65;LPAR4;GPR4;FPR1;CCL5;C3AR1;S1PR4;NPY;CCR3;SAA1;NPFF;PNOC;NPY2R;C5;P2RY10;AVPR1A;UTS2B;GRP;ACKR2;CXCR5;HTR7;CXCR2;PROK2;CCR1;PROKR2;XCL1;TBXA2R;P2RY1;CCL17;PSAP;DRD4;ADRB1;CXCR4;CXCR3;CCR4;CCL16;PRLHR;PTGER1;HRH2;TAC3;CXCL8;PTAFR;FFAR4;TSHR;PMCH;KEL;DRD2;CXCL1;HCAR2;SST;CXCL3;NTSR1;CXCR6;GPR68;HTR1F;TRH;MTNR1B;CYSLTR2;GHSR;DRD3;CCL27;HTR2A;C5AR1;SUCNR1;UTS2;CCR7;LPAR2;NMUR1;GALR1;NTSR2;RLN3;ADRB3;SSTR1;PPBP;AVPR2;CCK;CCL22;TAAR6;NPY5R;MLN;NMBR;GPR55;GPR31;GPR17;CCR9;CCR10;LHCGR;FFAR1;ADORA2B;PDYN;CCL11;P2RY2;TAAR2;INSL3;CORT;RLN2;HTR4;HCRTR1;ACKR4;P2RY6;CXCR1;DRD1;F2RL2;CCL25;TAAR8;MCHR1;HTR1A;CXCL11;MCHR2;CHRM3;PTGER2;PROK1;HRH3;NMUR2;OPRL1;TRHR;PF4;P2RY14;TACR1;S1PR5;CHRM5;RHO;FFAR3;PROKR1;HRH1;TAAR1;HCRTR2;P2RY4;CCR5;F2RL1;AVPR1B;ADRA1A;GPBAR1;HTR1B;ADRA1B;PPY;FSHR;OXER1;HTR5A;NPBWR1;OPRD1;ADRA2B;ADORA1;OPN1SW;GALR3;S1PR2;NPFFR2;TACR3;UTS2R;HTR1D;HTR2C;GAL;HRH4;ADORA3;NMS;CXCL13;NPBWR2;QRFPR;RXFP1;CCL4;LHB;CHRM4;DRD5;RXFP3;OPRM1;XCR1;SSTR5;CCKBR;AVP;LPAR3;MC4R;OPN1LW;GPR37;SSTR4;NPFFR1;MTNR1A;TSHB;ACKR3;AGTR2;CCL1;TACR2;SSTR2;OPN3;KNG1;CNR2;OPN5;BRS3;NPY1R;OPN4;PTGER3;FPR2;NPB;INSL5;RXFP4;MLNR;MC2R;HCRT;HTR1E;SSTR3;TAAR9;FSHB;S1PR3;NPY4R;CXCL9;CCRL2;CCL7;GPR39;CXCL5;APLN;NPSR1;CGA;GNRH2;FPR3;TAAR5;CHRM2;RGR;MC3R;C5AR2;CHRM1;PTGIR;HCAR1;LTB4R;RXFP2;ADORA2A;OXGR1;QRFP;PRLH;CCKAR;MC5R;ADRA1D;OPRK1;F2RL3;GPR143;EDN2;AGT;CCL20;CXCL10;NPS;CCR6;ADRA2C;HCAR3;BDKRB2;HTR6;GALR2;GPR37L1;XK;NMU;RRH;FFAR2;KISS1R;PYY;HEBP1;BDKRB1;GRPR,LPAR1;ACKR1;LPAR6;CX3CR1;P2RY13;S1PR1;PTGER4;EDNRB;CXCL12;C3;CXCL2;ANXA1;AGTR1;ADRB2;CX3CL1;F2R;OXT;CCL21;APLNR;HTR2B;P2RY12;CCL23;ADRA2A;PTGDR;CCL19;GPER1;CYSLTR1;CXCL16;CCL2;CCR2;PTGFR;EDN3;OXTR;POMC;NMB;CCL28;CNR1;PENK;TAC1;CXCL6;EDNRA;PTGDR2;GPR18;GNRH1;MC1R;APP;CCL3;GPR132;GHRL;NTS;EDN1;LPAR5;GPR65;LPAR4;GPR4;FPR1;CCL5;C3AR1;S1PR4;NPY;CCR3;SAA1;NPFF;PNOC;NPY2R;C5;P2RY10;AVPR1A;UTS2B;GRP;ACKR2;CXCR5;HTR7;CXCR2;PROK2;CCR1;PROKR2;XCL1;TBXA2R;P2RY1;CCL17;PSAP;DRD4;ADRB1;CXCR4;CXCR3;CCR4;CCL16;PRLHR;PTGER1;HRH2;TAC3;CXCL8;PTAFR;FFAR4;TSHR;PMCH;KEL;DRD2;CXCL1;HCAR2;SST;CXCL3;NTSR1;CXCR6;GPR68;HTR1F;TRH;MTNR1B;CYSLTR2;GHSR;DRD3;CCL27;HTR2A;C5AR1;SUCNR1;UTS2;CCR7;LPAR2;NMUR1
DNA Replication Homo sapiens R-HSA-69306,-0.750996356832969,-3.6584884437945693,0.0,0.0,105,105,RPA2;RB1;PSMB10;CDKN1A;PSMB8;PSMB9;PSMD5;RPA1;CDKN1B;PSMD9;PSMD7;UBC;PSMF1;PSMC6;PSME1;PSMD6;PSMD12;GINS1;ORC4;RPS27A;PSMA1;PSMA4;CCNA1;PSMB11;UBA52;RFC5;FZR1;DBF4;ORC3;PSME2;RFC1;PSMA3;POLD4;PSMD13;POLA1;PSMA8;RPA4;PSMC2;PSMC4;PSMD10;E2F1;PSMB6;PCNA;RPA3;PSMC5;ORC5;ORC2;PSMA2;PSMA5;ORC6;PSMC1;UBB;PSME4;GMNN;POLD3;PSMB1;RFC3;PRIM2;MCM5;E2F3;CDK2;PSMD4;PSMA7;PSMD14;PSMD8;PSMB7;PSMB2;PSMD1;GINS3;RFC2;PRIM1;PSMA6;MCM8;PSMC3;CDC7;POLD2;CDC6;POLA2;DNA2;POLD1;MCM7;PSMB5;PSME3;MCM6;PSMD11;POLE2;PSMD2;ORC1;PSMB3;GINS2;POLE;LIG1;MCM3;CDT1;GINS4;PSMD3;E2F2;FEN1;RFC4;PSMB4;MCM10;CDC45;CCNA2;MCM2;MCM4,PCNA;RPA3;PSMC5;ORC5;ORC2;PSMA2;PSMA5;ORC6;PSMC1;UBB;PSME4;GMNN;POLD3;PSMB1;RFC3;PRIM2;MCM5;E2F3;CDK2;PSMD4;PSMA7;PSMD14;PSMD8;PSMB7;PSMB2;PSMD1;GINS3;RFC2;PRIM1;PSMA6;MCM8;PSMC3;CDC7;POLD2;CDC6;POLA2;DNA2;POLD1;MCM7;PSMB5;PSME3;MCM6;PSMD11;POLE2;PSMD2;ORC1;PSMB3;GINS2;POLE;LIG1;MCM3;CDT1;GINS4;PSMD3;E2F2;FEN1;RFC4;PSMB4;MCM10;CDC45;CCNA2;MCM2;MCM4
DNA Replication Pre-Initiation Homo sapiens R-HSA-69002,-0.7504510813623391,-3.608788465192129,0.0,0.0,82,82,RPA2;PSMB10;PSMB8;PSMB9;PSMD5;RPA1;PSMD9;PSMD7;UBC;PSMF1;PSMC6;PSME1;PSMD6;PSMD12;ORC4;RPS27A;PSMA1;PSMA4;PSMB11;UBA52;DBF4;ORC3;PSME2;PSMA3;PSMD13;POLA1;PSMA8;RPA4;PSMC2;PSMC4;PSMD10;E2F1;PSMB6;RPA3;PSMC5;ORC5;ORC2;PSMA2;PSMA5;ORC6;PSMC1;UBB;PSME4;GMNN;PSMB1;PRIM2;MCM5;E2F3;CDK2;PSMD4;PSMA7;PSMD14;PSMD8;PSMB7;PSMB2;PSMD1;PRIM1;PSMA6;MCM8;PSMC3;CDC7;CDC6;POLA2;MCM7;PSMB5;PSME3;MCM6;PSMD11;POLE2;PSMD2;ORC1;PSMB3;POLE;MCM3;CDT1;PSMD3;E2F2;PSMB4;MCM10;CDC45;MCM2;MCM4,E2F1;PSMB6;RPA3;PSMC5;ORC5;ORC2;PSMA2;PSMA5;ORC6;PSMC1;UBB;PSME4;GMNN;PSMB1;PRIM2;MCM5;E2F3;CDK2;PSMD4;PSMA7;PSMD14;PSMD8;PSMB7;PSMB2;PSMD1;PRIM1;PSMA6;MCM8;PSMC3;CDC7;CDC6;POLA2;MCM7;PSMB5;PSME3;MCM6;PSMD11;POLE2;PSMD2;ORC1;PSMB3;POLE;MCM3;CDT1;PSMD3;E2F2;PSMB4;MCM10;CDC45;MCM2;MCM4
DNA strand elongation Homo sapiens R-HSA-69190,-0.8482638971747688,-3.8053873874293274,0.0,0.0,32,32,RPA2;RPA1;GINS1;RFC5;RFC1;POLD4;POLA1;PCNA;RPA3;POLD3;RFC3;PRIM2;MCM5;GINS3;RFC2;PRIM1;MCM8;POLD2;POLA2;DNA2;POLD1;MCM7;MCM6;GINS2;LIG1;MCM3;GINS4;FEN1;RFC4;CDC45;MCM2;MCM4,POLD3;RFC3;PRIM2;MCM5;GINS3;RFC2;PRIM1;MCM8;POLD2;POLA2;DNA2;POLD1;MCM7;MCM6;GINS2;LIG1;MCM3;GINS4;FEN1;RFC4;CDC45;MCM2;MCM4
Extracellular matrix organization Homo sapiens R-HSA-1474244,0.6071966466857334,11.584581118540164,0.0,0.0,283,280,MFAP4;FBLN5;JAM3;COL14A1;JAM2;COL16A1;LAMA2;EFEMP2;LAMC1;FMOD;PECAM1;ICAM2;HTRA1;SPARC;DCN;PRKCA;COL17A1;CTSG;TGFB3;ADAMTS5;ITGA6;CAPN11;A2M;COL6A6;ITGAV;MMP2;COL15A1;PCOLCE;FGF2;ADAMTS9;TIMP2;LAMB3;PHYKPL;ITGA10;CAPN5;COL6A2;LAMC2;CTSK;LAMC3;TNN;FBN1;COL6A1;COL4A5;TNC;DST;NID1;COL6A3;PDGFA;VCAN;LAMB1;CRTAP;ADAMTS2;LAMB2;NTN4;PCOLCE2;LAMA1;LUM;ADAMTS8;TIMP1;CTSB;LOXL4;COL8A2;COL18A1;ITGAM;FBLN2;COL3A1;KDR;MFAP5;CAPN8;ADAMTS1;ELANE;COLGALT2;LRP4;ITGA4;ITGB5;TPSAB1;LOX;HSPG2;CTSS;ITGB2;ITGB1;COL5A1;COL5A3;LAMA3;VCAM1;BMP4;MMP7;NID2;ITGB6;LTBP4;NRXN1;LOXL1;MMP3;COL5A2;ITGA5;COL1A2;CMA1;KLK7;CAST;ITGA8;COL7A1;COL4A2;ELN;MMP19;MATN3;ACTN1;FBLN1;SERPINE1;ITGA7;ITGAD;ITGA9;COL1A1;COL12A1;ITGB3;BMP2;MMP8;ITGB4;COL25A1;LTBP3;COL28A1;COL4A1;COL23A1;CD47;ITGA2;COL24A1;CAPNS1;PLOD1;MFAP2;PLOD2;KLKB1;THBS1;SDC2;TRAPPC4;COL13A1;BGN;ITGAX;MMP24;NCAM1;VTN;BCAN;COL4A6;PRSS2;ADAMTS18;CTSL;ITGA1;COMP;ADAM10;MMP10;TLL1;COL27A1;SERPINH1;CD44;CTRB1;COL21A1;COL4A3;LTBP1;ITGAE;PPIB;EFEMP1;CAPN2;CTRB2;COL6A5;MMP12;BMP10;ITGAL;ICAM3;MMP9;ICAM4;COL4A4;ASPN;ITGA3;LOXL3;MMP13;TTR;DMD;MMP20;GDF5;MFAP1;CAPN13;BSG;ADAMTS3;MMP17;ADAM9;ADAMTS14;CD151;MMP16;PLG;DMP1;HAPLN1;CAPN15;ICAM5;DSPP;FN1;ICAM1;TGFB1;FGG;CAPNS2;CEACAM1;LOXL2;ACAN;LAMA4;ITGA11;P4HA1;COL22A1;CEACAM8;ITGB8;CAPN3;PSEN1;COL20A1;MUSK;PRSS1;CAPN14;PDGFB;DDR2;COL10A1;PTPRS;ITGB7;SPP1;COL9A1;NCAN;MFAP3;FGA;BMP1;ADAM17;ADAMTS16;KLK2;MADCAM1;COL8A1;TLL2;MATN4;TGFB2;COL11A1;MATN1;ADAM8;CAPN1;TNXB;FGB;COL19A1;PLOD3;P4HA2;LAMA5;ADAMTS4;TNR;NCSTN;MMP14;CEACAM6;COL2A1;MMP25;AGRN;FURIN;COL11A2;CTSD;SDC1;CAPN9;IBSP;CDH1;COL9A3;P4HB;MMP15;CASK;MMP1;FBN3;ITGA2B;SDC3;COLGALT1;COL9A2;CAPN7;CASP3;CAPN12;BMP7;MMP11;DAG1;SDC4;CTSV;ADAM15;FBN2;F11R;DDR1;CAPN10;PLEC,MFAP4;FBLN5;JAM3;COL14A1;JAM2;COL16A1;LAMA2;EFEMP2;LAMC1;FMOD;PECAM1;ICAM2;HTRA1;SPARC;DCN;PRKCA;COL17A1;CTSG;TGFB3;ADAMTS5;ITGA6;CAPN11;A2M;COL6A6;ITGAV;MMP2;COL15A1;PCOLCE;FGF2;ADAMTS9;TIMP2;LAMB3;PHYKPL;ITGA10;CAPN5;COL6A2;LAMC2;CTSK;LAMC3;TNN;FBN1;COL6A1;COL4A5;TNC;DST;NID1;COL6A3;PDGFA;VCAN;LAMB1;CRTAP;ADAMTS2;LAMB2;NTN4;PCOLCE2;LAMA1;LUM;ADAMTS8;TIMP1;CTSB;LOXL4;COL8A2;COL18A1;ITGAM;FBLN2;COL3A1;KDR;MFAP5;CAPN8;ADAMTS1;ELANE;COLGALT2;LRP4;ITGA4;ITGB5;TPSAB1;LOX;HSPG2;CTSS;ITGB2;ITGB1;COL5A1;COL5A3;LAMA3;VCAM1;BMP4;MMP7;NID2;ITGB6;LTBP4;NRXN1;LOXL1;MMP3;COL5A2;ITGA5;COL1A2;CMA1;KLK7;CAST;ITGA8;COL7A1;COL4A2;ELN;MMP19;MATN3;ACTN1;FBLN1;SERPINE1;ITGA7;ITGAD;ITGA9;COL1A1;COL12A1;ITGB3;BMP2;MMP8;ITGB4;COL25A1;LTBP3;COL28A1;COL4A1;COL23A1;CD47;ITGA2;COL24A1;CAPNS1
G alpha (i) signalling events Homo sapiens R-HSA-418594,0.46655932959977336,8.810552539534848,0.0,0.0,240,235,LPAR1;GNG2;GNG11;P2RY13;S1PR1;GNAI2;ADCY4;GNB5;CXCL12;C3;RGS5;CXCL2;ADCY3;GNG12;ANXA1;CCL21;APLNR;P2RY12;CCL23;GNG7;ADRA2A;RGS18;CCL19;GPER1;CXCL16;CCR2;POMC;CCL28;CNR1;PENK;CXCL6;PTGDR2;GPR18;APP;GNG10;LPAR5;RGS13;FPR1;CCL5;C3AR1;S1PR4;NPY;CCR3;RGS7;SAA1;PNOC;NPY2R;C5;RGS4;RGS1;GNAI1;CXCR5;ADCY7;CXCR2;RGS9;CCR1;GNGT2;GNB1;GNG3;DRD4;CXCR4;CXCR3;CCR4;CCL16;GNB3;CXCL8;PMCH;DRD2;TAS2R40;CXCL1;HCAR2;SST;CXCL3;CXCR6;HTR1F;MTNR1B;DRD3;CCL27;C5AR1;SUCNR1;CCR7;LPAR2;NMUR1;GALR1;RLN3;SSTR1;GRM3;PPBP;NPY5R;GPR55;GNG8;GNAZ;GPR17;CCR9;GRM8;CCR10;PDYN;CORT;TAS2R60;GNAT2;RGS10;RGS12;CXCR1;CCL25;MCHR1;HTR1A;CXCL11;MCHR2;HRH3;NMUR2;GRM6;GRM7;OPRL1;PF4;P2RY14;ADCY8;TAS2R42;S1PR5;RHO;TAS2R46;P2RY4;CCR5;RGS16;CASR;TAS2R8;ADCY1;HTR1B;PPY;OXER1;HTR5A;NPBWR1;GNG5;OPRD1;TAS2R13;ADRA2B;ADORA1;OPN1SW;GALR3;S1PR2;TAS2R9;GNG4;HTR1D;TAS2R41;TAS2R50;GAL;HRH4;ADORA3;NMS;TAS2R10;CXCL13;NPBWR2;TAS2R7;TAS2R20;TAS2R3;TAS2R14;RGS14;CHRM4;TAS2R16;TAS2R19;RXFP3;OPRM1;SSTR5;LPAR3;OPN1LW;SSTR4;TAS2R5;MTNR1A;ACKR3;AGTR2;SSTR2;OPN3;TAS2R31;KNG1;CNR2;OPN5;RGS6;NPY1R;RGS19;TAS2R45;PTGER3;TAS2R39;FPR2;NPB;INSL5;RXFP4;GNAT3;HTR1E;TAS2R4;GRM2;RGS8;SSTR3;S1PR3;GNB2;RGS22;NPY4R;CXCL9;RGS20;GNAS;GABBR1;CXCL5;GABBR2;APLN;GNAT1;FPR3;CHRM2;RGR;HCAR1;GNB4;TAS2R43;OXGR1;GNAI3;TAS2R1;RGS11;OPRK1;TAS2R38;ADCY9;AGT;CCL20;CXCL10;GRM4;CCR6;ADCY5;ADCY2;ADRA2C;HCAR3;GNGT1;BDKRB2;GNG13;GALR2;NMU;RRH;ADCY6;PYY;HEBP1;BDKRB1,LPAR1;GNG2;GNG11;P2RY13;S1PR1;GNAI2;ADCY4;GNB5;CXCL12;C3;RGS5;CXCL2;ADCY3;GNG12;ANXA1;CCL21;APLNR;P2RY12;CCL23;GNG7;ADRA2A;RGS18;CCL19;GPER1;CXCL16;CCR2;POMC;CCL28;CNR1;PENK;CXCL6;PTGDR2;GPR18;APP;GNG10;LPAR5;RGS13;FPR1;CCL5;C3AR1;S1PR4;NPY;CCR3;RGS7;SAA1;PNOC;NPY2R;C5;RGS4;RGS1;GNAI1;CXCR5;ADCY7;CXCR2;RGS9;CCR1;GNGT2;GNB1;GNG3;DRD4;CXCR4;CXCR3;CCR4;CCL16;GNB3
